お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0050_6457_IXL,2024-04-06,169人,みんなで作ったカレーをこぼして一言,NA,1位,煮込みVUITTON,一つずつ反論してくね,66,90.15,パステルゆんゆん/くとぅるふ/線路/hummun/コックカワサキ/かるろす/過払金が気になるアシマリ/塩鮭/官能亭ましゅまろ(2)/ツルミチッ素/へきさまる/２度あることはサンドラ/ざくろたん/やる/🦆/5.5畳/月の瞼/青色迷子(2)/イケダタカハシ(2)/モロヘイヤ/早稲川(2)/筋肉ゴリラ王/Miru(2)/レフトベアー/ぎりぎりおに喜利/たく/GRay/骨密度/Ran62/雨はやさしく/ツチノコ/いち/田口さん🍙/無字路/よく噛む/MUGIMISO/早寝/パブロ風の犬/さてつ/ノコノコdeath/スシトレイン(2)/ロールケーキじぃちゃん/しらス/太助/或る国/オコヅ/じゃー/深層心理見放題/うえじゅん/イワザル/らいどー/紅芋紫/ゆめ接骨院(2)/まちょ/シャザーン/きゃりーまらまら/投票ボーナス(3)
0050_6457_IXL,2024-04-06,169人,みんなで作ったカレーをこぼして一言,NA,2位,線路,見て、月が反射してる,56,81.48,くとぅるふ/hummun/　さくさく(3)/コックカワサキ(2)/かるろす/官能亭ましゅまろ(2)/筒井浜/松尾(2)/まん丸/ハイブリッジ/やる/僧帽筋/めつぶし/マービィ/イケダタカハシ(2)/筋肉ゴリラ王/小森/双葉柿浦六番線(2)/瀧野/啓蒙思想/たく/骨密度/Ran62(3)/花ふきん(3)/MUGIMISO/パブロ風の犬/お湯ドラ/縫い/飯田故郷/ロールケーキじぃちゃん(2)/Mr.ホンビノス/とんちー/オコヅ/じゃー(2)/アイワ/池田ビッグシャーク(2)/うえじゅん/松井秀喜/全休マカロン/投票ボーナス(3)
0050_6457_IXL,2024-04-06,169人,みんなで作ったカレーをこぼして一言,NA,3位,哲学ミミズ,続きまして,52,78.01,線路/なゆた(2)/hummun/コックカワサキ/かるろす/過払金が気になるアシマリ/りす/塩鮭/官能亭ましゅまろ/筒井浜/弱いリザードン(3)/まん丸/ツルミチッ素/マシーンたお/へきさまる/あぷら(3)/7282/やる/🦆/僧帽筋/月の瞼/イケダタカハシ/モロヘイヤ/POPOJI/小森/たく/露骨/GRay/Ran62/熱した片栗粉/ツチノコ/ハム/まずしんご/スシトレイン/しばらくはうに/太助/オコヅ/じゃー/おきおきひ/うえじゅん/シャザーン/てんしょう/sasuke/全休マカロン/投票ボーナス(3)
0050_6457_IXL,2024-04-06,169人,みんなで作ったカレーをこぼして一言,NA,4位,いち,まず動こうよ,51,77.15,パステルゆんゆん/はなた/hummun/コックカワサキ/過払金が気になるアシマリ/りす/塩鮭/もっとランドリー/煮込みVUITTON/やる/ユズリハ/めつぶし/5.5畳/月の瞼/青色迷子(2)/POPOJI/小森/赤黄色/双葉柿浦六番線/瀧野/啓蒙思想/レフトベアー/ぎりぎりおに喜利/ツチノコ/田口さん🍙/哲学ミミズ/ハム/ざわやん/ぺんぺるの/わただ(3)/よく噛む/飯田故郷/まずしんご/スシトレイン(2)/太助/オコヅ/じゃー/深層心理見放題/池田ビッグシャーク(3)/紅芋紫/ゆめ接骨院(2)/投票ボーナス(3)
0050_6457_IXL,2024-04-06,169人,みんなで作ったカレーをこぼして一言,NA,5位,インノケンティウス,今、家庭科から道徳になりました,47,73.68,パステルゆんゆん/なゆた(2)/しっとり経済学(3)/コックカワサキ/えきたいおもち/かるろす/眉間のふち/長島光/ニャスパーが言わないこと/弱いリザードン(2)/まん丸/りくがめ/マシーンたお/7282/🦆/めつぶし/マービィ(2)/たーは2/モロヘイヤ(2)/Miru(2)/GRay/長老_M/いち/MUGIMISO/早寝/ノコノコdeath/ロールケーキじぃちゃん(2)/親のたたき(3)/じゃー/うえじゅん/らいどー/森さんです。/まちょ/てんしょう/投票ボーナス(3)
0050_6457_IXL,2024-04-06,169人,みんなで作ったカレーをこぼして一言,NA,6位,らいどー,犯人探しはやめよう,46,72.82,なゆた/hummun/らうかった/コックカワサキ(2)/まん丸/へきさまる/あぷら(3)/２度あることはサンドラ/煮込みVUITTON/やる/冷食パスタレビュー/僧帽筋/さむちょ(2)/セレーネ(2)/カジハラ/Miru/mosoyumin/長老_M/田口さん🍙/哲学ミミズ/ざわやん/わただ(3)/無字路/よく噛む(2)/パコム/早寝/未来永劫ちゃんねる/パブロ風の犬/飯田故郷/イワザル/紅芋紫/ジャイロ(2)/てんしょう/sasuke/投票ボーナス(3)
0050_6457_IXL,2024-04-06,169人,みんなで作ったカレーをこぼして一言,NA,7位,ジャイロ,いいねピリッとしてきたね,45,71.95,線路/hummun/　さくさく(3)/コックカワサキ/えきたいおもち/塩鮭(2)/長島光/まん丸/ネクストン/ですぱいね/マシーンたお/へきさまる(2)/りあ/煮込みVUITTON/マービィ/山寺田/モロヘイヤ/かにく/露骨/ふゆる/雨はやさしく/expan(2)/MUGIMISO/パブロ風の犬/さてつ/ロールケーキじぃちゃん/親のたたき/太助/超ピンク/アイワ/うえじゅん/イワザル/らいどー(2)/紅芋紫/石蓴/まちょ/投票ボーナス(3)
0050_6457_IXL,2024-04-06,169人,みんなで作ったカレーをこぼして一言,NA,8位,ツルミチッ素,その顔で合ってる,44,71.08,hummun/らうかった/きまぐれ/松尾/まん丸/マシーンたお/へきさまる/ざくろたん(3)/🦆/めつぶし/月の瞼/青色迷子/山寺田/モロヘイヤ/早稲川(2)/筋肉ゴリラ王/Miru/瀧野/汁物勢/たく/ふゆる/GRay/骨密度/雨はやさしく/ツチノコ/長老_M/未曾/ハム/無字路/さてつ/太助/Mr.ホンビノス/超ピンク/オコヅ/紅芋紫/ジャイロ/まちょ/sasuke/投票ボーナス(3)
0050_6457_IXL,2024-04-06,169人,みんなで作ったカレーをこぼして一言,NA,9位,クルペッコの手羽元,サムネ確定,41,68.48,線路/hummun/過払金が気になるアシマリ/りす/煮込みVUITTON/冷食パスタレビュー/マービィ/さむちょ/さんれん/かにく/レフトベアー/北千住柱間(2)/骨密度/Ran62/雨はやさしく/熱した片栗粉/哲学ミミズ/ぺんぺるの/無字路/早寝/未来永劫ちゃんねる/パブロ風の犬/飯田故郷/スシトレイン/ロールケーキじぃちゃん/とんちー/アイワ/池田ビッグシャーク/らいどー/紅芋紫/石蓴(3)/ゆめ接骨院/ジャイロ/森さんです。/sasuke/投票ボーナス(3)
0050_6457_IXL,2024-04-06,169人,みんなで作ったカレーをこぼして一言,NA,9位,双葉柿浦六番線,流れ変わったな,41,68.48,らうかった/かるろす/過払金が気になるアシマリ/りす/RIKI/まん丸/7282/やる/🦆/冷食パスタレビュー/5.5畳/さんれん/モロヘイヤ/早稲川/赤黄色/瀧野/啓蒙思想/レフトベアー(2)/たく/雨はやさしく/mosoyumin(3)/花ふきん/ジブチ/無字路/未来永劫ちゃんねる/お湯ドラ/太助/オコヅ/松井秀喜/紅芋紫/石蓴(3)/ジャイロ/まちょ/投票ボーナス(3)
