お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1068_0204_LTD,2024-04-15,120人,この人変わった本の読み方するな,NA,1位,野島久助,箸で,39,78.57,自炊/さすけのお兄/戦慄の北枕/5Gガガギゴ/ひねたんからの/yuko112(3)/の江戸かっぷ(2)/浅間山から真っ逆さま/白菜お兄さん(3)/AgeHa/なゆた(2)/飯田故郷/こげ(2)/えいり/ババロア/へきさまる/えーす(3)/うめめ/鼻腔炭酸/つねきたいよう/スイートランド/んんっぴー/降りる人が先/られるりり/塩犬/何かのマリネ(2)/投票ボーナス(3)
1068_0204_LTD,2024-04-15,120人,この人変わった本の読み方するな,NA,2位,めっけもん,これ本になるだろって言いながら,37,76.23,オブちゃん(3)/熱した片栗粉/瓶提示/田舎のイルカ/マルイは二進法で5/5Gガガギゴ/ピュウ⭐︎/泥のぷーまん/ペン/鵺野凛音/業務用虚無/ジェンツーペンギン(2)/💃/白菜お兄さん/何奴/AgeHa/飯田故郷(2)/ハ生ム/天戸屋不成(2)/おーしゃん(2)/エキスポ万博/収蔵/ムラジュン/粉石鹸/ゆっちー(2)/ゾエコーヒー/ますく/投票ボーナス(3)
1068_0204_LTD,2024-04-15,120人,この人変わった本の読み方するな,NA,3位,オブちゃん,1度お湯にサッと通す,36,75.06,自炊/刺身たんぽぽ(2)/さすけのお兄/マルイは二進法で5/5Gガガギゴ/35/音/溢れ出る肉汁/ゑくれあ/業務用虚無/浅間山から真っ逆さま/AgeHa/ko_yo_mi/ぎりぎりおに喜利(3)/なゆた(2)/かるろす/ゆたーなる/綿白 雪/こげ/野良猫ヅツキ/本居(2)/ささくれ/土壇場娘(2)/ささきき(3)/られるりり/投票ボーナス(3)
1068_0204_LTD,2024-04-15,120人,この人変わった本の読み方するな,NA,3位,山根,エロ本で隠して読む,36,75.06,自炊/熱した片栗粉(3)/瓶提示/マルイは二進法で5/ピュウ⭐︎/ひねたんからの/ぜ/永遠の37歳/ベリー/鵺野凛音/業務用虚無/胎児(2)/スクショ後輩/AgeHa/朤燚㵘䲜䨻/かるろす/ハ生ム/お化けチャンドラ/平凡ぽんち/野良猫ヅツキ(2)/たのしいせいかつか/プレーン味のワニ/天戸屋不成/ガラクターズチープ/おーしゃん(2)/ささきき(2)/収蔵/ゆっちー/何かのマリネ/めっけもん
1068_0204_LTD,2024-04-15,120人,この人変わった本の読み方するな,NA,3位,鵺野凛音,年上の台詞だけ読む,36,75.06,オブちゃん(2)/瓶提示/MODY/音(2)/Pany/胎児/眉間のふち/あかのすけ/ハ生ム/綿白 雪/お化けチャンドラ/平凡ぽんち/プレーン味のワニ/えいり/ババロア/へきさまる/柚苑/本居/汁物勢/国産/鼻腔炭酸/エキスポ万博(2)/ちゃま/収蔵/ムラジュン/げら/塩犬/何かのマリネ/ゾエコーヒー(2)/投票ボーナス(3)
1068_0204_LTD,2024-04-15,120人,この人変わった本の読み方するな,NA,6位,ぴくじこ,舐めるように舐める,35,73.89,瓶提示/マルイは二進法で5/ピュウ⭐︎/ひねたんからの/ぜ/ハメ鳥太郎/胎児/浅間山から真っ逆さま/あるくら(2)/何奴/なゆた/朤燚㵘䲜䨻/Shineman(3)/ゆたーなる/こげ(2)/平凡ぽんち/野良猫ヅツキ/プレーン味のワニ/ババロア/真似き猫(2)/おーしゃん(2)/収蔵(3)/ムラジュン/塩犬/投票ボーナス(3)
1068_0204_LTD,2024-04-15,120人,この人変わった本の読み方するな,NA,6位,降りる人が先,Wi-Fiに近づく,35,73.89,田舎のイルカ/ピュウ⭐︎/ひねたんからの/yuko112(3)/泥のぷーまん/溢れ出る肉汁/ゑくれあ/ジェンツーペンギン/asidamada(3)/浅間山から真っ逆さま/AgeHa/あかのすけ(2)/未来コオロギ(2)/Shineman/お化けチャンドラ/平凡ぽんち/ぴくじこ/へきさまる/天戸屋不成/鼻腔炭酸/土壇場娘/にわのとり/ささきき(2)/げら/られるりり/投票ボーナス(3)
1068_0204_LTD,2024-04-15,120人,この人変わった本の読み方するな,NA,8位,はそん,行間で息継ぎをする,33,71.55,自炊/マルイは二進法で5/ひねたんからの/永遠の37歳/ゑくれあ/鵺野凛音/競歩/業務用虚無(3)/💃/森さんです。/ぎりぎりおに喜利/砂漠/飯田故郷/朤燚㵘䲜䨻/ハ生ム/こげ/平凡ぽんち/えいり/ぴくじこ/へきさまる/汁物勢/ささくれ/国産/んんっぴー/土壇場娘/田口さん🍙/ささきき/降りる人が先/投票ボーナス(3)
1068_0204_LTD,2024-04-15,120人,この人変わった本の読み方するな,NA,9位,にわのとり,まず本に自分を見せる,30,68.04,刺身たんぽぽ/ひねたんからの/鵺野凛音(2)/業務用虚無(2)/💃/何奴/AgeHa/ぎりぎりおに喜利/砂漠/飯田故郷/かるろす/こげ(2)/えいり/汁物勢/国産/エキスポ万博/土壇場娘/降りる人が先/粉石鹸/られるりり/塩犬(2)/ゾエコーヒー/ますく/投票ボーナス(3)
1068_0204_LTD,2024-04-15,120人,この人変わった本の読み方するな,NA,9位,白無垢のアマガエル,恋人と片ページずつ読んでる,30,68.04,刺身たんぽぽ(3)/マルイは二進法で5/5Gガガギゴ/ぜ/泥のぷーまん/永遠の37歳/ゑくれあ/過払金が気になるアシマリ/胎児/asidamada(3)/森さんです。/あるくら/あかのすけ(2)/ぎりぎりおに喜利/朤燚㵘䲜䨻/綿白 雪/お化けチャンドラ(2)/真似き猫/汁物勢/国産/ちぇみちぇみ！/何かのマリネ/石田ホルヘ/ますく
1068_0204_LTD,2024-04-15,120人,この人変わった本の読み方するな,NA,9位,鼻腔炭酸,サイコロで進む,30,68.04,さすけのお兄/はそん/ひねたんからの/35/音/永遠の37歳/溢れ出る肉汁/過払金が気になるアシマリ/ジェンツーペンギン/浅間山から真っ逆さま/森さんです。/ko_yo_mi/未来コオロギ/飯田故郷/ゆたーなる/平凡ぽんち/たのしいせいかつか/へきさまる/えーす(3)/つねきたいよう/エキスポ万博/ささきき/ちゃま/られるりり/ちぇみちぇみ！/投票ボーナス(3)
1068_0204_LTD,2024-04-15,120人,この人変わった本の読み方するな,NA,12位,ヤマニキ,ふーふーしてから読む,29,66.87,さすけのお兄/瓶提示/戦慄の北枕/ひねたんからの/35/溢れ出る肉汁/ペン/過払金が気になるアシマリ/鵺野凛音/Pany/業務用虚無(2)/💃/かるろす/お化けチャンドラ/野良猫ヅツキ/へきさまる/柚苑/本居(2)/汁物勢/ささくれ/ガラクターズチープ/にわのとり/ちゃま/ムラジュン/げら/ラプンツェル/ますく
1068_0204_LTD,2024-04-15,120人,この人変わった本の読み方するな,NA,13位,野良猫ヅツキ,スタミナをつけてから読む,26,63.36,自炊/はそん/溢れ出る肉汁/業務用虚無/何奴/素犬/スクショ後輩/Shineman(2)/ゆたーなる/プレーン味のワニ/天戸屋不成(2)/汁物勢/ささくれ/おーしゃん(2)/鼻腔炭酸/エキスポ万博/にわのとり/がんばりま翔/塩犬/ますく/投票ボーナス(3)
1068_0204_LTD,2024-04-15,120人,この人変わった本の読み方するな,NA,14位,うめめ,留守電に入れて聞く,25,62.2,さすけのお兄/溢れ出る肉汁/紙資源/過払金が気になるアシマリ/Pany/素犬/砂漠/朤燚㵘䲜䨻/かるろす/野良猫ヅツキ/たのしいせいかつか/ぴくじこ/柚苑/鼻腔炭酸/つねきたいよう/んんっぴー/エキスポ万博/ムラジュン(2)/降りる人が先/ちぇみちぇみ！/何かのマリネ/投票ボーナス(3)
