お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0922_3654_LMK,2024-04-25,94人,巨人に褒められた理由,NA,1位,猫ガンプ,見えないおしゃれに気づいた,29,80.36,はっちゃん/アスパラ/絶命/青色迷子/ピーヤ(2)/土壇場娘/短針/おっまる/こーひーたいむ/ミヤガイ/じゃみこ(2)/何奴/なまこP/あららうね/紗和和和/iiha/ごげ/コレカタ/下衆なキャット/鼻腔炭酸/幻/そぼろ、(2)/シーサイド品川/投票ボーナス(3)
0922_3654_LMK,2024-04-25,94人,巨人に褒められた理由,NA,2位,ポニータ.png,目を見て挨拶をした,27,77.04,ばばぁ大乱闘/とは言えどもらいゲロ/xtomato/スポーツバッグ/薪薪(2)/メイド・イン・ムーン/お化けチャンドラ/てっぺんざしお/部分点/800/世界の牛肉/ゆじ/旧姓アルコール中国/猫ガンプ/下衆なキャット/aika/ボルシチ/イズキ/幻/かぱぱんつ(2)/シーサイド品川/制度の隙間/投票ボーナス(3)
0922_3654_LMK,2024-04-25,94人,巨人に褒められた理由,NA,3位,シーサイド品川,内面性であだ名をつけた,26,75.38,はっちゃん/佐世保太郎(2)/アスパラ/ギザ二十/吉村/短針/極楽浄土/お化けチャンドラ/てっぺんざしお/ミヤガイ/早芽ねる/なまこP/しっとり経済学(2)/下衆なキャット(2)/鼻腔炭酸/ボルシチ/幻/そぼろ、/かぱぱんつ/ぽむた/投票ボーナス(3)
0922_3654_LMK,2024-04-25,94人,巨人に褒められた理由,NA,3位,メイド・イン・ムーン,地味な伝説も知ってた,26,75.38,佐世保太郎(2)/アスパラ/阿吽/ギザ二十/そよかぜ/絶命/吉村/短針/赤ドラの嶺上クス/ターンブル/800/モトキ/なまこP/グッドナイトボーイ/旧姓アルコール中国(2)/猫ガンプ/aika/鼻腔炭酸/そぼろ、(2)/シーサイド品川/投票ボーナス(3)
0922_3654_LMK,2024-04-25,94人,巨人に褒められた理由,NA,3位,厚底眼鏡,一回も身長に触れなかった,26,75.38,佐世保太郎(2)/ギザ二十/吉村/ピーヤ(2)/土壇場娘(2)/短針/極楽浄土/綺麗な形/メイド・イン・ムーン/じゃみこ/早芽ねる/モトキ/ゆじ/なまこP/グッドナイトボーイ/猫ガンプ/ごげ/コレカタ/下衆なキャット/イズキ/匍匐うなたま星人/そぼろ、/ぽむた
0922_3654_LMK,2024-04-25,94人,巨人に褒められた理由,NA,3位,平凡ぽんち,花があると知らせた,26,75.38,はっちゃん/アスパラ/スポーツバッグ/そよかぜ/絶命/ポリエステルの産物/てっぺんざしお/何奴/なまこP/35/あららうね/紗和和和/旧姓アルコール中国/猫ガンプ/下衆なキャット(2)/aika/ボルシチ/andrewZ/匍匐うなたま星人(2)/覇道きてぃ/制度の隙間/投票ボーナス(3)
0922_3654_LMK,2024-04-25,94人,巨人に褒められた理由,NA,7位,コメプラ,まず大きさじゃなくて肌質に言及した,25,73.72,xtomato/ギザ二十/スポーツバッグ/薪薪(3)/短針/おっまる/綺麗な形/お化けチャンドラ/てっぺんざしお/drzz/じゃみこ/早芽ねる/女将の見えざる手/なまこP/35/グッドナイトボーイ/さとやまん/旧姓アルコール中国(2)/ごげ/鼻腔炭酸/そぼろ、(2)
0922_3654_LMK,2024-04-25,94人,巨人に褒められた理由,NA,8位,枠の外,代わりにタップしてあげた,21,67.07,ギザ二十/こどく共和国/絶命/吉村/短針/てっぺんざしお/ミヤガイ/部分点/世界の牛肉/じゃみこ/何奴/bbmg/メンサ非会員(3)/aika/ぽむた/制度の隙間/投票ボーナス(3)
0922_3654_LMK,2024-04-25,94人,巨人に褒められた理由,NA,9位,佐世保太郎,つまみやすい服を着てた,19,63.75,はっちゃん/アスパラ/ギザ二十/土壇場娘/極楽浄土/メイド・イン・ムーン/ミヤガイ/drzz/ターンブル/800/メンサ非会員(3)/なまこP/ボルシチ/幻/投票ボーナス(3)
0922_3654_LMK,2024-04-25,94人,巨人に褒められた理由,NA,9位,道センター,自力で肩に乗った,19,63.75,アスパラ/阿吽/スポーツバッグ/絶命/青色迷子/ポニータ.png/鯨ソテー(3)/ポリエステルの産物/800/なまこP/マカロニ婆や/あららうね(2)/紗和和和/幻/シーサイド品川/ぽむた
