お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1059_7610_FLZ,2024-05-02,97人,PKの代わりに導入された、画期的なサッカーの勝敗の決め方,NA,1位,冷食パスタレビュー,「勝ちたい」がテーマの作文,38,87.83,疾風/あまりにも速い犬/石原消し炭/水曜電池/坂間/少しだけ賢い/ジョージ西側/かるろす/旅人/ちきちきた/まっちょプリン/驫鵬彈/減塩インゲン/キスいわし/猫宮もあ/あんこ物語/はとなのだぜ。(3)/眉間のふち/ミズイチ/しらふじらふ/真島シゲキックス/プラスチック2(3)/脳這う(2)/イワザル/けーこ/やまもん/七篠カリナ/テトラ/neko_machi/Riwaaaaaaa/投票ボーナス(3)
1059_7610_FLZ,2024-05-02,97人,PKの代わりに導入された、画期的なサッカーの勝敗の決め方,NA,2位,定禅寺　翔子,内申点,32,79.28,水曜電池/アンサイン/冷食パスタレビュー/かるろす/まちょ/キスいわし/ごまもなか/猫宮もあ/夜食/Nado(2)/眉間のふち/ミズイチ/近日公開/バム/茄ッ子/プラスチック2/脳這う/けーこ/かわばた(3)/鍵(2)/チャイニーズマフィア/すずたき/テトラ/ひよれゐ/はっぴーえんど/投票ボーナス(3)
1059_7610_FLZ,2024-05-02,97人,PKの代わりに導入された、画期的なサッカーの勝敗の決め方,NA,3位,いとまびと,ボール10倍タイム,31,77.85,あまりにも速い犬/冷凍トイレ/うだてん(2)/石原消し炭/後悔しない名前を付けよう/坂間(2)/冷食パスタレビュー/かるろす/旅人/すけ/たくみす/減塩インゲン/赤黄色/特大ハムスター/hummun/Nado/しらふじらふ(2)/真島シゲキックス/ジャイロ/マウスピース(3)/満天星まいてぃん/右足/けいすけ/投票ボーナス(3)
1059_7610_FLZ,2024-05-02,97人,PKの代わりに導入された、画期的なサッカーの勝敗の決め方,NA,4位,七篠カリナ,dボタン,29,75.0,"うだてん/後悔しない名前を付けよう/冷食パスタレビュー/ジョージ西側/いとまびと(2)/特大ハムスター/ごまもなか/イヌのヌ""れた鼻/はとなのだぜ。(2)/烏天狗/Nado(2)/Tottoream/ミズイチ/茄ッ子/しらふじらふ/真島シゲキックス/ジャイロ(2)/けーこ/ひよれゐ/クープラン/右足/けいすけ/投票ボーナス(3)"
1059_7610_FLZ,2024-05-02,97人,PKの代わりに導入された、画期的なサッカーの勝敗の決め方,NA,5位,あまりにも速い犬,メッシ向いてホイ,26,70.73,"石原消し炭/星ドッラ/旅人(2)/まっちょプリン/なかむら/減塩インゲン/キスいわし/BFGH/特大ハムスター/イヌのヌ""れた鼻/はとなのだぜ。/ミズイチ/宇治抹茶(2)/ジャイロ/けーこ/KWGhost/定禅寺　翔子/すずたき/はっぴーえんど/右足/けいすけ/投票ボーナス(3)"
1059_7610_FLZ,2024-05-02,97人,PKの代わりに導入された、画期的なサッカーの勝敗の決め方,NA,6位,じゅんぴ〜,タコに選んでもらう,25,69.3,疾風/後悔しない名前を付けよう/坂間/星ドッラ/アンサイン/少しだけ賢い/旅人(2)/すけ/シンマイ子/まちょ/ナゲット(2)/BFGH/あんこ物語/夜食/眉間のふち/猫撫での樹/ミズイチ/茄ッ子/けーこ/まん丸/チャイニーズマフィア/テトラ/満天星まいてぃん
1059_7610_FLZ,2024-05-02,97人,PKの代わりに導入された、画期的なサッカーの勝敗の決め方,NA,6位,アンサイン,2本目が見たいと思った方に投票する,25,69.3,冷凍トイレ/うだてん/石原消し炭/水曜電池/ジョージ西側/ちきちきた/たくみす/まっちょプリン/農家/まちょ/hummun/はとなのだぜ。(3)/ミズイチ/茄ッ子/熱愛(3)/定禅寺　翔子/七篠カリナ/満天星まいてぃん/投票ボーナス(3)
1059_7610_FLZ,2024-05-02,97人,PKの代わりに導入された、画期的なサッカーの勝敗の決め方,NA,8位,ちきちきた,実家の太さ,22,65.02,"gas/アスパラ/星ドッラ/少しだけ賢い/ジョージ西側/イヌのヌ""れた鼻/猫宮もあ/眉間のふち/猫撫での樹/近日公開/茄ッ子/プラスチック2/けーこ/定禅寺　翔子/neko_machi(2)/はっぴーえんど/Riwaaaaaaa(2)/投票ボーナス(3)"
1059_7610_FLZ,2024-05-02,97人,PKの代わりに導入された、画期的なサッカーの勝敗の決め方,NA,8位,テトラ,審判の地元に近いチームの勝ち,22,65.02,うだてん/昭和のにほひ/後悔しない名前を付けよう/アンサイン/ジョージ西側/かるろす/すけ/驫鵬彈/なかむら/農家/キスいわし/BFGH/プラスチック2/脳這う/イワザル/けーこ/鍵(2)/やまもん/投票ボーナス(3)
1059_7610_FLZ,2024-05-02,97人,PKの代わりに導入された、画期的なサッカーの勝敗の決め方,NA,8位,近日公開,歯の合計,22,65.02,gas/少しだけ賢い/ジョージ西側/ちきちきた/たくみす(2)/シンマイ子/農家(2)/まちょ/眉間のふち/バム/茄ッ子/プラスチック2/まん丸/ひよれゐ(3)/Riwaaaaaaa/投票ボーナス(3)
