お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0595_2372_QXE,2024-05-03,88人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0595_2372_QXE.jpeg,1位,💃,女アバターを選びましたね,43,100.86,ZIPファミリー/揺木すすぎ(2)/あんぐら/過去分詞(3)/じんだい(3)/鴨とサイコロ/理科インターネット/プラスチック2/鈴木 a.k.a 鈴木(3)/伊勢八/右足/さむちょ/ドゴドド/デイドロ/下衆なキャット(2)/にこごり/約13個入り(2)/うだてん/ハリネズミの時限爆弾/きみをゆるさない。/いくらバクダン軍艦/おやすみ/てすと田くらげ/北千住柱間(2)/いちゃこら/顔面激戦区/スウィートサマーデイ(3)/けーこ/投票ボーナス(3)
0595_2372_QXE,2024-05-03,88人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0595_2372_QXE.jpeg,2位,黄緑黄緑黄緑,今日は塾って言ってたよね,28,75.92,山寺田/揺木すすぎ(2)/全王様/花咲/ちぇみちぇみ！/んんっぴー/固定残業代/イカチュウ/くいてー/さむちょ/ドゴドド/＃の中のカマ吉くん/だーちま(2)/カラスマル/きみをゆるさない。/紆余曲折/てすと田くらげ(3)/中川圭一/北千住柱間(2)/けーこ/投票ボーナス(3)
0595_2372_QXE,2024-05-03,88人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0595_2372_QXE.jpeg,3位,紆余曲折,音楽じゃ治りませんよ,25,70.93,後悔しない名前を付けよう/ニア・ディゾン/東松永/ニューロン/メソッド/全王様/からたち/野島久助/ブンカサイブンコボン/kesyousui/鴨とサイコロ/ちばらぴ/プラスチック2/デイドロ/すけきよ/低血圧/硝酸/おやすみ/てすと田くらげ(2)/中川圭一/北千住柱間/投票ボーナス(3)
0595_2372_QXE,2024-05-03,88人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0595_2372_QXE.jpeg,4位,きみをゆるさない。,先程のチーターです,22,65.94,東松永/ニューロン/💃/じんだい/石原消し炭/ネクストン/プラスチック2(2)/右足/さむちょ/デイドロ/＃の中のカマ吉くん/まーもん(3)/ハルひこ/ハリネズミの時限爆弾/ババロア/紆余曲折/投票ボーナス(3)
0595_2372_QXE,2024-05-03,88人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0595_2372_QXE.jpeg,5位,ブトマ,いつも夢に出てくる人だよね,21,64.28,全王様/りーんママ/kesyousui/フイ/幻/理科インターネット/プラスチック2(2)/んんっぴー/固定残業代/伊勢八/ライトニングよしこ/さむちょ/下衆なキャット/にこごり/うだてん/ベモペギ/きみをゆるさない。/投票ボーナス(3)
0595_2372_QXE,2024-05-03,88人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0595_2372_QXE.jpeg,6位,あんぐら,祭りで無視してたよね,19,60.95,あぐら/ニューロン/💃/メソッド/ZIPファミリー/黄緑黄緑黄緑/monika/からたち/理科インターネット/くいてー/すけきよ/まーもん/ハリネズミの時限爆弾/紆余曲折/中川圭一/いちゃこら/投票ボーナス(3)
0595_2372_QXE,2024-05-03,88人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0595_2372_QXE.jpeg,6位,ニューロン,まだチャンスありますよ,19,60.95,あぐら/ニア・ディゾン/東松永/メソッド/過去分詞(3)/からたち/石原消し炭/鴨とサイコロ/幻/留学生/固定残業代/伊勢八/硝酸/中川圭一/投票ボーナス(3)
0595_2372_QXE,2024-05-03,88人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0595_2372_QXE.jpeg,6位,ババロア,電車詳しくてカッコイイね,19,60.95,七転/💃/あんぐら/野島久助/さもん/鴨とサイコロ/理科インターネット(2)/固定残業代/くいてー/すけきよ/約13個入り(2)/ハリネズミの時限爆弾/硝酸/中川圭一/投票ボーナス(3)
0595_2372_QXE,2024-05-03,88人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0595_2372_QXE.jpeg,6位,顔面激戦区,スリルはお好きですか,19,60.95,ニア・ディゾン/メソッド/じんだい/monika/プラスチック2/んんっぴー/下衆なキャット(2)/にこごり/ババロア/カラスマル/てすと田くらげ(3)/中川圭一/北千住柱間/投票ボーナス(3)
0595_2372_QXE,2024-05-03,88人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0595_2372_QXE.jpeg,10位,いくらバクダン軍艦,その傷口にこのオレンジジュース塗ったら……めっちゃしみると思わない？,18,59.29,七転(3)/カエル太郎(3)/ネクストン/りる24/あるくら/おやすみ/てすと田くらげ(3)/いちゃこら/けーこ/投票ボーナス(3)
