お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0952_4367_TWB,2024-05-06,269人,キモい地球儀  どんなの？,NA,1位,6500,中から蹴ってるのが伝わってくる,102,100.15,シャザーン/炭酸水ニキ/たく/テトラ/うかぱちゃん/二階から手続き/冷凍トイレ/瀧山グングニル/コックカワサキ/知性丸出し(2)/ヴァミリ・ドグァ/たくみす(2)/素犬/農家(2)/騎士なしゅてん/ムネコざボビー(2)/おが/くとぅるふ/烏天狗/この件はご内密に/デコピン/墨汁一滴/圧倒的な春巻き(3)/低血圧(2)/にこごり(3)/業務用虚無(3)/ニューメキシコ(2)/山葵布団/グシャグシャバキバキ/レイルレイル/制度の隙間/タンス貯金/じゃぱな/サンプリ/hama(2)/エス(3)/小森(3)/レイサム/薬用入浴剤/まるぜん(2)/ずんだれ/manth/kikori1227/しばらくはうに/もなわ(3)/ちぎったレタスもどす/ハロー注意報/鴨蕎麦/えいり/練馬のバッタ/けつの園/目が百個ついてるおばさん/ネコョテ(3)/かみそん/^筍^(3)/弓使い(2)/やまもん/ハリネズミの時限爆弾/かるろす(3)/裕子/どんぐり亭/かさぶた(2)/石崎/なまこP/とめはね(3)/フレッツ光と闇(3)/射的屋(2)/硬いつま先/T-FOX
0952_4367_TWB,2024-05-06,269人,キモい地球儀  どんなの？,NA,2位,タブンネコ,一個買うと七個ついてくる,75,82.24,椎茸キング/たく/自動車部員/郭チャン/ねこめんたい/ひよれゐ/わたなべいびー/新Goo/瀧山グングニル/素犬/農家(2)/SkylarK(2)/くとぅるふ/この件はご内密に/きらら/AgeHa/圧倒的な春巻き(2)/ぜ/ボブ（北陸在住）(2)/ひがその/静と動、そして美(3)/低血圧/猫宮もあ/業務用虚無/アスパラ/制度の隙間/タンス貯金/プレーン味のワニ/サンプリ/きつねうどん/溢れ出る肉汁/満天星まいてぃん/小森/棒鉢=テッカ(2)/成功しなかった爆弾の爆破(3)/ずんだれ/kikori1227/ちぎったレタスもどす/ソバ(3)/ハロー注意報/えいり/度蔵まぐら/相良他苗(2)/塩犬/弓使い/優しい電磁波/どんぐり亭/ハッスル運動会/なまこP/しっとり経済学/シンマイ子/ガリメガネ/射的屋/合法/ボビー/T-FOX/ぶんぶんjk/さすがに/こんなところにエビチリ(2)/投票ボーナス(3)
0952_4367_TWB,2024-05-06,269人,キモい地球儀  どんなの？,NA,3位,くとぅるふ,何回落としてもアメリカが上になる,69,78.26,炭酸水ニキ/年金/うかぱちゃん/ねこめんたい(2)/ひよれゐ/櫻井二宮相葉大野くん松本/冷凍トイレ/瀧山グングニル/さむちょ/ヴァミリ・ドグァ/たくみす(2)/素犬/おが/SkylarK/けいすけ/烏天狗/でっていう/この件はご内密に/きらら(2)/ぜ/ボブ（北陸在住）(2)/静と動、そして美(2)/低血圧/あかしやきいも/エキスポ万博/こんよす/満天星まいてぃん/レイサム/棒鉢=テッカ(2)/成功しなかった爆弾の爆破(3)/しばらくはうに/スタントマン体育/汁物勢/ちぎったレタスもどす/生存権🚷/鴨蕎麦/黒胡椒(2)/練馬のバッタ/けつの園/いりぞう(3)/やまもん/優しい電磁波/あららうね/ハッスル運動会/七転び直樹/2周年🍵/美辞麗句(2)/なもすきkiss/ガリメガネ/つゆだQ/射的屋/水素不足/T-FOX/受動明王/投票ボーナス(3)
0952_4367_TWB,2024-05-06,269人,キモい地球儀  どんなの？,NA,4位,スタントマン体育,女の子が回すと大きくなる,68,77.6,シャザーン/すぎり/年金/ねこめんたい/あ〜ちゃん/柚苑/ばくはり/ジュルジュル温泉!!/altcolt(3)/ギャル歯科/さむちょ/たくみす/しすると/照葉公園/kla/くとぅるふ/でっていう/ボブ（北陸在住）/にこごり/エキスポ万博/グシャグシャバキバキ/レイルレイル/こんよす/じゃぱな/サンプリ/前菜(2)/hama(2)/アボラボ(2)/xtomato/汁物勢/もなわ(3)/鴨蕎麦/けつの園/だかま(2)/Mutsugoro/綺麗な形/やまもん/のれん/優しい電磁波/やあ/どんぐり亭/七転び直樹/石崎/いりごま。/なまこP/美辞麗句(2)/Yまと/フレッツ光と闇(2)/💃/水素不足/硬いつま先/T-FOX/こんなところにエビチリ(3)/投票ボーナス(3)
0952_4367_TWB,2024-05-06,269人,キモい地球儀  どんなの？,NA,5位,螺旋貝柱,買う時に「お箸は付けますか？」と聞かれた,66,76.27,Bモンド/ちばらぴ/冷凍トイレ/さむちょ/エントリー/騎士なしゅてん/kla/おが/SkylarK(2)/仮花/けいすけ/くとぅるふ/まんなか/でっていう/俺の部屋だけ北向き(2)/AgeHa/圧倒的な春巻き(3)/ボブ（北陸在住）/ひがその/静と動、そして美(2)/猫宮もあ/大迷宮(3)/業務用虚無(2)/ニューメキシコ/こんよす/制度の隙間/hama(2)/溢れ出る肉汁/小森(2)/りょんこ/小雀長吉/kikori1227/Mr.ホンビノス(2)/ぽむた/みどりうぐいす/もなわ(3)/zinsei(2)/黒胡椒/赤いハイヒールの女/ランチタイムんですよね/^筍^(2)/ハッスル運動会/うえじゅん/なまこP/ハイパーマーケット(3)/T-FOX/投票ボーナス(3)
0952_4367_TWB,2024-05-06,269人,キモい地球儀  どんなの？,NA,6位,石崎,皮膚科で修理する,65,75.61,SST0808(2)/年金/たく/テトラ/瀧山グングニル/素犬/農家/エントリー/おが/SkylarK(2)/くとぅるふ/汗湯/烏天狗/nk/AgeHa/ボルシチ/低血圧(2)/あかしやきいも/業務用虚無(3)/レイルレイル/制度の隙間/プレーン味のワニ/溢れ出る肉汁/小森(3)/レイサム/ずんだれ/完備(2)/んまもんも(2)/しばらくはうに/Mr.ホンビノス(3)/ぽむた/あぐら(2)/赤いハイヒールの女/塩犬/綺麗な形/^筍^(3)/かるろす/のとさわ(2)/鶴bay/工事茶/おきおきひ/ざわやん/💃/つゆだQ/硬いつま先/ボビー/ぶんぶんjk/投票ボーナス(3)
0952_4367_TWB,2024-05-06,269人,キモい地球儀  どんなの？,NA,7位,すこぶるねむい,赤道が脈打ってる,63,74.28,椎茸キング/年金/うかぱちゃん/あ〜ちゃん/枡田アンディ/ばくはり(2)/櫻井二宮相葉大野くん松本/さむちょ/農家/其ノ蜩/仮花(2)/スキャンダル/でっていう/デコピン/墨汁一滴/ボルシチ/ツルミチッ素/業務用虚無(2)/レイルレイル/前菜(2)/溢れ出る肉汁/満天星まいてぃん/薬用入浴剤/ずんだれ/kikori1227/スタントマン体育/ぽむた/生存権🚷/鴨蕎麦/黒胡椒/えいり/かみそん/だかま(2)/Mutsugoro/裕子/どんぐり亭/檸檬堂。、(2)/なまこP/美辞麗句(2)/とめはね(3)/なもすきkiss/フレッツ光と闇(3)/ざわやん/ハイパーマーケット(3)/鯖度80％/つゆだQ/ゑくれあ/投票ボーナス(3)
0952_4367_TWB,2024-05-06,269人,キモい地球儀  どんなの？,NA,7位,迷探亭困難,要冷蔵,63,74.28,年金/テトラ/自動車部員/螺旋貝柱/わたなべいびー/櫻井二宮相葉大野くん松本/新Goo/冷凍トイレ/知性丸出し/ヴァミリ・ドグァ/農家(2)/さかな/ねこライト(2)/其ノ蜩/仮花/けいすけ/でっていう/nk/俺の部屋だけ北向き(3)/AgeHa/ツルミチッ素/Heaven/アスパラ/レイルレイル/ぺね/サンプリ/xtomato/深層心理見放題/kikori1227/ハメ鳥太郎/もなわ/ちぎったレタスもどす/ソバ(2)/あぐら/ハロー注意報/えいり/いりぞう/かみそん/度蔵まぐら/やあ/終電卍/七転び直樹/檸檬堂。、(3)/なまこP/2周年🍵/Yまと/なもすきkiss/シンマイ子/ざわやん/ガリメガネ/射的屋/硬いつま先/さすがに/投票ボーナス(3)
0952_4367_TWB,2024-05-06,269人,キモい地球儀  どんなの？,NA,9位,塩犬,さっきも千葉あった気がする,61,72.95,Bモンド/螺旋貝柱/ねこめんたい/ひよれゐ/わたなべいびー/瀧山グングニル/知性丸出し(2)/ギャル歯科/素犬/騎士なしゅてん/照葉公園(2)/其ノ蜩/俺の部屋だけ北向き/AgeHa/ボブ（北陸在住）/アスパラ/keaf/じゃぱな/小森/棒鉢=テッカ/小雀長吉/ずんだれ/完備/kikori1227/みどりうぐいす/ハロー注意報/えいり/目が百個ついてるおばさん/hakumai4/ハリネズミの時限爆弾/かるろす(2)/のれん/優しい電磁波/どんぐり亭/七転び直樹/うえじゅん/なまこP/2周年🍵/美辞麗句(2)/とめはね(2)/なもすきkiss/ガリメガネ/💃/つゆだQ/水素不足(2)/ぶんぶんjk(2)/受動明王(3)/こんなところにエビチリ(2)/投票ボーナス(3)
0952_4367_TWB,2024-05-06,269人,キモい地球儀  どんなの？,NA,10位,汁物勢,なでられて温暖化する,60,72.29,たく/別府(2)/二階から手続き/ジュルジュル温泉!!/altcolt(3)/たくみす/しすると/エントリー/照葉公園/kla/おが/なんば/9月/でっていう/デコピン(3)/揚げうどん(3)/まさしです(2)/ツルミチッ素/低血圧/業務用虚無(2)/Heaven/ぺね/前菜/hama(2)/満天星まいてぃん/アボラボ/xtomato/manth/ぽむた/ちぎったレタスもどす/練馬のバッタ/けつの園(2)/塩犬/Mutsugoro/やまもん/優しい電磁波/どんぐり亭/七転び直樹/石崎/うえじゅん/鶴bay/シンマイ子/💃/つゆだQ/水素不足/ゑくれあ/投票ボーナス(3)
