お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1166_3795_SBH,2024-05-07,156人,ドッグランで嫌われている犬,NA,1位,Tottoream,昔は警察犬志望だったという話をずっとしている,63,92.52,綺麗な形/射的屋/GAFA買収/J.S.ミル/きれいな市役所/収蔵/NeoBaby/とんでも左大臣(2)/ダァ(3)/とんこつ(2)/Юрий(2)/Pany/スモール陶芸家/元気者/予備のエビフライ/すん(3)/莞爾/ネコョテ(2)/よんろくにーにー/きの/黒田虚弱体質/ささくれ撫ぜ太郎(2)/低血圧/おしりぐみ(2)/jonathan/わるめねこち/別府/くきまる/ちぎったレタスもどす/まめまめデスメタル/あのね/反復横跳び(2)/冠(3)/耳ぶた/スタントマン体育/キザワ/sunshine/ナゲット/春立てる西陣織/しらふじらふ/あなにいれろ(2)/さしみ本部ちゃん/ユーグレナ/謎謎(3)/投票ボーナス(3)
1166_3795_SBH,2024-05-07,156人,ドッグランで嫌われている犬,NA,2位,とんでも左大臣,最後ちょっと流す,53,83.22,あぐら(3)/dekadekado/iiha/射的屋/ボビー/エキスポ万博/満天星まいてぃん/車論/ふぁらお(2)/ダァ/狂ったパン屋さん/ペン/Mutsugoro/予備のエビフライ/たのしいせいかつか/ミニお馬/駆け付け毒三杯/綿白 雪/黒田虚弱体質/あかしやきいも/斎藤(2)/jonathan/別府/9月/ちぎったレタスもどす/なぎぃ/汁物勢/あのね/箱根八里/冠(3)/耳ぶた/スタントマン体育/ひこうき/シンマイ子/ハリネズミの時限爆弾/でかいミニバン/高見盛/赤い髪/こぼれおちないCH/しらふじらふ/さしみ本部ちゃん/サンプリ(2)/けいすけ/投票ボーナス(3)
1166_3795_SBH,2024-05-07,156人,ドッグランで嫌われている犬,NA,3位,うんこのメールアドレス,「ドッグラン界隈」って言う,52,82.29,dekadekado/めんだこ/射的屋/あるくら/ボビー(2)/きらら/J.S.ミル/きれいな市役所/顔刑事/収蔵/車論/Tottoream/NeoBaby(2)/ふぁらお/ダァ/とんこつ/狂ったパン屋さん/Юрий/ペン/しらス/Mutsugoro/元気者/予備のエビフライ/莞爾/よんろくにーにー/合法/ミニお馬/あかしやきいも/汗湯(2)/jonathan(2)/ちぎったレタスもどす/しすると/年金/バカンタロス/汁物勢/しょうりゅー/こんよす/シンマイ子/Y-Not/キザワ/卯月金曜(3)/ナゲット(2)/赤い髪/さしみ本部ちゃん/ユーグレナ
1166_3795_SBH,2024-05-07,156人,ドッグランで嫌われている犬,NA,4位,ネコョテ,汚れたら他の犬で拭く,47,77.64,dekadekado/あ〜ちゃん/静と動、そして美/エキスポ万博/J.S.ミル/きれいな市役所/車論/乾布抹殺(2)/弟子鈴/長老_M/ペン/しらス/スモール陶芸家/いのり・人権思想の子/よんろくにーにー/駆け付け毒三杯(2)/二階から手続き/石綿アスベスト/あかしやきいも/汗湯/鼻腔炭酸/さすけのお兄/低血圧/jonathan(2)/別府/ちぎったレタスもどす/懐ヒロイン(2)/箱根八里/かにみそじろう(3)/しょうりゅー/シンマイ子/Y-Not/sunshine/やまもん/こぼれおちないCH/しらふじらふ/さしみ本部ちゃん/インノケンティウス/投票ボーナス(3)
1166_3795_SBH,2024-05-07,156人,ドッグランで嫌われている犬,NA,5位,汗湯,インコースから抜く,45,75.78,ネコパン/あ〜ちゃん/射的屋/静と動、そして美(2)/ハンペ/車論(2)/アスパラ/NeoBaby/ふぁらお/ダァ/自動車部員/ポャチ/予備のエビフライ/合法/ミニお馬/二階から手続き/能動的三半規管/斎藤/おしりぐみ(2)/jonathan/わるめねこち/ちぎったレタスもどす/懐ヒロイン(2)/しすると/なぎぃ/箱根八里/星ドッラ/xtomato/スタントマン体育/シンマイ子/高見盛/ナゲット/hiha/赤い髪/しらふじらふ(2)/サンプリ/めつぶし/投票ボーナス(3)
1166_3795_SBH,2024-05-07,156人,ドッグランで嫌われている犬,NA,6位,あまちゃんIII,本気の走りを笑う,44,74.85,射的屋(2)/GAFA買収/なんば/満天星まいてぃん/車論/乾布抹殺/Tottoream/アスパラ/とんでも左大臣/ダァ/素犬/予備のエビフライ/駆け付け毒三杯(2)/鳩胸(2)/めがね/石綿アスベスト/低血圧/おしりぐみ/ちぎったレタスもどす/まめまめデスメタル/年金/バカンタロス/汁物勢/かにみそじろう/黒胡椒/耳ぶた/xtomato/ひこうき/sunshine/高見盛/hiha/やまもん/こぼれおちないCH/もりそば/さしみ本部ちゃん/サンプリ/ブルンジ刀(2)/投票ボーナス(3)
1166_3795_SBH,2024-05-07,156人,ドッグランで嫌われている犬,NA,7位,きらら,「やむなく」みたいな顔してる,41,72.06,dekadekado/エキスポ万博/満天星まいてぃん/きれいな市役所/顔刑事/収蔵/NeoBaby/ふぁらお(2)/弟子鈴/長老_M/素犬/Pany(2)/Mutsugoro/元気者/莞爾/ミニお馬/あまちゃんIII/鳩胸(2)/黒田虚弱体質/ささくれ撫ぜ太郎(2)/あかしやきいも/斎藤/9月/懐ヒロイン(3)/年金/耳ぶた/シンマイ子/wanumayu(2)/しらふじらふ/ブルンジ刀/謎謎/投票ボーナス(3)
1166_3795_SBH,2024-05-07,156人,ドッグランで嫌われている犬,NA,7位,浅葱色,「デッグレン」って言ってる,41,72.06,あぐら/naruoda/あるくら(3)/満天星まいてぃん/きらら/J.S.ミル/車論/アスパラ/NeoBaby/弟子鈴/ダァ/ペン/スモール陶芸家/Mutsugoro/元気者/莞爾/よんろくにーにー/二階から手続き/黒田虚弱体質/あかしやきいも/おしりぐみ(3)/ちぎったレタスもどす/おいかぜアルファ/なぎぃ/かにみそじろう(2)/しょうりゅー/耳ぶた/ひこうき/卯月金曜/でかいミニバン/ナゲット(3)/wanumayu(2)/もりそば
1166_3795_SBH,2024-05-07,156人,ドッグランで嫌われている犬,NA,9位,冠,本気で走ってる犬を笑う,40,71.13,あぐら/dekadekado/あ〜ちゃん/静と動、そして美(2)/なんば/きれいな市役所/収蔵/車論/Tottoream/アスパラ/とんでも左大臣/ダァ/狂ったパン屋さん/元気者/予備のエビフライ/鳩胸(2)/ささくれ撫ぜ太郎/能動的三半規管/低血圧/jonathan(2)/別府/おいかぜアルファ/年金/汁物勢/反復横跳び/耳ぶた/スタントマン体育/ひこうき/sunshine/高見盛/やまもん/こぼれおちないCH/さしみ本部ちゃん/サンプリ/投票ボーナス(3)
1166_3795_SBH,2024-05-07,156人,ドッグランで嫌われている犬,NA,10位,めがね,全力で走るのをダサいと思っている,38,69.27,dekadekado/ボビー(2)/きらら(2)/きれいな市役所/Tottoream/Юрий(2)/ポャチ/よんろくにーにー/斎藤(2)/さすけのお兄/こどく共和国/おしりぐみ/わるめねこち/ちぎったレタスもどす/なぎぃ/あのね/反復横跳び(2)/黒胡椒/しょうりゅー/スタントマン体育/シンマイ子/Y-Not/キザワ/sunshine/高見盛/やまもん/もりそば/サンプリ/謎謎(2)/投票ボーナス(3)
