お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0477_4374_AOX,2024-05-08,129人,道路のアンチ,NA,1位,二佐,どこまでがお前なんだよ,53,90.48,ポリナマズ/nk/むらさき/ハッピー対策/石井健太/つゆだQ/Y-Not/理屈も法律も通さない(3)/AIすべりすと/やる/あららうね/アズマ(2)/ぺね/知り合い/ところがどっこい/大体いつも眠い人/優しい電磁波/二塁シャチ/あまちゃんIII/美辞麗句/シャロン(2)/のうのみそ/インペリアルおじさん(2)/愛²/ぐらにゅー糖/KCO/ささくれ/蓮丸(2)/長老_M/橄欖/💃(2)/津浦/高見盛/坂間/絡まるマカロン/くいてー/ダァ/親のたたき/躍遊夜(3)/小倉パンケーキ/35/投票ボーナス(3)
0477_4374_AOX,2024-05-08,129人,道路のアンチ,NA,2位,アズマ,「みちみち」って読めるのキモい,45,81.84,むらさき/前菜/一本松(2)/石井健太(3)/かぱぱんつ(3)/瞳の中の遣隋使/チムポコヤマシタ/やる/ところがどっこい/座談会/ito(2)/いりぞう/マルヤマ/よしだ/黒氏幽/にこらす二郎(2)/藍殿TT/蓮丸/あかのすけ(2)/紆余曲折/絡まるマカロン/ハクシャバノビッチ(2)/小雀長吉/ダァ/ナゲット(3)/t_k_1216/親のたたき/ロンパ/躍遊夜/こんよす/豚きのこの炒め物/投票ボーナス(3)
0477_4374_AOX,2024-05-08,129人,道路のアンチ,NA,3位,EPOCALC,一番痛いスパイクをください,39,75.36,ポリナマズ(2)/でっていう/うぃーーらんど(3)/ハッピー対策/Y-Not/鴨とサイコロ(2)/ちぇみちぇみ！/やる/無地/あららうね(2)/たこかいな(2)/部分点/いりぞう/冷凍トイレ/二佐(2)/ぐらにゅー糖/KCO/藍殿TT/ノニバス(2)/空力/スモール陶芸家/zinsei(2)/ハクシャバノビッチ/小雀長吉/オードリーカットバーン/親のたたき/慢性鼻炎/投票ボーナス(3)
0477_4374_AOX,2024-05-08,129人,道路のアンチ,NA,4位,ぐらにゅー糖,「止まってください」だろ,36,72.12,むらさき/つゆだQ/戌亥/知り合い/タックル(3)/覇道きてぃ/桜桃/優しい電磁波/部分点/座談会/梅雨生まれ/いりぞう/美辞麗句/インペリアルおじさん/仮花/この後クリーム砲/ささくれ/蓮丸/橄欖/新橋バシバシ/絡まるマカロン/でびるながい/スモール陶芸家/zinsei(2)/くいてー/t_k_1216/ロンパ/hamachi(2)/こんよす/投票ボーナス(3)
0477_4374_AOX,2024-05-08,129人,道路のアンチ,NA,5位,ちぇみちぇみ！,でかい一本でいいだろ,34,69.96,nk/^筍^/つゆだQ/Y-Not/鴨とサイコロ/瞳の中の遣隋使/やる/優しい電磁波(2)/部分点/二塁シャチ/マルヤマ/汗湯/インペリアルおじさん/愛²/冷凍トイレ/しらふじらふ/空力(2)/えちえち/ぶんぶんjk(2)/小雀長吉/ダァ/オードリーカットバーン/実名希望/祟り君/hamachi(3)/こんよす/投票ボーナス(3)
0477_4374_AOX,2024-05-08,129人,道路のアンチ,NA,5位,小雀長吉,コイツずっと続いてんな,34,69.96,むらさき/前菜/^筍^(3)/ヒルマ/瞳の中の遣隋使/あまちゃんIII/美辞麗句(2)/汗湯(2)/のうのみそ/愛²/この後クリーム砲/ぐらにゅー糖/蓮丸/長老_M/💃/津浦/チワワBロック(3)/ねこライト(2)/絡まるマカロン/スタントマン体育/ダァ/ささくれ撫ぜ太郎/オードリーカットバーン/親のたたき/投票ボーナス(3)
0477_4374_AOX,2024-05-08,129人,道路のアンチ,NA,7位,あららうね,『止まってください』だろ？,32,67.8,ハッピー対策/はちわれ/つゆだQ/知り合い/覇道きてぃ/桜桃/後悔しない名前を付けよう/部分点/座談会/梅雨生まれ/いりぞう/美辞麗句/のうのみそ/仮花/しらふじらふ/ロビンろびん/タスマニアファミリー(2)/蓮丸/橄欖/チワワBロック/絡まるマカロン/驫鵬彈/くいてー/実名希望/t_k_1216/hamachi(2)/豚きのこの炒め物/投票ボーナス(3)
0477_4374_AOX,2024-05-08,129人,道路のアンチ,NA,7位,津浦,車とか好きそう,32,67.8,むらさき(2)/ヒルマ/つゆだQ/Y-Not/ちぇみちぇみ！/瞳の中の遣隋使/あららうね(2)/たこかいな/梅雨生まれ/あまちゃんIII/のうのみそ/ビニ暖/やたら/冷凍トイレ/この後クリーム砲/藍殿TT/蓮丸/高見盛/ねこライト/早稲川/ハクシャバノビッチ/くいてー/祟り君(3)/t_k_1216/35/投票ボーナス(3)
0477_4374_AOX,2024-05-08,129人,道路のアンチ,NA,9位,DAKARA,どうせローマに繋がってるんだろ,31,66.72,^筍^/一本松/うぃーーらんど(2)/ハッピー対策/鴨とサイコロ/無地/あららうね/知り合い/ところがどっこい/二塁シャチ/いりぞう/美辞麗句/ビニ暖/蓮丸(2)/コオロギ/紆余曲折/津浦(2)/坂間/ハクシャバノビッチ/実名希望(2)/Houston/ナゲット/hamachi/こんよす/投票ボーナス(3)
0477_4374_AOX,2024-05-08,129人,道路のアンチ,NA,10位,35,実質お前が起こした事故,30,65.64,前菜/うぃーーらんど/瞳の中の遣隋使/AIすべりすと/やる/アズマ/知り合い/たこかいな(3)/優しい電磁波/シャロン/のうのみそ/仮花(2)/スポーツバッグ(2)/愛²/この後クリーム砲/二佐/藍殿TT/蓮丸/津浦/高見盛/でびるながい/ぶんぶんjk/くいてー/投票ボーナス(3)
0477_4374_AOX,2024-05-08,129人,道路のアンチ,NA,10位,梅雨生まれ,誰の家にも通じてるの怖い,30,65.64,nk/前菜/一本松/ヒルマ/はちわれ/石井健太/Y-Not/鴨とサイコロ/ちぇみちぇみ！/瞳の中の遣隋使(2)/AIすべりすと/桜桃/優しい電磁波/二塁シャチ/シャロン(3)/仮花/蓮丸/驫鵬彈/早稲川/ハクシャバノビッチ/小雀長吉/オードリーカットバーン/Matchart(2)/投票ボーナス(3)
0477_4374_AOX,2024-05-08,129人,道路のアンチ,NA,12位,たこかいな,お前もどうせ繋がってんだろ,29,64.56,むらさき(2)/鴨とサイコロ/AIすべりすと/やる/無地/あららうね/ところがどっこい/部分点/座談会/二塁シャチ/美辞麗句(3)/KCO/藍殿TT/蓮丸/橄欖/紆余曲折/坂間/ねこライト/スタントマン体育/空力/ぶんぶんjk/ささくれ撫ぜ太郎/35/投票ボーナス(3)
0477_4374_AOX,2024-05-08,129人,道路のアンチ,NA,13位,ささくれ撫ぜ太郎,まだ舗装前の時の写真を延々とリプしてくる,28,63.48,ポリナマズ(2)/でっていう/うぃーーらんど/ハッピー対策/戌亥/後悔しない名前を付けよう(3)/やたら/ロビンろびん/藍殿TT/蓮丸/コオロギ/弓使い(3)/坂間(2)/チワワBロック(3)/早稲川/zinsei(2)/投票ボーナス(3)
0477_4374_AOX,2024-05-08,129人,道路のアンチ,NA,13位,優しい電磁波,「🥉足各」という伏せ字が使われてる,28,63.48,ポリナマズ/かぱぱんつ/戌亥/理屈も法律も通さない/チムポコヤマシタ/無地/あららうね/後悔しない名前を付けよう/蓮丸/コオロギ(3)/ノニバス/橄欖/新橋バシバシ/弓使い/でびるながい/EPOCALC/ダァ/実名希望/慢性鼻炎(3)/Matchart(2)/投票ボーナス(3)
0477_4374_AOX,2024-05-08,129人,道路のアンチ,NA,13位,瞳の中の遣隋使,どっか曲がってんだよな,28,63.48,ヒルマ/ちぇみちぇみ！/戌亥/AIすべりすと/アズマ(2)/覇道きてぃ/桜桃/大体いつも眠い人/たこかいな/部分点/汗湯(2)/シャロン(2)/やたら/高見盛/坂間/ねこライト/でびるながい/くいてー/ダァ/祟り君(2)/こんよす/投票ボーナス(3)
