お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1417_5604_FYC,2024-05-09,105人,なぜ私が犯人だと分かったんですか？,NA,1位,へきさまる,さっきから「惜しい！」とか言ってる,37,80.17,しゃくとめ/ポニータ.png/あさなまら(2)/hoshi1__life/七転び直樹/ほろほろ/硬いつま先/なまこP/揚げたてメンチメン/フユフク/こんよす/亜寒帯/アホランド(3)/naruoda/ユタ看護専門学校あるある/理科インターネット(2)/unknown/のお/すぎり/赤ドラの嶺上クス/ヒト/しわしわの和紙/中川圭一/ミズイチ/残り湯ごくごく丸/滅相もない/akiradio/ノコノコdeath/ブルンジ刀(2)/投票ボーナス(3)
1417_5604_FYC,2024-05-09,105人,なぜ私が犯人だと分かったんですか？,NA,2位,ぐれいそん,なんかゾーン入ってて,36,78.87,冷食パスタレビュー/shaman/めっけもん/ジェンツーペンギン/少しだけ賢い/あさなまら/躍遊夜/ねこライト(2)/ほんまや他人行儀/たまご兄貴/揚げたてメンチメン/ユタ看護専門学校あるある/理科インターネット/ノニバス(2)/unknown/山本 瑛太/副菜(2)/hama(3)/ねこめんたい/へきさまる/hummun/くすも/しわしわの和紙/ミズイチ/残り湯ごくごく丸/みらきの/白昼ドードー/ポリエステルの産物/投票ボーナス(3)
1417_5604_FYC,2024-05-09,105人,なぜ私が犯人だと分かったんですか？,NA,3位,unknown,犯行は完璧だった。ほら嬉しそう,34,76.25,しゃくとめ/空力(2)/声にならないSOS/hoshi1__life/ねこライト/硬いつま先/なまこP/揚げたてメンチメン/えつこちゃん(2)/こんよす/ユタ看護専門学校あるある/ノニバス/のお/からかい上手の未亡人(3)/手檻阿/ひとくち肉/小倉パンケーキ/ロラン/新Goo/drzz/赤ドラの嶺上クス/相良他苗/ちゃ柴/犬ヒロシ/しわしわの和紙/akiradio/ランゲル･ハンス/投票ボーナス(3)
1417_5604_FYC,2024-05-09,105人,なぜ私が犯人だと分かったんですか？,NA,4位,犬ヒロシ,ゲストにしては大御所すぎる,33,74.94,野良猫ヅツキ/冷食パスタレビュー/しゃくとめ/番場/hamachi/あの時のペリー/硬いつま先/なまこP/フユフク(2)/こんよす/ひとくち肉/ヘススちゃん/ロラン/ブレーキランプ5回点滅/盗塁/drzz/ヒト/まちょ/ネコョテ/へきさまる/hummun/しわしわの和紙(2)/ミズイチ/なめっこ/akiradio/ノコノコdeath(2)/ドあお/投票ボーナス(3)
1417_5604_FYC,2024-05-09,105人,なぜ私が犯人だと分かったんですか？,NA,5位,ロラン,狙撃スコープの日焼け跡ついてる,32,73.63,野良猫ヅツキ/美辞麗句(2)/躍遊夜(2)/ほんまや他人行儀/突撃ひとり/硬いつま先/morisho/理科インターネット(2)/すこぶるねむい(2)/ひとくち肉(2)/小倉パンケーキ/新Goo/まちょ/wzog/hummun/KWGhost(3)/中川圭一/ミズイチ/なめっこ(2)/滅相もない/9月/投票ボーナス(3)
1417_5604_FYC,2024-05-09,105人,なぜ私が犯人だと分かったんですか？,NA,6位,しわしわの和紙,予定聞いた時にアリバイって言った,31,72.33,野良猫ヅツキ/しゃくとめ/レン(2)/枠の外/少しだけ賢い/あさなまら(2)/ほろほろ/N.G.S(3)/morisho/なまこP/こんよす/亜寒帯/ユタ看護専門学校あるある/ひとくち肉(2)/すぎり/drzz/wzog(2)/hummun/KWGhost(3)/みらきの/投票ボーナス(3)
1417_5604_FYC,2024-05-09,105人,なぜ私が犯人だと分かったんですか？,NA,7位,ヘススちゃん,これ再放送ですし,28,68.4,枠の外/美辞麗句(2)/七転び直樹/ほろほろ/あの時のペリー/なまこP/フユフク/アホランド(2)/naruoda/ユタ看護専門学校あるある/あかのすけ/小倉パンケーキ(2)/あまちゃん(2)/赤ドラの嶺上クス/まちょ/すずきひろみ/くすも/工事茶/残り湯ごくごく丸/ランゲル･ハンス/ドあお/投票ボーナス(3)
1417_5604_FYC,2024-05-09,105人,なぜ私が犯人だと分かったんですか？,NA,8位,ノコノコdeath,「面白い推理ですね、探偵さん」の練習してるとこ見た,26,65.79,hamachi(3)/hoshi1__life/躍遊夜/硬いつま先/こんよす/亜寒帯/アホランド/ユタ看護専門学校あるある/すこぶるねむい/ぐれいそん/おと/drzz/hama(2)/まちょ/hummun/しわしわの和紙/ミズイチ/滅相もない/おしりぐみ/ランゲル･ハンス/投票ボーナス(3)
1417_5604_FYC,2024-05-09,105人,なぜ私が犯人だと分かったんですか？,NA,9位,たまご兄貴,いろんな結び方を知ってる,25,64.48,shaman/izumi_/めっけもん/ジェンツーペンギン/ねこライト/ほんまや他人行儀/硬いつま先/あかのすけ/からかい上手の未亡人(2)/ぐれいそん/副菜(3)/まちょ/中川圭一/みらきの/白昼ドードー/ポリエステルの産物(2)/akiradio/ノコノコdeath/投票ボーナス(3)
1417_5604_FYC,2024-05-09,105人,なぜ私が犯人だと分かったんですか？,NA,9位,櫻井二宮相葉大野くん松本,モブ役にしては著名な俳優,25,64.48,しゃくとめ/レン/番場/美辞麗句/七転び直樹/よしだ/なまこP/肉団子増し増し/のお/手檻阿/ひとくち肉/ヘススちゃん/あまちゃん/ブレーキランプ5回点滅/drzz/ヒト/hummun/しわしわの和紙/なめっこ/おしりぐみ(2)/ドあお/投票ボーナス(3)
