お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0369_3321_OFT,2024-05-18,134人,探偵「犯人はこの中にいる！」アホ犯人「○○○」,NA,1位,GRay,絞れてはない感じですか,42,83.8,野島久助/無毛猫/魚粉/ブンカサイブンコボン(3)/我乱童/ジャイロ/工事茶/許して/ボルシチ/黒胡椒/のうのみそ/hummun/ねmu/ビニ暖/ナロル/妃大古墳/冷凍トイレ/ゃまゃま/座談会/かぱぱんつ(3)/しわしわの和紙(2)/ブラジリアーン柔術/ノコノコdeath/静と動、そして美/入れ歯型乳歯/ウーパールーパー哲学/烏天狗/ゆめみ/桜井赤/ちぎったレタスもどす/Pany(3)/ハリネズミの時限爆弾/投票ボーナス(3)
0369_3321_OFT,2024-05-18,134人,探偵「犯人はこの中にいる！」アホ犯人「○○○」,NA,2位,ﾊｽ,はわわわ,36,76.14,野島久助/弟子鈴/許して/ぺんぺるの/コハ(3)/予備のエビフライ/りくがめ/さいころちゃらみん/ネクストン/きゅーきゅー/hummun/らうかった/ビニ暖/ノニバス/座談会(2)/荒ぶる波平/しわしわの和紙/さんれん/後悔しない名前を付けよう(2)/あると/今、肘のとき/静と動、そして美/月見里/そよかぜ/ゆめみ/桜井赤/ジェンツーペンギン/なゆた(2)/投票ボーナス(3)
0369_3321_OFT,2024-05-18,134人,探偵「犯人はこの中にいる！」アホ犯人「○○○」,NA,3位,きゅーきゅー,話題変えよう,34,73.58,森さんです。/無毛猫(2)/ぎゃら/我乱童/ジャイロ/弟子鈴/GRay/ﾊｽ/ハンペ/黒胡椒/ネクストン/4L(2)/のうのみそ/みらきの(2)/Candy?/ばあちゃんのへそのごま/hummun/未来コオロギ(2)/らうかった/アーバンストリート/ツートンツトム/黒氏幽/トップバリュ/723/しわしわの和紙/ゆめみ/ハム/投票ボーナス(3)
0369_3321_OFT,2024-05-18,134人,探偵「犯人はこの中にいる！」アホ犯人「○○○」,NA,4位,Y-Not,部分点あげます,33,72.3,無毛猫/Mr.ホンビノス/ジャイロ(2)/GRay/ぺんぺるの/ハ生ム/予備のエビフライ/gas/のうのみそ/さかまろ/マービィ/紆余曲折/ツートンツトム(2)/黒氏幽/雲ひとつない撒き餌/ゃまゃま/座談会(2)/かぱぱんつ/ごじょう　さとらない/後悔しない名前を付けよう/あると/monika/ゆめみ/ちぎったレタスもどす/Pany/なゆた(2)/投票ボーナス(3)
0369_3321_OFT,2024-05-18,134人,探偵「犯人はこの中にいる！」アホ犯人「○○○」,NA,4位,gas,だから呼ばれたのか,33,72.3,野島久助/無毛猫/魚粉/ぎゃら/モロヘイヤ/ハ生ム/ボルシチ/ネクストン/みらきの/きゅーきゅー/しっとり経済学(3)/紆余曲折/らうかった/冷凍トイレ/座談会(2)/723/爆ぜるチーズ/あると/バジルごはん/入れ歯型乳歯/月見里/烏天狗/そよかぜ/ゑくれあ/桜井赤/例の深海狐/ハリネズミの時限爆弾/投票ボーナス(3)
0369_3321_OFT,2024-05-18,134人,探偵「犯人はこの中にいる！」アホ犯人「○○○」,NA,6位,ノニバス,探偵もこの中にいるぞ！,32,71.03,森さんです。/無毛猫/我乱童/少々/許して/ﾊｽ/ハンペ/gas/4L/のうのみそ/みらきの/きゅーきゅー/Candy?/おぅでぃだんだん/未来コオロギ/マービィ/ビニ暖/黒氏幽/ナロル/めっけもん/すん/トップバリュ(3)/爆ぜるチーズ/後悔しない名前を付けよう/入れ歯型乳歯/monika/ゑくれあ/投票ボーナス(3)
0369_3321_OFT,2024-05-18,134人,探偵「犯人はこの中にいる！」アホ犯人「○○○」,NA,6位,ブンカサイブンコボン,おや、私はまだ「殺した」とは言ってませんよ,32,71.03,弟子鈴/数ニー/許して(2)/南京錠解除(3)/ぺんぺるの/ハ生ム/冷食パスタレビュー/さかまろ(2)/まさしです(2)/ばあちゃんのへそのごま(3)/hummun/にぎにぎサンドイッチ/ナロル/つくりん/口語豆腐/ペン/しわしわの和紙/さもん/ノコノコdeath/月見里/烏天狗/ハリネズミの時限爆弾/投票ボーナス(3)
0369_3321_OFT,2024-05-18,134人,探偵「犯人はこの中にいる！」アホ犯人「○○○」,NA,8位,無毛猫,こっち見て言えよ,31,69.75,世界の牛肉/ボルシチ/ネクストン/Bランク/未来コオロギ(2)/マービィ/ツートンツトム/雲ひとつない撒き餌/ゃまゃま/ババア塚ハゲ被弾/つくりん/723/福井とマルコ/さんれん/バジルごはん/いちゃこら/今、肘のとき(2)/入れ歯型乳歯/月見里(3)/monika/そよかぜ/Y-Not/ハム/ジェンツーペンギン/投票ボーナス(3)
0369_3321_OFT,2024-05-18,134人,探偵「犯人はこの中にいる！」アホ犯人「○○○」,NA,9位,りくがめ,サビ来た,30,68.47,野島久助/ぎゃら/我乱童(3)/灰色こたつ/Mr.ホンビノス/モロヘイヤ(2)/許して/GRay/ボルシチ/コハ/さいころちゃらみん/黒胡椒/4L/きゅーきゅー/らうかった/めっけもん/ゃまゃま/ノニバス/後悔しない名前を付けよう/ノコノコdeath/そよかぜ/ゑくれあ/Y-Not/例の深海狐/投票ボーナス(3)
0369_3321_OFT,2024-05-18,134人,探偵「犯人はこの中にいる！」アホ犯人「○○○」,NA,10位,トップバリュ,ちょっと待ってまだ顔作れてない,29,67.2,BFGH/森さんです。/無毛猫(2)/魚粉/我乱童/Mr.ホンビノス/弟子鈴/モロヘイヤ(2)/ハンペ/黒胡椒/スイートランド/hummun/泥のぷーまん/ビニ暖/卯月金曜/ナロル/妃大古墳(3)/ババア塚ハゲ被弾/ポニータ.png/入れ歯型乳歯/ちぎったレタスもどす/ハリネズミの時限爆弾/投票ボーナス(3)
