お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0871_8977_JIM,2024-05-22,130人,ライオンが百獣の王となるまでにこんな苦労があった,NA,1位,カフラマン,テクニカルな勝ち方が非難される,48,87.2,こんがりきつね色/突然及川/KZY/猫をこねこね/つくりん/drzz/さいふぉん/わんぱく大盛カレーライス/ふふふん/えつこちゃん/keaf/ぎゃら/四肢漢字/玄の字。/ゴセン(3)/ベリー/なしん/無地/のそう(3)/ちるだ/我乱童/描画転々(2)/jomajoma(2)/まちょ/なかたけ(2)/さしみ本部ちゃん/赤い髪/ラーギ/あなにいれろ(2)/干し柿/狂ったパン屋さん/ピカイア/仮花/シンマイ子/机上で実演/じゃぱな/なまこP/投票ボーナス(3)
0871_8977_JIM,2024-05-22,130人,ライオンが百獣の王となるまでにこんな苦労があった,NA,2位,ジャイロ,手続きで日曜が終わった,44,82.73,猛毒タルトタタン/こんがりきつね色/懐かしむ会/heena(3)/突然及川/あかしやきいも/Nrock/むらさき/サンプリ/じゃー/さいふぉん/豆腐/キスいわし/ところがどっこい/わんぱく大盛カレーライス(2)/珍百景のクロ/えつこちゃん/GYAI/ぎゃら/玄の字。/韋駄天/ゴセン/ごまもなか/メジャー/我乱童/poincurry/jomajoma(2)/ビニ暖/ヤマザキローソン/赤い髪/なぎぃ/田舎のイルカ/女将/シンマイ子/石原消し炭/街メロン/なまこP/投票ボーナス(3)
0871_8977_JIM,2024-05-22,130人,ライオンが百獣の王となるまでにこんな苦労があった,NA,3位,ぎゃら,医者から野菜も食えと言われた,41,79.38,猛毒タルトタタン/懐かしむ会/heena/あかしやきいも/むらさき/TGTRK/早芽ねる/天戸屋不成(3)/バジルごはん/さゆわうが(2)/平凡ぽんち/イステーブール/豆腐/ふふふん/えつこちゃん/GYAI/玄の字。/ゴセン/ベリー/ごまもなか/jomajoma/ビニ暖/ヤマザキローソン/まちょ/tuno/顔刑事/ジャイロ/右足/石原消し炭/机上で実演/アイム ピーナツ/じゃぱな/ゃまゃま/街メロン/なまこP/投票ボーナス(3)
0871_8977_JIM,2024-05-22,130人,ライオンが百獣の王となるまでにこんな苦労があった,NA,4位,KZY,110の王だと思い込んで存在しない10匹をずっと探していた,38,76.04,MODY/こんがりきつね色/もりそば/ねmu(2)/湿地/TGTRK(2)/大容量/joe(2)/天戸屋不成/コギー/ポリエチレングリコール(3)/べじたぼ/ところがどっこい(2)/えつこちゃん(2)/ごまもなか/なしん/さもん/描画転々/まちょ/きの/真似き猫/ピカイア(2)/アイム ピーナツ/ゃまゃま/まさしです(2)/なまこP/投票ボーナス(3)
0871_8977_JIM,2024-05-22,130人,ライオンが百獣の王となるまでにこんな苦労があった,NA,4位,四川炒飯,役所でたらい回しにされた,38,76.04,ツアラー爺/MODY/こんがりきつね色(2)/もりそば(2)/KZY/猫をこねこね/ねmu(2)/湿地/じゃー/けいすけ/キスいわし/しょうりゅー/珍百景のクロ/えつこちゃん/GYAI/ぎゃら/玄の字。/韋駄天/カフラマン/鞄オールスターズ/jomajoma/ヤマザキローソン/まちょ/PD/狂ったパン屋さん/ピカイア/女将/シンマイ子/ジャイロ/石原消し炭/机上で実演/アイム ピーナツ/ゃまゃま/天国かラスベガス/石テクノロジー
0871_8977_JIM,2024-05-22,130人,ライオンが百獣の王となるまでにこんな苦労があった,NA,6位,keaf,数字にこだわるやつは二流だと言われた,36,73.8,heena(2)/猫をこねこね/つくりん/サンプリ/バタチキランラン ラン/天戸屋不成(2)/豆腐(2)/しょうりゅー/べじたぼ/GYAI/ゴセン/クープラン/のそう(2)/我乱童/なかたけ(2)/きの/さしみ本部ちゃん/赤い髪/ラーギ/tuno(2)/なぎぃ/仮花(2)/顔刑事/アイム ピーナツ/ゃまゃま/まさしです/投票ボーナス(3)
0871_8977_JIM,2024-05-22,130人,ライオンが百獣の王となるまでにこんな苦労があった,NA,7位,Nrock,配ったビラが踏まれてた,32,69.34,ドライアドの井村屋/猛毒タルトタタン/こんがりきつね色/突然及川/KZY/湿地/むらさき/じゃー/さいふぉん/けいすけ/ふふふん/珍百景のクロ/えつこちゃん/GYAI/NeoBaby/韋駄天/なしん/鞄オールスターズ/まちょ/ラーギ/PD/tuno/狂ったパン屋さん/シンマイ子/石原消し炭/机上で実演/天国かラスベガス/石テクノロジー/なまこP/投票ボーナス(3)
0871_8977_JIM,2024-05-22,130人,ライオンが百獣の王となるまでにこんな苦労があった,NA,8位,GYAI,卒論を山羊に食べられた,30,67.1,突然及川/KZY/ねmu/サンプリ/大容量/天戸屋不成/バジルごはん/さいふぉん/キスいわし/こどく共和国/NeoBaby/四肢漢字/玄の字。/ゴセン(2)/カフラマン/氷臥/ビニ暖/干し柿/真似き猫/右足/じゃぱな/ゃまゃま/ねこライト/街メロン/まさしです/石テクノロジー/投票ボーナス(3)
0871_8977_JIM,2024-05-22,130人,ライオンが百獣の王となるまでにこんな苦労があった,NA,9位,なまこP,可愛く描かれても我慢する,29,65.99,猛毒タルトタタン/懐かしむ会/突然及川/猫をこねこね/Nrock/湿地/むらさき/じゃー/バジルごはん/さいふぉん/平凡ぽんち/珍百景のクロ/NeoBaby(2)/ぎゃら/ゴセン/なしん(2)/ビニ暖/ラーギ/シンマイ子/顔刑事/右足/ゃまゃま/天国かラスベガス/街メロン/投票ボーナス(3)
0871_8977_JIM,2024-05-22,130人,ライオンが百獣の王となるまでにこんな苦労があった,NA,10位,さいふぉん,リスのパシリから始まった,28,64.87,ツアラー爺/懐かしむ会/もりそば(2)/heena(2)/あかしやきいも/つくりん/TGTRK/バジルごはん/さゆわうが/たけみ(2)/コギー/こどく共和国/ところがどっこい/GYAI/さもん/メジャー/ちるだ/さしみ本部ちゃん/ゃまゃま/石テクノロジー(2)/なまこP/投票ボーナス(3)
