お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0600_1577_ACT,2024-05-25,88人,両チームとも引き分けを目指しているサッカーの試合,NA,1位,hama,あと点決めてない人いるー？,36,88.44,えちえち/BFGH/ペン/横川平志/ますく/オコヅ/なしん/QBEAT/枠の外/煮込みVUITTON/ちぇみちぇみ！/T-FOX/omoti/あんぐら/無毛猫(2)/アーバンストリート/めが/理科インターネット/パンケッチ/目につく男/ほろほろ/何奴/灰色こたつ/ちんてる/杏樹/おいろたゆや(3)/マチルダ少佐/素潜りドーナツ/睡眠不足M/いちゃこら/投票ボーナス(3)
0600_1577_ACT,2024-05-25,88人,両チームとも引き分けを目指しているサッカーの試合,NA,2位,やきとり,無限１upみたいな時間ある,28,75.26,えちえち/ななみやま/副菜/オコヅ/氷点下/エキスポ万博(2)/なしん/煮込みVUITTON/omoti(2)/ドリアン抹茶/らばん号/ノニバス/百show/2周年🍵/R🍊(3)/杏樹/wanumayu(2)/後悔しない名前を付けよう/コックカワサキ/遠視/投票ボーナス(3)
0600_1577_ACT,2024-05-25,88人,両チームとも引き分けを目指しているサッカーの試合,NA,2位,無毛猫,誰かのせいで白熱する,28,75.26,なまこP/副菜(2)/QBEAT/ちぇみちぇみ！/テトラ/T-FOX/omoti/愛²/ドリアン抹茶/天国かラスベガス(2)/こんぺいとう雑誌/ノニバス(3)/百show(2)/てー/自動車部員/何奴/コックカワサキ/ぷるちぽん/寿司ランチ/おきおきひ/投票ボーナス(3)
0600_1577_ACT,2024-05-25,88人,両チームとも引き分けを目指しているサッカーの試合,NA,4位,おきおきひ,相手の指示を待つ,24,68.67,なまこP/副菜/ジェリー・ライス/エキスポ万博/ちぇみちぇみ！/omoti/愛²/aika/guniguni(2)/ぺね(2)/さんそ/百show(2)/てー/three-all/何奴/ここはが/睡眠不足M/遠視/投票ボーナス(3)
0600_1577_ACT,2024-05-25,88人,両チームとも引き分けを目指しているサッカーの試合,NA,5位,てー,決めたチームも抗議してる,23,67.03,なまこP/ペン/ますく/なしん/煮込みVUITTON/無毛猫/愛²/aika/パーくん/天国かラスベガス/ASAP/目につく男/こどおに/ほろほろ/three-all/杏樹/ぷらちん/コックカワサキ/じす/くとぅるふ/投票ボーナス(3)
0600_1577_ACT,2024-05-25,88人,両チームとも引き分けを目指しているサッカーの試合,NA,5位,ペン,審判がいちばん走ってる,23,67.03,なまこP/しとてて/ミスターはつよ/T-FOX/omoti/無毛猫(2)/おやつのピーナッツ/aika/guniguni/ドリアン抹茶/さんそ/百show/目につく男/どんぶらこねこ/マチルダ少佐/素潜りドーナツ/ここはが/おきおきひ/いちゃこら/投票ボーナス(3)
0600_1577_ACT,2024-05-25,88人,両チームとも引き分けを目指しているサッカーの試合,NA,7位,ここはが,同じロッカールームから出てきた,22,65.38,えちえち/ななみやま(2)/オコヅ/テトラ/無毛猫/アーバンストリート/牛乳中学/パーくん/ひとくち肉/こどおに/てー/サイコパス金子/何奴/杏樹(2)/wanumayu/くとぅるふ/遠視/投票ボーナス(3)
0600_1577_ACT,2024-05-25,88人,両チームとも引き分けを目指しているサッカーの試合,NA,7位,ジェリー・ライス,やたら審判に「あと何分ですか？」と聞いてくる,22,65.38,なまこP/やきとり/竹はんぺん/なしん/ミスターはつよ/omoti/アーバンストリート/めが/ひとくち肉/パンケッチ/こどおに/R🍊(3)/ぷらちん/いたずらごころ(3)/「この味がいいね」/投票ボーナス(3)
0600_1577_ACT,2024-05-25,88人,両チームとも引き分けを目指しているサッカーの試合,NA,7位,パンケッチ,ユアボー！ユアボ！,22,65.38,横川平志(2)/ますく/オコヅ/竹はんぺん/劣等生の扁桃腺(2)/omoti/めが/ぐれいそん/どんぶらこねこ/こどおに/てー/やまもん/ほろほろ/three-all/後悔しない名前を付けよう/じす/寿司ランチ/投票ボーナス(3)
0600_1577_ACT,2024-05-25,88人,両チームとも引き分けを目指しているサッカーの試合,NA,10位,three-all,無意味なフェイントを見せ合う時間がある,21,63.73,えちえち/なまこP/氷点下/T-FOX(2)/aika/ぐれいそん/ASAP/百show/2周年🍵/Nokisuke(2)/hama(2)/ここはが/「この味がいいね」/寿司ランチ/いちゃこら/投票ボーナス(3)
0600_1577_ACT,2024-05-25,88人,両チームとも引き分けを目指しているサッカーの試合,NA,10位,コックカワサキ,両チームの選手同士が手を繋いで入場する,21,63.73,えちえち/ジェリー・ライス/なしん/まさしです/らばん号(2)/どんぶらこねこ/こどおに/サイコパス金子/three-all/杏樹(3)/wanumayu/「この味がいいね」/寿司ランチ/おきおきひ/遠視/投票ボーナス(3)
0600_1577_ACT,2024-05-25,88人,両チームとも引き分けを目指しているサッカーの試合,NA,10位,遠視,全員がゴールパフォーマンスしてる時間がある,21,63.73,えちえち/なまこP/横川平志/氷点下/しとてて/おやつのピーナッツ/理科インターネット(2)/こどおに/やまもん/hama(2)/マチルダ少佐/後悔しない名前を付けよう/ぷらちん/驫鵬彈/じす/いちゃこら/投票ボーナス(3)
0600_1577_ACT,2024-05-25,88人,両チームとも引き分けを目指しているサッカーの試合,NA,13位,マチルダ少佐,ドロ試合,19,60.44,劣等生の扁桃腺(3)/モラトリアム・モリタ(3)/パーくん/ひとくち肉(3)/hama/サイコパス金子/自動車部員/いたずらごころ(3)/投票ボーナス(3)
0600_1577_ACT,2024-05-25,88人,両チームとも引き分けを目指しているサッカーの試合,NA,14位,めが,ジョンカビラの隠しボイスが聴ける,18,58.79,ななみやま(3)/オコヅ/枠の外/おやつのピーナッツ/R🍊(2)/マチルダ少佐/後悔しない名前を付けよう(2)/驫鵬彈/いたずらごころ(3)/投票ボーナス(3)
0600_1577_ACT,2024-05-25,88人,両チームとも引き分けを目指しているサッカーの試合,NA,14位,テトラ,泣いてる審判が映った,18,58.79,副菜/QBEAT/omoti/モラトリアム・モリタ/まさしです/ほろほろ/R🍊/自動車部員/three-all/ちんてる/wanumayu/ぷらちん/驫鵬彈/じす/ぷるちぽん/投票ボーナス(3)
0600_1577_ACT,2024-05-25,88人,両チームとも引き分けを目指しているサッカーの試合,NA,14位,煮込みVUITTON,ボールが熱そうに見える,18,58.79,ますく/テトラ/omoti/おやつのピーナッツ/牛乳中学(2)/めが/天国かラスベガス/こんぺいとう雑誌/ノニバス(2)/さりつかいし(2)/何奴/くとぅるふ/投票ボーナス(3)
0600_1577_ACT,2024-05-25,88人,両チームとも引き分けを目指しているサッカーの試合,NA,14位,牛乳中学,ほぼダンスの時間があった,18,58.79,なまこP/ペン/QBEAT/ミスターはつよ/omoti/モラトリアム・モリタ/ぐれいそん/天国かラスベガス/らばん号/パンケッチ/ASAP/やまもん/灰色こたつ/ぷらちん/コックカワサキ/投票ボーナス(3)
0600_1577_ACT,2024-05-25,88人,両チームとも引き分けを目指しているサッカーの試合,NA,18位,「この味がいいね」,ボールを置いたまま談笑している,16,55.5,えちえち/ななみやま/なまこP/ペン/ジェリー・ライス/omoti/あんぐら/愛²/目につく男/ちんてる/wanumayu/ぷらちん/おきおきひ/投票ボーナス(3)
0600_1577_ACT,2024-05-25,88人,両チームとも引き分けを目指しているサッカーの試合,NA,18位,こどおに,勝ってる時は「ユアボ」って言う,16,55.5,ますく/QBEAT/omoti/らばん号/どんぶらこねこ/2周年🍵/やまもん/杏樹/後悔しない名前を付けよう(2)/ぷらちん/コックカワサキ/じす/投票ボーナス(3)
0600_1577_ACT,2024-05-25,88人,両チームとも引き分けを目指しているサッカーの試合,NA,18位,なまこP,キーパーしかいない時間があった,16,55.5,ペン/竹はんぺん/枠の外/omoti/ASAP/目につく男/2周年🍵/wanumayu/後悔しない名前を付けよう/ここはが/ぷらちん/驫鵬彈/くとぅるふ/投票ボーナス(3)
0600_1577_ACT,2024-05-25,88人,両チームとも引き分けを目指しているサッカーの試合,NA,18位,アーバンストリート,PK決まって全員頭抱えてる,16,55.5,BFGH/なまこP/ジェリー・ライス/QBEAT/しとてて/ぐれいそん/らばん号/パンケッチ/ちんてる/驫鵬彈/睡眠不足M/寿司ランチ/いちゃこら/投票ボーナス(3)
0600_1577_ACT,2024-05-25,88人,両チームとも引き分けを目指しているサッカーの試合,NA,18位,パーくん,手をつないで入場してくる,16,55.5,オコヅ/モラトリアム・モリタ(2)/おやつのピーナッツ/パンケッチ/2周年🍵/灰色こたつ/マチルダ少佐/ここはが/睡眠不足M/寿司ランチ/おきおきひ/遠視/投票ボーナス(3)
