お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1914_1462_UJJ,2024-05-27,126人,闇鍋で起こったハプニング,NA,1位,目が百個ついてるおばさん,カレーが負けた,64,98.55,雑兵/朤燚㵘䲜䨻/還元/さすがに(2)/ふえるなわかめ(2)/描画転々/jomajoma/ジャイロ(2)/シンマイ子/べ椅子(2)/シャザーン/オレオオレ(3)/金魚のムニエル/49k2f(3)/Good insect/おいかぜアルファ/hiha/ベリー/ばあちゃんのへそのごま/アスパラ/女将/かみそん/乾布抹殺/あららうね/シイタク/めっけもん(2)/やきにく(2)/週1/哲学ミミズ/Pany(2)/(控)(3)/少々(3)/みどりうぐいす(3)/副菜(2)/まいりん/はんせい/座談会/渇望/平凡ぽんち(2)/和栗モンブランソフト山田/ぎゆう/ババロア/投票ボーナス(3)
1914_1462_UJJ,2024-05-27,126人,闇鍋で起こったハプニング,NA,2位,💃,一瞬新車の匂いした,44,78.29,puch1/羊水(2)/ヤマザキローソン/さむちょ/雑兵/深層心理見放題(2)/描画転々/jomajoma/monika/ますく/KISS/ねこめんたい/シンマイ子/すみま戦闘態勢 !!/べ椅子/つくりん/エーゴ/hiha/かみそん/乾布抹殺/めっけもん(3)/ささくれ撫ぜ太郎/週1/哲学ミミズ/Pany/(控)/水の水割り/えきたいおもち/副菜(2)/平凡ぽんち(2)/和栗モンブランソフト山田/ボテ薔薇/あまみ/冷凍トイレ/画餅/投票ボーナス(3)
1914_1462_UJJ,2024-05-27,126人,闇鍋で起こったハプニング,NA,3位,ゲル美,お箸をつかんでくる具材がいる,43,77.28,諸悪の根源/あとひとつ流星群/Iz/朤燚㵘䲜䨻/さすがに/てー/ふえるなわかめ(2)/いもたこ南京錠/jomajoma(2)/チワワBロック/仮花(2)/べ椅子/シャザーン/Bモンド/49k2f/おいかぜアルファ(3)/エーゴ/あああ/ばあちゃんのへそのごま/乾布抹殺/Heaven/めっけもん(2)/ささくれ撫ぜ太郎/Pany/(控)/少々(2)/なめたっけ/はんせい/座談会/和栗モンブランソフト山田/ボテ薔薇/かなり/ところがどっこい/投票ボーナス(3)
1914_1462_UJJ,2024-05-27,126人,闇鍋で起こったハプニング,NA,4位,かなり,「2の粉」を先に入れた,42,76.26,接頭語/puch1/亜寒帯(3)/Iz/還元/しっとり経済学(2)/くらいつき(2)/てー/描画転々/jomajoma(2)/monika/チワワBロック/べ椅子/金魚のムニエル/あああ/枡田アンディ/無毛猫(2)/ばあちゃんのへそのごま/かみそん/助けないで/ごじょう　さとらない/めりーずぱんつ/(控)/はんせい/渇望/年金/あまみ(2)/まめまめデスメタル/しすると/スモール陶芸家/繁重茂/俺のわんこ/投票ボーナス(3)
1914_1462_UJJ,2024-05-27,126人,闇鍋で起こったハプニング,NA,5位,あとひとつ流星群,泳いでる音がする,41,75.25,💃/還元/ふえるなわかめ/いもたこ南京錠/jomajoma/monika/KISS/シンマイ子/大納豆(2)/オレオオレ/Bモンド/49k2f/おいかぜアルファ/エーゴ/ピカイア/hiha/無毛猫(2)/女将/乾布抹殺/あららうね/やきにく(2)/哲学ミミズ(2)/(控)/えきたいおもち(2)/まぐねくぼ/渇望/ぎゆう(2)/ミニお馬/留学生/冷凍トイレ(2)/俺のわんこ/投票ボーナス(3)
1914_1462_UJJ,2024-05-27,126人,闇鍋で起こったハプニング,NA,6位,49k2f,中から俺の着信音が聞こえる,40,74.24,さむちょ/Iz/あいうえびふらい/還元/いもたこ南京錠/jomajoma/ますく(2)/ねこめんたい/すみま戦闘態勢 !!/べ椅子/シャザーン/金魚のムニエル(2)/Bモンド/ゼラチン/Good insect/おいかぜアルファ/エーゴ/ピカイア/hiha/かみそん/Heaven/ごじょう　さとらない/シイタク/やきにく/ささくれ撫ぜ太郎/(控)/abcdefg/はんせい/平凡ぽんち/ほかほか朝ごはん/留学生/まめまめデスメタル/なゆた/冷凍トイレ(2)/投票ボーナス(3)
1914_1462_UJJ,2024-05-27,126人,闇鍋で起こったハプニング,NA,6位,めっけもん,エグいキスの音がする,40,74.24,puch1(2)/諸悪の根源/羊水/あとひとつ流星群/さむちょ/💃/還元/くらいつき/ジャイロ/ますく/ねこめんたい/大納豆(2)/すみま戦闘態勢 !!/49k2f(2)/おいかぜアルファ/hiha/かみそん/あららうね/やきにく(3)/めりーずぱんつ/ささくれ撫ぜ太郎/(控)/水の水割り/abcdefg/渇望(2)/年金/ぎゆう(2)/ノコノコdeath/ほかほか朝ごはん/まめまめデスメタル/投票ボーナス(3)
1914_1462_UJJ,2024-05-27,126人,闇鍋で起こったハプニング,NA,8位,助けないで,生態系が出来上がった,36,70.18,草凪千里(2)/Iz/朤燚㵘䲜䨻/深層心理見放題/いもたこ南京錠/monika/チワワBロック/KISS(2)/内角低め系男子/オレオオレ/金魚のムニエル(2)/Bモンド/おいかぜアルファ/目が百個ついてるおばさん/あああ/無毛猫/Heaven/にじょー/やきにく/(控)/みどりうぐいす/まぐねくぼ/和栗モンブランソフト山田/ノコノコdeath/ほかほか朝ごはん/あまみ(2)/まめまめデスメタル/かなり/ところがどっこい/投票ボーナス(3)
1914_1462_UJJ,2024-05-27,126人,闇鍋で起こったハプニング,NA,9位,ミニお馬,みんな指紋拭いてる,35,69.17,接頭語/大ちゃんす/Iz/朤燚㵘䲜䨻/還元/さすがに/描画転々/チワワBロック(3)/ますく/仮花(2)/大納豆/すみま戦闘態勢 !!/べ椅子/オレオオレ(3)/49k2f/おいかぜアルファ/ばあちゃんのへそのごま/ささくれ撫ぜ太郎/(控)/水の水割り/なめたっけ/まぐねくぼ/副菜/まめまめデスメタル/かなり/なゆた/画餅/投票ボーナス(3)
1914_1462_UJJ,2024-05-27,126人,闇鍋で起こったハプニング,NA,10位,エーゴ,小さな虹が架かった,34,68.16,諸悪の根源/雑兵/くらいつき/てー/ふえるなわかめ(2)/いもたこ南京錠/ジャイロ/仮花(2)/ねこめんたい/シンマイ子/あさなまら(2)/シャザーン/Bモンド/おいかぜアルファ/Heaven/あららうね/やきにく/週1/(控)/ボテ薔薇(2)/ほかほか朝ごはん/あまみ(3)/ところがどっこい/ババロア/DAKARA/投票ボーナス(3)
