お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0046_1262_MFE,2024-05-29,158人,ラスボスのステージが寿司屋だったときに起こること,NA,1位,刺身たんぽぽ,通は素手でいく,54,87.35,哲学ミミズ/丸太(3)/へきさまる/無知な豚キムチ(2)/伊達巻/べじたぼ(2)/おだンゴ/てふてふ！/keaf/エーゴ/ゆっくりして7月/のうのみそ/ぷるちぽん/Q急車/わたなべいびー/こぼれおちないCH/ノコノコdeath/まるカドっこ/自動車部員/一本松/童貞永年私財法(3)/せりか/N.U./春立てる西陣織/ささくれ/大ちゃんす/日泣き(3)/ナロル(2)/さすがに/いぬめり/ちくわうし/うおおお/きらら/ごじょう　さとらない/木製の雪/平凡ぽんち/さすけのお兄/鰆-さわら-/みんなでスポーツ/スモール陶芸家/まめまめデスメタル/モノカルチャー/投票ボーナス(3)
0046_1262_MFE,2024-05-29,158人,ラスボスのステージが寿司屋だったときに起こること,NA,2位,まるカドっこ,"▶たたかう　
　にぎる",52,85.25,ポチオン(2)/ロカ/さんそ/鷹STARDOM関/躍遊夜(2)/べじたぼ(3)/完備(3)/シン・シンタ/keaf/オーバーニート/否定ペンギン/Good insect/ノコノコdeath(2)/童貞永年私財法(3)/N.U.(2)/オードリーカットバーン/檸檬堂。、/しゅうねこ(2)/しばらくはうに/深層心理見放題/大ちゃんす/とた(2)/ヴァミリ・ドグァ/あかのすけ(2)/いぬめり/おルンバ(2)/めっちゃ食え/ちゃ柴/たこすけ/バスカス爆発/6500/鰆-さわら-/人差し指（L字）(2)/オブちゃん/投票ボーナス(3)
0046_1262_MFE,2024-05-29,158人,ラスボスのステージが寿司屋だったときに起こること,NA,3位,せりか,おまかせで攻撃する,48,81.04,ポチオン/刺身たんぽぽ(2)/ロカ/くとぅるふ/鷹STARDOM関/無知な豚キムチ/躍遊夜/べじたぼ/てふてふ！/あかしやきいも/エーゴ/ハメ鳥太郎/ボルシチ/Heaven(2)/joe/赤いハイヒールの女/ぷるちぽん/ノコノコdeath/石原消し炭/さてつ/カタン(3)/一本松(2)/雑兵/ささくれ/アンペア岡村/800/ちくわうし/たこすけ/親善小僧/二階から手続き/パステルゆんゆん/Y-Not/木製の雪/平凡ぽんち/さすけのお兄/敵刺/three-all/みんなでスポーツ/まめまめデスメタル/モノカルチャー/投票ボーナス(3)
0046_1262_MFE,2024-05-29,158人,ラスボスのステージが寿司屋だったときに起こること,NA,4位,rta太郎,2回負けると「サビ抜き」を勧められる。,47,79.99,ポチオン/丸太(3)/紙資源(2)/ロカ/さんそ/へきさまる/すこぶるねむい(2)/伊達巻/山本 瑛太(2)/keaf/否定ペンギン/Good insect/コギー/せりか/うでやすな/春立てる西陣織/檸檬堂。、(2)/しゅうねこ(2)/早芽ねる/大ちゃんす/とた/日泣き(2)/さすがに/鈍器/いぬめり/ちゃ柴/たこすけ/ハチコー/グッドナイトボーイ/おと/みぎひざ/AgeHa/ごじょう　さとらない/くじ運(2)/ブイヤーベース飯/鰆-さわら-/人差し指（L字）/鴨蕎麦
0046_1262_MFE,2024-05-29,158人,ラスボスのステージが寿司屋だったときに起こること,NA,5位,親善小僧,一見さん殺しがある,46,78.94,ポチオン/刺身たんぽぽ(3)/紙資源(2)/くとぅるふ/あぁチェリー(2)/りあ/無知な豚キムチ/完備/あかしやきいも(2)/オーバーニート(2)/Heaven/赤いハイヒールの女/Q急車(2)/まるカドっこ/自動車部員/コギー/せりか/ある人/アーバンストリート/N.U.(2)/しゅうねこ/大ちゃんす/800/週1/パステルゆんゆん/グッドナイトボーイ/みぎひざ/かみそん/ごじょう　さとらない/6500/りくがめ/そよかぜ/鴨蕎麦/モノカルチャー(2)/投票ボーナス(3)
0046_1262_MFE,2024-05-29,158人,ラスボスのステージが寿司屋だったときに起こること,NA,6位,おだンゴ,ダメージが「時価」とだけ出る,40,72.63,刺身たんぽぽ/百show/jomajoma/猫寿司/躍遊夜(2)/keaf/エーゴ(2)/ハメ鳥太郎/ゆっくりして7月/赤いハイヒールの女/さてつ/雑魚ランナー(3)/せりか/オードリーカットバーン/雑兵/しゅうねこ(2)/早芽ねる/とた/日泣き/800/ナロル/さすがに/祟り君(2)/たこすけ/粉石鹸/ハチコー/ケジメステッカー(3)/AgeHa/鰆-さわら-/投票ボーナス(3)
0046_1262_MFE,2024-05-29,158人,ラスボスのステージが寿司屋だったときに起こること,NA,7位,赤いハイヒールの女,クリア後に新幹線がfinの文字を運んでくる,38,70.52,ポチオン/刺身たんぽぽ(2)/丸太(3)/jomajoma(2)/さんそ/てふてふ！(2)/Heaven/さてつ(2)/アーバンストリート/自然光(2)/しばらくはうに/弟子鈴/とた/あかのすけ(2)/ちゃ柴/粉石鹸/ハチコー/みぎひざ/AgeHa/かみそん/くじ運/ブイヤーベース飯/助けないで(2)/じす/枡田アンディ/スモール陶芸家/投票ボーナス(3)
0046_1262_MFE,2024-05-29,158人,ラスボスのステージが寿司屋だったときに起こること,NA,8位,ハメ鳥太郎,誰かの紹介でしか入れない,37,69.47,哲学ミミズ/百show/jomajoma/鷹STARDOM関/無知な豚キムチ/伊達巻/さもん/完備/サーモン丸/あかしやきいも/ぷるちぽん/Good insect/自動車部員/一本松(2)/ルカナン症候群/雑兵/アンペア岡村/鈍器/おルンバ(2)/二階から手続き/Y-Not/AgeHa/木製の雪/6500/さすけのお兄(2)/助けないで/敵刺/three-all/キムさん/鰆-さわら-/まめまめデスメタル/投票ボーナス(3)
0046_1262_MFE,2024-05-29,158人,ラスボスのステージが寿司屋だったときに起こること,NA,9位,パステルゆんゆん,わさび無効装備で挑む,35,67.37,へきさまる/りあ/猫寿司/サーモン丸/てふてふ！/joe/否定ペンギン/自動車部員/カタン(2)/コギー/せりか/アーバンストリート/しばらくはうに/早芽ねる/深層心理見放題(3)/さすがに/ちゃ柴/ちくわうし/たこすけ/ハチコー/バスカス爆発/グッドナイトボーイ/みぎひざ/ごじょう　さとらない/くじ運/そよかぜ/ブイヤーベース飯/鰆-さわら-/オブちゃん/投票ボーナス(3)
0046_1262_MFE,2024-05-29,158人,ラスボスのステージが寿司屋だったときに起こること,NA,10位,全力仮病,兵を待ちっ！,33,65.27,哲学ミミズ/刺身たんぽぽ/甘党/さんそ/あぁチェリー(2)/躍遊夜/さもん/おだンゴ/てふてふ！/オーバーニート(2)/ボルシチ/joe/湿地/雑魚ランナー/ある人/アーバンストリート/春立てる西陣織/日泣き/ナロル/週1/粉石鹸/バスカス爆発/きらら(2)/AgeHa/かみそん/スモール陶芸家/まめまめデスメタル/投票ボーナス(3)
