お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0570_5658_SPQ,2024-06-12,129人,忍者試験に受からなかった人あるある,NA,1位,three-all,音立てて帰る,36,78.71,ぎん/でっていう/hakumai4/アイオハ/未来永劫ちゃんねる/松尾馬糞/ぽむた/wanumayu(3)/いのり・人権思想の子/ヴァミリ・ドグァ/金魚のムニエル/月の瞼/ハクシヲウメル/激玉子/さすけのお兄/すずたき/AgeHa/Heaven/知性丸出し/Nrock/めっけもん(2)/鼻マガ/おきおきひ/ビニ暖/アーバンストリート/塩犬/joe/やる/Kawakami/むらさき/投票ボーナス(3)
0570_5658_SPQ,2024-06-12,129人,忍者試験に受からなかった人あるある,NA,2位,平凡ぽんち,手叩いて笑う,35,77.33,800/副社長/monika/そろばん６級/ニナモリ/サラブレッドトマト(2)/ここはが/わたがし/ちょめにぜり/とた/ずずエさん/すずたき/Heaven/赤黄色/あの時のペリー/知性丸出し/モチ/めっけもん/three-all/ぽんりきまる(2)/鼻マガ/おきおきひ/おいかぜアルファ/けいすけ/アーバンストリート/ぜ機/おだンゴ/shika shika/monpe/むらさき/投票ボーナス(3)
0570_5658_SPQ,2024-06-12,129人,忍者試験に受からなかった人あるある,NA,3位,shika shika,自分の煙玉でむせる,31,71.82,パブロ風の犬/まああ/アイオハ/そろばん６級/松尾馬糞(2)/主食ワセリン/ぽむた/ニナモリ/ここはが/箱根八里/月の瞼/さすけのお兄/ちんてる/ちゃたに/Heaven/あの時のペリー/ランチタイムんですよね/驫鵬彈/three-all/墨汁一滴/おきおきひ/けいすけ/ビニ暖/アーバンストリート/おだンゴ/monpe/孤独のＤ/投票ボーナス(3)
0570_5658_SPQ,2024-06-12,129人,忍者試験に受からなかった人あるある,NA,3位,むらさき,ノックしてから入る,31,71.82,パブロ風の犬/abcdefg/hakumai4/煮込みVUITTON/723/赤いハイヒールの女/箱根八里/月見里/AgeHa(2)/Heaven/orionfires/稀犬(3)/民事/three-all/ぽんりきまる/鼻マガ/墨汁一滴/おきおきひ/NeoBaby/けいすけ/MODY/アーバンストリート/塩犬/shika shika/孤独のＤ/投票ボーナス(3)
0570_5658_SPQ,2024-06-12,129人,忍者試験に受からなかった人あるある,NA,3位,めっちゃ食え,正門から入った,31,71.82,723/アイオハ/もふっこ/ちょめにぜり(2)/月の瞼/とた/声にならないSOS/長老_M/ヘススちゃん/月見里/ランチタイムんですよね/モチ/three-all/鼻マガ/あまりにも速い犬/墨汁一滴/定禅寺　翔子/アーバンストリート/ユタ看護専門学校あるある/おだンゴ/ニューメキシコ/ひよれゐ/やる/shika shika/Kawakami/サンプリ/むらさき/投票ボーナス(3)
0570_5658_SPQ,2024-06-12,129人,忍者試験に受からなかった人あるある,NA,3位,煮込みVUITTON,正門から帰った,31,71.82,ここのつ/723/赤いハイヒールの女/未来永劫ちゃんねる/wanumayu(2)/よーすけ/わたがし/月の瞼/とた/きゅーきゅー/ムネコざボビー/ヘススちゃん/AgeHa(2)/ばーと/Heaven/ふどゅぎ/Nrock/モチ/three-all/墨汁一滴/NeoBaby/アーバンストリート/塩犬/Kawakami/サンプリ/むらさき/投票ボーナス(3)
0570_5658_SPQ,2024-06-12,129人,忍者試験に受からなかった人あるある,NA,7位,あの時のペリー,歩くたびに小銭が鳴る,29,69.07,パブロ風の犬/中川圭一/800/まああ/monika/アイオハ/そろばん６級/赤いハイヒールの女/ニナモリ/箱根八里/金魚のムニエル(2)/長老_M/ハクシヲウメル/激玉子/ちゃたに/orionfires/ささくれ撫ぜ太郎/ふどゅぎ/ランチタイムんですよね/Nrock/モチ/墨汁一滴/けいすけ/shika shika/孤独のＤ/投票ボーナス(3)
0570_5658_SPQ,2024-06-12,129人,忍者試験に受からなかった人あるある,NA,7位,おだンゴ,変わり身の受験がバレた,29,69.07,はっぴーえんど/スウィートサマーデイ/そろばん６級/赤いハイヒールの女/ぽむた/わたがし/金魚のムニエル/とた/ずずエさん/激玉子/ヘススちゃん/月見里/ちゃたに/orionfires/稀犬(3)/ふどゅぎ/てー/驫鵬彈/ランゲル･ハンス/墨汁一滴/ユタ看護専門学校あるある/joe(2)/のお/投票ボーナス(3)
0570_5658_SPQ,2024-06-12,129人,忍者試験に受からなかった人あるある,NA,7位,ひよれゐ,音が鳴る靴を履いてる,29,69.07,まああ/副社長/monika/そろばん６級/いのり・人権思想の子/さすけのお兄/AgeHa/ちんてる(2)/ばーと(2)/orionfires/稀犬/てー/ぽんりきまる/ランゲル･ハンス/おきおきひ/おひたし蒐集家/MODY/アーバンストリート/ぜ機/shika shika/monpe/サンプリ(2)/むらさき/投票ボーナス(3)
0570_5658_SPQ,2024-06-12,129人,忍者試験に受からなかった人あるある,NA,7位,モチ,真ん中歩いて帰る,29,69.07,パブロ風の犬/800/煮込みVUITTON/723/松尾馬糞/箱根八里/いのり・人権思想の子/月の瞼/声にならないSOS/長老_M/きゅーきゅー/さすけのお兄/AgeHa(2)/ふどゅぎ/赤黄色/ランチタイムんですよね/てー/めっけもん/three-all/ぽんりきまる/墨汁一滴/塩犬/おだンゴ/サンプリ/むらさき/投票ボーナス(3)
