お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
3261_5097_NTZ,2024-06-14,146人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3261_5097_NTZ.jpeg,1位,へなちょこ,最初は喜んだよ,52,87.95,親善小僧/なゆた/啓蒙思想/アンフィ/無知な豚キムチ/うでやすな/オードリーカットバーン/森さんです。/ここはが/りくがめ/パブロ風の犬/げら/灰色こたつ/ひじき/あとひとつ流星群/ボルシチ/未来永劫ちゃんねる/まっちょプリン/2pac/易しい/ちきちきた/ちぇみちぇみ！/全力仮病/イマジゲン/ドゴドド/んぬ/山寺田/ぺね/予備のエビフライ/さもん/あの日のニンニ/シンマイ子/雲ひとつない撒き餌/新田.jpg/ちばらぴ/ますく(3)/ツートンツトム/AgeHa(2)/孔子に論語/シロロ/国産/頻尿サロペット/がんちゃん/二階から手続き/鈴木ヘッジホッグ/まん丸/投票ボーナス(3)
3261_5097_NTZ,2024-06-14,146人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3261_5097_NTZ.jpeg,2位,鵺野凛音,もう次の子作ってるじゃん,46,81.34,なゆた(2)/無知な豚キムチ(2)/ゲル美/パブロ風の犬/後悔しない名前を付けよう/げら/ひじき(3)/宗教鍋/ひろむ/まっちょプリン(2)/突然及川/右足/やじうまさん/易しい/ちぇみちぇみ！/全力仮病(3)/ほろほろ/けんけんぱ(2)/全王様(3)/あの日のニンニ(2)/トロイぞ木馬/羊たち黙っちゃったじゃん/ますく(2)/ツートンツトム/さとぅ/くものす(2)/てふてふ！/ロラン(3)/投票ボーナス(3)
3261_5097_NTZ,2024-06-14,146人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3261_5097_NTZ.jpeg,3位,りくがめ,片道だから安いのか,37,71.42,アンフィ/無知な豚キムチ/オードリーカットバーン/ゃまゃま/ここはが/マス田中/kesyousui/ひじき(2)/宗教鍋/2pac/目が百個ついてるおばさん/ほろほろ/休憩新人ポンコツ/サラブレッドトマト/daison1(2)/狂ったパン屋さん/主食ワセリン/ぺね/定禅寺　翔子/油性マジック(2)/AgeHa/孔子に論語/ゼラチン/国産/ジュルジュル温泉!!/えきたいおもち/月の瞼/はちわれ/くものす/てふてふ！/ロラン/投票ボーナス(3)
3261_5097_NTZ,2024-06-14,146人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3261_5097_NTZ.jpeg,3位,５周年,先輩も来てるのかよ,37,71.42,珍百景のクロ/無知な豚キムチ/オードリーカットバーン/ゃまゃま/ここはが/りくがめ/パブロ風の犬/灰色こたつ/宗教鍋/ひろむ/keaf/右足(2)/ツルミチッ素/易しい/ちぇみちぇみ！/サラブレッドトマト/松井秀喜/レイルレイル/狂ったパン屋さん/kak/きまぐれ/KISS(2)/シンマイ子/雲ひとつない撒き餌/釜ちびちび/下衆なキャット/羊たち黙っちゃったじゃん/AgeHa/国産/えきたいおもち/がんちゃん/へなちょこ/北千住柱間/女将/デス・サップ
3261_5097_NTZ,2024-06-14,146人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3261_5097_NTZ.jpeg,5位,マカマカエキス,だから胴上げは嫌い,36,70.32,なゆた/森さんです。/ここはが/後悔しない名前を付けよう/ひろむ/服部(3)/やじうまさん/ツルミチッ素/ちきちきた/ちぇみちぇみ！/49k2f/休憩新人ポンコツ/ドロレス・グランギニョル/狂ったパン屋さん/ラプンツェル(2)/山寺田/さもん/シンマイ子/トロイぞ木馬/羊たち黙っちゃったじゃん/AgeHa/んんっぴー/孔子に論語/えきたいおもち/Q急車/二階から手続き/鈴木ヘッジホッグ/月の瞼/北千住柱間(2)/投票ボーナス(3)
3261_5097_NTZ,2024-06-14,146人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3261_5097_NTZ.jpeg,6位,NatsubiSogan,本当に何でもいい,35,69.22,親善小僧/啓蒙思想(3)/ラータ/パブロ風の犬/お湯ドラ/げら/さんれん(2)/ボルシチ/しとてて/牛乳中学/ちきちきた/イマジゲン/49k2f/コハ/kak/んぬ(2)/紆余曲折/KISS(2)/ゑくれあ/さもん/雲ひとつない撒き餌/新田.jpg/AgeHa/こころ飴/らうかった(2)/へなちょこ/投票ボーナス(3)
3261_5097_NTZ,2024-06-14,146人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3261_5097_NTZ.jpeg,7位,お湯ドラ,何こいつ,34,68.12,啓蒙思想(2)/煮込みVUITTON/うでやすな/パブロ風の犬/ねくび/さんれん/あとひとつ流星群/ブトマ/牛乳中学(2)/35/易しい/目が百個ついてるおばさん/イマジゲン/49k2f/サラブレッドトマト(2)/松井秀喜(2)/コハ(2)/kak/紆余曲折/雲ひとつない撒き餌(2)/NatsubiSogan(3)/らうかった(2)/投票ボーナス(3)
3261_5097_NTZ,2024-06-14,146人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3261_5097_NTZ.jpeg,7位,ゑくれあ,たしかに願ったけどさ,34,68.12,鵺野凛音/うでやすな/げら/マカマカエキス/灰色こたつ/Houston/2pac/35/keaf/ツルミチッ素/易しい/ちきちきた/すしはま/ちんすこうアイス味/ドゴドド/主食ワセリン/けんけんぱ/山寺田/紆余曲折/きまぐれ/定禅寺　翔子/予備のエビフライ/下衆なキャット/新田.jpg/頻尿サロペット/野島久助/がんちゃん/鈴木ヘッジホッグ(2)/さとぅ/北千住柱間/投票ボーナス(3)
3261_5097_NTZ,2024-06-14,146人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3261_5097_NTZ.jpeg,7位,親善小僧,ここに隠れた俺も悪いけど,34,68.12,鵺野凛音/森さんです。/いりごま。/しとてて/Houston/keaf/ミニベロ/易しい/ちきちきた/ちぇみちぇみ！/全力仮病/休憩新人ポンコツ/ちんすこうアイス味(2)/レイルレイル/ラプンツェル/有効急所(2)/山寺田/きまぐれ(2)/定禅寺　翔子/ちばらぴ/ツートンツトム/AgeHa/国産/野島久助/鈴木ヘッジホッグ(2)/月の瞼/完備/投票ボーナス(3)
3261_5097_NTZ,2024-06-14,146人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3261_5097_NTZ.jpeg,10位,あたまかなや,今日の夢つまんねえ,33,67.02,親善小僧/啓蒙思想/鵺野凛音/うでやすな/ラータ/ゃまゃま/あとひとつ流星群/2pac/やじうまさん/ちぇみちぇみ！/ほろほろ/サラブレッドトマト(2)/ドゴドド(2)/クープラン/kak/けんけんぱ/ゑくれあ/さもん/シンマイ子/ほん/ツートンツトム/国産/えきたいおもち/野島久助/らうかった/へなちょこ/月の瞼/完備/投票ボーナス(3)
