お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0196_2873_EMX,2024-06-23,130人,こんな学校は刑務所だ,NA,1位,うえじゅん,6年の隣に「無期」のクラスがある,60,99.89,詠夜/アンサイン/Quijadaマグロ/そろばん６級/れいり໒꒱. ﾟ/さりげない国際通り/ボブ（北陸在住）/龐徳/ぽむた/フセ(2)/関西ハムスター/接頭語/あかのすけ/まめまめデスメタル/エスニック美女軍団/こっぷちゃい(3)/ノコノコdeath(2)/ランゲル･ハンス/二階から手続き(2)/ききき/きゅーきゅー/ロンドン武士/破砕機(2)/さてつ(2)/無冠のみかん/ギャル歯科/ueposoposo(3)/正義/鴨蕎麦(2)/ささくれ撫ぜ太郎(2)/スウィートサマーデイ/煎/ねこめんたい/たく/タスマニアファミリー/青くちびる黄まつ毛/せりか/天戸屋不成(2)/かと/揺さぶられる/ここのつ/Юрий/わきチュパチャップス/枠の外/ぽとふ/投票ボーナス(3)
0196_2873_EMX,2024-06-23,130人,こんな学校は刑務所だ,NA,2位,ここはが,卒業の時「二度と来るなよ」と言われる,45,82.87,詠夜(3)/まるだし(3)/椎茸キング/Quijadaマグロ/joe/敷地/黒胡椒/1組木下/携えてエリンギ/墨汁一滴/ルシファー/フセ(2)/二階から手続き/ききき/きゅーきゅー/ラータ/ロンドン武士(2)/マス田中/さてつ(2)/しけたけし/オーバーニート/福井とマルコ/スウィートサマーデイ/たく/超ピンク/青くちびる黄まつ毛(2)/せりか/のりぴー/大伴金村/ごーじん(2)/草凪千里/Юрий/ぽとふ/投票ボーナス(3)
0196_2873_EMX,2024-06-23,130人,こんな学校は刑務所だ,NA,3位,rayleigh,一人ずつ卒業していく,36,72.66,迷探亭困難/そろばん６級/Iz/ボルシチ/1組木下/携えてエリンギ/墨汁一滴/ぽむた/つくりん/接頭語/とまとまとまと(2)/35/煮込みVUITTON/二階から手続き/夢美半島/きゅーきゅー/虎視てゃんてゃん/Bモンド/マス田中/鯖度80％/野良猫ヅツキ/オーバーニート(2)/うえじゅん/スウィートサマーデイ/煎/たく/青くちびる黄まつ毛/留学生/せりか/ここのつ/ぽとふ/投票ボーナス(3)
0196_2873_EMX,2024-06-23,130人,こんな学校は刑務所だ,NA,4位,おあつらえ,あんなに泣いてたのにまた入学してきた,33,69.26,💃/椎茸キング/Quijadaマグロ/そろばん６級/ぽむた/フセ/レン/あかのすけ/ききき/きゅーきゅー(2)/ゃまゃま/オーバーニート(2)/ueposoposo(2)/ささくれ撫ぜ太郎/煎/たく/留学生/大伴金村/あきうぶ/揺さぶられる(2)/ここのつ(2)/Юрий(2)/無知な豚キムチ(2)/投票ボーナス(3)
0196_2873_EMX,2024-06-23,130人,こんな学校は刑務所だ,NA,4位,超ピンク,保健室に神父いる,33,69.26,そろばん６級/joe/黒胡椒/パブロ風の犬/フセ/瀧山グングニル/まめまめデスメタル/こうつべ/ききき/虎視てゃんてゃん/さてつ/しけたけし/野良猫ヅツキ/雑兵/正義/うえじゅん/スウィートサマーデイ(3)/ねこめんたい(2)/たく/大伴金村/あきうぶ/かと/何ともなきふぐ汁/全休マカロン(2)/ここのつ/Юрий/投票ボーナス(3)
0196_2873_EMX,2024-06-23,130人,こんな学校は刑務所だ,NA,6位,35,『囚』という字は「人」と「人」が閉じ込められて,32,68.13,Quijadaマグロ(2)/敷地/黒胡椒/ボブ（北陸在住）/関西ハムスター(3)/つくりん/イワザル/あかのすけ/エスニック美女軍団/メメントモリ/骨肉(2)/ラータ/Bモンド/ゃまゃま/ギャル歯科(2)/しけたけし/煎/数秒エリカ/青くちびる黄まつ毛/ケイオス盤/天戸屋不成(2)/ひがその/無知な豚キムチ/投票ボーナス(3)
0196_2873_EMX,2024-06-23,130人,こんな学校は刑務所だ,NA,6位,せりか,全員違う日に卒業していく,32,68.13,詠夜/アンサイン/椎茸キング/そろばん６級/Iz/joe/携えてエリンギ/墨汁一滴/35/こうつべ/煮込みVUITTON/二階から手続き/Bモンド/フェルメール(2)/福井とマルコ/うえじゅん/鴨蕎麦/ねこめんたい(2)/たく/数秒エリカ/大伴金村/揺さぶられる/ひがその/DAKARA/ここのつ/わきチュパチャップス/ここはが/投票ボーナス(3)
0196_2873_EMX,2024-06-23,130人,こんな学校は刑務所だ,NA,6位,たく,穴を掲示物で隠してる,32,68.13,迷探亭困難/ボルシチ/ライ/墨汁一滴/ハッスル運動会(2)/つくりん/rayleigh/メメントモリ/二階から手続き/夢美半島(3)/天国かラスベガス/しけたけし/オーバーニート(2)/雑兵/ueposoposo/BFGH/あの日のニンニ/正義/鴨蕎麦/ささくれ撫ぜ太郎/ねこめんたい/超ピンク/かと/何ともなきふぐ汁/ここはが/投票ボーナス(3)
0196_2873_EMX,2024-06-23,130人,こんな学校は刑務所だ,NA,9位,きゅーきゅー,帰りには痩せてる,31,66.99,未来永劫ちゃんねる/プレーン味のワニ/れいり໒꒱. ﾟ/ボルシチ/ライ/携えてエリンギ/墨汁一滴/ルシファー/パブロ風の犬/つくりん/レン/rayleigh/おだンゴ/エスニック美女軍団/35/骨肉/夢美半島/虎視てゃんてゃん/鯖度80％/ムギ人間(2)/雑兵/ねこめんたい/たく/数秒エリカ/あきうぶ/ここのつ/ここはが/投票ボーナス(3)
0196_2873_EMX,2024-06-23,130人,こんな学校は刑務所だ,NA,10位,鴨蕎麦,学年1位を知能犯と呼ぶ,30,65.86,詠夜/Quijadaマグロ/そろばん６級/Iz/joe/ルシファー/フセ/つくりん/あかのすけ/まめまめデスメタル/エスニック美女軍団/夢美半島(2)/ロンドン武士/さてつ/無冠のみかん/ギャル歯科(2)/うえじゅん/せりか/ごーじん(2)/ひがその/全休マカロン(2)/ここのつ/鉄火丼/投票ボーナス(3)
0196_2873_EMX,2024-06-23,130人,こんな学校は刑務所だ,NA,11位,ueposoposo,道徳は暗記で乗り切っている,29,64.72,Quijadaマグロ(2)/1組木下/ハッスル運動会/関西ハムスター(2)/エスニック美女軍団/二階から手続き(2)/破砕機(3)/無冠のみかん/ゃまゃま/鯖度80％/ぶりざえもん/BFGH/煎/数秒エリカ(2)/ケイオス盤/ごーじん(2)/DAKARA/ここのつ/鉄火丼/投票ボーナス(3)
0196_2873_EMX,2024-06-23,130人,こんな学校は刑務所だ,NA,11位,天国かラスベガス,親に会える部屋がある,29,64.72,れいり໒꒱. ﾟ/携えてエリンギ/ルシファー/こんなところにエビチリ(2)/レン/rayleigh/35/こうつべ/メメントモリ/二階から手続き/夢美半島(2)/きゅーきゅー/虎視てゃんてゃん/鯖度80％/能動的三半規管/BFGH/福井とマルコ/鴨蕎麦/煎/たく/居間ダミ夫/ここのつ/鉄火丼/ここはが/投票ボーナス(3)
0196_2873_EMX,2024-06-23,130人,こんな学校は刑務所だ,NA,13位,遺跡発掘調査補助員,そこだけで使える通貨がある,27,62.45,アンサイン/joe/ライ/1組木下/墨汁一滴/ハッスル運動会/接頭語/イワザル/35/こうつべ/二階から手続き/破砕機(2)/ぶりざえもん/天国かラスベガス/スウィートサマーデイ/煎/タスマニアファミリー(3)/勤務中淫夢厨/せりか/揺さぶられる/草凪千里/投票ボーナス(3)
0196_2873_EMX,2024-06-23,130人,こんな学校は刑務所だ,NA,13位,野良猫ヅツキ,ネジを拾う許可を下さい,27,62.45,プレーン味のワニ/ボルシチ/龐徳/パブロ風の犬/ぽむた/イワザル/まめまめデスメタル/ノコノコdeath/こうつべ/二階から手続き/フェルメール(2)/あの日のニンニ/うえじゅん/スウィートサマーデイ/たく/のりぴー/大伴金村/あきうぶ/はっちゃん/草凪千里/鉄火丼/遺跡発掘調査補助員/おあつらえ/投票ボーナス(3)
0196_2873_EMX,2024-06-23,130人,こんな学校は刑務所だ,NA,15位,さてつ,卒業式に「もう戻ってくるなよ」と送り出される,26,61.32,椎茸キング/さりげない国際通り/1組木下/携えてエリンギ/フセ(2)/こんなところにエビチリ(3)/こうつべ/ききき/きゅーきゅー/ラータ/能動的三半規管/タスマニアファミリー(3)/せりか/のりぴー/あきうぶ/何ともなきふぐ汁/揺さぶられる/ここのつ/投票ボーナス(3)
