お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0485_4175_TNO,2024-06-30,140人,先生「じゃあ、今日は5日だから○○○」,NA,1位,山根シティ,πは5とします,53,98.85,さくれ/altcolt(3)/ベリー/チャーハンキッド(2)/夢美半島/うみへすろ/球電/ポール・カート(2)/我乱童/亜寒帯/塩犬/長老_M/ゃまゃま/きゅりさ☆/ロンパ(2)/MODY/そよかぜ/完備(2)/かるろす(2)/度蔵まぐら(3)/アンサイン/ちょんまげ/うえじゅん/ジャイロ/でっていう(2)/えいり/あぐら/髙木トロール/Ilikekaf/マリオタク/ドあお/elena/19秒芝生舐め　楽/sakasama/お化けチャンドラ/めん to you(2)/T-FOX/半分ぐんま(2)/投票ボーナス(3)
0485_4175_TNO,2024-06-30,140人,先生「じゃあ、今日は5日だから○○○」,NA,2位,長老_M,5体のハンターが放出される,37,77.97,すずたき/さくれ/はりまや橋子/我乱童/じす/亜寒帯(2)/田口さん🍙/しけたけし/さんかくちゃん/天戸屋不成(2)/ゃまゃま/きゅりさ☆/ちょんまげ/幾何学模様/でっていう/フユフク/髙木トロール/わたがし/Ilikekaf/毎日が夏休み(2)/ケツ・カンパーニュ/elena/ボテ薔薇/狂ったパン屋さん/Kawakami/お尻ス/sakasama/まめまめデスメタル/めん to you(3)/投票ボーナス(3)
0485_4175_TNO,2024-06-30,140人,先生「じゃあ、今日は5日だから○○○」,NA,3位,sakasama,5番はAEDを,36,76.67,弐四八/ヴァミリ・ドグァ/さくれ/ベリー/夢美半島(2)/はりまや橋子/粉石鹸/我乱童/めろんぱふぇ/長老_M/しけたけし/2周年🍵/天戸屋不成(2)/ロンパ(3)/完備/かるろす(2)/関西ハムスター/えいり/マリオタク/ドあお/ケツ・カンパーニュ/elena/深層心理見放題/ボテ薔薇/まめまめデスメタル/自動車部員/Good insect/T-FOX/投票ボーナス(3)
0485_4175_TNO,2024-06-30,140人,先生「じゃあ、今日は5日だから○○○」,NA,4位,49k2f,五回忌の佐藤,33,72.76,ヴァミリ・ドグァ/ゆんける/春立てる西陣織/やじうまさん/我乱童/もりそば/2周年🍵/バレリーなっちゃん/ロンパ/度蔵まぐら/フユフク(2)/わたがし/深層心理見放題/にこごり(2)/ボテ薔薇/水戸/QBEAT(2)/ころばし屋(3)/ちゃ柴/お尻ス/すぎり(2)/sakasama/まめまめデスメタル/山根シティ/投票ボーナス(3)
0485_4175_TNO,2024-06-30,140人,先生「じゃあ、今日は5日だから○○○」,NA,4位,アホランド,5組に聞きに行こうか！,33,72.76,ヴァミリ・ドグァ/にゃんごすちん/さくれ/altcolt(3)/ベリー/チャーハンキッド/夢美半島/球電/こんなところにエビチリ(3)/はりまや橋子/消波亭ぶろっく/我乱童/2周年🍵/さんかくちゃん/完備/きれいな市役所/鈍器/森さんです。/にじょー/マリオタク/ドあお/elena/深層心理見放題/水戸/まめまめデスメタル/chichiband/投票ボーナス(3)
0485_4175_TNO,2024-06-30,140人,先生「じゃあ、今日は5日だから○○○」,NA,6位,Ilikekaf,1桁だな。青木。,30,68.84,さくれ/世界の牛肉/粉石鹸/無地/ポール・カート(2)/じす/めろんぱふぇ/もりそば/しけたけし/パーくん/MODY/そよかぜ/かるろす/度蔵まぐら/まさしです/でっていう/髙木トロール/わたがし/水戸/19秒芝生舐め　楽/お尻ス/すぎり(2)/sakasama(2)/山根シティ/投票ボーナス(3)
0485_4175_TNO,2024-06-30,140人,先生「じゃあ、今日は5日だから○○○」,NA,7位,くとぅるふ,風呂入ろうかな,29,67.54,灰色さん/にゃんごすちん/こんなところにエビチリ(3)/石田ホルヘ/ニギハヤルン/粉石鹸/干し柿/2周年🍵/パーくん/MODY/かるろす/きれいな市役所/ちょんまげ/スイートランド/あぐら/elena(3)/留学生/ちゃ柴/お尻ス/お化けチャンドラ/自動車部員/山根シティ/投票ボーナス(3)
0485_4175_TNO,2024-06-30,140人,先生「じゃあ、今日は5日だから○○○」,NA,8位,じす,5位が限界の田中,28,66.23,すずたき/ポール・カート(2)/冷食パスタレビュー/2周年🍵/パーくん/完備(2)/度蔵まぐら/ちょんまげ/ジャイロ/えいり/フユフク(2)/チワワBロック/ドあお/あのこ通話/毎日が夏休み(2)/にこごり/全力仮病/QBEAT/お化けチャンドラ/雲ひとつない撒き餌/山根シティ/投票ボーナス(3)
0485_4175_TNO,2024-06-30,140人,先生「じゃあ、今日は5日だから○○○」,NA,9位,MODY,「「「「「5人に増えました」」」」」,27,64.93,ヴァミリ・ドグァ/うみへすろ(3)/やや不安/無地/我乱童/亜寒帯(2)/もりそば/ゃまゃま/赤黄色/そよかぜ/かるろす/ばあちゃんのへそのごま/アホランド(2)/マリオタク/あのこ通話/毎日が夏休み(2)/お尻ス/すぎり/Good insect/投票ボーナス(3)
0485_4175_TNO,2024-06-30,140人,先生「じゃあ、今日は5日だから○○○」,NA,9位,わたがし,5人まとめて相手してやる,27,64.93,にゃんごすちん/さくれ(2)/チャーハンキッド/はりまや橋子/消波亭ぶろっく/7282/粉石鹸/田口さん🍙/しけたけし/ケイト(2)/スカー/そよかぜ/完備/ばあちゃんのへそのごま/毎日が夏休み(2)/狂ったパン屋さん/水戸/留学生/お尻ス/Good insect/chichiband/投票ボーナス(3)
