お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
2264_4185_ZSV,2024-07-02,88人,全員がブチギレている家具屋さんについて教えてください,NA,1位,ツルミチッ素,人がダメにしたソファもある,53,104.46,シャリタ2(3)/刺身たんぽぽ/monika/俺のわんこ(2)/Q急車/らばん号(2)/ねるねるかねる/ももももも/アイワ/あららうね(2)/タユタウマグナム/冷凍トイレ(2)/詠夜/elena/なちゅらる(3)/理科インターネット/瓶提示/jomajoma(2)/49k2f/収蔵(2)/チワワBロック(2)/サバイブレーション/ぐりーずまん/みどりみのあお(3)/べじたぼ(2)/最高級ノ味噌汁(2)/喋るな/肉団子増し増し(2)/まいりん(2)/人差し指（L字）/業務用虚無(3)/投票ボーナス(3)
2264_4185_ZSV,2024-07-02,88人,全員がブチギレている家具屋さんについて教えてください,NA,2位,ババロア,そこに無いなら無いだろ,32,76.59,井上ヘノシタ/monika/ミッチェル波止場(3)/あかしやきいも/ももももも/右足/ドゴドド/そよかぜ/乙女心ザウルス/よーすけ/たくみす/ツルミチッ素/爆裂種/抹茶ネズミ/さむちょ/サバイブレーション/ぐりーずまん/おてもと/またねこ/最高級ノ味噌汁/田口さん🍙/レイコ/ラクダイヌ/いきいきボーイ(2)/業務用虚無/敵刺/投票ボーナス(3)
2264_4185_ZSV,2024-07-02,88人,全員がブチギレている家具屋さんについて教えてください,NA,3位,49k2f,弁償で成り立ってる,28,71.28,刺身たんぽぽ/まさしです/俺のわんこ/座談会(3)/クロレラサイダー/らばん号/スシトレイン/じゃん/あかしやきいも/ねるねるかねる/ターンブル/タユタウマグナム/冷凍トイレ/たくみす/牛乳中学/収蔵/ぐりーずまん/おてもと/みどりみのあお/ラクダイヌ/肉団子増し増し/1組木下/敵刺/投票ボーナス(3)
2264_4185_ZSV,2024-07-02,88人,全員がブチギレている家具屋さんについて教えてください,NA,4位,あかのすけ,大人の本気の枕投げが見れる,26,68.62,座談会/さてつ/黒胡椒/ターンブル/あららうね/実名希望(2)/乙女心ザウルス/たくみす/おりぇ/すずたき(2)/おてもと/みどりみのあお/べじたぼ/最高級ノ味噌汁/ラクダイヌ/まいりん/業務用虚無(3)/1組木下/敵刺/投票ボーナス(3)
2264_4185_ZSV,2024-07-02,88人,全員がブチギレている家具屋さんについて教えてください,NA,4位,またねこ,最初から倒してある,26,68.62,井上ヘノシタ(3)/monika/クロレラサイダー/最強大喜利マン/じゃん/あかしやきいも/ねるねるかねる/ターンブル/アイワ/実名希望/理科インターネット(2)/たくみす(2)/瓶提示/ツルミチッ素/49k2f/べじたぼ/レイコ/肉団子増し増し/人差し指（L字）/投票ボーナス(3)
2264_4185_ZSV,2024-07-02,88人,全員がブチギレている家具屋さんについて教えてください,NA,6位,あかしやきいも,カーテンに子供が隠れてる,24,65.97,きの/monika/全力仮病/最強大喜利マン(3)/スシトレイン(2)/じゃん/ターンブル/突然及川/あららうね(2)/そよかぜ/きれいな市役所/乙女心ザウルス/牛乳中学/ハメ鳥太郎/喋るな/業務用虚無/敵刺/投票ボーナス(3)
2264_4185_ZSV,2024-07-02,88人,全員がブチギレている家具屋さんについて教えてください,NA,7位,みどりみのあお,落ち着かせるための椅子もある,22,63.31,刺身たんぽぽ/あざらし２/一本松(2)/クロレラサイダー/あかしやきいも/ねるねるかねる/突然及川/タユタウマグナム/トマトラバー/瓶提示/収蔵(2)/チワワBロック/おてもと/またねこ/目につく男/業務用虚無(2)/投票ボーナス(3)
2264_4185_ZSV,2024-07-02,88人,全員がブチギレている家具屋さんについて教えてください,NA,8位,そよかぜ,引き出しに武器がある,21,61.99,monika/クロレラサイダー/スシトレイン/じゃん/あかしやきいも/あららうね/ラプンツェル/きれいな市役所/瀧山グングニル/トマトラバー/たくみす(2)/べじたぼ/またねこ(2)/喋るな/目につく男/敵刺/投票ボーナス(3)
2264_4185_ZSV,2024-07-02,88人,全員がブチギレている家具屋さんについて教えてください,NA,9位,きれいな市役所,生意気な木目だな,20,60.66,monika/まさしです/あざらし２(2)/Q急車(2)/クロレラサイダー/ねるねるかねる/アイワ/右足/そよかぜ/瓶提示(2)/ツルミチッ素/jomajoma/魚の/田口さん🍙/投票ボーナス(3)
2264_4185_ZSV,2024-07-02,88人,全員がブチギレている家具屋さんについて教えてください,NA,9位,クロレラサイダー,家具が申し訳なさそう,20,60.66,ミッチェル波止場/全力仮病/Q急車(2)/スシトレイン/ももももも/ターンブル/ドゴドド/なぎぃ/そよかぜ/elena/なちゅらる(2)/レイコ/肉団子増し増し/目につく男/業務用虚無/投票ボーナス(3)
2264_4185_ZSV,2024-07-02,88人,全員がブチギレている家具屋さんについて教えてください,NA,11位,あららうね,キツツキが放し飼いにされてる,19,59.33,きの(3)/さてつ/らばん号/アイワ/なぎぃ/ちゃ柴/魚の/おりぇ/抹茶ネズミ(2)/ハメ鳥太郎/みどりみのあお/喋るな/業務用虚無/投票ボーナス(3)
2264_4185_ZSV,2024-07-02,88人,全員がブチギレている家具屋さんについて教えてください,NA,12位,jomajoma,叩く用の机がある,18,58.0,あざらし２/クロレラサイダー/あかしやきいも/アイワ/ドゴドド/なぎぃ/冷凍トイレ/ラプンツェル/乙女心ザウルス/おてもと/みどりみのあお(2)/業務用虚無(2)/敵刺/投票ボーナス(3)
2264_4185_ZSV,2024-07-02,88人,全員がブチギレている家具屋さんについて教えてください,NA,12位,さてつ,全部の角にスポンジ付けてる,18,58.0,一本松(2)/あららうね/実名希望/きれいな市役所/乙女心ザウルス/ツルミチッ素/魚の/さむちょ/収蔵/おてもと/みどりみのあお/またねこ/業務用虚無/1組木下/投票ボーナス(3)
2264_4185_ZSV,2024-07-02,88人,全員がブチギレている家具屋さんについて教えてください,NA,12位,たくみす,思春期の部屋みたいになる,18,58.0,さてつ/Q急車/クロレラサイダー/アイワ/elena(2)/瀧山グングニル/トマトラバー/jomajoma/おりぇ/さむちょ/ぐりーずまん/田口さん🍙/ロビンろびん/1組木下/投票ボーナス(3)
