お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
3023_0922_BWE,2024-07-05,105人,キモい工場、どんなの？,NA,1位,お化けチャンドラ,手が空いてたら繋ぐ,37,88.55,ナゲット・ワイルド/硬すぎる(2)/こんなところにエビチリ(3)/涙の川とエクボ/味しらべ(2)/くとぅるふ/ロンパ(3)/のうのみそ/えん/ちょうろー/きゅーきゅー(2)/ひがその/少しだけ賢い/nashikuzushi(2)/素犬/河川敷と高架橋、時雨/大ちゃんす/たくみす(2)/まめまめデスメタル/たのしいせいかつか/隣駅(2)/OLDMAN/うえじゅん/箱根八里/投票ボーナス(3)
3023_0922_BWE,2024-07-05,105人,キモい工場、どんなの？,NA,2位,少しだけ賢い,見学されると速くなる,32,80.81,ナゲット・ワイルド/こんなところにエビチリ(3)/drzz/涙の川とエクボ/味しらべ/俺のわんこ(2)/いりごま。(2)/えん/ヒルスライム/蓮丸/切り干しライオン/ちぇみちぇみ！/たくみす(2)/まめまめデスメタル/瞳の中の遣隋使(2)/サイコパス金子/OLDMAN/ハッスル運動会/しばらくはうに/ベモペギ/近日公開/うえじゅん/箱根八里/投票ボーナス(3)
3023_0922_BWE,2024-07-05,105人,キモい工場、どんなの？,NA,3位,ちぇみちぇみ！,飛んだ指に群がる,28,74.61,あしたの副船長/じす/ロンパ/のうのみそ/えん/迷探亭困難/abcdefg/あぐら/マルタタマル/台湾まぜそば/少しだけ賢い/蓮丸(3)/素犬/こんよす/王いぇい(2)/瞳の中の遣隋使/たのしいせいかつか/隣駅/しばらくはうに/アーバンストリート/うえじゅん/箱根八里/投票ボーナス(3)
3023_0922_BWE,2024-07-05,105人,キモい工場、どんなの？,NA,4位,桜桃,材料の方が少ない,26,71.51,elena/drzz/全力仮病/えいり/くとぅるふ/のうのみそ/お化けチャンドラ/723(2)/きゅーきゅー/ねこめんたい/ドゴドド/蓮丸/瀧山グングニル/ちぇみちぇみ！/大ちゃんす/瞳の中の遣隋使/ババロア/にこごり/しばらくはうに/大切にしよう/近日公開/ミートパイ(3)/箱根八里
3023_0922_BWE,2024-07-05,105人,キモい工場、どんなの？,NA,5位,たのしいせいかつか,口の中で完成する,25,69.97,硬すぎる/ケルン(2)/全力仮病/くとぅるふ/ずずエさん/いりごま。/じす/ロンパ/723(2)/abcdefg/あぐら/蓮丸/素犬/ちぇみちぇみ！/たくみす/さてつ/隣駅/OLDMAN/にこごり(2)/投票ボーナス(3)
3023_0922_BWE,2024-07-05,105人,キモい工場、どんなの？,NA,6位,あぐら,煙が女についていく,23,66.87,こんなところにエビチリ/ずずエさん/オーバーニート(2)/じす/ロンパ/のうのみそ/ちょうろー/少しだけ賢い/蓮丸(2)/瀧山グングニル/切り干しライオン/ちぇみちぇみ！/こんよす/ババロア/アーバンストリート/ベモペギ/近日公開/うえじゅん/投票ボーナス(3)
3023_0922_BWE,2024-07-05,105人,キモい工場、どんなの？,NA,7位,じす,雄レーンと雌レーンを合流させる,22,65.32,てんす犬/あまちゃん/マス田中/ヒルスライム/ねこめんたい(2)/puch1(2)/蓮丸/河川敷と高架橋、時雨/大ちゃんす/こんよす/たくみす/ババロア/カエル販売機/ハッスル運動会/しばらくはうに/ミートパイ(2)/投票ボーナス(3)
3023_0922_BWE,2024-07-05,105人,キモい工場、どんなの？,NA,7位,アーバンストリート,ラジオ体操してから帰る,22,65.32,ケルン/味しらべ/いりごま。/深海誠/きゅーきゅー(2)/keaf/ヒルスライム/puch1/少しだけ賢い/大ちゃんす/こんよす/たくみす/まめまめデスメタル/たのしいせいかつか/ババロア/大切にしよう/知性丸出し/箱根八里/投票ボーナス(3)
3023_0922_BWE,2024-07-05,105人,キモい工場、どんなの？,NA,9位,たくみす,夜は回転寿司になる,21,63.77,elena/ナゲット・ワイルド/涙の川とエクボ/迷探亭困難/きゅーきゅー/keaf/台湾まぜそば/蓮丸/もふっこ/素犬/河川敷と高架橋、時雨/たのしいせいかつか/コックカワサキ/ハッスル運動会/アーバンストリート/ベモペギ/ミートパイ/ひじきニキ/投票ボーナス(3)
3023_0922_BWE,2024-07-05,105人,キモい工場、どんなの？,NA,9位,大切にしよう,完成する度に想定外みたいな顔する,21,63.77,ケルン/くとぅるふ/俺のわんこ(2)/こどく共和国/オーバーニート/keaf/河川敷と高架橋、時雨/水戸(2)/瞳の中の遣隋使/さてつ/隣駅/カエル販売機/ハッスル運動会/アーバンストリート/ベモペギ/知性丸出し/投票ボーナス(3)
3023_0922_BWE,2024-07-05,105人,キモい工場、どんなの？,NA,9位,深海誠,ずっと拍手の音がする,21,63.77,こんなところにエビチリ(2)/あしたの副船長/えいり/てんす犬/俺のわんこ/ずずエさん/いりごま。/ロンパ(2)/車論/お化けチャンドラ/あぐら/蓮丸(2)/ちぇみちぇみ！/たのしいせいかつか/大切にしよう/投票ボーナス(3)
3023_0922_BWE,2024-07-05,105人,キモい工場、どんなの？,NA,12位,うえじゅん,1人が作って100人が検査する,20,62.22,ケルン/俺のわんこ/いりごま。(2)/のうのみそ/きゅーきゅー/abcdefg/ヒルスライム/蓮丸/河川敷と高架橋、時雨/こんよす/ババロア/カエル販売機/にこごり/知性丸出し/ミートパイ/ひじきニキ/投票ボーナス(3)
3023_0922_BWE,2024-07-05,105人,キモい工場、どんなの？,NA,12位,くとぅるふ,風鈴の音で冷やしてる,20,62.22,ナゲット・ワイルド/drzz/車論(2)/723(2)/きゅーきゅー(2)/abcdefg/蓮丸/ちぇみちぇみ！/たのしいせいかつか(2)/サイコパス金子/カエル販売機/しばらくはうに/ミートパイ/投票ボーナス(3)
3023_0922_BWE,2024-07-05,105人,キモい工場、どんなの？,NA,12位,ヒルスライム,ﾏﾆｭﾌｧｸﾁｬｧ…,20,62.22,てんす犬/俺のわんこ/いりごま。/keaf/マルタタマル/puch1(3)/蓮丸/水戸/瞳の中の遣隋使/ババロア/カエル販売機/コックカワサキ(2)/OLDMAN/にこごり/投票ボーナス(3)
3023_0922_BWE,2024-07-05,105人,キモい工場、どんなの？,NA,12位,瀧山グングニル,音が全くしない,20,62.22,elena/ナゲット・ワイルド/ケルン/drzz/あしたの副船長/全力仮病/ずずエさん/えん/ねこめんたい/蓮丸(2)/ちぇみちぇみ！/王いぇい/サイコパス金子/ハッスル運動会/大切にしよう/箱根八里/投票ボーナス(3)
3023_0922_BWE,2024-07-05,105人,キモい工場、どんなの？,NA,16位,てんす犬,男女比が13:17,19,60.67,drzz/いりごま。/ちょうろー/ヒルスライム/台湾まぜそば/蓮丸/河川敷と高架橋、時雨/こんよす/たくみす/まめまめデスメタル/隣駅/サイコパス金子/OLDMAN/アーバンストリート/知性丸出し/ひじきニキ/投票ボーナス(3)
3023_0922_BWE,2024-07-05,105人,キモい工場、どんなの？,NA,16位,ひじきニキ,ﾏﾆｭﾌｧｸﾁｭｧ…,19,60.67,えいり/てんす犬/俺のわんこ/いりごま。/723/keaf/マルタタマル/puch1(3)/蓮丸/水戸/瞳の中の遣隋使/ババロア/サイコパス金子/OLDMAN/投票ボーナス(3)
3023_0922_BWE,2024-07-05,105人,キモい工場、どんなの？,NA,16位,篁,非常停止ボタンから糸引いてる,19,60.67,硬すぎる/あしたの副船長/てんす犬/オーバーニート/いりごま。/じす/お化けチャンドラ/素犬/背の順/こんよす/たくみす(2)/コックカワサキ/大切にしよう/ころばし屋/キーマ(3)/うえじゅん
3023_0922_BWE,2024-07-05,105人,キモい工場、どんなの？,NA,19位,きゅーきゅー,気づくと隣にある,17,57.58,elena/いりごま。/のうのみそ/ちょうろー/迷探亭困難/abcdefg/台湾まぜそば/nashikuzushi(2)/ドゴドド/蓮丸/もふっこ/素犬/ベモペギ/投票ボーナス(3)
3023_0922_BWE,2024-07-05,105人,キモい工場、どんなの？,NA,19位,ナゲット・ワイルド,⚠️この先危険です笑,17,57.58,全力仮病/味しらべ(2)/あまちゃん/こどく共和国/えん/ちょうろー/ヒルスライム/少しだけ賢い/水戸/ころばし屋/ベモペギ/知性丸出し/ひじきニキ/投票ボーナス(3)
3023_0922_BWE,2024-07-05,105人,キモい工場、どんなの？,NA,19位,マス田中,知らない思い出が増えていく,17,57.58,elena/ずずエさん/ちょうろー/puch1(2)/nashikuzushi(2)/蓮丸/河川敷と高架橋、時雨/隣駅/ババロア/しばらくはうに/ベモペギ/ひじきニキ/投票ボーナス(3)
3023_0922_BWE,2024-07-05,105人,キモい工場、どんなの？,NA,19位,涙の川とエクボ,少しずつ揺らして強炭酸を微炭酸にする,17,57.58,こんなところにエビチリ(3)/いりごま。/keaf/ひがその/もふっこ/切り干しライオン/背の順/大ちゃんす/王いぇい/OLDMAN/ベモペギ/知性丸出し/投票ボーナス(3)
