お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1810_0795_DUZ,2024-07-14,99人,大食い大会の決勝で起きた珍事件,NA,1位,てふてふ！,食べ方で兄弟と判明,37,90.61,黒田虚弱体質/すいみんちゃん/へきさまる/あまちゃんIII/ええやん×ええやん/カフラマン/国産/しょうりゅー/味しらべ/理科インターネット(2)/まちょ/酒ジプシー/＃の中のカマ吉くん/もりそば/Kawakami/ボインの逆襲/Koma/スモール陶芸家/寿司らぎ(3)/藤の実/右足/シャザーン/スムー！(3)/むらさき/アスパラ/ひろきん/gas/関戸SA/フセ(2)/クマ牧場/詠夜
1810_0795_DUZ,2024-07-14,99人,大食い大会の決勝で起きた珍事件,NA,2位,双葉柿浦六番線,輸出する分まで手をつけ始めた,30,79.0,黒田虚弱体質/すいみんちゃん/石蓴(3)/あまちゃんIII/かきあげ団団員(2)/カフラマン/黄緑黄緑黄緑/たこかいな(2)/しょうりゅー/理科インターネット/雨安吾/ノコノコdeath/まちょ/声にならないSOS/＃の中のカマ吉くん/もりそば/瀬尾しゃもじ(2)/山本 瑛太/深海誠/毒桃/ミトンアイス/関戸SA/投票ボーナス(3)
1810_0795_DUZ,2024-07-14,99人,大食い大会の決勝で起きた珍事件,NA,3位,クマ牧場,誰もライチのむき方がわからない,28,75.68,黒田虚弱体質/Heaven/国産/しょうりゅー/さくれ/前転したい/龐徳/どくだみくん/赤黄色/ボブ（北陸在住）/Koma(2)/トキテツ/Quijadaマグロ/スモール陶芸家/双葉柿浦六番線/ハマの薄毛/jomajoma/アスパラ/gas/関戸SA/井伊直弼/鴨蕎麦/蛸壺/綿白 雪/投票ボーナス(3)
1810_0795_DUZ,2024-07-14,99人,大食い大会の決勝で起きた珍事件,NA,4位,jomajoma,旨すぎてシェフ呼んだ,27,74.02,石蓴(3)/あまちゃんIII/かきあげ団団員(2)/Heaven/国産/ツアラー爺/雨安吾/Kawakami/鳥羽田てんてん/山本 瑛太/こねぎ/どどど/寿司らぎ/MODY/アスパラ/ひろきん(3)/関戸SA/ヨモスガラ/詠夜/投票ボーナス(3)
1810_0795_DUZ,2024-07-14,99人,大食い大会の決勝で起きた珍事件,NA,5位,声にならないSOS,腹と腹が触れた,26,72.36,黄緑黄緑黄緑/Heaven/たこかいな/国産/味しらべ/雨安吾/画餅/シーサイド品川/酒ジプシー/＃の中のカマ吉くん/赤黄色/ぼさつ/カナダ/ミトンアイス/寿司らぎ/ちりめん猛者/右足/シャザーン/むらさき/チュン/まぐなむ/ヨモスガラ/チャレタイ/投票ボーナス(3)
1810_0795_DUZ,2024-07-14,99人,大食い大会の決勝で起きた珍事件,NA,6位,l82v5zk,大食いがAIに取って代わられた,23,67.39,すいみんちゃん/弟子鈴/雨安吾/画餅/さくれ/前転したい(2)/どくだみくん/鳥羽田てんてん/山本 瑛太/トキテツ/勤務中淫夢厨/ちりめん猛者/ぺりだっち(3)/ハマの薄毛/jomajoma/クーネルダス/チャレタイ/投票ボーナス(3)
1810_0795_DUZ,2024-07-14,99人,大食い大会の決勝で起きた珍事件,NA,6位,ノニバス,豆がつかめない,23,67.39,へきさまる/ゆんける/弟子鈴/ベンツ女/Heaven/たこかいな/国産/ななみやま(3)/どくだみくん(2)/赤黄色/Kawakami/ミトンアイス/ハマの薄毛/シャザーン/MODY/アスパラ/座談会/投票ボーナス(3)
1810_0795_DUZ,2024-07-14,99人,大食い大会の決勝で起きた珍事件,NA,8位,しょうりゅー,あれ加熱用のやつだぞ,21,64.07,すいみんちゃん/撮影所ソルジャー/鉢巻ランドロス(3)/あかしやきいも/ゆんける/ツアラー爺/もりそば/瀬尾しゃもじ/藤の実/ハマの薄毛/シャザーン/座談会(2)/関戸SA/井伊直弼/チャレタイ/投票ボーナス(3)
1810_0795_DUZ,2024-07-14,99人,大食い大会の決勝で起きた珍事件,NA,9位,MODY,みんなシェフを呼んだ,20,62.41,黒田虚弱体質/へきさまる/あまちゃんIII/l82v5zk/Heaven/ツアラー爺/ボブ（北陸在住）/ぼさつ/りますぐ/どどど/藤の実/シャザーン/むらさき/ひろきん(2)/座談会/綿白 雪/投票ボーナス(3)
1810_0795_DUZ,2024-07-14,99人,大食い大会の決勝で起きた珍事件,NA,9位,さくれ,まさかのコース料理,20,62.41,すいみんちゃん/あかしやきいも/ツアラー爺/画餅/鳥羽田てんてん/Koma/どどど/カナダ/ミトンアイス/ちりめん猛者/右足/MODY/jomajoma/アスパラ/座談会/フセ/詠夜/投票ボーナス(3)
