お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
7235_7396_BLP,2021-12-09,20人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7235_7396_BLP.jpeg,1位,jun,あの場所もイオンに変わるのね,16,66.81,tetote(2)/ねびるハマチキ/雪国のイッサイガッサイ/ケアしてねパーマン/現世細木数男/ティチィ/くれないだろう(3)/ｚｅｚｅ(2)/泣く日もある重田/ありちゃん/るめから(2)
7235_7396_BLP,2021-12-09,20人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7235_7396_BLP.jpeg,1位,たらちね空を飛ぶ,サソリの毒は周りが早いんだ,16,66.81,ニンニク大好き/異動君/ズリ/ねびるハマチキ(2)/千里/jun/ケアしてねパーマン(2)/現世細木数男(2)/くれないだろう/ｚｅｚｅ(2)/ありちゃん/るめから
7235_7396_BLP,2021-12-09,20人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7235_7396_BLP.jpeg,1位,ニンニク大好き,いや、うちにテレビ無いんで、、はい、帰ってください、、,16,66.81,ぴのこ/異動君/tetote/化粧品/Jコム男/ズリ/ねびるハマチキ/雪国のイッサイガッサイ/ケアしてねパーマン/現世細木数男/たらちね空を飛ぶ/ティチィ/くれないだろう(2)/泣く日もある重田/ありちゃん
7235_7396_BLP,2021-12-09,20人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7235_7396_BLP.jpeg,4位,現世細木数男,こっち撮ってるかスクショか分からない感じやめて,14,59.95,異動君/化粧品/Jコム男/ねびるハマチキ/雪国のイッサイガッサイ(2)/ケアしてねパーマン/たらちね空を飛ぶ/ティチィ/くれないだろう/泣く日もある重田(2)/ありちゃん/るめから
7235_7396_BLP,2021-12-09,20人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7235_7396_BLP.jpeg,5位,スコーピオンみゆき,UFOがどうしたっていうんだ,13,56.52,異動君/tetote/ねびるハマチキ/雪国のイッサイガッサイ(2)/ケアしてねパーマン(2)/現世細木数男/たらちね空を飛ぶ/くれないだろう/ｚｅｚｅ(2)/ありちゃん
7235_7396_BLP,2021-12-09,20人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7235_7396_BLP.jpeg,5位,ムギヒッヒ,結局来ねえじゃねぇかあの犬,13,56.52,ぴのこ/tetote(3)/化粧品/たらちね空を飛ぶ/ティチィ/くれないだろう/ｚｅｚｅ(2)/泣く日もある重田/ありちゃん/るめから
7235_7396_BLP,2021-12-09,20人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7235_7396_BLP.jpeg,7位,Jコム男,あのビキニわたしに似合うかなぁ,12,53.08,雪国のイッサイガッサイ/ケアしてねパーマン/現世細木数男/たらちね空を飛ぶ/ティチィ/くれないだろう(2)/泣く日もある重田(2)/ありちゃん/るめから(2)
7235_7396_BLP,2021-12-09,20人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7235_7396_BLP.jpeg,7位,Tomy@Sweden,県境の敵は任せて,12,53.08,異動君/tetote/Jコム男(2)/ズリ/千里/jun/現世細木数男/文豪ボツちゃん/ｚｅｚｅ/るめから(2)
7235_7396_BLP,2021-12-09,20人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7235_7396_BLP.jpeg,7位,エンパイ2貫を食う,病室って息苦しいんだもの,12,53.08,tetote/Jコム男(2)/ズリ/ねびるハマチキ/雪国のイッサイガッサイ/千里/ケアしてねパーマン(2)/たらちね空を飛ぶ/ティチィ/くれないだろう
7235_7396_BLP,2021-12-09,20人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7235_7396_BLP.jpeg,10位,化粧品,ジバコイルつええ,11,49.65,異動君(2)/Jコム男/ねびるハマチキ/雪国のイッサイガッサイ(2)/ケアしてねパーマン/現世細木数男/たらちね空を飛ぶ/ティチィ/泣く日もある重田
