お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
3666_4765_SFH,2021-12-13,18人,昔自分をいじめてた奴が崖につかまっているのを見て一言,NA,1位,スコーピオンみゆき,長い話になる。耐えられるか？,3,71.59,ぴのこ/ムギヒッヒ/jun
3666_4765_SFH,2021-12-13,18人,昔自分をいじめてた奴が崖につかまっているのを見て一言,NA,2位,たらちね空を飛ぶ,東京はいつもお前の味方だった,2,60.16,ぴのこ/ムギヒッヒ
3666_4765_SFH,2021-12-13,18人,昔自分をいじめてた奴が崖につかまっているのを見て一言,NA,2位,まかお。,大丈夫かトロピカルたけし,2,60.16,ムギヒッヒ(2)
3666_4765_SFH,2021-12-13,18人,昔自分をいじめてた奴が崖につかまっているのを見て一言,NA,2位,チェンジアップ,いつもみたいに牛乳買ってくる？,2,60.16,ムギヒッヒ/蟹光線
3666_4765_SFH,2021-12-13,18人,昔自分をいじめてた奴が崖につかまっているのを見て一言,NA,2位,千里,すまん歌いたい気分なんだ,2,60.16,ムギヒッヒ/jun
3666_4765_SFH,2021-12-13,18人,昔自分をいじめてた奴が崖につかまっているのを見て一言,NA,2位,雪国のイッサイガッサイ,俺今度バチェラーも出るんだ,2,60.16,ムギヒッヒ(2)
3666_4765_SFH,2021-12-13,18人,昔自分をいじめてた奴が崖につかまっているのを見て一言,NA,7位,gife,あるところに可哀想な少年がいました,1,48.72,ムギヒッヒ
3666_4765_SFH,2021-12-13,18人,昔自分をいじめてた奴が崖につかまっているのを見て一言,NA,7位,ズリ,ローションがこぼれちゃったの巻,1,48.72,jun
3666_4765_SFH,2021-12-13,18人,昔自分をいじめてた奴が崖につかまっているのを見て一言,NA,7位,チャーリー,おい、ですよ。お前はここで終わりだ,1,48.72,ダンス本物の
3666_4765_SFH,2021-12-13,18人,昔自分をいじめてた奴が崖につかまっているのを見て一言,NA,7位,化粧品,ありがとうありがとう,1,48.72,ムギヒッヒ
3666_4765_SFH,2021-12-13,18人,昔自分をいじめてた奴が崖につかまっているのを見て一言,NA,7位,尻銃装填,辻斬りや 君が出る間に おぼろ月,1,48.72,ダンス本物の
3666_4765_SFH,2021-12-13,18人,昔自分をいじめてた奴が崖につかまっているのを見て一言,NA,7位,獅子姉妹,サトル君、俺正社員になったんだ。今助けるからね。,1,48.72,ぴのこ
3666_4765_SFH,2021-12-13,18人,昔自分をいじめてた奴が崖につかまっているのを見て一言,NA,7位,現世細木数男,チェスの駒みたいにしてやろうか,1,48.72,ムギヒッヒ
3666_4765_SFH,2021-12-13,18人,昔自分をいじめてた奴が崖につかまっているのを見て一言,NA,14位,Jコム男,今配当金を数えてるんだ,0,37.29,NA
3666_4765_SFH,2021-12-13,18人,昔自分をいじめてた奴が崖につかまっているのを見て一言,NA,14位,jun,アナタにはここにいるオーディエンスかテレフォンを使う権利があります,0,37.29,NA
3666_4765_SFH,2021-12-13,18人,昔自分をいじめてた奴が崖につかまっているのを見て一言,NA,14位,tetote,あんたもNANAって言うんだ,0,37.29,NA
3666_4765_SFH,2021-12-13,18人,昔自分をいじめてた奴が崖につかまっているのを見て一言,NA,14位,ありちゃん,死んだとして一言どうぞ,0,37.29,NA
3666_4765_SFH,2021-12-13,18人,昔自分をいじめてた奴が崖につかまっているのを見て一言,NA,14位,ムギヒッヒ,ジャーン！携帯用ローション ぺぺ〜！！,0,37.29,NA
