お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
3570_6665_OOX,2021-12-28,18人,パパ活百段女子の日常を教えてください,NA,1位,つん,満員電車でスクラムを組んで守らせる,18,69.95,異動君(2)/Jコム男/ねびるハマチキ/あいすたべたい/チェンジアップ(3)/現世細木数男/まかお。(2)/最近の外人/くれないだろう(2)/ありちゃん/シド/エンパイ2貫を食う(2)
3570_6665_OOX,2021-12-28,18人,パパ活百段女子の日常を教えてください,NA,2位,チャーリー,パパの活動が停止する最終奥義がある,15,62.86,ズマトン/異動君/F5連(2)/チェンジアップ(2)/現世細木数男/まかお。(2)/最近の外人/くれないだろう/ありちゃん/シド/エンパイ2貫を食う(2)
3570_6665_OOX,2021-12-28,18人,パパ活百段女子の日常を教えてください,NA,3位,まかお。,一切栄養を与えていないゾウにまたがって遠くのパパを探してる,14,60.5,異動君/Jコム男/雪国のイッサイガッサイ/あいすたべたい(2)/F5連(2)/チェンジアップ/現世細木数男(2)/最近の外人/ありちゃん/シド(2)
3570_6665_OOX,2021-12-28,18人,パパ活百段女子の日常を教えてください,NA,4位,Jコム男,パパの動きがゆっくりに見える,13,58.13,あいすたべたい(2)/F5連(2)/チェンジアップ(2)/まかお。(2)/最近の外人(2)/ありちゃん(2)/シド
3570_6665_OOX,2021-12-28,18人,パパ活百段女子の日常を教えてください,NA,4位,T（てぃー）,忙しくて待ち合わせにタコを行かせたことがある,13,58.13,ねびるハマチキ(3)/あいすたべたい/F5連/チェンジアップ(2)/まかお。/最近の外人(2)/くれないだろう(2)/ありちゃん
3570_6665_OOX,2021-12-28,18人,パパ活百段女子の日常を教えてください,NA,4位,チェンジアップ,"パパの金銭的体力が頭の上に浮かんでる
",13,58.13,異動君/雪国のイッサイガッサイ/あいすたべたい/F5連/まかお。(2)/最近の外人(2)/くれないだろう(2)/シド/エンパイ2貫を食う(2)
3570_6665_OOX,2021-12-28,18人,パパ活百段女子の日常を教えてください,NA,7位,蟹光線,脳に直接金の無心,12,55.77,Jコム男/ねびるハマチキ/雪国のイッサイガッサイ/あいすたべたい/F5連(2)/チェンジアップ/現世細木数男/最近の外人/ありちゃん/シド/エンパイ2貫を食う
3570_6665_OOX,2021-12-28,18人,パパ活百段女子の日常を教えてください,NA,8位,びろびろーん,蓄えと共にお腹の段々も増えている,11,53.41,異動君/Jコム男/雪国のイッサイガッサイ/あいすたべたい/F5連/チェンジアップ/最近の外人/くれないだろう/ありちゃん(2)/エンパイ2貫を食う
3570_6665_OOX,2021-12-28,18人,パパ活百段女子の日常を教えてください,NA,8位,ぽんちゃん,白馬の王子様は科学で生もうとしてる,11,53.41,異動君/ねびるハマチキ/チェンジアップ/現世細木数男(2)/まかお。/くれないだろう(2)/ありちゃん(2)/シド
3570_6665_OOX,2021-12-28,18人,パパ活百段女子の日常を教えてください,NA,10位,F5連,すべての通貨を受け付けてる,8,46.32,Jコム男(2)/ねびるハマチキ/チェンジアップ(2)/くれないだろう/ありちゃん/エンパイ2貫を食う
3570_6665_OOX,2021-12-28,18人,パパ活百段女子の日常を教えてください,NA,11位,くれないだろう,大抵のトラブルは拳で解決してきた,7,43.96,雪国のイッサイガッサイ/あいすたべたい(2)/F5連/チェンジアップ/エンパイ2貫を食う(2)
3570_6665_OOX,2021-12-28,18人,パパ活百段女子の日常を教えてください,NA,11位,るめから,キスすると妊娠するとされてる,7,43.96,ズマトン/F5連/チェンジアップ/まかお。/ありちゃん/エンパイ2貫を食う(2)
3570_6665_OOX,2021-12-28,18人,パパ活百段女子の日常を教えてください,NA,11位,化粧品,すれ違ったパパの財布が成仏する,7,43.96,あいすたべたい/チェンジアップ/まかお。/最近の外人(2)/ありちゃん/エンパイ2貫を食う
3570_6665_OOX,2021-12-28,18人,パパ活百段女子の日常を教えてください,NA,11位,雪国のイッサイガッサイ,糸電話使ってるからLINEやってなーい,7,43.96,ズマトン/異動君/あいすたべたい(2)/チェンジアップ(2)/まかお。
3570_6665_OOX,2021-12-28,18人,パパ活百段女子の日常を教えてください,NA,15位,あいすたべたい,薔薇とお喋り,5,39.23,F5連(2)/まかお。/ありちゃん/シド
3570_6665_OOX,2021-12-28,18人,パパ活百段女子の日常を教えてください,NA,15位,シド,イオナズンを覚えてる,5,39.23,Jコム男/チェンジアップ/現世細木数男/最近の外人/くれないだろう
3570_6665_OOX,2021-12-28,18人,パパ活百段女子の日常を教えてください,NA,17位,エンパイ2貫を食う,脳から直接インスタにアクセスできる,3,34.51,ねびるハマチキ/チェンジアップ/まかお。
3570_6665_OOX,2021-12-28,18人,パパ活百段女子の日常を教えてください,NA,17位,最近の外人,足が速すぎて税金が追いつけない,3,34.51,ねびるハマチキ/チェンジアップ/まかお。
