お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
5216_7525_AAS,2021-12-31,19人,深夜ドラマ『キミはマグロ』のワンシーン,NA,1位,jun,私カジキマグロの切った鼻先に単３電池を入れる彼,17,67.28,Tomy@Sweden(3)/あいすたべたい/ぽんちゃん(2)/F5連/チェンジアップ(2)/ナルシマアンバイ/まかお。/最近の外人(2)/チャーリー(2)/エンパイ2貫を食う(2)
5216_7525_AAS,2021-12-31,19人,深夜ドラマ『キミはマグロ』のワンシーン,NA,2位,gife,あんなに愛していたのにとても美味しい,16,64.37,ズマトン/つん(3)/あいすたべたい/ぽんちゃん(2)/F5連/jun/尻銃装填/まかお。(2)/ガガガの棋太郎/チャーリー/シド/エンパイ2貫を食う
5216_7525_AAS,2021-12-31,19人,深夜ドラマ『キミはマグロ』のワンシーン,NA,3位,ナルシマアンバイ,"鉄火鉄火にローション塗りたくり、
大間た開きのヒロインを見上げる主人公がトロけてる",15,61.47,T（てぃー）(3)/Tomy@Sweden(2)/あいすたべたい/F5連/チェンジアップ/まかお。/最近の外人(2)/チャーリー/シド(3)
5216_7525_AAS,2021-12-31,19人,深夜ドラマ『キミはマグロ』のワンシーン,NA,4位,たらちね空を飛ぶ,これマネキンちゃうか,14,58.56,Tomy@Sweden(2)/あいすたべたい/ぽんちゃん/F5連/尻銃装填/チェンジアップ(2)/ガガガの棋太郎(2)/最近の外人/チャーリー/シド(2)
5216_7525_AAS,2021-12-31,19人,深夜ドラマ『キミはマグロ』のワンシーン,NA,4位,ズマトン,「違うの…私は赤マンボウなの……」,14,58.56,T（てぃー）/ぽんちゃん/F5連/jun/尻銃装填/チェンジアップ(2)/ナルシマアンバイ/まかお。/最近の外人/チャーリー(2)/シド(2)
5216_7525_AAS,2021-12-31,19人,深夜ドラマ『キミはマグロ』のワンシーン,NA,4位,核ラミナ,一緒に住むと養殖マグロの補助金が出るから、目的はそれだけだから,14,58.56,T（てぃー）/淀川流水/ぽんちゃん(2)/F5連(2)/尻銃装填/チェンジアップ(2)/まかお。/最近の外人/チャーリー/シド/エンパイ2貫を食う
5216_7525_AAS,2021-12-31,19人,深夜ドラマ『キミはマグロ』のワンシーン,NA,7位,つん,魚拓柄のシーツを僕にねだる彼女,12,52.75,T（てぃー）(3)/Tomy@Sweden/あいすたべたい/尻銃装填/チェンジアップ(3)/チャーリー/シド(2)
5216_7525_AAS,2021-12-31,19人,深夜ドラマ『キミはマグロ』のワンシーン,NA,7位,化粧品,墨汁をかけて拓を取る所から始まる,12,52.75,ズマトン/Tomy@Sweden/あいすたべたい/ぽんちゃん(2)/F5連/尻銃装填/チェンジアップ/最近の外人/チャーリー/シド/エンパイ2貫を食う
5216_7525_AAS,2021-12-31,19人,深夜ドラマ『キミはマグロ』のワンシーン,NA,7位,淀川流水,ヒロインの生肌に茂る黒いダイヤの様な光景に思わずカジキ付く,12,52.75,T（てぃー）/Tomy@Sweden(3)/ぽんちゃん(2)/F5連(2)/まかお。/最近の外人/チャーリー/シド
5216_7525_AAS,2021-12-31,19人,深夜ドラマ『キミはマグロ』のワンシーン,NA,7位,現世細木数男,差別が多くてあまり事が進まない,12,52.75,淀川流水/Tomy@Sweden(2)/あいすたべたい/ぽんちゃん(2)/尻銃装填(2)/チェンジアップ/最近の外人/チャーリー/エンパイ2貫を食う
5216_7525_AAS,2021-12-31,19人,深夜ドラマ『キミはマグロ』のワンシーン,NA,7位,雪国のイッサイガッサイ,ヌルヌルしていて柔道が強い,12,52.75,T（てぃー）/Tomy@Sweden(2)/jun/尻銃装填(2)/まかお。/ガガガの棋太郎(2)/チャーリー(2)/シド
5216_7525_AAS,2021-12-31,19人,深夜ドラマ『キミはマグロ』のワンシーン,NA,12位,Jコム男,"競りでキミに値段が付けられる所で咽び泣く
",9,44.03,ぴのこ/Tomy@Sweden(2)/つん/あいすたべたい/F5連/エンパイ2貫を食う(3)
5216_7525_AAS,2021-12-31,19人,深夜ドラマ『キミはマグロ』のワンシーン,NA,12位,チャーリー,これはキミじゃなくて壁か,9,44.03,T（てぃー）(2)/淀川流水/F5連/尻銃装填/チェンジアップ(2)/ナルシマアンバイ/まかお。
5216_7525_AAS,2021-12-31,19人,深夜ドラマ『キミはマグロ』のワンシーン,NA,14位,tetote,激しく服を着せる時もある,8,41.12,つん(2)/あいすたべたい/チェンジアップ/まかお。/チャーリー(2)/シド
5216_7525_AAS,2021-12-31,19人,深夜ドラマ『キミはマグロ』のワンシーン,NA,14位,ありちゃん,終電の頃には傷んでる,8,41.12,ぴのこ/F5連/チェンジアップ(3)/チャーリー/シド/エンパイ2貫を食う
5216_7525_AAS,2021-12-31,19人,深夜ドラマ『キミはマグロ』のワンシーン,NA,14位,ズリ,おーいお前もニコチン入れるか？,8,41.12,チェンジアップ(2)/最近の外人/チャーリー/シド(2)/エンパイ2貫を食う(2)
5216_7525_AAS,2021-12-31,19人,深夜ドラマ『キミはマグロ』のワンシーン,NA,17位,ケアしてねパーマン,何もしてないだけやんと親戚に張り手される,7,38.22,ズマトン/あいすたべたい/ぽんちゃん/尻銃装填/最近の外人/シド/エンパイ2貫を食う
5216_7525_AAS,2021-12-31,19人,深夜ドラマ『キミはマグロ』のワンシーン,NA,17位,尻銃装填,マグロすぎて板前にシバかれてしまった,7,38.22,Tomy@Sweden/あいすたべたい/ぽんちゃん/F5連(2)/チャーリー/エンパイ2貫を食う
