お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
4573_7738_PXV,2022-01-19,25人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4573_7738_PXV.jpg,1位,渡辺純也,ここからは引き算ですね,29,82.42,ちまきの餌/ウラニワ(3)/あひるの(2)/わんわんお/guniguni(2)/F5連(2)/取込ペテ子(2)/まえみつ(2)/ニューロン/納屋の様子/まかお。/ガガガの棋太郎(2)/最近の外人/特効さん/びろびろーん/クドウヒロオ(2)/シド/エンパイ2貫を食う(2)/がりー
4573_7738_PXV,2022-01-19,25人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4573_7738_PXV.jpg,2位,きまぐれ,刑事さん、証拠でもあるんですか,19,64.87,粘土細工(2)/核ラミナ(3)/F5連(3)/渡辺純也(2)/まえみつ/納屋の様子/ガガガの棋太郎/最近の外人(2)/特効さん/びろびろーん/クドウヒロオ(2)
4573_7738_PXV,2022-01-19,25人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4573_7738_PXV.jpg,3位,淀川流水,こういうやつだから、こういうやつだから！,17,61.36,つん(3)/わんわんお/guniguni/F5連/きまぐれ/ふもー/まかお。/ガガガの棋太郎(3)/最近の外人/特効さん/クドウヒロオ/シド/がりー
4573_7738_PXV,2022-01-19,25人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4573_7738_PXV.jpg,4位,guniguni,明日フラれるんだろうな,16,59.61,核ラミナ(2)/ウラニワ(3)/わんわんお/F5連(2)/まえみつ/まかお。/ガガガの棋太郎(3)/エンパイ2貫を食う(3)
4573_7738_PXV,2022-01-19,25人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4573_7738_PXV.jpg,4位,クドウヒロオ,新築の床はこれに限るぜ,16,59.61,ちまきの餌/核ラミナ(2)/あひるの/F5連/取込ペテ子/渡辺純也/ニューロン/ガガガの棋太郎/まつお/シド(2)/エンパイ2貫を食う(3)/がりー
4573_7738_PXV,2022-01-19,25人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4573_7738_PXV.jpg,6位,コナンもどき,これもう離婚ですね,15,57.85,つん(2)/ウラニワ(2)/わんわんお(3)/F5連/渡辺純也/まかお。/ガガガの棋太郎/クドウヒロオ/シド(2)/エンパイ2貫を食う
4573_7738_PXV,2022-01-19,25人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4573_7738_PXV.jpg,7位,ウラニワ,苦手な人もいるから,14,56.1,guniguni(2)/F5連(2)/納屋の様子/まかお。/ガガガの棋太郎(3)/びろびろーん/シド/エンパイ2貫を食う(3)
4573_7738_PXV,2022-01-19,25人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4573_7738_PXV.jpg,8位,ふもー,既にスタンド攻撃を受けている,12,52.59,ちまきの餌/あひるの/F5連/ニューロン/ガガガの棋太郎/最近の外人(2)/びろびろーん(3)/エンパイ2貫を食う(2)
4573_7738_PXV,2022-01-19,25人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4573_7738_PXV.jpg,8位,納屋の様子,正論なのに外れるなんて,12,52.59,つん/guniguni/F5連(2)/ニューロン(2)/まかお。/特効さん/びろびろーん/シド/エンパイ2貫を食う(2)
4573_7738_PXV,2022-01-19,25人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4573_7738_PXV.jpg,10位,エンパイ2貫を食う,お客様、アイスのお代は結構ですのでクリーニング代に4000円を頂きます。,11,50.84,三遊亭　吉馬/つん/核ラミナ(2)/あひるの/F5連/ニューロン/最近の外人/まつお/クドウヒロオ/シド
4573_7738_PXV,2022-01-19,25人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4573_7738_PXV.jpg,11位,ちまきの餌,こーいうタイプの小便で服びちゃびちゃなったことある,10,49.08,つん/F5連/ニューロン/ふもー/ナルシマアンバイ/まかお。/最近の外人/まつお/シド/エンパイ2貫を食う
4573_7738_PXV,2022-01-19,25人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4573_7738_PXV.jpg,11位,まかお。,大将おあいそで,10,49.08,あひるの/わんわんお/F5連/まえみつ/ニューロン/ガガガの棋太郎(2)/最近の外人/エンパイ2貫を食う(2)
4573_7738_PXV,2022-01-19,25人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4573_7738_PXV.jpg,13位,まえみつ,デカイ気が近づいている,9,47.33,粘土細工/guniguni/F5連(2)/渡辺純也/ニューロン/ガガガの棋太郎/クドウヒロオ/エンパイ2貫を食う
4573_7738_PXV,2022-01-19,25人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4573_7738_PXV.jpg,14位,つん,来るな！こっちに来ちゃだめだ！！,8,45.57,三遊亭　吉馬/わんわんお/F5連(2)/まえみつ/シド/エンパイ2貫を食う(2)
4573_7738_PXV,2022-01-19,25人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4573_7738_PXV.jpg,14位,黒河ドロボー,クビで。,8,45.57,F5連/まかお。(2)/ガガガの棋太郎(2)/最近の外人/シド/エンパイ2貫を食う
4573_7738_PXV,2022-01-19,25人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4573_7738_PXV.jpg,16位,あひるの,ATフィールド、全開！！,7,43.82,三遊亭　吉馬/F5連/ふもー(2)/まかお。/シド/エンパイ2貫を食う
4573_7738_PXV,2022-01-19,25人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4573_7738_PXV.jpg,16位,わんわんお,カップの傾きが30°かつジェシーの初めて作ったお菓子がこのアイスクリームだった場合、溢れるチョコの量を求めよ。,7,43.82,つん/F5連/まかお。/最近の外人/びろびろーん/シド/エンパイ2貫を食う
4573_7738_PXV,2022-01-19,25人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4573_7738_PXV.jpg,16位,シド,この日から焼肉が嫌いになりました,7,43.82,核ラミナ/あひるの/F5連(2)/ニューロン/特効さん/エンパイ2貫を食う
4573_7738_PXV,2022-01-19,25人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4573_7738_PXV.jpg,16位,三遊亭　吉馬,厾ཀ,7,43.82,F5連(2)/ナルシマアンバイ/ガガガの棋太郎/最近の外人/シド/エンパイ2貫を食う
4573_7738_PXV,2022-01-19,25人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4573_7738_PXV.jpg,20位,F5連,やっぱりトカゲ食べていい？,5,40.31,ウラニワ/ニューロン/最近の外人/シド/エンパイ2貫を食う
4573_7738_PXV,2022-01-19,25人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4573_7738_PXV.jpg,20位,ガガガの棋太郎,決めた。この研究でノーベル賞狙うわ,5,40.31,F5連/まかお。/シド/エンパイ2貫を食う(2)
4573_7738_PXV,2022-01-19,25人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4573_7738_PXV.jpg,20位,ナルシマアンバイ,高給じゃナイト無理,5,40.31,F5連/まかお。(2)/シド/エンパイ2貫を食う
4573_7738_PXV,2022-01-19,25人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4573_7738_PXV.jpg,20位,最近の外人,マジでお前ら マジでお前ら,5,40.31,F5連/きまぐれ/まかお。/ガガガの棋太郎/エンパイ2貫を食う
4573_7738_PXV,2022-01-19,25人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4573_7738_PXV.jpg,20位,特効さん,ねーんねーん　ねんりきよ　おこぼれよ♪,5,40.31,F5連/まかお。/最近の外人/シド/エンパイ2貫を食う
4573_7738_PXV,2022-01-19,25人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4573_7738_PXV.jpg,25位,ニューロン,老老介護feet糖分過多,4,38.56,F5連/ナルシマアンバイ/まかお。/シド
