お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
4051_9183_TFF,2022-01-20,29人,ツッコんでください,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4051_9183_TFF.jpeg,1位,jun,テメーは手も洗わないで顔ちぎってるだろ,15,74.37,つん(2)/ウラニワ/F5連/ニューロン/ふもー/最近の外人(2)/クドウヒロオ(3)/シド(2)/エンパイ2貫を食う/ブラックパンダー
4051_9183_TFF,2022-01-20,29人,ツッコんでください,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4051_9183_TFF.jpeg,2位,がりー,綺麗な自殺か！,14,71.46,つん/ウラニワ(2)/わんわんお/ニューロン/ふもー/ナルシマアンバイ/最近の外人/シド(2)/エンパイ2貫を食う/ブラックパンダー(3)
4051_9183_TFF,2022-01-20,29人,ツッコんでください,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4051_9183_TFF.jpeg,3位,取込ペテ子,どういう間取りだよ？,11,62.73,わんわんお(2)/まえみつ(2)/ナルシマアンバイ/最近の外人(2)/まつお/黒河ドロボー(2)/シド
4051_9183_TFF,2022-01-20,29人,ツッコんでください,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4051_9183_TFF.jpeg,4位,きまぐれ,葬式でも笑ってたもんな,10,59.82,粘土細工/つん(2)/わんわんお/F5連/最近の外人(3)/クドウヒロオ/シド
4051_9183_TFF,2022-01-20,29人,ツッコんでください,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4051_9183_TFF.jpeg,4位,ふもー,いや、IKKOさんが洗顔する時の泡立て方！,10,59.82,あひるの/わんわんお/ニューロン/最近の外人/クドウヒロオ(2)/シド/エンパイ2貫を食う/ブラックパンダー(2)
4051_9183_TFF,2022-01-20,29人,ツッコんでください,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4051_9183_TFF.jpeg,4位,ドーナツ村,みんな助ける気0か！,10,59.82,あひるの(2)/ニューロン/oba_kamon/最近の外人(2)/まつお/シド/エンパイ2貫を食う(2)
4051_9183_TFF,2022-01-20,29人,ツッコんでください,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4051_9183_TFF.jpeg,7位,びろびろーん,アワアワする姿が目に浮かぶな,9,56.92,guniguni/F5連/最近の外人(2)/特効さん/クドウヒロオ/シド/エンパイ2貫を食う(2)
4051_9183_TFF,2022-01-20,29人,ツッコんでください,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4051_9183_TFF.jpeg,7位,ブラックパンダー,きっっしょい思想っーーー！！！,9,56.92,ちまきの餌/guniguni(3)/ニューロン/最近の外人(2)/シド(2)
4051_9183_TFF,2022-01-20,29人,ツッコんでください,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4051_9183_TFF.jpeg,9位,つん,『99.9%除菌』て、まあ残るけれども,8,54.01,ちまきの餌/粘土細工/あひるの/oba_kamon/最近の外人/シド/エンパイ2貫を食う(2)
4051_9183_TFF,2022-01-20,29人,ツッコんでください,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4051_9183_TFF.jpeg,9位,シド,アイデンティティの授業か,8,54.01,あひるの/guniguni(2)/F5連/ニューロン/クドウヒロオ(2)/ブラックパンダー
4051_9183_TFF,2022-01-20,29人,ツッコんでください,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4051_9183_TFF.jpeg,9位,粘土細工,有機の洗剤リン酸塩♩,8,54.01,あひるの(2)/F5連/最近の外人/クドウヒロオ(2)/シド/エンパイ2貫を食う
4051_9183_TFF,2022-01-20,29人,ツッコんでください,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4051_9183_TFF.jpeg,12位,まえみつ,その笑顔忘れるなよ,7,51.1,ちまきの餌(2)/あひるの/最近の外人(2)/シド(2)
4051_9183_TFF,2022-01-20,29人,ツッコんでください,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4051_9183_TFF.jpeg,12位,わんわんお,お前がbye菌すな,7,51.1,まえみつ/最近の外人(2)/クドウヒロオ/シド(2)/エンパイ2貫を食う
4051_9183_TFF,2022-01-20,29人,ツッコんでください,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4051_9183_TFF.jpeg,12位,ウラニワ,見ろや、パン,7,51.1,あひるの/わんわんお/F5連/最近の外人/シド(2)/エンパイ2貫を食う
4051_9183_TFF,2022-01-20,29人,ツッコんでください,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4051_9183_TFF.jpeg,12位,ガガガの棋太郎,やめろ。石けんが儀式だったことになる,7,51.1,つん/F5連/最近の外人(2)/クドウヒロオ/シド/ブラックパンダー
4051_9183_TFF,2022-01-20,29人,ツッコんでください,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4051_9183_TFF.jpeg,12位,獅子姉妹,こっち見んな,7,51.1,わんわんお/F5連/最近の外人(2)/シド(2)/エンパイ2貫を食う
4051_9183_TFF,2022-01-20,29人,ツッコんでください,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4051_9183_TFF.jpeg,17位,まつお,全身洗ったほうが良いよ,5,45.28,きまぐれ/最近の外人/シド(2)/エンパイ2貫を食う
4051_9183_TFF,2022-01-20,29人,ツッコんでください,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4051_9183_TFF.jpeg,17位,エンパイ2貫を食う,ディーゼルで動くアンパンマンも見てみたいみたいな顔しやがって,5,45.28,あひるの/ニューロン/最近の外人/シド(2)
4051_9183_TFF,2022-01-20,29人,ツッコんでください,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4051_9183_TFF.jpeg,17位,特効さん,何でテーブルと洗面台がそんな近いとこにあんねん！,5,45.28,粘土細工/最近の外人(2)/シド/エンパイ2貫を食う
4051_9183_TFF,2022-01-20,29人,ツッコんでください,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4051_9183_TFF.jpeg,20位,あひるの,まさか、bye菌manだったの！？,4,42.37,わんわんお/oba_kamon/クドウヒロオ/シド
4051_9183_TFF,2022-01-20,29人,ツッコんでください,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4051_9183_TFF.jpeg,20位,クドウヒロオ,いつも通り喧嘩しろよ,4,42.37,シド(2)/エンパイ2貫を食う(2)
4051_9183_TFF,2022-01-20,29人,ツッコんでください,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4051_9183_TFF.jpeg,20位,核ラミナ,おいその笑顔輝いてるな,4,42.37,guniguni(2)/最近の外人/シド
4051_9183_TFF,2022-01-20,29人,ツッコんでください,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4051_9183_TFF.jpeg,20位,納屋の様子,葬式の準備しろよ,4,42.37,ウラニワ/最近の外人/シド(2)
4051_9183_TFF,2022-01-20,29人,ツッコんでください,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4051_9183_TFF.jpeg,24位,guniguni,寂しいなら寂しいって言えよ,3,39.46,シド(2)/エンパイ2貫を食う
