お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0645_6184_HUE,2022-01-22,26人,どうぶつ格闘トーナメントの名シーンを教えてください,NA,1位,渡辺純也,ナマケモノが初めて構えた,24,79.91,ちまきの餌(2)/粘土細工(2)/ふね(2)/つん(2)/退屈な夕食/わんわんお(2)/guniguni(3)/まえみつ/ふもー(3)/現世細木数男(3)/最近の外人/無償の愛撫/シド
0645_6184_HUE,2022-01-22,26人,どうぶつ格闘トーナメントの名シーンを教えてください,NA,2位,クドウヒロオ,鳥が卑怯すぎるので来年からは低い天井でやります、と閉会宣言,18,68.44,ちまきの餌/ウラニワ(3)/退屈な夕食/guniguni(3)/渡辺純也(2)/現世細木数男(3)/最近の外人/黒河ドロボー/無償の愛撫/シド(2)
0645_6184_HUE,2022-01-22,26人,どうぶつ格闘トーナメントの名シーンを教えてください,NA,3位,びろびろーん,ニワトリが試合のこと忘れて失格になる,15,62.71,ちまきの餌/ふね/つん/guniguni/渡辺純也/まえみつ/きまぐれ/ふもー/現世細木数男(2)/oba_kamon/最近の外人(2)/特効さん/シド
0645_6184_HUE,2022-01-22,26人,どうぶつ格闘トーナメントの名シーンを教えてください,NA,4位,ウラニワ,亀が寿命勝ちした,14,60.8,ぴのこ/ちまきの餌/粘土細工(2)/わんわんお/渡辺純也(2)/まえみつ/最近の外人/特効さん/無償の愛撫/クドウヒロオ/シド/がりー
0645_6184_HUE,2022-01-22,26人,どうぶつ格闘トーナメントの名シーンを教えてください,NA,5位,退屈な夕食,トーナメント表に擬態したナナフシが最後まで気付かれず一番悔しがる,13,58.89,粘土細工(2)/ふね/つん(2)/guniguni/まえみつ/ふもー/現世細木数男(2)/最近の外人/シド(2)
0645_6184_HUE,2022-01-22,26人,どうぶつ格闘トーナメントの名シーンを教えてください,NA,6位,guniguni,砂漠ステージで絶望的と思われたイルカが算数の勝負に持ち込んで逆転した,11,55.07,ちまきの餌/粘土細工/ふね(2)/つん/渡辺純也/ナルシマアンバイ/最近の外人/特効さん/無償の愛撫/がりー
0645_6184_HUE,2022-01-22,26人,どうぶつ格闘トーナメントの名シーンを教えてください,NA,6位,納屋の様子,水牛が病気になって、それは話題にならなかった,11,55.07,ウラニワ(2)/わんわんお/渡辺純也/現世細木数男(3)/最近の外人(3)/クドウヒロオ
0645_6184_HUE,2022-01-22,26人,どうぶつ格闘トーナメントの名シーンを教えてください,NA,8位,きまぐれ,シマウマ同士がぶつかって完全な黒になってた,10,53.16,粘土細工/渡辺純也(2)/まえみつ/現世細木数男(2)/oba_kamon/最近の外人(2)/クドウヒロオ
0645_6184_HUE,2022-01-22,26人,どうぶつ格闘トーナメントの名シーンを教えてください,NA,8位,つん,ナマケモノがキリンの膝をキメるシーン,10,53.16,ぴのこ/粘土細工/渡辺純也/まえみつ/現世細木数男(2)/ナルシマアンバイ/最近の外人/黒河ドロボー/特効さん
0645_6184_HUE,2022-01-22,26人,どうぶつ格闘トーナメントの名シーンを教えてください,NA,8位,ぽにょ,最後までカンガルーの腹を蹴らずに闘う馬に観客が感動のﾅﾑｱﾐﾀﾞを流した,10,53.16,渡辺純也/ふもー(2)/現世細木数男(2)/最近の外人/特効さん/シド(3)
0645_6184_HUE,2022-01-22,26人,どうぶつ格闘トーナメントの名シーンを教えてください,NA,11位,ふね,初出場で前年チャンプのライオンを倒した犬が実は絶滅したニホンオオカミの生き残りであることが発覚したシーン,9,51.24,粘土細工/渡辺純也/ふもー/現世細木数男/最近の外人(2)/特効さん/シド(2)
0645_6184_HUE,2022-01-22,26人,どうぶつ格闘トーナメントの名シーンを教えてください,NA,11位,まえみつ,実況のオウムが急にコンニチワしか言わなくなる,9,51.24,ぴのこ/つん(2)/現世細木数男(3)/最近の外人/黒河ドロボー/特効さん
0645_6184_HUE,2022-01-22,26人,どうぶつ格闘トーナメントの名シーンを教えてください,NA,13位,ねこ太郎,出場してない鳩とカラスがリング内をウロウロしてる,8,49.33,現世細木数男(2)/最近の外人(2)/無償の愛撫(2)/クドウヒロオ/シド
0645_6184_HUE,2022-01-22,26人,どうぶつ格闘トーナメントの名シーンを教えてください,NA,14位,ちまきの餌,ゴリラの背中の鬼が笑っている,7,47.42,わんわんお/まえみつ/現世細木数男/oba_kamon/最近の外人(2)/シド
0645_6184_HUE,2022-01-22,26人,どうぶつ格闘トーナメントの名シーンを教えてください,NA,15位,oba_kamon,"キリンは首から上やられてないのにノックアウトされた
",6,45.51,ウラニワ/きまぐれ/現世細木数男(2)/最近の外人(2)
0645_6184_HUE,2022-01-22,26人,どうぶつ格闘トーナメントの名シーンを教えてください,NA,15位,ぴのこ,実況はわたくし、猫ひろしが務めさせてショーリューケン！！！,6,45.51,現世細木数男(3)/ナルシマアンバイ/最近の外人/シド
0645_6184_HUE,2022-01-22,26人,どうぶつ格闘トーナメントの名シーンを教えてください,NA,17位,ナルシマアンバイ,決勝戦、人間が全てを無にした,5,43.6,つん/退屈な夕食/まえみつ/現世細木数男/最近の外人
0645_6184_HUE,2022-01-22,26人,どうぶつ格闘トーナメントの名シーンを教えてください,NA,17位,無償の愛撫,犬が勝って人間が盛り上がった,5,43.6,渡辺純也/きまぐれ/現世細木数男(3)
0645_6184_HUE,2022-01-22,26人,どうぶつ格闘トーナメントの名シーンを教えてください,NA,17位,黒河ドロボー,ベンガル虎vsインパラ のただの食事シーン,5,43.6,ちまきの餌/ふね/現世細木数男(2)/クドウヒロオ
0645_6184_HUE,2022-01-22,26人,どうぶつ格闘トーナメントの名シーンを教えてください,NA,20位,あひるの,春先はお互いにレッドブルを飲んでから開始する,4,41.69,現世細木数男(2)/クドウヒロオ(2)
0645_6184_HUE,2022-01-22,26人,どうぶつ格闘トーナメントの名シーンを教えてください,NA,20位,ふもー,「窮鼠猫を噛む」再現となったカピバラvsピューマ戦 後半5分の攻防,4,41.69,つん/現世細木数男/最近の外人(2)
0645_6184_HUE,2022-01-22,26人,どうぶつ格闘トーナメントの名シーンを教えてください,NA,22位,わんわんお,人間vs馬の戦いに敗北した人間が、ケンタウロスになるかウマ娘になるかで葛藤するシーン,3,39.78,現世細木数男(2)/シド
0645_6184_HUE,2022-01-22,26人,どうぶつ格闘トーナメントの名シーンを教えてください,NA,22位,特効さん,火星出身のタコシゲさんを動物として扱うか否かでモメる,3,39.78,現世細木数男(2)/シド
0645_6184_HUE,2022-01-22,26人,どうぶつ格闘トーナメントの名シーンを教えてください,NA,22位,獅子姉妹,人もいる,3,39.78,現世細木数男(2)/がりー
0645_6184_HUE,2022-01-22,26人,どうぶつ格闘トーナメントの名シーンを教えてください,NA,22位,粘土細工,八百長した畑正憲氏がケジメとして指をライオンで詰める,3,39.78,つん/最近の外人/クドウヒロオ
