お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
4316_8393_TPX,2022-01-23,25人,水道トラブル5000円、トイレのトラブル8000円、〇〇〇のトラブル8000円,NA,1位,黒河ドロボー,映画館で肘掛け 両方とられた時の心,15,73.41,ぴのこ/ウラニワ/F5連(2)/渡辺純也/ニューロン/oba_kamon/最近の外人(2)/ケイト/クドウヒロオ(2)/シド(2)/エンパイ2貫を食う
4316_8393_TPX,2022-01-23,25人,水道トラブル5000円、トイレのトラブル8000円、〇〇〇のトラブル8000円,NA,2位,つん,そう考えたら、せいぜいお前ら,13,67.38,ぴのこ/ふね/ウラニワ(3)/F5連/きまぐれ/ニューロン/ケイト/きよてる./黒河ドロボー/シド/エンパイ2貫を食う
4316_8393_TPX,2022-01-23,25人,水道トラブル5000円、トイレのトラブル8000円、〇〇〇のトラブル8000円,NA,3位,退屈な夕食,6500円程度,11,61.34,ふね(2)/ウラニワ/F5連(2)/渡辺純也(2)/最近の外人/黒河ドロボー/シド/エンパイ2貫を食う
4316_8393_TPX,2022-01-23,25人,水道トラブル5000円、トイレのトラブル8000円、〇〇〇のトラブル8000円,NA,4位,ガガガの棋太郎,思ってた髪型と全然違う,10,58.32,粘土細工/ウラニワ(2)/わんわんお/guniguni/ナルシマアンバイ/oba_kamon/最近の外人/黒河ドロボー/ブラックパンダー
4316_8393_TPX,2022-01-23,25人,水道トラブル5000円、トイレのトラブル8000円、〇〇〇のトラブル8000円,NA,4位,ママンの限界,宗教紛争とか,10,58.32,ふね/F5連/ニューロン/ガガガの棋太郎(3)/クドウヒロオ(2)/シド/ブラックパンダー
4316_8393_TPX,2022-01-23,25人,水道トラブル5000円、トイレのトラブル8000円、〇〇〇のトラブル8000円,NA,4位,現世細木数男,可愛いと美人が分からない時,10,58.32,つん/退屈な夕食/F5連(2)/渡辺純也(2)/納屋の様子/ガガガの棋太郎/シド/エンパイ2貫を食う
4316_8393_TPX,2022-01-23,25人,水道トラブル5000円、トイレのトラブル8000円、〇〇〇のトラブル8000円,NA,7位,jun,レンタルDVD屋のレジに女性店員しか居ないとき,9,55.31,つん/F5連/ニューロン/ガガガの棋太郎/最近の外人/ケイト/クドウヒロオ/シド/エンパイ2貫を食う
4316_8393_TPX,2022-01-23,25人,水道トラブル5000円、トイレのトラブル8000円、〇〇〇のトラブル8000円,NA,7位,クドウヒロオ,のところ今日はサービスデー！すべて,9,55.31,粘土細工/つん/退屈な夕食/F5連/渡辺純也/ガガガの棋太郎(2)/最近の外人/シド
4316_8393_TPX,2022-01-23,25人,水道トラブル5000円、トイレのトラブル8000円、〇〇〇のトラブル8000円,NA,7位,粘土細工,トイレのトラブル対応,9,55.31,ふね(2)/F5連(2)/渡辺純也/最近の外人/シド(2)/エンパイ2貫を食う
4316_8393_TPX,2022-01-23,25人,水道トラブル5000円、トイレのトラブル8000円、〇〇〇のトラブル8000円,NA,10位,guniguni,ご本人登場のご本人が急遽他界したとき,8,52.29,わんわんお(2)/F5連/ガガガの棋太郎/最近の外人/きよてる./シド/エンパイ2貫を食う
4316_8393_TPX,2022-01-23,25人,水道トラブル5000円、トイレのトラブル8000円、〇〇〇のトラブル8000円,NA,10位,ふね,脱北のトラブル8000円,8,52.29,F5連/ニューロン/ガガガの棋太郎(2)/最近の外人(2)/シド/エンパイ2貫を食う
4316_8393_TPX,2022-01-23,25人,水道トラブル5000円、トイレのトラブル8000円、〇〇〇のトラブル8000円,NA,10位,ケイト,来る途中,8,52.29,粘土細工/ウラニワ/退屈な夕食(2)/納屋の様子/最近の外人/クドウヒロオ/シド
4316_8393_TPX,2022-01-23,25人,水道トラブル5000円、トイレのトラブル8000円、〇〇〇のトラブル8000円,NA,13位,がりー,「ずっと友達だと思ってたのに..」,7,49.27,退屈な夕食/F5連/ニューロン/きよてる./クドウヒロオ/シド/エンパイ2貫を食う
4316_8393_TPX,2022-01-23,25人,水道トラブル5000円、トイレのトラブル8000円、〇〇〇のトラブル8000円,NA,13位,渡辺純也,語尾,7,49.27,きまぐれ/最近の外人(2)/クドウヒロオ(3)/シド
4316_8393_TPX,2022-01-23,25人,水道トラブル5000円、トイレのトラブル8000円、〇〇〇のトラブル8000円,NA,13位,納屋の様子,花火による火傷,7,49.27,F5連(3)/渡辺純也/最近の外人/シド(2)
4316_8393_TPX,2022-01-23,25人,水道トラブル5000円、トイレのトラブル8000円、〇〇〇のトラブル8000円,NA,16位,ちまきの餌,なんと本日限り！本日限りですよ！水道トイレ合わせてですよ！数に限りがございますので早めにお電話ください！水道トイレ,6,46.25,F5連/最近の外人(3)/エンパイ2貫を食う(2)
