お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
7498_1730_YEH,2022-01-31,22人,ヒカキンの動画についたあり得ないコメント,NA,1位,クドウヒロオ,「ヒカキン」でしりとり負けました、低評価つけます,17,77.0,粘土細工/つん/ウラニワ(2)/わんわんお(2)/ニューロン(2)/きゃすが/カクレミノムシ/まつお(3)/特効さん/びろびろーん/シド(2)
7498_1730_YEH,2022-01-31,22人,ヒカキンの動画についたあり得ないコメント,NA,2位,ぽにょ,ジジキン キトク スグカエレ ママキンヨリ,13,66.48,ふね(3)/取込ペテ子/カクレミノムシ(3)/最近の外人/特効さん/びろびろーん(2)/シド(2)
7498_1730_YEH,2022-01-31,22人,ヒカキンの動画についたあり得ないコメント,NA,3位,取込ペテ子,孫と一緒に楽しみたいので　ｉモードでも見られるようにして下さい,12,63.86,ふね/ぽにょ/ニューロン/きゃすが/カクレミノムシ(2)/最近の外人(2)/特効さん/シド(3)
7498_1730_YEH,2022-01-31,22人,ヒカキンの動画についたあり得ないコメント,NA,4位,つん,「ブンブン」は非常識です。虫は嫌い。,11,61.23,ウラニワ/わんわんお/きゃすが/最近の外人(3)/びろびろーん/クドウヒロオ/シド(3)
7498_1730_YEH,2022-01-31,22人,ヒカキンの動画についたあり得ないコメント,NA,5位,きまぐれ,その半分は僕の部屋にあります,9,55.97,粘土細工/つん/ウラニワ(3)/ニューロン/最近の外人/シド(2)
7498_1730_YEH,2022-01-31,22人,ヒカキンの動画についたあり得ないコメント,NA,5位,ふもー,こんばんは、先月助けていただいたオオセグロカモメです,9,55.97,ぴのこ/ふね(2)/つん/ニューロン/oba_kamon/最近の外人/クドウヒロオ/シド
7498_1730_YEH,2022-01-31,22人,ヒカキンの動画についたあり得ないコメント,NA,7位,ジン,宮迫です、コラボ待ってます！,8,53.34,粘土細工/取込ペテ子/ぽにょ/最近の外人(2)/特効さん/シド(2)
7498_1730_YEH,2022-01-31,22人,ヒカキンの動画についたあり得ないコメント,NA,7位,納屋の様子,口が増えたらしいね,8,53.34,ウラニワ(2)/わんわんお/きゃすが/oba_kamon/カクレミノムシ/シド(2)
7498_1730_YEH,2022-01-31,22人,ヒカキンの動画についたあり得ないコメント,NA,9位,きよてる.,失礼ですが、本当はヘンリー王子ですよね？,7,50.71,わんわんお/ニューロン/きゃすが/最近の外人/黒河ドロボー/シド(2)
7498_1730_YEH,2022-01-31,22人,ヒカキンの動画についたあり得ないコメント,NA,9位,ぴのこ,お兄さんの方が面白いですね！,7,50.71,粘土細工(3)/ウラニワ/きまぐれ/oba_kamon/シド
7498_1730_YEH,2022-01-31,22人,ヒカキンの動画についたあり得ないコメント,NA,11位,ウラニワ,お金貸しますか？,6,48.08,つん/わんわんお/納屋の様子/黒河ドロボー/シド(2)
7498_1730_YEH,2022-01-31,22人,ヒカキンの動画についたあり得ないコメント,NA,12位,びろびろーん,UUUMわからん,5,45.45,ウラニワ/きまぐれ/ニューロン/最近の外人/シド
7498_1730_YEH,2022-01-31,22人,ヒカキンの動画についたあり得ないコメント,NA,12位,特効さん,僕は非課金じゃありません、重課金です,5,45.45,最近の外人/びろびろーん(2)/クドウヒロオ/シド
7498_1730_YEH,2022-01-31,22人,ヒカキンの動画についたあり得ないコメント,NA,12位,黒河ドロボー,この人痴漢です,5,45.45,きまぐれ/納屋の様子/びろびろーん/シド(2)
7498_1730_YEH,2022-01-31,22人,ヒカキンの動画についたあり得ないコメント,NA,15位,きゃすが,"今度お会いするときはゆりちゃんって呼んでいただければ
愛を込めて、ステイホーム♥️都庁より",4,42.83,ニューロン/カクレミノムシ/シド(2)
7498_1730_YEH,2022-01-31,22人,ヒカキンの動画についたあり得ないコメント,NA,15位,わんわんお,残りのプルトニウムで小指も爆発させれるぞ,4,42.83,ウラニワ/ニューロン(2)/シド
7498_1730_YEH,2022-01-31,22人,ヒカキンの動画についたあり得ないコメント,NA,15位,獅子姉妹,お父さん…,4,42.83,つん/ぽにょ/最近の外人/シド
7498_1730_YEH,2022-01-31,22人,ヒカキンの動画についたあり得ないコメント,NA,15位,粘土細工,アサヒ飲料です、メントス三ツ矢サイダーコラボお願いします,4,42.83,最近の外人/クドウヒロオ(2)/シド
7498_1730_YEH,2022-01-31,22人,ヒカキンの動画についたあり得ないコメント,NA,15位,赤い髪,あいかわらず引っ張るねぇ〜(笑),4,42.83,最近の外人(2)/黒河ドロボー/シド
7498_1730_YEH,2022-01-31,22人,ヒカキンの動画についたあり得ないコメント,NA,20位,ふね,「・・・　－－－　・・・」モールス信号でSOSを出している,2,37.57,シド(2)
7498_1730_YEH,2022-01-31,22人,ヒカキンの動画についたあり得ないコメント,NA,20位,ニューロン,ぶっさコミュ抜けるわ,2,37.57,最近の外人/シド
7498_1730_YEH,2022-01-31,22人,ヒカキンの動画についたあり得ないコメント,NA,20位,渡辺純也,叔父が大ファンです,2,37.57,きまぐれ/シド
