お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
9684_4679_CLP,2022-02-02,26人,"上司に言われた言葉「お前には○○が足りないよ」
",NA,1位,赤い髪,名前を呼び捨てしていい人とダメな人の区別,13,78.49,粘土細工(2)/退屈な夕食/わんわんお/ねぼすけ/取込ペテ子/ニューロン(2)/特効さん/クドウヒロオ(2)/メガベッキー(2)
9684_4679_CLP,2022-02-02,26人,"上司に言われた言葉「お前には○○が足りないよ」
",NA,2位,ニューロン,Enterを押す時の迫力,11,72.56,粘土細工/赤い髪/退屈な夕食/わんわんお/ふもー(3)/きゃすが/クドウヒロオ/メガベッキー(2)
9684_4679_CLP,2022-02-02,26人,"上司に言われた言葉「お前には○○が足りないよ」
",NA,3位,oba_kamon,伸びしろ,9,66.63,粘土細工(2)/brooks/きまぐれ/きゃすが/まつお(3)/メガベッキー
9684_4679_CLP,2022-02-02,26人,"上司に言われた言葉「お前には○○が足りないよ」
",NA,4位,クドウヒロオ,絶対に恐竜を蘇らせるぞ！という情熱,7,60.71,粘土細工/赤い髪/わんわんお/ニューロン(2)/きゃすが/メガベッキー
9684_4679_CLP,2022-02-02,26人,"上司に言われた言葉「お前には○○が足りないよ」
",NA,5位,きゃすが,物的証拠,5,54.78,わんわんお/取込ペテ子/ニューロン/ふもー/納屋の様子
9684_4679_CLP,2022-02-02,26人,"上司に言われた言葉「お前には○○が足りないよ」
",NA,5位,ペッタ,上司運,5,54.78,わんわんお/ねぼすけ(2)/特効さん/がりー
9684_4679_CLP,2022-02-02,26人,"上司に言われた言葉「お前には○○が足りないよ」
",NA,5位,最近の外人,はんなりさ,5,54.78,粘土細工/きまぐれ/ニューロン/ふもー/納屋の様子
9684_4679_CLP,2022-02-02,26人,"上司に言われた言葉「お前には○○が足りないよ」
",NA,8位,きまぐれ,急ブレーキの後の苦笑い,4,51.82,赤い髪(2)/ニューロン/クドウヒロオ
9684_4679_CLP,2022-02-02,26人,"上司に言われた言葉「お前には○○が足りないよ」
",NA,8位,まつお,ネクタイの長さ,4,51.82,赤い髪(2)/brooks/きまぐれ
9684_4679_CLP,2022-02-02,26人,"上司に言われた言葉「お前には○○が足りないよ」
",NA,8位,黒河ドロボー,俺ジナリティ,4,51.82,わんわんお/ニューロン(2)/きゃすが
9684_4679_CLP,2022-02-02,26人,"上司に言われた言葉「お前には○○が足りないよ」
",NA,11位,ふもー,らうお賃金,3,48.86,黒河ドロボー/メガベッキー(2)
9684_4679_CLP,2022-02-02,26人,"上司に言われた言葉「お前には○○が足りないよ」
",NA,11位,ウラニワ,在留資格カード,3,48.86,粘土細工(2)/クドウヒロオ
9684_4679_CLP,2022-02-02,26人,"上司に言われた言葉「お前には○○が足りないよ」
",NA,11位,ガガガの棋太郎,本格インドカレー屋を手で食べるチャレンジ精神,3,48.86,わんわんお/ニューロン(2)
9684_4679_CLP,2022-02-02,26人,"上司に言われた言葉「お前には○○が足りないよ」
",NA,11位,シド,おもろいつかみ,3,48.86,brooks/ニューロン/特効さん
9684_4679_CLP,2022-02-02,26人,"上司に言われた言葉「お前には○○が足りないよ」
",NA,11位,粘土細工,オレにもっとお前と呼ばせたくなるオーラ,3,48.86,赤い髪/ねぼすけ/クドウヒロオ
9684_4679_CLP,2022-02-02,26人,"上司に言われた言葉「お前には○○が足りないよ」
",NA,16位,T（てぃー）,ニュアンス,1,42.93,クドウヒロオ
9684_4679_CLP,2022-02-02,26人,"上司に言われた言葉「お前には○○が足りないよ」
",NA,16位,ねぼすけ,隠し味のハバネロ,1,42.93,ニューロン
9684_4679_CLP,2022-02-02,26人,"上司に言われた言葉「お前には○○が足りないよ」
",NA,16位,ぴのこ,ヘモグロビン,1,42.93,ニューロン
9684_4679_CLP,2022-02-02,26人,"上司に言われた言葉「お前には○○が足りないよ」
",NA,16位,わんわんお,気持ち悪さ,1,42.93,黒河ドロボー
9684_4679_CLP,2022-02-02,26人,"上司に言われた言葉「お前には○○が足りないよ」
",NA,16位,取込ペテ子,いい上司,1,42.93,がりー
9684_4679_CLP,2022-02-02,26人,"上司に言われた言葉「お前には○○が足りないよ」
",NA,16位,特効さん,バナジウム,1,42.93,黒河ドロボー
9684_4679_CLP,2022-02-02,26人,"上司に言われた言葉「お前には○○が足りないよ」
",NA,22位,ジン,ベギラゴン,0,39.97,NA
9684_4679_CLP,2022-02-02,26人,"上司に言われた言葉「お前には○○が足りないよ」
",NA,22位,渡辺純也,守るべきもの,0,39.97,NA
9684_4679_CLP,2022-02-02,26人,"上司に言われた言葉「お前には○○が足りないよ」
",NA,22位,異動君,バビロン,0,39.97,NA
9684_4679_CLP,2022-02-02,26人,"上司に言われた言葉「お前には○○が足りないよ」
",NA,22位,納屋の様子,口を開く力,0,39.97,NA
9684_4679_CLP,2022-02-02,26人,"上司に言われた言葉「お前には○○が足りないよ」
",NA,22位,退屈な夕食,モールス信号の辞令を命ずる。句読点,0,39.97,NA
