お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
7456_1824_TSJ,2022-02-05,34人,アメリカから銃が無くならない理由,NA,1位,特効さん,銃を捨てようとすると「ばきゅ～ん、ばきゅ～ん」とかわいく鳴くから,20,76.71,ふね/つん/メスカマキリ/疲労コンパニオン/取込ペテ子/渡辺純也/ニューロン(2)/ふもー(3)/きゃすが(2)/植田/とりっく/シド(3)/道化(2)
7456_1824_TSJ,2022-02-05,34人,アメリカから銃が無くならない理由,NA,2位,黒河ドロボー,日本にはデュクシがあるから銃が無いだけ,18,72.5,阿弥陀クジオ/ぴのこ/つん/メスカマキリ(3)/烈風ぺんぎん/渡辺純也(2)/ニューロン/ふもー(2)/シド(3)/道化(3)
7456_1824_TSJ,2022-02-05,34人,アメリカから銃が無くならない理由,NA,3位,疲労コンパニオン,風呂上がりに全裸ではさすがに心もとない,16,68.28,つん(3)/kamenoue(2)/メスカマキリ/烈風ぺんぎん(2)/パン松/チャンガーラ(2)/ニューロン/とりっく/シド(3)
7456_1824_TSJ,2022-02-05,34人,アメリカから銃が無くならない理由,NA,4位,kamenoue,休み時間に好きな子の銃でこっそり自殺したい,15,66.17,阿弥陀クジオ/ウラニワ/メスカマキリ(2)/疲労コンパニオン/ニューロン(2)/ふもー/黒河ドロボー/植田(3)/シド(2)/道化
7456_1824_TSJ,2022-02-05,34人,アメリカから銃が無くならない理由,NA,5位,きゃすが,春のバンバン祭りでもらえるお皿がかわいい,14,64.07,ぴのこ/ふね/つん(2)/ウラニワ/メスカマキリ/取込ペテ子/おあつらえ/ニューロン/ふもー/ハプティクス/植田/シド(2)
7456_1824_TSJ,2022-02-05,34人,アメリカから銃が無くならない理由,NA,6位,brooks, 無きゃ無いでちょっと寂しい,12,59.85,阿弥陀クジオ/ウラニワ(3)/渡辺純也/おあつらえ/ふもー/ナルシマアンバイ/植田/とりっく(2)/道化
7456_1824_TSJ,2022-02-05,34人,アメリカから銃が無くならない理由,NA,6位,植田,パイ生地は撃ってから寝かせるのが一番美味い,12,59.85,疲労コンパニオン/渡辺純也/おあつらえ/ニューロン/きゃすが/とりっく(2)/シド(3)/道化(2)
7456_1824_TSJ,2022-02-05,34人,アメリカから銃が無くならない理由,NA,8位,びろびろーん,打たせてとるタイプの選手が多い,10,55.64,kamenoue/ムギヒッヒ/チャンガーラ/取込ペテ子/ニューロン(2)/黒河ドロボー/とりっく/シド(2)
7456_1824_TSJ,2022-02-05,34人,アメリカから銃が無くならない理由,NA,8位,ウラニワ,撃った後の温もりといったら,10,55.64,ふね(2)/メスカマキリ/渡辺純也/ニューロン/植田/とりっく/シド(2)/道化
7456_1824_TSJ,2022-02-05,34人,アメリカから銃が無くならない理由,NA,10位,ろっく,リハビリにちょうどいい重さ,9,53.53,ウラニワ/kamenoue/わんわんお/メスカマキリ/brooks/きまぐれ/ニューロン/シド(2)
7456_1824_TSJ,2022-02-05,34人,アメリカから銃が無くならない理由,NA,11位,おあつらえ,それを聞く度に一発もらう,8,51.42,ウラニワ(2)/メスカマキリ/烈風ぺんぎん/きまぐれ/とりっく/シド(2)
7456_1824_TSJ,2022-02-05,34人,アメリカから銃が無くならない理由,NA,11位,ソワソワン,まだガンの治療法が見つかってないから,8,51.42,ふね/kamenoue/わんわんお/烈風ぺんぎん/brooks/ニューロン/シド(2)
7456_1824_TSJ,2022-02-05,34人,アメリカから銃が無くならない理由,NA,11位,納屋の様子,急に速くなるの面白い,8,51.42,阿弥陀クジオ/つん/ウラニワ/わんわんお/メスカマキリ(2)/きゃすが/植田
7456_1824_TSJ,2022-02-05,34人,アメリカから銃が無くならない理由,NA,14位,阿弥陀クジオ,デーブ・スペクターが密輸入してる,7,49.31,ぴのこ/おあつらえ(2)/ニューロン/シド(2)/道化
7456_1824_TSJ,2022-02-05,34人,アメリカから銃が無くならない理由,NA,15位,ちきちきた,銃があるからコントローラー投げずに済んでる,6,47.21,つん/kamenoue/ふもー/とりっく/シド(2)
7456_1824_TSJ,2022-02-05,34人,アメリカから銃が無くならない理由,NA,15位,渡辺純也,持ってない人をコンドルが襲う,6,47.21,つん(2)/メスカマキリ/とりっく/道化(2)
7456_1824_TSJ,2022-02-05,34人,アメリカから銃が無くならない理由,NA,15位,道化,薬莢を拾う仕事の人が路頭に迷わないように,6,47.21,渡辺純也/ニューロン/ハプティクス/黒河ドロボー/シド(2)
7456_1824_TSJ,2022-02-05,34人,アメリカから銃が無くならない理由,NA,18位,nae,ハンバーガーのパテの肉を銃で刻んでいるから,5,45.1,メスカマキリ/brooks/シド(3)
7456_1824_TSJ,2022-02-05,34人,アメリカから銃が無くならない理由,NA,18位,つん,「Hey men !」を聞けなくなる,5,45.1,わんわんお/ニューロン/とりっく/シド/道化
7456_1824_TSJ,2022-02-05,34人,アメリカから銃が無くならない理由,NA,18位,とりっく,ガンガン売ってるから,5,45.1,ふね/ウラニワ/brooks/ナルシマアンバイ/シド
7456_1824_TSJ,2022-02-05,34人,アメリカから銃が無くならない理由,NA,18位,ふね,ロシアから銃が無くならないから,5,45.1,メスカマキリ/渡辺純也(2)/おあつらえ/シド
7456_1824_TSJ,2022-02-05,34人,アメリカから銃が無くならない理由,NA,18位,ナルシマアンバイ,スマホが銃より大きかったなら,5,45.1,ウラニワ(2)/メスカマキリ/シド(2)
