お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
6283_3932_MAG,2022-02-08,56人,ギリギリ法に触れない迷惑行為,NA,1位,ありすbot,エスカレーターですごく太る,33,86.42,阿弥陀クジオ(2)/里いも天狗/にとる(2)/つん/ウラニワ(3)/メスカマキリ(3)/ます/jun(2)/渡辺純也(2)/焼きそばペンギン/ニューロン/ふもー(2)/ハプティクス/カクレミノムシ(2)/誓約/バジルごはん/植田/クドウヒロオ(2)/シド(2)/魂の裏切りの夜(2)
6283_3932_MAG,2022-02-08,56人,ギリギリ法に触れない迷惑行為,NA,2位,植田,放射能マークを家紋にする,25,74.11,にとる/つん(2)/メスカマキリ(3)/患者に瑛人(3)/ザイチェフ閣下/brooks/渡辺純也/ニューロン/納屋の様子/ハプティクス/ナルシマアンバイ/バジルごはん/くちおば/クドウヒロオ/シド(3)/魂の裏切りの夜/水谷新太郎(2)
6283_3932_MAG,2022-02-08,56人,ギリギリ法に触れない迷惑行為,NA,3位,さいころちゃらみん,手羽先を食べた手で名刺交換,22,69.5,nae(3)/赤い髪/つん/ウラニワ(2)/ます/取込ペテ子/jun/ぽにょ/ニューロン/きゃすが/ナルシマアンバイ/ありすbot/特効さん/ピロ式/くちおば/とりっく/シド(3)
6283_3932_MAG,2022-02-08,56人,ギリギリ法に触れない迷惑行為,NA,4位,brooks,餃子を開いて客に出す,21,67.96,ふね/ムギヒッヒ(3)/メスカマキリ(2)/jun/渡辺純也/焼きそばペンギン/Kit/ハプティクス/カクレミノムシ(2)/ありすbot/特効さん/植田/シド(3)/水谷新太郎(2)
6283_3932_MAG,2022-02-08,56人,ギリギリ法に触れない迷惑行為,NA,4位,水谷新太郎,あおり焼香,21,67.96,粘土細工(3)/ウラニワ/ムギヒッヒ(2)/取込ペテ子/jun(2)/brooks/寂(3)/おあつらえ/ニューロン(2)/カクレミノムシ(2)/バジルごはん(2)/シド
6283_3932_MAG,2022-02-08,56人,ギリギリ法に触れない迷惑行為,NA,4位,誓約,性的な目で火を見る,21,67.96,里いも天狗/にとる(2)/ぴのこ/ウラニワ(3)/メスカマキリ/さいころちゃらみん/brooks/焼きそばペンギン/きまぐれ/ホリ(2)/ニューロン/ハプティクス/きよてる./くちおば/クドウヒロオ/シド(2)
6283_3932_MAG,2022-02-08,56人,ギリギリ法に触れない迷惑行為,NA,7位,長谷川キモ彦,遊助,17,61.81,阿弥陀クジオ/里いも天狗(2)/にとる/kamenoue/焼きそばペンギン(2)/ホリ/ニューロン(2)/きゃすが/クドウヒロオ/シド(3)/魂の裏切りの夜/水谷新太郎
6283_3932_MAG,2022-02-08,56人,ギリギリ法に触れない迷惑行為,NA,8位,アイムバックピッツバーグ,絵を水で洗う,16,60.27,ふね/渡辺純也/焼きそばペンギン/きゃすが/誓約/ありすbot/植田/クドウヒロオ/シド(3)/魂の裏切りの夜/ブラックパンダー/水谷新太郎(3)
6283_3932_MAG,2022-02-08,56人,ギリギリ法に触れない迷惑行為,NA,8位,ブラックパンダー,電気風呂に動けないおじいちゃんを置く,16,60.27,石/赤い髪(2)/患者に瑛人/取込ペテ子/ぽにょ/誓約/渡利　巣手呂/きよてる./くちおば(3)/クドウヒロオ/シド(3)
6283_3932_MAG,2022-02-08,56人,ギリギリ法に触れない迷惑行為,NA,10位,きまぐれ,アンパンマンの目の部分をもらう,15,58.73,里いも天狗/にとる(3)/ぴのこ/赤い髪/Tarpan/ふもー/きゃすが/カクレミノムシ/植田/シド(3)/道化
6283_3932_MAG,2022-02-08,56人,ギリギリ法に触れない迷惑行為,NA,11位,kamenoue,痴漢に痴漢する,14,57.19,にとる/赤い髪/ムギヒッヒ/メスカマキリ(2)/渡辺純也(2)/寂(2)/Kit/ニューロン/とりっく(2)/シド
6283_3932_MAG,2022-02-08,56人,ギリギリ法に触れない迷惑行為,NA,11位,つん,イオンの真ん中で愛を叫ぶ,14,57.19,里いも天狗/赤い髪(2)/kamenoue/メスカマキリ/jun/寂(2)/カクレミノムシ/とりっく/シド(3)/水谷新太郎
6283_3932_MAG,2022-02-08,56人,ギリギリ法に触れない迷惑行為,NA,13位,イハ,他人の家の壁にスプレーで「人間の鏡」と書く,13,55.65,つん/kamenoue/ぽにょ/きゃすが/カクレミノムシ/渡利　巣手呂/くちおば/クドウヒロオ(3)/シド(3)
6283_3932_MAG,2022-02-08,56人,ギリギリ法に触れない迷惑行為,NA,13位,バジルごはん,布団を叩きながら朝から晩まで「引っ越します」って叫ぶ,13,55.65,石/粘土細工(2)/ふね(2)/患者に瑛人(2)/くちおば(2)/とりっく(2)/シド(2)
6283_3932_MAG,2022-02-08,56人,ギリギリ法に触れない迷惑行為,NA,15位,メスカマキリ,テラスハウスみたいな日々を送る,12,54.12,にとる/つん/寂/焼きそばペンギン/ふもー/くちおば/とりっく(2)/シド(2)/道化/水谷新太郎
6283_3932_MAG,2022-02-08,56人,ギリギリ法に触れない迷惑行為,NA,16位,nae,トイレットペーパーの残りをギリギリにして出る,11,52.58,ぴのこ/粘土細工/赤い髪(2)/Kit/ニューロン/バジルごはん(2)/黒河ドロボー/とりっく/シド
6283_3932_MAG,2022-02-08,56人,ギリギリ法に触れない迷惑行為,NA,16位,焼きそばペンギン,「かゆい所ございませんか？」で、今までかゆかった所、今かゆい所、これから痒くなるだろう所を列挙する,11,52.58,里いも天狗/つん/メスカマキリ/ふもー/きゃすが/植田/クドウヒロオ/とりっく/シド(2)/水谷新太郎
6283_3932_MAG,2022-02-08,56人,ギリギリ法に触れない迷惑行為,NA,16位,白滝BOX,大きな声で先生の「えー」を数える,11,52.58,里いも天狗/つん(2)/ウラニワ/メスカマキリ/焼きそばペンギン/バジルごはん/特効さん/とりっく(2)/シド
6283_3932_MAG,2022-02-08,56人,ギリギリ法に触れない迷惑行為,NA,19位,Kit,路面電車に向かって「テキサスまで！」ってスケッチブック向け続ける,10,51.04,里いも天狗/jun/ふもー(2)/カクレミノムシ/バジルごはん/くちおば/シド(3)
