お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
4996_2557_MUB,2022-02-20,60人,パティシエが作った変なLINEスタンプ,NA,1位,たる棒,「諸行無常」と出てようかんが砕け散る,23,80.69,とりっく(2)/ふもー(3)/ダークマグマドラゴン(2)/ニューロン(2)/男も育休/水谷新太郎/メスカマキリ(3)/ウラニワ(3)/アイムバックピッツバーグ(2)/渡利　巣手呂(2)/魂の裏切りの夜/ファッキン亭ジャップ
4996_2557_MUB,2022-02-20,60人,パティシエが作った変なLINEスタンプ,NA,2位,男も育休,ファミマが小さい店を踏み潰す「ごめんね」,20,75.05,とりっく/ぴのこ/ありすbot/フクリク/＃の中のカマ吉くん(2)/ニューロン/赤い髪/ピロ式(2)/アイムバックピッツバーグ(3)/ぷりさき/バジルごはん/魂の裏切りの夜(2)/米(おこめ)/たる棒/警邏
4996_2557_MUB,2022-02-20,60人,パティシエが作った変なLINEスタンプ,NA,3位,brooks,開き過ぎて戻らなくなったトング,18,71.29,ありすbot/ニューロン/わからない(3)/赤い髪/ホリ/メスカマキリ/tomo(2)/きゃすが/ぷりさき(2)/たる棒/警邏/くろうとチェリー(3)
4996_2557_MUB,2022-02-20,60人,パティシエが作った変なLINEスタンプ,NA,3位,富豪,クリームのツノを立てて怒っている,18,71.29,とりっく(2)/ぴのこ/ふもー/赤い髪(2)/メスカマキリ/brooks/アイムバックピッツバーグ/粘土細工/おあつらえ/さいころちゃらみん/きゃすが/高橋のなめ(2)/米(おこめ)/遠くを見ている/たる棒
4996_2557_MUB,2022-02-20,60人,パティシエが作った変なLINEスタンプ,NA,5位,マジェンタ,モンブランに絡まったので遅れます,17,69.41,ちまめ/とりっく/ありすbot/ふもー/ダークマグマドラゴン(2)/ニューロン/水谷新太郎(3)/ピロ式/渡利　巣手呂/ハプティクス(2)/おあつらえ/びろびろーん/たる棒
4996_2557_MUB,2022-02-20,60人,パティシエが作った変なLINEスタンプ,NA,6位,kamenoue,ティラミスが「てぃ」と言ってる,16,67.52,ちまめ(2)/とりっく/ぴのこ/最後の無職/熱と気体/ありすbot/ダークマグマドラゴン/ニューロン(3)/わからない(2)/水谷新太郎/brooks/警邏
4996_2557_MUB,2022-02-20,60人,パティシエが作った変なLINEスタンプ,NA,7位,ぷりさき,失敗作がオーブンの中で「ごめんね、、」と言っている,15,65.64,ちまめ(2)/熱と気体/ふもー/ます/ニューロン(2)/ハプティクス/粘土細工/おあつらえ/高橋のなめ(2)/米(おこめ)/遠くを見ている/たる棒
4996_2557_MUB,2022-02-20,60人,パティシエが作った変なLINEスタンプ,NA,7位,＃の中のカマ吉くん,「また来年」と言って溶けるサンタの砂糖菓子,15,65.64,ちまめ/マジェンタ/ありすbot/男も育休/わからない/メスカマキリ(3)/アイムバックピッツバーグ/米(おこめ)(2)/警邏(2)/ファッキン亭ジャップ/くろうとチェリー
4996_2557_MUB,2022-02-20,60人,パティシエが作った変なLINEスタンプ,NA,9位,ちまめ,20等分されたホールケーキの上に「産みすぎるな」,12,60.0,ます/男も育休/渡利　巣手呂(2)/AYAKA(2)/きゃすが/遠くを見ている/たる棒/くろうとチェリー(3)
4996_2557_MUB,2022-02-20,60人,パティシエが作った変なLINEスタンプ,NA,10位,ニューロン,ケーキを肉まんみたいに割って、何も出てこない,11,58.12,わからない(2)/水谷新太郎/ウラニワ/アイムバックピッツバーグ/ハプティクス/魂の裏切りの夜/たる棒/警邏/ファッキン亭ジャップ(2)
4996_2557_MUB,2022-02-20,60人,パティシエが作った変なLINEスタンプ,NA,10位,黒河ドロボー,ありが糖,11,58.12,マジェンタ/とりっく/＃の中のカマ吉くん/メスカマキリ/ウラニワ(3)/brooks/粘土細工/くろうとチェリー(2)
4996_2557_MUB,2022-02-20,60人,パティシエが作った変なLINEスタンプ,NA,12位,ありすbot,肉と魚にバツ印がついてる,10,56.24,最後の無職/男も育休/わからない/ホリ/ピロ式/brooks/アイムバックピッツバーグ(2)/おあつらえ/遠くを見ている
4996_2557_MUB,2022-02-20,60人,パティシエが作った変なLINEスタンプ,NA,12位,白滝BOX,ケーキなのに「ごめんなさい」って言ってる,10,56.24,ちまめ/ありすbot/＃の中のカマ吉くん/メスカマキリ/brooks/アイムバックピッツバーグ/渡利　巣手呂/米(おこめ)/くろうとチェリー(2)
4996_2557_MUB,2022-02-20,60人,パティシエが作った変なLINEスタンプ,NA,12位,白黒まみれ,「甘いものは別腹」と滅茶苦茶カレー食ってる,10,56.24,とりっく(2)/ありすbot/ダークマグマドラゴン/ニューロン/ウラニワ/びろびろーん/富豪/たる棒/警邏
4996_2557_MUB,2022-02-20,60人,パティシエが作った変なLINEスタンプ,NA,15位,ふもー,その甘さが命取りだっ！,9,54.35,マジェンタ/水谷新太郎(2)/ウラニワ(2)/粘土細工/きゃすが/びろびろーん(2)
4996_2557_MUB,2022-02-20,60人,パティシエが作った変なLINEスタンプ,NA,15位,ファッキン亭ジャップ,顔20点身体90点の女がいろんなケーキを握りつぶしてる,9,54.35,＃の中のカマ吉くん/ニューロン(2)/メスカマキリ/AYAKA(2)/高橋のなめ/警邏/くろうとチェリー
4996_2557_MUB,2022-02-20,60人,パティシエが作った変なLINEスタンプ,NA,15位,遠くを見ている,仕込みの時間だ,9,54.35,熱と気体(2)/tomo(2)/brooks/ハプティクス/さいころちゃらみん/びろびろーん/警邏
4996_2557_MUB,2022-02-20,60人,パティシエが作った変なLINEスタンプ,NA,18位,あきのこがに,賞味期限を過ぎると消える,8,52.47,最後の無職/メスカマキリ/ハプティクス(2)/AYAKA/ぷりさき/富豪/警邏
4996_2557_MUB,2022-02-20,60人,パティシエが作った変なLINEスタンプ,NA,18位,里いも天狗,その涙が俺のケーキを甘くする,8,52.47,ふもー/男も育休/わからない/ウラニワ(2)/ぷりさき(2)/たる棒
4996_2557_MUB,2022-02-20,60人,パティシエが作った変なLINEスタンプ,NA,20位,yom-yom,お前もマカロンにしてやろうか,7,50.59,ザイチェフ閣下/ウラニワ/brooks/ハプティクス/バジルごはん/びろびろーん/oba_kamon
4996_2557_MUB,2022-02-20,60人,パティシエが作った変なLINEスタンプ,NA,20位,あいかわ,それ、マリトッツォ！,7,50.59,ありすbot(2)/ふもー(2)/ます/ザイチェフ閣下/びろびろーん
4996_2557_MUB,2022-02-20,60人,パティシエが作った変なLINEスタンプ,NA,20位,アイムバックピッツバーグ,飴細工でできたボディビルダーが「わかりみが深い…」と言いながら溶ける,7,50.59,とりっく/ダークマグマドラゴン(2)/メスカマキリ/魂の裏切りの夜/たる棒(2)
4996_2557_MUB,2022-02-20,60人,パティシエが作った変なLINEスタンプ,NA,20位,イハ,ガトーショコラの作る手順をスタンプ20個を使って説明している,7,50.59,ちまめ(2)/赤い髪/ハプティクス/ぷりさき/富豪/警邏
