お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
3379_2823_INQ,2022-02-23,56人,超エリートヤンキー高校で起きたほのぼのエピソードを教えてください,NA,1位,さいころちゃらみん,進路希望に小さく先公と書いて消しゴムで消してた,43,91.39,資本ネコ(2)/いればまん/特効さん/水谷新太郎(2)/ふーだる/ダークマグマドラゴン(2)/魂の裏切りの夜/きゅーきゅー/ハプティクス/男も育休/brooks/富豪(2)/ふもー(3)/粘土細工/わからない/ガス野(2)/とりっく/里見英次郎(3)/ニューロン/chopman/ケムケムケムッソ/AYAKA/赤い髪(2)/@obasuma(2)/ぴのこ/ピロ式(2)/ウラニワ(2)/乳白色の駱駝(3)
3379_2823_INQ,2022-02-23,56人,超エリートヤンキー高校で起きたほのぼのエピソードを教えてください,NA,2位,きゃすが,ガラス割れてるから冬はちょっとくっつく,32,78.18,米(おこめ)/いればまん(2)/水谷新太郎(3)/魂の裏切りの夜/きゅーきゅー(2)/ハプティクス(2)/富豪(2)/ふもー/わからない(2)/最後の無職/白黒まみれ/とりっく/エマニエル大臣(2)/たる棒/里見英次郎(2)/ニューロン/chopman/jun/ありすbot/ピロ式/おあつらえ/乳白色の駱駝(2)
3379_2823_INQ,2022-02-23,56人,超エリートヤンキー高校で起きたほのぼのエピソードを教えてください,NA,3位,顔パンパン,タバコにトンボが止まって燃えた,24,68.57,魂の裏切りの夜/きまぐれ/brooks(2)/富豪(2)/粘土細工(2)/tomo/わからない(2)/エマニエル大臣/jun/さいころちゃらみん(2)/ありすbot/ホリ/ザイチェフ閣下/きゃすが/くろうとチェリー(3)/ウラニワ/おあつらえ
3379_2823_INQ,2022-02-23,56人,超エリートヤンキー高校で起きたほのぼのエピソードを教えてください,NA,4位,brooks,落ちてるライターにクラスと名前が書いてあった,23,67.37,米(おこめ)/いればまん(2)/シーサイド品川/男も育休/ふもー/わからない/ポコ/とりっく/ニューロン(2)/chopman/jun/ケムケムケムッソ(2)/熱と気体/さいころちゃらみん/ありすbot/ぴのこ/くろうとチェリー/おあつらえ(3)
3379_2823_INQ,2022-02-23,56人,超エリートヤンキー高校で起きたほのぼのエピソードを教えてください,NA,5位,サーベルタイガー,おいこの関数俺の髪型と一緒じゃん,22,66.17,特効さん/ダークマグマドラゴン(2)/きゅーきゅー/きまぐれ/yom-yom/ふもー/粘土細工/わからない(2)/たる棒/里見英次郎/ニューロン/ケムケムケムッソ/さいころちゃらみん/@obasuma/きゃすが/ウラニワ(3)/おあつらえ/乳白色の駱駝
3379_2823_INQ,2022-02-23,56人,超エリートヤンキー高校で起きたほのぼのエピソードを教えてください,NA,6位,遠くを見ている,返り血で育ったピンクの花がある,20,63.76,魂の裏切りの夜/きまぐれ/brooks/富豪/ふもー/tomo/白黒まみれ(2)/エマニエル大臣(3)/ニューロン(2)/jun/赤い髪/ピロ式(2)/ウラニワ(2)/乳白色の駱駝
3379_2823_INQ,2022-02-23,56人,超エリートヤンキー高校で起きたほのぼのエピソードを教えてください,NA,7位,ファッキン亭ジャップ,今までに買わせたヤキソバパンのシールでパシリ君に白いお皿をプレゼントした,19,62.56,特効さん/遠くを見ている/水谷新太郎/きゅーきゅー/ハプティクス/男も育休/わからない/ポコ/白黒まみれ/とりっく(2)/里見英次郎(2)/AYAKA(2)/赤い髪/ぴのこ/乳白色の駱駝(2)
3379_2823_INQ,2022-02-23,56人,超エリートヤンキー高校で起きたほのぼのエピソードを教えてください,NA,8位,ホリ,机を蹴ったのに『ピヨッ』ってサンダルが鳴る,18,61.36,米(おこめ)/いればまん(2)/ダークマグマドラゴン/ハプティクス/粘土細工/tomo/最後の無職/とりっく/たる棒/里見英次郎(2)/ニューロン/ケムケムケムッソ(2)/熱と気体/赤い髪/ザイチェフ閣下
3379_2823_INQ,2022-02-23,56人,超エリートヤンキー高校で起きたほのぼのエピソードを教えてください,NA,9位,白黒まみれ,留年が決まったリーゼントから小鳥だけ巣立っていった,17,60.16,水谷新太郎/ハプティクス(2)/ふもー/里見英次郎/ニューロン/AYAKA(3)/赤い髪(2)/ホリ/ウラニワ(3)/おあつらえ(2)
3379_2823_INQ,2022-02-23,56人,超エリートヤンキー高校で起きたほのぼのエピソードを教えてください,NA,10位,熱と気体,告白に和歌を送り成功させた不良が現れ、古典の出席率が跳ね上がった,15,57.76,特効さん/ダークマグマドラゴン/きゅーきゅー/ハプティクス/わからない/最後の無職/とりっく/たる棒(2)/里見英次郎/AYAKA/きゃすが/おあつらえ(2)/乳白色の駱駝
3379_2823_INQ,2022-02-23,56人,超エリートヤンキー高校で起きたほのぼのエピソードを教えてください,NA,11位,たる棒,番長のリーゼントからツバメが巣立った,13,55.36,いればまん(2)/きゅーきゅー(2)/きまぐれ/ハプティクス/白黒まみれ/ガス野/里見英次郎/@obasuma/おあつらえ(3)
3379_2823_INQ,2022-02-23,56人,超エリートヤンキー高校で起きたほのぼのエピソードを教えてください,NA,11位,＃の中のカマ吉くん,最後まで立ってたのはウサギさんだけだった,13,55.36,ふーだる/きゅーきゅー/ハプティクス/わからない/ます/エマニエル大臣(3)/jun/さいころちゃらみん/ホリ(2)/きゃすが
3379_2823_INQ,2022-02-23,56人,超エリートヤンキー高校で起きたほのぼのエピソードを教えてください,NA,13位,くろうとチェリー,武闘派の龍二パイセンが 内緒でピアニッシモ吸ってた,11,52.95,シーサイド品川/男も育休/yom-yom/brooks(2)/粘土細工(2)/AYAKA(2)/ザイチェフ閣下/ウラニワ
3379_2823_INQ,2022-02-23,56人,超エリートヤンキー高校で起きたほのぼのエピソードを教えてください,NA,13位,アントニオカッキーノ,体育祭の開催にあたって隣町のヤンキーからも祝電が届いた,11,52.95,富豪/ふもー/デスパイネ/とりっく(2)/里見英次郎/ニューロン/赤い髪/くろうとチェリー/おあつらえ(2)
3379_2823_INQ,2022-02-23,56人,超エリートヤンキー高校で起きたほのぼのエピソードを教えてください,NA,13位,里見英次郎,リーゼントの先っぽで育てていた雛が巣立った,11,52.95,きまぐれ/ハプティクス/ふもー(2)/とりっく/エマニエル大臣/ケムケムケムッソ/ホリ/きゃすが/ウラニワ(2)
3379_2823_INQ,2022-02-23,56人,超エリートヤンキー高校で起きたほのぼのエピソードを教えてください,NA,16位,ハプティクス,［根性焼き　痛くない］って検索して根性焼きを断念した,10,51.75,シーサイド品川/富豪/ポコ/ます/ガス野/とりっく/たる棒/ケムケムケムッソ/熱と気体/ザイチェフ閣下
3379_2823_INQ,2022-02-23,56人,超エリートヤンキー高校で起きたほのぼのエピソードを教えてください,NA,16位,男も育休,ヤクザと揉めた先輩が猫の指の本数になった,10,51.75,きまぐれ/白黒まみれ/ニューロン(3)/きゃすが/ウラニワ/おあつらえ(3)
3379_2823_INQ,2022-02-23,56人,超エリートヤンキー高校で起きたほのぼのエピソードを教えてください,NA,16位,納屋の様子,「どこ中だオラ」から始まる中学校の思い出を語る時間がある,10,51.75,遠くを見ている/男も育休/富豪/ガス野/とりっく(2)/たる棒/熱と気体/@obasuma/きゃすが
3379_2823_INQ,2022-02-23,56人,超エリートヤンキー高校で起きたほのぼのエピソードを教えてください,NA,19位,tomo,工学科のヤンキーが作ったロボットにリーゼントを付けて盛り上がった,9,50.55,yom-yom/粘土細工/とりっく/たる棒/里見英次郎/熱と気体/ホリ/ウラニワ(2)
3379_2823_INQ,2022-02-23,56人,超エリートヤンキー高校で起きたほのぼのエピソードを教えてください,NA,19位,きゅーきゅー,ブルーインパルスに合わせてタバコの煙で五輪の輪を描いた,9,50.55,水谷新太郎(2)/富豪/ふもー/白黒まみれ/ニューロン/jun/ケムケムケムッソ/きゃすが
3379_2823_INQ,2022-02-23,56人,超エリートヤンキー高校で起きたほのぼのエピソードを教えてください,NA,19位,赤い髪,次のパシリが来る直前にそっと焼きそばパンを補充するおばちゃん,9,50.55,遠くを見ている/きゅーきゅー/ふもー(2)/最後の無職/エマニエル大臣/里見英次郎/ニューロン/くろうとチェリー
