お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
3891_6554_XRC,2022-02-27,72人,森を守る妖精がしてたら嫌なこと,NA,1位,brooks,ちょっとした移動でもリスに乗る,37,89.92,chopman(2)/特効さん/きまぐれ/yom-yom/赤い髪/Kit(3)/渡辺純也(2)/つん(2)/及川広大(2)/世未(2)/びろびろーん(2)/ダークマグマドラゴン/湯葉に射精(3)/臀み/ニューロン/tomo/瀬戸際ヤゴ/水谷新太郎(3)/茹で腕(3)/ピロ式/まえみつ/バジルごはん/ふね
3891_6554_XRC,2022-02-27,72人,森を守る妖精がしてたら嫌なこと,NA,2位,ます,都市部から通勤してる,29,77.76,業務用虚無(3)/たる棒(2)/wowwow/ガッボデ/ポコ/Kit/わからない/ホリ/世未(2)/ありすbot/くろうとチェリー(3)/びろびろーん(2)/臀み/brooks(2)/水谷新太郎/ピロ式/熱と気体(2)/ザイチェフ閣下/バジルごはん/男も育休
3891_6554_XRC,2022-02-27,72人,森を守る妖精がしてたら嫌なこと,NA,3位,ンツ,筋肉に頼った羽ばたき,24,70.16,きゅーきゅー/AYAKA/wowwow/きゃすが/Kit(3)/ホリ/世未(2)/ありすbot/くろうとチェリー(2)/びろびろーん/とりっく(2)/ハプティクス(2)/ニューロン/遠くを見ている/瀬戸際ヤゴ/粘土細工(3)
3891_6554_XRC,2022-02-27,72人,森を守る妖精がしてたら嫌なこと,NA,3位,臀み,業者と喋るとき腕組んで羽ばたいてる,24,70.16,たる棒/ガッボデ/きゃすが/魂の裏切りの夜/yom-yom/赤い髪/Kit/ぽにょ/志願校/つん(2)/わからない(3)/世未/ありすbot/ダークマグマドラゴン(2)/ハプティクス/ニューロン/道化(2)/くちおば(2)
3891_6554_XRC,2022-02-27,72人,森を守る妖精がしてたら嫌なこと,NA,5位,まえみつ,ウサギを落として音を聞いている,22,67.12,AYAKA(3)/顔パンパン/Kit(2)/世未/ありすbot/くろうとチェリー(2)/湯葉に射精/臀み(3)/ハプティクス/ニューロン(2)/瀬戸際ヤゴ/ピロ式/バジルごはん/粘土細工(2)
3891_6554_XRC,2022-02-27,72人,森を守る妖精がしてたら嫌なこと,NA,6位,チダ,レシート大丈夫です。とも言わずに手をスっとして断る,21,65.6,たる棒/きゃすが/ふーだる/yom-yom/赤い髪/Kit/架空(2)/及川広大/まつお(3)/世未(2)/ニューロン/遠くを見ている/水谷新太郎/@obasuma/焼きそばペンギン/粘土細工(2)
3891_6554_XRC,2022-02-27,72人,森を守る妖精がしてたら嫌なこと,NA,7位,くちおば,木こりに適度な不幸を与え続ける,19,62.56,業務用虚無(2)/きゅーきゅー(3)/AYAKA(3)/赤い髪(2)/Kit/ぽにょ/世未/ハプティクス/春屋○イ/道化/まえみつ(2)/バジルごはん
3891_6554_XRC,2022-02-27,72人,森を守る妖精がしてたら嫌なこと,NA,7位,茹で腕,放火魔が「もうやめなよ」っていうぐらい、苦手な虫にガソリンを撒く,19,62.56,AYAKA/顔パンパン/Kit(2)/つん(2)/架空/わからない(2)/世未/ニューロン(3)/道化(3)/ザイチェフ閣下/バジルごはん/くちおば
3891_6554_XRC,2022-02-27,72人,森を守る妖精がしてたら嫌なこと,NA,9位,つん,生かさず殺さず吸い取ってる,18,61.04,きゅーきゅー/Kit(2)/世未/くろうとチェリー/☆シナモン☆(2)/臀み/とりっく/ニューロン/道化(2)/熱と気体/まえみつ/焼きそばペンギン/くちおば(3)
3891_6554_XRC,2022-02-27,72人,森を守る妖精がしてたら嫌なこと,NA,10位,水谷新太郎,守る順番をつけている,17,59.52,渡辺純也(2)/ガス野/つん(2)/世未(2)/湯葉に射精/ハプティクス/brooks/瀬戸際ヤゴ(2)/青天井/ピロ式/まえみつ/バジルごはん/男も育休
3891_6554_XRC,2022-02-27,72人,森を守る妖精がしてたら嫌なこと,NA,10位,熱と気体,ポイント稼ぎに不法投棄をいったん泳がせる,17,59.52,きゅーきゅー/きまぐれ/きゃすが/渡辺純也/ラスター(3)/世未(2)/ダークマグマドラゴン/とりっく/ニューロン/水谷新太郎(2)/春屋○イ/男も育休/ふね
3891_6554_XRC,2022-02-27,72人,森を守る妖精がしてたら嫌なこと,NA,12位,フクリク,林をめちゃくちゃ下に見ている,16,58.0,業務用虚無/きゅーきゅー/wowwow/ポコ/赤い髪/ぽにょ/渡辺純也(2)/世未/くろうとチェリー(2)/☆シナモン☆(2)/青天井/バジルごはん(2)
3891_6554_XRC,2022-02-27,72人,森を守る妖精がしてたら嫌なこと,NA,12位,渡辺純也,森スレを保守してる,16,58.0,きゅーきゅー/わからない/ラスター(3)/世未/くろうとチェリー/びろびろーん/☆シナモン☆/ハプティクス/tomo(2)/青天井/@obasuma(2)/ピロ式
3891_6554_XRC,2022-02-27,72人,森を守る妖精がしてたら嫌なこと,NA,12位,白黒まみれ,スヌーズが止まらない啄木鳥をこわす,16,58.0,AYAKA(2)/つん(2)/ホリ(2)/世未/くろうとチェリー/ハプティクス(2)/ニューロン(3)/遠くを見ている(2)/道化
3891_6554_XRC,2022-02-27,72人,森を守る妖精がしてたら嫌なこと,NA,12位,魂の裏切りの夜,蝉をオカズに白米を食べる,16,58.0,業務用虚無(2)/たる棒(2)/特効さん/きゃすが/ぽにょ(2)/つん/世未/☆シナモン☆(2)/臀み/ニューロン/brooks/水谷新太郎
3891_6554_XRC,2022-02-27,72人,森を守る妖精がしてたら嫌なこと,NA,16位,たる棒,ギリギリを攻めたバーベキュー,15,56.48,きゃすが/わからない(2)/及川広大/世未/☆シナモン☆(2)/臀み(2)/ハプティクス/道化/バジルごはん/男も育休/くちおば/さいころちゃらみん
3891_6554_XRC,2022-02-27,72人,森を守る妖精がしてたら嫌なこと,NA,16位,ニューロン,風に悪口を乗せて心地良いダメージを与える,15,56.48,業務用虚無/たる棒/wowwow/きゃすが/渡辺純也/ガス野/ホリ/世未(2)/くろうとチェリー/びろびろーん/☆シナモン☆(2)/瀬戸際ヤゴ/春屋○イ
3891_6554_XRC,2022-02-27,72人,森を守る妖精がしてたら嫌なこと,NA,16位,架空,「森より君を守りたい」を口癖に結婚詐欺をしている,15,56.48,業務用虚無(2)/たる棒/特効さん/ポコ/赤い髪(2)/ガス野/わからない/世未/とりっく/ニューロン/道化/焼きそばペンギン(2)
3891_6554_XRC,2022-02-27,72人,森を守る妖精がしてたら嫌なこと,NA,19位,☆シナモン☆,ステッキでうんちをどかしている,14,54.96,きゃすが/渡辺純也/わからない(2)/及川広大(2)/ホリ/世未/ありすbot/くろうとチェリー/brooks/瀬戸際ヤゴ/茹で腕/バジルごはん
