お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1370_1924_AVD,2022-03-08,79人,令和版 一休さん てどんなの？,NA,1位,誓約,とんちでもあるしクソリプでもある,27,77.57,ザイチェフ閣下/yom-yom/wowwow/空飛ぶタイヤ(2)/道化/水谷新太郎/ペプシ非公式/tomo/楼閣おはぎ(2)/AYAKA/@obasuma(2)/きゅーきゅー/とりっく/のらののら(2)/粘土細工/わからない(2)/業務用虚無(2)/バジルごはん/Longab/架空/世未
1370_1924_AVD,2022-03-08,79人,令和版 一休さん てどんなの？,NA,2位,湯葉に射精,私に殴られて血の味しますよね？あなたはもうヴィーガンじゃないです,26,75.97,魂の裏切りの夜(3)/ダークマグマドラゴン/メロディックストーム/空飛ぶタイヤ/楼閣おはぎ(2)/常時と乗馬(3)/ニューロン(3)/@obasuma/とりっく(2)/わからない/くろうとチェリー(3)/たる棒/ガッボデ/世未(3)
1370_1924_AVD,2022-03-08,79人,令和版 一休さん てどんなの？,NA,3位,納屋の様子,ひらめいてから本当にやって良いのか考える時間がある,24,72.78,ホリ/楼閣おはぎ(2)/常時と乗馬/臀み/里見英次郎/AYAKA(2)/のらののら(2)/湯葉に射精/わからない/ぱぴ子/バジルごはん/おあつらえ(2)/メスカマキリ(2)/Longab(2)/＃の中のカマ吉くん/最後の無職/架空/カクレミノムシ
1370_1924_AVD,2022-03-08,79人,令和版 一休さん てどんなの？,NA,4位,白滝BOX,それではこの仮想通貨をPCから出してください,21,67.99,水谷新太郎(3)/ペプシ非公式/tomo/AYAKA/@obasuma/きゅーきゅー(2)/とりっく(2)/ぱぴ子/業務用虚無(2)/くろうとチェリー(2)/Longab/カクレミノムシ(2)/世未(2)
1370_1924_AVD,2022-03-08,79人,令和版 一休さん てどんなの？,NA,5位,@obasuma,vtuberを画面から引きずり出して後悔した,20,66.4,yom-yom/さいころちゃらみん/患者に瑛人/wowwow/常時と乗馬(2)/臀み/里見英次郎/とりっく(2)/業務用虚無(2)/ふもー/たる棒/Longab/ガッボデ/架空(2)/カクレミノムシ/えふ
1370_1924_AVD,2022-03-08,79人,令和版 一休さん てどんなの？,NA,5位,chikudenki,ではお殿様、shiftキーとNum LKキーを同時に押してみてください,20,66.4,魂の裏切りの夜/ダークマグマドラゴン/wowwow/メロディックストーム/誓約/楼閣おはぎ/@obasuma/とりっく/のらののら/湯葉に射精/ポコ/わからない/業務用虚無/おあつらえ(2)/たる棒/メスカマキリ(3)/世未
1370_1924_AVD,2022-03-08,79人,令和版 一休さん てどんなの？,NA,5位,ガッボデ,「え〜今回のとんちがちょっとでも良いなと思ったらチャンネル登録&高評価お願いします！」,20,66.4,ザイチェフ閣下/誓約/道化/常時と乗馬(2)/@obasuma/きゅーきゅー/とりっく(3)/粘土細工/業務用虚無(2)/バジルごはん/リヤ/おあつらえ/Longab/世未/特効さん/パピ4
1370_1924_AVD,2022-03-08,79人,令和版 一休さん てどんなの？,NA,5位,特効さん,慌てない慌てない　TikTok　TikTok,20,66.4,ザイチェフ閣下/yom-yom/ナルシマアンバイ/さいころちゃらみん/ホリ/ぽにょ/里見英次郎/AYAKA(3)/@obasuma/きゅーきゅー(2)/ぱぴ子/業務用虚無/バジルごはん(2)/リヤ(2)/世未
1370_1924_AVD,2022-03-08,79人,令和版 一休さん てどんなの？,NA,9位,くろうとチェリー,慌てない、慌てない♪chill out、chill out♪,19,64.8,ザイチェフ閣下/きまぐれ/メロディックストーム/誓約(2)/まえみつ/粘土細工(2)/わからない/ぱぴ子/メスカマキリ/ガッボデ(2)/架空/カクレミノムシ(3)/世未/えふ
1370_1924_AVD,2022-03-08,79人,令和版 一休さん てどんなの？,NA,9位,ペプシ非公式,持ち帰りでも店内で食べると言えばいいのさ！,19,64.8,ザイチェフ閣下/yom-yom/ダークマグマドラゴン(2)/常時と乗馬(2)/里見英次郎/@obasuma(2)/湯葉に射精/バジルごはん/おあつらえ(3)/たる棒/Longab/カクレミノムシ(2)/世未
1370_1924_AVD,2022-03-08,79人,令和版 一休さん てどんなの？,NA,11位,ありすbot,こいつのせいで会議が長くなる,18,63.21,夏のワルプルギス/さいころちゃらみん/ホリ/ピロ式/誓約/ペプシ非公式/ぽにょ/まえみつ/臀み/ニューロン/@obasuma/とりっく(2)/業務用虚無(2)/おあつらえ/メスカマキリ/Longab
1370_1924_AVD,2022-03-08,79人,令和版 一休さん てどんなの？,NA,12位,ニューロン,Yahoo知恵袋でベストアンサー取りまくってる,17,61.61,さいころちゃらみん/@obasuma/とりっく/業務用虚無(3)/ふもー/おあつらえ/くろうとチェリー/Longab/＃の中のカマ吉くん(3)/最後の無職/カクレミノムシ/世未(2)
1370_1924_AVD,2022-03-08,79人,令和版 一休さん てどんなの？,NA,13位,AYAKA,「ぼくが戦争をとめてみせましょう」そう言うと一休は、どちらの国にも強力な武器を売り渡しました。,16,60.01,ザイチェフ閣下(3)/きまぐれ/道化(2)/ニューロン/@obasuma/きゅーきゅー/とりっく(2)/わからない/メスカマキリ(2)/Longab(2)
1370_1924_AVD,2022-03-08,79人,令和版 一休さん てどんなの？,NA,13位,わからない,「まずはモニターをご覧ください」と言って指を鳴らす,16,60.01,あいかわ/ザイチェフ閣下/魂の裏切りの夜/ホリ(2)/空飛ぶタイヤ/水谷新太郎/楼閣おはぎ/粘土細工/リヤ/おあつらえ/くろうとチェリー/メスカマキリ/ガッボデ/架空/世未
1370_1924_AVD,2022-03-08,79人,令和版 一休さん てどんなの？,NA,13位,秋月杏子,土日休み土日休み,16,60.01,さいころちゃらみん/きまぐれ/メロディックストーム/tomo(2)/楼閣おはぎ/常時と乗馬/ニューロン/湯葉に射精/ポコ/ふもー/おあつらえ/brooks(2)/カクレミノムシ/世未
1370_1924_AVD,2022-03-08,79人,令和版 一休さん てどんなの？,NA,16位,きゅーきゅー,母上様にLINE送りまくり,15,58.42,きまぐれ/道化(3)/どびー/粘土細工/ぱぴ子/バジルごはん/リヤ/メスカマキリ/カクレミノムシ(3)/世未/えふ
