お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
9455_1145_UHJ,2022-03-10,67人,嘘を100個ついた男。一番気に入ってる嘘は？,NA,1位,ありすbot,東京の回転寿司はもっと速い,47,101.06,メガベッキー/米(おこめ)/八子八百/湯葉に射精/くろうとチェリー(3)/誓約(3)/最後の無職(2)/世未/まえみつ/日野ヤヨイ/道化/@obasuma/渡利　巣手呂(2)/里見英次郎(3)/業務用虚無(2)/chopman(2)/メロディックストーム/たる棒/男も育休(2)/ふもー/たこ焼きボンバー(3)/おあつらえ/空飛ぶタイヤ(2)/水谷新太郎/リヤ/ニューロン/Longab/バジルごはん(2)/及川広大(2)/きゅーきゅー(2)
9455_1145_UHJ,2022-03-10,67人,嘘を100個ついた男。一番気に入ってる嘘は？,NA,2位,メロディックストーム,ヒコロヒーとは韓国語で「ころす」という意味,25,71.34,メガベッキー/ポコ/八子八百(2)/さいころちゃらみん/まえみつ/えふ/渡辺純也(2)/道化(2)/ふもー/たこ焼きボンバー/ありすbot/水谷新太郎/のらののら(3)/yom-yom/常時と乗馬/魂の裏切りの夜/ペプシ非公式(3)/及川広大
9455_1145_UHJ,2022-03-10,67人,嘘を100個ついた男。一番気に入ってる嘘は？,NA,3位,ガッボデ,となりに越してきた者です。,23,68.64,わからない/さいころちゃらみん/資本ネコ(2)/春屋○イ/最後の無職/世未/えふ/渡辺純也/道化/渡利　巣手呂/業務用虚無/男も育休/水谷新太郎/ピロ式/のらののら/常時と乗馬(2)/Longab/及川広大/きゅーきゅー(3)
9455_1145_UHJ,2022-03-10,67人,嘘を100個ついた男。一番気に入ってる嘘は？,NA,4位,yuboon,俺、誰にでもハンカチ貸すんだよね,22,67.29,わからない(2)/くろうとチェリー(3)/誓約/資本ネコ(2)/世未(3)/@obasuma/渡利　巣手呂/tomo/たこ焼きボンバー/おあつらえ/常時と乗馬/Longab/ペプシ非公式/及川広大(3)
9455_1145_UHJ,2022-03-10,67人,嘘を100個ついた男。一番気に入ってる嘘は？,NA,5位,ンツ,ホンジャマカ石塚とプリウスはちょうど互角,21,65.94,くろうとチェリー/春屋○イ/世未(2)/まえみつ/道化/たる棒/男も育休/ふもー/きゃすが/水谷新太郎/のらののら(2)/ニューロン(2)/常時と乗馬/バジルごはん/及川広大(2)/きゅーきゅー(2)
9455_1145_UHJ,2022-03-10,67人,嘘を100個ついた男。一番気に入ってる嘘は？,NA,6位,brooks,エスカレーターの仕組みは未だに解明されてない,19,63.24,わからない/米(おこめ)/くろうとチェリー/まえみつ/渡辺純也(2)/業務用虚無/ふもー(2)/tomo(2)/ありすbot/空飛ぶタイヤ/水谷新太郎/のらののら/魂の裏切りの夜/及川広大(2)/きゅーきゅー
9455_1145_UHJ,2022-03-10,67人,嘘を100個ついた男。一番気に入ってる嘘は？,NA,6位,及川広大,西野カナの本棚にはドロヘドロしかない,19,63.24,わからない(3)/湯葉に射精(2)/春屋○イ/世未(2)/植田/渡辺純也/道化(3)/@obasuma/空飛ぶタイヤ/水谷新太郎/ピロ式/リヤ/常時と乗馬
9455_1145_UHJ,2022-03-10,67人,嘘を100個ついた男。一番気に入ってる嘘は？,NA,8位,わからない,晴れた日には富士山も見えるんですよ,17,60.54,kamenoue/湯葉に射精/資本ネコ/世未/植田/@obasuma/里見英次郎(2)/業務用虚無(2)/tomo/空飛ぶタイヤ/常時と乗馬(2)/Longab(2)/バジルごはん
9455_1145_UHJ,2022-03-10,67人,嘘を100個ついた男。一番気に入ってる嘘は？,NA,8位,里見英次郎,アサリの雌がハマグリ,17,60.54,米(おこめ)/くろうとチェリー/AYAKA/世未(2)/渡辺純也/男も育休/ふもー/ありすbot/空飛ぶタイヤ/ンツ/リヤ/yom-yom/brooks(3)/ペプシ非公式
9455_1145_UHJ,2022-03-10,67人,嘘を100個ついた男。一番気に入ってる嘘は？,NA,10位,湯葉に射精,それがお前のやりたいことならお父さんも応援する,16,59.19,メガベッキー/資本ネコ/世未/えふ/道化/@obasuma/たる棒/ふもー(2)/空飛ぶタイヤ/のらののら/リヤ/ザイチェフ閣下/Longab(2)/きゅーきゅー
