お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
8505_5686_KDR,2022-03-11,85人,初めて出産を見た人「○○○」,NA,1位,渡辺純也,最後もうひと展開欲しいと思ってしまった,44,87.89,里見英次郎(2)/つん(2)/ニューロン/架空(2)/ガッボデ/魂の裏切りの夜/水谷新太郎/常時と乗馬(2)/ホリ/春屋○イ/@obasuma/マジェンタ/特効さん/男も育休(2)/疲労コンパニオン(2)/アポロっち/赤い髪/ウラニワ(2)/のらののら/思い出のサンサロ/メロディックストーム(3)/日野ヤヨイ(2)/瀬戸際ヤゴ/ンツ/あいかわ/AYAKA/道化(3)/きゅーきゅー/湯葉に射精/八子八百/業務用虚無/米(おこめ)
8505_5686_KDR,2022-03-11,85人,初めて出産を見た人「○○○」,NA,2位,Longab,生産者の顔が見えると安心だな,41,84.44,里見英次郎/つん(2)/ニューロン/架空(2)/まえみつ/ガッボデ/kamenoue(2)/水谷新太郎/ホリ/brooks/バジルごはん/@obasuma(2)/特効さん/ソル(2)/疲労コンパニオン/赤い髪/ウラニワ/思い出のサンサロ(2)/メロディックストーム/及川広大(2)/ンツ/サーベルタイガー/道化(3)/きゅーきゅー(3)/湯葉に射精/魚醤/メスカマキリ(3)/業務用虚無
8505_5686_KDR,2022-03-11,85人,初めて出産を見た人「○○○」,NA,3位,湯葉に射精,2人とも泣くならやめたらいいのに,31,72.95,うんも/架空/番茶が飲みたい/誓約/guniguni/リヤ/冬嗣/バジルごはん/疲労コンパニオン(3)/のらののら(2)/思い出のサンサロ(3)/ポコ/ペプシ非公式(2)/道化(2)/きゃすが/魚醤/Longab(2)/くろうとチェリー/業務用虚無(3)/ham.(2)
8505_5686_KDR,2022-03-11,85人,初めて出産を見た人「○○○」,NA,4位,茹で腕,他に方法ないのか,29,70.65,＃の中のカマ吉くん(2)/番茶が飲みたい/水谷新太郎(2)/guniguni(2)/リヤ/ます/世未(3)/brooks/男も育休/ソル(2)/渡辺純也/わからない(2)/ウラニワ(2)/納屋の様子/瀬戸際ヤゴ(2)/道化(2)/メスカマキリ/業務用虚無(2)
8505_5686_KDR,2022-03-11,85人,初めて出産を見た人「○○○」,NA,5位,冬嗣,知らない人が出てきた,26,67.21,架空/ピロ式/まえみつ/番茶が飲みたい/guniguni/世未/brooks(3)/ふもー/@obasuma/わからない(2)/ウラニワ(2)/ありすbot/ンツ/道化(3)/きゅーきゅー/きゃすが/みっつ/メスカマキリ(3)
8505_5686_KDR,2022-03-11,85人,初めて出産を見た人「○○○」,NA,6位,サーベルタイガー,やっぱ２階席選んで正解だったな,24,64.91,chopman(2)/つん(2)/ニューロン/ピロ式/番茶が飲みたい(3)/渡利　巣手呂(2)/guniguni(3)/世未/バジルごはん/疲労コンパニオン/ザイチェフ閣下/えふ/ンツ/きゃすが/湯葉に射精/Longab/メスカマキリ
8505_5686_KDR,2022-03-11,85人,初めて出産を見た人「○○○」,NA,6位,水谷新太郎,今まで隠れてたのか,24,64.91,架空/番茶が飲みたい/誓約/冬嗣/brooks/ソル/パピ4/渡辺純也(2)/ウラニワ/ありすbot/及川広大(2)/瀬戸際ヤゴ/ンツ(2)/きゅーきゅー(2)/みっつ(2)/メスカマキリ(2)/業務用虚無(2)
8505_5686_KDR,2022-03-11,85人,初めて出産を見た人「○○○」,NA,8位,常時と乗馬,これのもうちょっと楽なやつあります？,23,63.76,chopman/うんも/つん/kamenoue/誓約/冬嗣/世未/春屋○イ/バジルごはん/ふもー/@obasuma/男も育休/ザイチェフ閣下/ウラニワ/ンツ/サーベルタイガー/きゃすが/Longab/メスカマキリ/業務用虚無/ham./米(おこめ)(2)
8505_5686_KDR,2022-03-11,85人,初めて出産を見た人「○○○」,NA,8位,真実の愛,こういうのって炎上したりしないんですか？,23,63.76,ニューロン/番茶が飲みたい/guniguni(2)/リヤ/常時と乗馬/ホリ/春屋○イ/ふもー/渡辺純也/わからない/ウラニワ(3)/ンツ/ペプシ非公式/道化/きゅーきゅー/魚醤/くろうとチェリー/業務用虚無(2)/米(おこめ)
8505_5686_KDR,2022-03-11,85人,初めて出産を見た人「○○○」,NA,10位,架空,これで正解なんすか,22,62.61,つん/まえみつ/番茶が飲みたい(2)/誓約(2)/世未/春屋○イ(2)/tomo/ふもー/パピ4/わからない/ウラニワ/ありすbot/及川広大/瀬戸際ヤゴ/サーベルタイガー/道化/魚醤/メスカマキリ/米(おこめ)
