お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
6983_8019_BES,2022-03-16,83人,救いのないシンデレラはこんな感じだ,NA,1位,@obasuma,幸せになったシンデレラは働く召使いを汚いと思ってしまった,27,79.81,にゃんこロボ/はさあかた(2)/きゅーきゅー/わからない/ニューロン/魂の裏切りの夜/里見英次郎/世未/魚醤/粘土細工(2)/道化(3)/yom-yom/業務用虚無(2)/ガシラ(3)/思い出のサンサロ(2)/架空/植田/とりっく(2)
6983_8019_BES,2022-03-16,83人,救いのないシンデレラはこんな感じだ,NA,2位,うんも,ズンズンいうタイプの舞踏会だった,26,78.15,中原ぽ麦/遠くを見ている/ニューロン/ザイチェフ閣下(2)/世未(2)/米(おこめ)/魚醤/さいころちゃらみん/メロディックストーム/くろうとチェリー(2)/tomo/ふもー/ウラニワ(2)/赤い髪(2)/くじ/パピ4(2)/バジルごはん/とろ/とりっく(2)
6983_8019_BES,2022-03-16,83人,救いのないシンデレラはこんな感じだ,NA,3位,＃の中のカマ吉くん,王子様の元カノみんな精神科に通ってる,24,74.84,中原ぽ麦/わからない(2)/ニューロン/ザイチェフ閣下/世未(3)/ham./業務用虚無(2)/熱と気体/くろうとチェリー(2)/ピロ式(2)/架空(3)/男も育休/たる棒/水谷新太郎/小林全角/バジルごはん
6983_8019_BES,2022-03-16,83人,救いのないシンデレラはこんな感じだ,NA,4位,わからない,0時過ぎた瞬間、前歯がコーンに戻ってこぼれる,22,71.52,揚げたてメンチメン/キタムランド(3)/ニューロン(2)/世未(3)/メロディックストーム/ガシラ(2)/うんも(3)/ピロ式(3)/架空/ウラニワ(2)/バジルごはん
6983_8019_BES,2022-03-16,83人,救いのないシンデレラはこんな感じだ,NA,5位,Kit,王子が意地悪な姉たちとガラスの靴でテキーラいってる,21,69.87,揚げたてメンチメン/遠くを見ている/ニューロン/世未/ホリ(2)/メロディックストーム/阿弥陀クジオ/ガシラ/思い出のサンサロ(2)/ピロ式/白黒まみれ/ウラニワ/赤い髪/@obasuma(2)/男も育休/たる棒/水谷新太郎/とりっく
6983_8019_BES,2022-03-16,83人,救いのないシンデレラはこんな感じだ,NA,5位,チダ,ガラスの靴でパチンコ台をキープしてから舞踏会に行った,21,69.87,にゃんこロボ(2)/きゅーきゅー/わからない(3)/世未/ホリ/魚醤/ガシラ/うんも/思い出のサンサロ/架空/白黒まみれ(2)/日野ヤヨイ(2)/赤い髪/水谷新太郎/くじ/とりっく
6983_8019_BES,2022-03-16,83人,救いのないシンデレラはこんな感じだ,NA,7位,ドライアドの井村屋,取れないタグがある,20,68.21,キタムランド(2)/わからない/自由人/渡利　巣手呂/世未/米(おこめ)/ホリ/さいころちゃらみん/メロディックストーム/ham.(2)/白黒まみれ/ウラニワ(2)/くじ/セット増(2)/植田/とりっく
6983_8019_BES,2022-03-16,83人,救いのないシンデレラはこんな感じだ,NA,8位,日野ヤヨイ,原作:虚淵玄  作画:漫☆画太郎,18,64.89,中原ぽ麦/ニューロン/世未/粘土細工/道化/えふ/業務用虚無(3)/架空/ふもー(2)/のらののら/水谷新太郎/バジルごはん/とろ(3)
6983_8019_BES,2022-03-16,83人,救いのないシンデレラはこんな感じだ,NA,8位,魚醤,靴の技術に惚れた王子が魔女とくっついた,18,64.89,にゃんこロボ/きゅーきゅー/揚げたてメンチメン(2)/特効さん/ザイチェフ閣下/世未(2)/業務用虚無(2)/思い出のサンサロ(2)/ウラニワ(3)/赤い髪/男も育休/とろ
6983_8019_BES,2022-03-16,83人,救いのないシンデレラはこんな感じだ,NA,10位,ピロ式,お城に行った話を寂れた居酒屋の大将に自慢し、家に帰って少し泣く。,17,63.24,きゅーきゅー/遠くを見ている/わからない(2)/世未/米(おこめ)/ホリ/粘土細工/yom-yom/ガシラ(2)/架空(2)/ふもー(2)/たる棒/とりっく
