お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
9178_9058_ABX,2022-03-18,87人,○○○神社,NA,1位,yom-yom,御社を最上級に丁寧な表現にすると,25,77.89,のらののら/おあつらえ(2)/ふもー/まつもとたろう/植田/ケイト/うんも/きゅーきゅー/渡利　巣手呂/ハプティクス/キタムランド(2)/世未(3)/春屋○イ(2)/ホリ(2)/米(おこめ)(2)/男も育休/ンツ/きゃすが
9178_9058_ABX,2022-03-18,87人,○○○神社,NA,2位,わからない,下品なほどにビスが打ってある,22,72.83,たる棒/ふもー/湯葉に射精/清水(2)/キャッツアイ/ニューロン(2)/ハプティクス/Kit(2)/春屋○イ/ガッボデ/まえみつ/架空/ピロ式/米(おこめ)(2)/男も育休/ンツ/guniguni/八子八百
9178_9058_ABX,2022-03-18,87人,○○○神社,NA,3位,guniguni,想い通じ合ったならそこはもう,21,71.14,のらののら/遠くを見ている(2)/たる棒(2)/水谷新太郎/まつもとたろう/湯葉に射精/植田/みっつ/Kit/@obasuma/世未/まえみつ/ホリ/きゃすが/里見英次郎(2)/小林全角/わからない/tomo
9178_9058_ABX,2022-03-18,87人,○○○神社,NA,3位,魂の裏切りの夜,政府は存在を否定している,21,71.14,遠くを見ている/水谷新太郎(2)/pokopoko/思い出のサンサロ(2)/ザイチェフ閣下/うんも/きゅーきゅー(2)/日野ヤヨイ/キャッツアイ/ニューロン(2)/ホリ/バジルごはん/くろうとチェリー/ンツ/guniguni/brooks/tomo
9178_9058_ABX,2022-03-18,87人,○○○神社,NA,5位,ケイト,ドアノブの多い,19,67.77,遠くを見ている/熱と気体/植田/揚げたてメンチメン(2)/きゅーきゅー(2)/ニューロン/渡利　巣手呂/ハプティクス/まえみつ/ホリ/ンツ/ウラニワ(2)/guniguni(2)/brooks/わからない
9178_9058_ABX,2022-03-18,87人,○○○神社,NA,5位,白黒まみれ,最近ようやく桜井さんがグループラインに招待されたそうです、歌っていただきましょうMr.Childrenで,19,67.77,たる棒/ふもー(3)/水谷新太郎(3)/湯葉に射精(2)/植田/ザイチェフ閣下/ニューロン(2)/世未/道化/ホリ/きゃすが/guniguni(2)
9178_9058_ABX,2022-03-18,87人,○○○神社,NA,7位,きゅーきゅー,(株),17,64.4,遠くを見ている/とろ(3)/えふ/ニューロン/@obasuma/世未(3)/道化/バジルごはん/くろうとチェリー(2)/brooks/里見英次郎(2)
9178_9058_ABX,2022-03-18,87人,○○○神社,NA,7位,くろうとチェリー,神主がアウディ乗るタイプの,17,64.4,Longab/遠くを見ている/たる棒/ザイチェフ閣下(2)/きゅーきゅー/ニューロン(3)/世未(2)/ポコ/架空/ホリ/yom-yom/guniguni/小林全角
9178_9058_ABX,2022-03-18,87人,○○○神社,NA,9位,うんも,祈っちゃえ,16,62.71,たる棒/水谷新太郎/pokopoko/ます/キャッツアイ/@obasuma(2)/さいころちゃらみん/架空/ホリ/くろうとチェリー(2)/米(おこめ)/里見英次郎(2)/小林全角
9178_9058_ABX,2022-03-18,87人,○○○神社,NA,9位,たる棒,「小銭払えばヤラせてくれる」と評判なので、お前のあだ名は今日から肉,16,62.71,のらののら(2)/おあつらえ(2)/ふもー/まつもとたろう/湯葉に射精(2)/冬嗣/ザイチェフ閣下/揚げたてメンチメン(2)/日野ヤヨイ/@obasuma/キタムランド/ウラニワ
9178_9058_ABX,2022-03-18,87人,○○○神社,NA,9位,架空,週間少年,16,62.71,ふもー/水谷新太郎/思い出のサンサロ/冬嗣/えふ/@obasuma/はさあかた/世未/道化/まえみつ(2)/バジルごはん/男も育休(2)/ウラニワ/guniguni
9178_9058_ABX,2022-03-18,87人,○○○神社,NA,9位,水谷新太郎,1/1スケール,16,62.71,Longab/おあつらえ(2)/ふもー(2)/湯葉に射精/きゅーきゅー(2)/ニューロン/@obasuma/世未/道化(2)/ンツ/brooks/八子八百
9178_9058_ABX,2022-03-18,87人,○○○神社,NA,9位,＃の中のカマ吉くん,地図上は,16,62.71,のらののら/おあつらえ/ふもー/pokopoko/ケイト/えふ/みっつ/Kit/世未(2)/まえみつ/架空/ンツ/brooks/里見英次郎/tomo
9178_9058_ABX,2022-03-18,87人,○○○神社,NA,14位,A味噌汁,参れそうで参れない、少し参れる,15,61.02,湯葉に射精/うんも/きゅーきゅー/ニューロン/@obasuma(2)/キタムランド/はさあかた(2)/まえみつ/男も育休/guniguni(2)/brooks/小林全角
9178_9058_ABX,2022-03-18,87人,○○○神社,NA,14位,Longab,助っ人外国人が豆撒きしてる写真撮るための,15,61.02,たる棒/ふもー/pokopoko(3)/植田/思い出のサンサロ/キタムランド/世未/ピロ式(2)/男も育休/わからない(3)
9178_9058_ABX,2022-03-18,87人,○○○神社,NA,14位,ホリ,この間まで駐車場だったのに、いつの間にか,15,61.02,熱と気体(2)/ザイチェフ閣下/きゅーきゅー/世未/バジルごはん/米(おこめ)/ンツ(2)/ウラニワ(3)/里見英次郎/わからない/tomo
9178_9058_ABX,2022-03-18,87人,○○○神社,NA,14位,植田,藤井竜王、ここで打ってきたのはまさかの,15,61.02,おあつらえ/水谷新太郎(2)/pokopoko/清水/真実の愛(2)/世未(2)/道化/ホリ/男も育休/きゃすが/guniguni(2)
9178_9058_ABX,2022-03-18,87人,○○○神社,NA,18位,tomo,雑居ビルの6Fに移転した,14,59.34,ふもー/植田/ケイト/ザイチェフ閣下/きゅーきゅー/清水/渡利　巣手呂/Kit(2)/ポコ/ンツ(2)/yom-yom/わからない
9178_9058_ABX,2022-03-18,87人,○○○神社,NA,18位,ンツ,実家のトイレの広さがほぼ,14,59.34,おあつらえ(2)/水谷新太郎/ケイト/清水/春屋○イ/道化(2)/ホリ/ウラニワ(2)/里見英次郎(3)
9178_9058_ABX,2022-03-18,87人,○○○神社,NA,18位,白滝BOX,思い込みの力だけで50年やってる,14,59.34,Longab/おあつらえ/pokopoko/きゅーきゅー/キャッツアイ/ニューロン/Kit/@obasuma/キタムランド/はさあかた/世未/さいころちゃらみん/米(おこめ)/brooks
9178_9058_ABX,2022-03-18,87人,○○○神社,NA,18位,納屋の様子,これだというご利益が決められず、休憩用に作られた,14,59.34,Longab/pokopoko(2)/思い出のサンサロ(2)/揚げたてメンチメン/うんも/Kit/真実の愛/キタムランド/世未/架空/わからない(2)
9178_9058_ABX,2022-03-18,87人,○○○神社,NA,22位,さいころちゃらみん,メイドイン,13,57.65,遠くを見ている/熱と気体/水谷新太郎/えふ/魂の裏切りの夜/はさあかた/世未/まえみつ/バジルごはん/ンツ(2)/brooks(2)
9178_9058_ABX,2022-03-18,87人,○○○神社,NA,22位,ガッボデ,1次会鳥貴族→2次会カラオケ→3次会,13,57.65,おあつらえ/水谷新太郎/植田/思い出のサンサロ/きゅーきゅー/キタムランド/世未(2)/道化(2)/さいころちゃらみん/男も育休/guniguni
9178_9058_ABX,2022-03-18,87人,○○○神社,NA,22位,日野ヤヨイ,「しめすへん」の漢字、5つ答えよ。「祈！」「祝！」「 福！」「…ほんまごめん、2ついくわ」,13,57.65,のらののら/ふもー/pokopoko/冬嗣/世未(2)/ガッボデ(2)/ウラニワ(2)/guniguni(3)
9178_9058_ABX,2022-03-18,87人,○○○神社,NA,25位,のらののら,捉え方によってはトイザらスでもある,12,55.96,ふもー/湯葉に射精/きゅーきゅー/ニューロン/Kit(2)/まえみつ/ポコ/架空/ウラニワ/brooks/特効さん
