お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
7749_1537_RDS,2022-03-20,77人,赤い月を見て一言,NA,1位,揚げたてメンチメン,だから火星と一緒に洗濯するなって言ったのに,44,87.89,湯葉に射精/業務用虚無/メスカマキリ(2)/のらののら/バジルごはん/とりっく(2)/ばかじゃないのに(2)/まつもとたろう/ンツ/ガシラ(3)/ふもー/☆シナモン☆(2)/AYAKA/道化(3)/春屋○イ/たこ焼きボンバー/確認くん/さいころちゃらみん/白黒まみれ/ガッボデ/植田(2)/清水/私たち/アポロっち(3)/ケイト/ゴボウボゴ(2)/男も育休/カクレミノムシ(2)/えりっく/冬嗣(2)
7749_1537_RDS,2022-03-20,77人,赤い月を見て一言,NA,2位,ンツ,またコラボしてんのか,41,84.62,くろうとチェリー/ハプティクス/バジルごはん/たる棒/渡利　巣手呂/ピロ式/ふもー(2)/米(おこめ)/わからない(3)/たこ焼きボンバー/確認くん(2)/熱と気体/さいころちゃらみん/キタムランド(2)/八子八百/@obasuma/植田(2)/私たち/ありすbot/ケイト/ゴボウボゴ/ニューロン/カクレミノムシ(3)/えふ/遠くを見ている/tomo(2)/きゅーきゅー/うんも/水谷新太郎(3)/冬嗣
7749_1537_RDS,2022-03-20,77人,赤い月を見て一言,NA,3位,tomo,辛い月見バーガー出るぞこれ,35,78.08,湯葉に射精/業務用虚無(2)/メスカマキリ/wowwow(2)/バジルごはん/とりっく(2)/＃の中のカマ吉くん/ばかじゃないのに(2)/たる棒/ザイチェフ閣下(2)/とろ/ンツ/空飛ぶタイヤ(2)/ガシラ/ピロ式/☆シナモン☆/パピ4/熱と気体/reira1104/キタムランド(2)/ポコ/ありすbot(2)/ニューロン(2)/カクレミノムシ(2)/遠くを見ている
7749_1537_RDS,2022-03-20,77人,赤い月を見て一言,NA,4位,わからない,どこか半ドアになってない？,34,76.99,湯葉に射精/里見英次郎/業務用虚無(3)/ウラニワ/ます(2)/バジルごはん/＃の中のカマ吉くん/ばかじゃないのに(2)/たる棒/まつもとたろう/ンツ/ガシラ/ふもー/AYAKA(2)/道化(3)/たこ焼きボンバー(2)/確認くん/キャッツアイ/さいころちゃらみん/清水/ありすbot/ニューロン(3)/遠くを見ている/tomo
7749_1537_RDS,2022-03-20,77人,赤い月を見て一言,NA,4位,キャッツアイ,もう替え時だな,34,76.99,業務用虚無(2)/ウラニワ(2)/ハプティクス(2)/とりっく/ばかじゃないのに/まつもとたろう(2)/渡利　巣手呂/揚げたてメンチメン/ふもー/道化(2)/リヤ/植田/ありすbot/アポロっち/ケイト/ゴボウボゴ(2)/ニューロン/特効さん/カクレミノムシ(3)/遠くを見ている(2)/tomo(2)/きゅーきゅー(2)/水谷新太郎
7749_1537_RDS,2022-03-20,77人,赤い月を見て一言,NA,6位,＃の中のカマ吉くん,とんでもない生理が来るわよ,27,69.36,湯葉に射精/ばかじゃないのに(2)/たる棒(2)/ザイチェフ閣下/ピロ式/☆シナモン☆/パピ4/AYAKA(3)/道化/わからない/熱と気体/白黒まみれ/ガッボデ/リヤ/@obasuma/アポロっち/ニューロン/遠くを見ている/思い出のサンサロ(2)/きゅーきゅー/うんも/水谷新太郎
7749_1537_RDS,2022-03-20,77人,赤い月を見て一言,NA,7位,渡利　巣手呂,ああいう必死さは嫌いなの,23,65.0,里見英次郎(2)/業務用虚無(2)/ウラニワ(3)/ハプティクス/wowwow/ナルシマアンバイ/ばかじゃないのに/まつもとたろう/米(おこめ)/AYAKA/わからない(2)/確認くん/キャッツアイ/キタムランド/リヤ/@obasuma/きゅーきゅー/冬嗣
7749_1537_RDS,2022-03-20,77人,赤い月を見て一言,NA,8位,茹で腕,デカい信号だとしたら止まれだ、寝よう,19,60.64,湯葉に射精/業務用虚無(3)/バジルごはん(2)/とりっく/＃の中のカマ吉くん/たる棒/まつもとたろう/空飛ぶタイヤ/ガシラ/☆シナモン☆/AYAKA/@obasuma(2)/ニューロン/思い出のサンサロ/きゅーきゅー
7749_1537_RDS,2022-03-20,77人,赤い月を見て一言,NA,9位,白黒まみれ,俺見て照れてやがる、服着るか,17,58.46,里見英次郎/業務用虚無(2)/＃の中のカマ吉くん/ばかじゃないのに/たる棒/渡利　巣手呂/ふもー(2)/☆シナモン☆(2)/たこ焼きボンバー/ゴボウボゴ/ニューロン/カクレミノムシ/えふ/思い出のサンサロ
7749_1537_RDS,2022-03-20,77人,赤い月を見て一言,NA,10位,思い出のサンサロ,今ならドラマみたいな離婚できるな,16,57.37,里見英次郎(2)/業務用虚無/メスカマキリ/ハプティクス/wowwow/ばかじゃないのに/たる棒/空飛ぶタイヤ/ガシラ/米(おこめ)/たこ焼きボンバー/キャッツアイ/キタムランド/ニューロン/きゅーきゅー
7749_1537_RDS,2022-03-20,77人,赤い月を見て一言,NA,11位,つん,奴ら、牛の方から来させようとしてるな,15,56.28,のらののら/＃の中のカマ吉くん/ガシラ/ふもー/☆シナモン☆(3)/米(おこめ)/AYAKA/植田/私たち/ニューロン(2)/思い出のサンサロ/冬嗣
7749_1537_RDS,2022-03-20,77人,赤い月を見て一言,NA,12位,パピ4,月が綺麗ですね(I love tomato),14,55.19,湯葉に射精/wowwow/とりっく/ばかじゃないのに(2)/ふもー(3)/道化/わからない/キタムランド/アポロっち/きゅーきゅー/冬嗣
7749_1537_RDS,2022-03-20,77人,赤い月を見て一言,NA,12位,熱と気体,俺たち地球もトゲトゲになるとかした方がいいじゃないか,14,55.19,業務用虚無/メスカマキリ(3)/バジルごはん/たる棒/ふもー/わからない/春屋○イ/reira1104/植田/アポロっち/カクレミノムシ/遠くを見ている
7749_1537_RDS,2022-03-20,77人,赤い月を見て一言,NA,14位,ありすbot,夜のサングラスに意味ができてしまう,13,54.1,ばかじゃないのに/たる棒/ガシラ/ピロ式/☆シナモン☆(2)/白黒まみれ/ニューロン/男も育休/遠くを見ている/思い出のサンサロ(3)
7749_1537_RDS,2022-03-20,77人,赤い月を見て一言,NA,14位,ハプティクス,まああんなに見つめられたらな,13,54.1,湯葉に射精/業務用虚無/メスカマキリ(2)/とりっく/＃の中のカマ吉くん/まつもとたろう/☆シナモン☆(2)/米(おこめ)/白黒まみれ/カクレミノムシ/えりっく
7749_1537_RDS,2022-03-20,77人,赤い月を見て一言,NA,16位,brooks,先生、僕の目に何したんですか？,12,53.01,くろうとチェリー/業務用虚無/バジルごはん/ナルシマアンバイ/ばかじゃないのに(2)/魂の裏切りの夜/☆シナモン☆(2)/白黒まみれ/キタムランド/えふ
7749_1537_RDS,2022-03-20,77人,赤い月を見て一言,NA,16位,とりっく,愛が死にましたね,12,53.01,里見英次郎(3)/くろうとチェリー/業務用虚無/ハプティクス/ばかじゃないのに/ガシラ/清水(2)/私たち(2)
7749_1537_RDS,2022-03-20,77人,赤い月を見て一言,NA,16位,植田,青になるまで動かない方がいいですか,12,53.01,業務用虚無(3)/メスカマキリ/バジルごはん/ばかじゃないのに/☆シナモン☆/春屋○イ/アポロっち/ゴボウボゴ/特効さん/きゅーきゅー
7749_1537_RDS,2022-03-20,77人,赤い月を見て一言,NA,16位,湯葉に射精,かぐや姫、今日生理か,12,53.01,くろうとチェリー(2)/業務用虚無/メスカマキリ/とりっく/道化/10ipudol/たこ焼きボンバー/リヤ/ニューロン/思い出のサンサロ(2)
7749_1537_RDS,2022-03-20,77人,赤い月を見て一言,NA,16位,確認くん,あとは白の忍者をみたらコンプリートだ,12,53.01,バジルごはん/ンツ/空飛ぶタイヤ/ガシラ(2)/☆シナモン☆(2)/道化/わからない(2)/キャッツアイ/みっつ
7749_1537_RDS,2022-03-20,77人,赤い月を見て一言,NA,21位,ばかじゃないのに,重機の後にもう一回見て良いですか,11,51.92,ウラニワ(2)/魂の裏切りの夜(2)/空飛ぶタイヤ(3)/米(おこめ)/白黒まみれ/私たち/ケイト
