お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0904_2510_GDU,2022-04-02,66人,ありそうで無いことわざ,NA,1位,アニメの画像,賢いワニでも財布になる,33,90.4,@obasuma/ガシラ/かたくりこな/tomo/渡利　巣手呂/パピ4/キャッツアイ/架空/しもむら(2)/ゴボウボゴ/やまめ(2)/＃の中のカマ吉くん(2)/ハミカワ/brooks(2)/ニンニキニキニキ/とりっく/世未(2)/かくれどり(3)/水谷新太郎(2)/里見英次郎/きゅーきゅー/魂の裏切りの夜(2)/ネオ(2)
0904_2510_GDU,2022-04-02,66人,ありそうで無いことわざ,NA,2位,tomo,蟻の行列を追う者　他にする事なし,22,71.34,くろうとチェリー/ガシラ(2)/渡利　巣手呂/ゴボウボゴ/資本ネコ(2)/及川広大(2)/ハミカワ/きお/バジルごはん/思い出のサンサロ/wowwow/世未/かくれどり/ふもー/里見英次郎(3)/業務用虚無(2)
0904_2510_GDU,2022-04-02,66人,ありそうで無いことわざ,NA,3位,さいころちゃらみん,どんぐりもまた女,21,69.61,はっぴーえんど(2)/かたくりこな(2)/渡利　巣手呂/男も育休/架空/やまめ/AYAKA(3)/brooks/思い出のサンサロ/ふもー(2)/水谷新太郎(3)/魂の裏切りの夜/ネオ(2)
0904_2510_GDU,2022-04-02,66人,ありそうで無いことわざ,NA,3位,ゴボウボゴ,噛みたくとも舐めよ,21,69.61,はっぴーえんど/渡利　巣手呂/架空/はさあかた(2)/やまめ(3)/＃の中のカマ吉くん/及川広大(2)/AYAKA/きお(2)/うんも/にゃんころもち/とりっく/世未/ふもー/里見英次郎/きゅーきゅー
0904_2510_GDU,2022-04-02,66人,ありそうで無いことわざ,NA,5位,熱と気体,ブーメラン使いの説明口調,20,67.87,わからない(3)/@obasuma(2)/白黒まみれ(2)/渡利　巣手呂/男も育休/及川広大/AYAKA/バジルごはん/道化(3)/世未/かくれどり/ふもー/八子八百/きゅーきゅー
0904_2510_GDU,2022-04-02,66人,ありそうで無いことわざ,NA,6位,moaiman,呼ばれて行けばマルチ,18,64.41,@obasuma(2)/ザイチェフ閣下/白黒まみれ/絶佳/パピ4/キャッツアイ/ゴボウボゴ(2)/やまめ/AYAKA/きお(2)/とりっく(3)/世未/きゅーきゅー
0904_2510_GDU,2022-04-02,66人,ありそうで無いことわざ,NA,7位,うんも,きゅうりの栄養,17,62.68,わからない/tomo(2)/ゴボウボゴ(2)/やまめ/資本ネコ/AYAKA/さいころちゃらみん/とりっく(2)/世未(2)/かくれどり(2)/きゅーきゅー/B群
0904_2510_GDU,2022-04-02,66人,ありそうで無いことわざ,NA,7位,はっぴーえんど,遅刻して早退するなら休め,17,62.68,@obasuma(2)/ザイチェフ閣下/yom-yom/男も育休/キャッツアイ/ハミカワ/きお(2)/バジルごはん/とりっく(2)/世未(2)/かくれどり/きゅーきゅー(2)
0904_2510_GDU,2022-04-02,66人,ありそうで無いことわざ,NA,7位,ふもー,門出に石を投げるな,17,62.68,@obasuma/はっぴーえんど/絶佳/架空/はさあかた/ありすbot/しもむら/ゴボウボゴ/＃の中のカマ吉くん/資本ネコ/brooks(2)/世未(2)/業務用虚無(3)
0904_2510_GDU,2022-04-02,66人,ありそうで無いことわざ,NA,10位,ニンニキニキニキ,納車日にこする,16,60.94,yom-yom/かたくりこな/男も育休/架空/ゴボウボゴ/やまめ/資本ネコ/きお(2)/バジルごはん/brooks/世未(2)/かくれどり/八子八百/きゅーきゅー
