お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
6038_3799_AMT,2022-04-06,72人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6038_3799_AMT.jpg,1位,brooks,天国にしては臭すぎる,29,88.24,wowwow/とりっく/しもむら/パピ4/春屋○イ/きお(2)/ガス野/うんも/水谷新太郎(3)/くじ/きゅーきゅー/みるみるう/くろうとチェリー(2)/世未(3)/遠くを見ている/kamenoue(2)/ニューロン(3)/ニンニキニキニキ/わからない(2)
6038_3799_AMT,2022-04-06,72人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6038_3799_AMT.jpg,2位,毒桃,無職すぎてキャットフードと思われる,23,77.18,渡利　巣手呂/春屋○イ/ザイチェフ閣下/きお(3)/ゴボウボゴ/ガス野(2)/水谷新太郎/アポロっち(3)/思い出のサンサロ(2)/業務用虚無/tomo/及川広大/世未(2)/kamenoue/ニンニキニキニキ(2)
6038_3799_AMT,2022-04-06,72人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6038_3799_AMT.jpg,3位,kamenoue,道徳がなければでかい1匹にしてやるのに,19,69.81,パピ4/春屋○イ/Kit(3)/きお/さいころちゃらみん/キャッツアイ/うんも/里見英次郎(3)/@obasuma(2)/かくれどり(2)/遠くを見ている(2)/ニューロン
6038_3799_AMT,2022-04-06,72人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6038_3799_AMT.jpg,4位,とりふぐ,ちくしょう、痛みなら耐えられるのに,18,67.97,しもむら/パピ4/Kit(2)/ガス野/キャッツアイ/里見英次郎(2)/水谷新太郎/アポロっち/思い出のサンサロ/業務用虚無(3)/くじ/きゅーきゅー/世未/ニューロン
6038_3799_AMT,2022-04-06,72人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6038_3799_AMT.jpg,4位,ンツ,少しはグラタンを怖がれよ,18,67.97,きお(3)/さいころちゃらみん/Ｓ.虚無/Kazuword/tomo/かくれどり/及川広大/世未(2)/遠くを見ている(2)/とろ/kamenoue/ニューロン(3)
6038_3799_AMT,2022-04-06,72人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6038_3799_AMT.jpg,6位,＃の中のカマ吉くん,やっと分かったようだね、君は飼われてるんだ,17,66.12,wowwow/ザイチェフ閣下/Kit/きお(2)/ゴボウボゴ/里見英次郎/ンツ/業務用虚無(3)/AYAKA/きゅーきゅー(3)/みるみるう/世未
6038_3799_AMT,2022-04-06,72人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6038_3799_AMT.jpg,7位,わからない,こいつバカかよ！1匹で乗り込んできやがったぜ！,16,64.28,とりっく/しもむら/黒河ドロボー/Kit/道化/きお(2)/ゴボウボゴ/うんも/水谷新太郎(2)/@obasuma/AYAKA/及川広大/世未(2)
6038_3799_AMT,2022-04-06,72人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6038_3799_AMT.jpg,7位,春屋○イ,これから先もう厳しさしかないぞ,16,64.28,とりっく(2)/渡利　巣手呂/ザイチェフ閣下/ガス野/キャッツアイ/うんも/ンツ/AYAKA/きゅーきゅー(2)/みるみるう/魂の裏切りの夜/及川広大/世未(2)
6038_3799_AMT,2022-04-06,72人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6038_3799_AMT.jpg,9位,実家に帰った鶴,人間よ、これはお主が望んだ事じゃぞ？,15,62.44,とりっく/Kit(2)/キャッツアイ/里見英次郎/@obasuma/Ｓ.虚無/業務用虚無(3)/きゅーきゅー(2)/みるみるう/世未(2)
6038_3799_AMT,2022-04-06,72人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/6038_3799_AMT.jpg,10位,みやまる,VRムツゴロウさん,14,60.59,とりっく/ザイチェフ閣下/ふもー/道化(2)/はっぴーえんど/業務用虚無/AYAKA/くじ/tomo(2)/世未/バジルごはん/ぴのこ
