お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
4640_7702_ETY,2022-04-08,69人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4640_7702_ETY.jpg,1位,八子八百,妊婦　バスケ,20,77.16,瀬戸際ヤゴ(2)/きゅーきゅー/春屋○イ/わからない/かるかん圭(2)/とりっく/思い出のサンサロ/渡利　巣手呂/B群/ニンニキニキニキ(3)/AYAKA(2)/kamenoue(2)/tomo(2)
4640_7702_ETY,2022-04-08,69人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4640_7702_ETY.jpg,2位,B群,ラブレターの返事にしては上手すぎる,19,75.14,Ｓ.虚無/業務用虚無/ゴボウボゴ/瀬戸際ヤゴ/白黒まみれ/アポロっち(2)/わからない(3)/とりっく(2)/さっつん(2)/にゃんころもち/渡利　巣手呂/ニンニキニキニキ/AYAKA/はっぴーえんど
4640_7702_ETY,2022-04-08,69人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4640_7702_ETY.jpg,3位,水谷新太郎,スリリングなお見合いだぜ,17,71.1,キャッツアイ/業務用虚無(2)/瀬戸際ヤゴ/ニューロン/しもむら/わからない(2)/とりっく(2)/渡利　巣手呂/ケイト/ニンニキニキニキ(2)/街角で(2)/tomo
4640_7702_ETY,2022-04-08,69人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4640_7702_ETY.jpg,3位,白黒まみれ,写真嫌いの爺ちゃん、遺影これだったね,17,71.1,業務用虚無(2)/瀬戸際ヤゴ/ニューロン/ガシラ(2)/とりっく(3)/とろ/さっつん(2)/ウラニワ/にゃんころもち/ふもー/街角で/@obasuma
4640_7702_ETY,2022-04-08,69人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4640_7702_ETY.jpg,5位,春屋○イ,大凶のさらに下,16,69.08,業務用虚無/ニューロン/白黒まみれ/わからない/八子八百/魂の裏切りの夜/中原ぽ麦/さっつん/brooks(3)/にゃんころもち/水谷新太郎(2)/@obasuma(2)
4640_7702_ETY,2022-04-08,69人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4640_7702_ETY.jpg,6位,架空,意識高い系の遺書,15,67.06,Ｓ.虚無/業務用虚無/ニューロン/白黒まみれ/植田/アポロっち(2)/わからない(2)/ガシラ/とりっく(2)/とりふぐ(2)/水谷新太郎
4640_7702_ETY,2022-04-08,69人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4640_7702_ETY.jpg,7位,ケイト,隙間から全部逃げた,14,65.04,キャッツアイ/業務用虚無/瀬戸際ヤゴ(2)/春屋○イ/たる棒/白黒まみれ/わからない/夏のワルプルギス(2)/はしるねこ/ウラニワ/パピ4/納屋の様子
4640_7702_ETY,2022-04-08,69人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4640_7702_ETY.jpg,8位,たる棒,遺影、間に合いませんでした,13,63.02,業務用虚無/ニューロン/植田/アポロっち/かるかん圭(2)/とりふぐ/八子八百/思い出のサンサロ/ウラニワ(2)/@obasuma/はっぴーえんど
4640_7702_ETY,2022-04-08,69人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4640_7702_ETY.jpg,8位,わからない,あえて飾ってる、嫌いだなこのカフェ,13,63.02,業務用虚無/かるかん圭/ガシラ(2)/八子八百/思い出のサンサロ/さっつん/えりっく/ウラニワ/揚げたてメンチメン/ふもー/kamenoue/さいころちゃらみん
4640_7702_ETY,2022-04-08,69人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4640_7702_ETY.jpg,8位,ピロ式,この髪型にしてください,13,63.02,業務用虚無(3)/たる棒/植田(2)/さっつん/えりっく/にゃんころもち(2)/街角で/AYAKA/さいころちゃらみん
4640_7702_ETY,2022-04-08,69人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4640_7702_ETY.jpg,11位,tomo,笑顔の絶えない職場です,12,61.0,業務用虚無(2)/ゴボウボゴ/とりっく/思い出のサンサロ(2)/中原ぽ麦/はしるねこ/ウラニワ/にゃんころもち/渡利　巣手呂/はっぴーえんど
4640_7702_ETY,2022-04-08,69人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4640_7702_ETY.jpg,11位,さっつん,証明写真撮るといつもこうなる,12,61.0,＃の中のカマ吉くん/ニューロン/きゅーきゅー/春屋○イ/アポロっち/中原ぽ麦/はしるねこ/にゃんころもち(2)/渡利　巣手呂/ふもー/街角で
4640_7702_ETY,2022-04-08,69人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4640_7702_ETY.jpg,13位,brooks,ウエハースもこのシールも捨てる,11,58.98,業務用虚無/ニューロン/ケイト(2)/水谷新太郎(3)/@obasuma/tomo(3)
4640_7702_ETY,2022-04-08,69人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4640_7702_ETY.jpg,13位,さいころちゃらみん,アレクサ、太陽を知らないオレンジレンジかけて,11,58.98,瀬戸際ヤゴ/＃の中のカマ吉くん/植田/アポロっち/hikage/とりっく(2)/八子八百(2)/思い出のサンサロ/kamenoue
4640_7702_ETY,2022-04-08,69人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4640_7702_ETY.jpg,13位,とりふぐ,あの怪盗、親切だな,11,58.98,みやまる/＃の中のカマ吉くん/きゅーきゅー/ガシラ(3)/思い出のサンサロ/さっつん(2)/tomo(2)
4640_7702_ETY,2022-04-08,69人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4640_7702_ETY.jpg,16位,とりっく,芸能人に例えると誰似ですか？と問われた時の脳内,10,56.96,みやまる(2)/ゴボウボゴ/きゅーきゅー(2)/植田/アポロっち/ガシラ/とろ/ふもー
4640_7702_ETY,2022-04-08,69人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4640_7702_ETY.jpg,16位,にゃんころもち,すずめ　涙　画像,10,56.96,業務用虚無(2)/春屋○イ/とりっく/中原ぽ麦/yom-yom/ニンニキニキニキ/水谷新太郎/AYAKA/tomo
4640_7702_ETY,2022-04-08,69人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4640_7702_ETY.jpg,16位,はしるねこ,昔話っていつもこうだな,10,56.96,業務用虚無/春屋○イ/ガシラ/夏のワルプルギス/さっつん/渡利　巣手呂/ケイト/揚げたてメンチメン/はっぴーえんど(2)
4640_7702_ETY,2022-04-08,69人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/4640_7702_ETY.jpg,16位,渡利　巣手呂,そっか、転校しちゃったのか,10,56.96,キャッツアイ/アポロっち/さっつん/ウラニワ(3)/ケイト(2)/揚げたてメンチメン/tomo
