お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
3985_9224_YSD,2022-04-17,79人,どんなことがあっても絶対にローキックしかしない格闘家の日常とは？,NA,1位,こしかわ,空の青さを知らない,34,82.62,とろ/くじ/わんぱく大盛カレーライス(2)/資本ネコ/さいころちゃらみん/とびこむケロッグ/小粒庵/guniguni(2)/架空/小林全角/わからない/パピ4/散々七拍子(2)/＃の中のカマ吉くん/魂の裏切りの夜/カクレミノムシ(2)/渡利　巣手呂/遠くを見ている/ニンニキニキニキ/揚げたてメンチメン/サーベルタイガー/きお/きゅーきゅー/小倉ジャストミート/世未(2)/みやまる/ふもー(2)/エマニエル大臣
3985_9224_YSD,2022-04-17,79人,どんなことがあっても絶対にローキックしかしない格闘家の日常とは？,NA,2位,八子八百,社長室のドアを控えめにローキックした,27,72.65,業務用虚無/お~/くじ/うなぎごまたろう/瀬戸際ヤゴ/自由人/とびこむケロッグ(2)/とりっく/カクレミノムシ/お吸い物/旧式(2)/ニューロン(2)/tomo(2)/かるかん圭(3)/@obasuma(2)/きお/小倉ジャストミート/世未(2)/植田
3985_9224_YSD,2022-04-17,79人,どんなことがあっても絶対にローキックしかしない格闘家の日常とは？,NA,3位,chopman,ハイキックした夜のことは一生忘れない,26,71.23,業務用虚無(2)/シーサイド品川/瀬戸際ヤゴ/机上で実演(2)/ザイチェフ閣下/わんぱく大盛カレーライス/さいころちゃらみん/とびこむケロッグ/小粒庵/渡利　巣手呂/遠くを見ている/水谷新太郎/ニンニキニキニキ/ニューロン/思い出のサンサロ/@obasuma/はさあかた/きお(3)/小倉ジャストミート(2)/世未/ふもー
3985_9224_YSD,2022-04-17,79人,どんなことがあっても絶対にローキックしかしない格闘家の日常とは？,NA,3位,hikage,花魁の歩き方で通勤している,26,71.23,業務用虚無(2)/ンツ/とろ/しもむら/架空(2)/小林全角(2)/とりっく(2)/カクレミノムシ/旧式/ニューロン/思い出のサンサロ(2)/はっぴーえんど/かるかん圭/うわぁ/きゅーきゅー/世未(2)/ふもー(3)/エマニエル大臣
3985_9224_YSD,2022-04-17,79人,どんなことがあっても絶対にローキックしかしない格闘家の日常とは？,NA,5位,わからない,取材のカメラマンがタンポポ撮る時と同じ体勢になる,24,68.38,業務用虚無/とろ/小粒庵(2)/小林全角(3)/遠くを見ている(2)/ケイト/旧式(2)/あきやまじ(2)/ニューロン(3)/思い出のサンサロ/@obasuma/うわぁ(2)/世未(3)
3985_9224_YSD,2022-04-17,79人,どんなことがあっても絶対にローキックしかしない格闘家の日常とは？,NA,5位,架空,また出禁のゲームセンターが増えた,24,68.38,八子八百(3)/業務用虚無(3)/ンツ/机上で実演(2)/のっぺ/小粒庵/guniguni/とりっく/わからない/パピ4/道化(2)/＃の中のカマ吉くん/お吸い物/水谷新太郎/思い出のサンサロ/@obasuma/世未/植田
3985_9224_YSD,2022-04-17,79人,どんなことがあっても絶対にローキックしかしない格闘家の日常とは？,NA,5位,資本ネコ,ラインで彼女から「大好き」というメッセージがきたら自分がローキックしている動画を送る,24,68.38,八子八百/とろ/くじ/うなぎごまたろう(2)/瀬戸際ヤゴ/ザイチェフ閣下/のっぺ/しもむら(2)/小粒庵(2)/小林全角/あきやまじ/ニューロン/かるかん圭/@obasuma(2)/小倉ジャストミート/世未(3)/ふもー/エマニエル大臣
3985_9224_YSD,2022-04-17,79人,どんなことがあっても絶対にローキックしかしない格闘家の日常とは？,NA,8位,kamenoue,テトリスは1列ずつしか消さない,23,66.96,とろ/くじ/小粒庵/小林全角/道化(2)/カクレミノムシ/ニンニキニキニキ/ニューロン/はっぴーえんど/tomo/キャッツアイ/揚げたてメンチメン/うわぁ/きゅーきゅー(2)/小倉ジャストミート/世未/熱湯/みやまる/ふもー(2)/エマニエル大臣
3985_9224_YSD,2022-04-17,79人,どんなことがあっても絶対にローキックしかしない格闘家の日常とは？,NA,9位,アポロっち,子供にもじわじわ効く怒り方をする,22,65.53,八子八百/机上で実演/わんぱく大盛カレーライス/自由人/さいころちゃらみん/しもむら/小粒庵/guniguni(2)/架空/とりっく/パピ4/魂の裏切りの夜/カクレミノムシ/渡利　巣手呂/ニンニキニキニキ/サーベルタイガー/きお(2)/きゅーきゅー(2)/世未
3985_9224_YSD,2022-04-17,79人,どんなことがあっても絶対にローキックしかしない格闘家の日常とは？,NA,10位,guniguni,友達がテーブルより高いイスに座る,20,62.68,瀬戸際ヤゴ/のっぺ(2)/架空/小林全角/とりっく/パピ4/＃の中のカマ吉くん/カクレミノムシ/お吸い物/あきやまじ/かるかん圭(2)/@obasuma/キャッツアイ/うわぁ/きお(3)/植田
