お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
6253_5263_RRL,2022-04-27,77人,原始人が現代にタイムスリップしてきて一言,NA,1位,さいころちゃらみん,ここは小さい鞄の女が偉いんだな,25,77.62,揚げたてメンチメン/ニューロン(3)/うなな(2)/ネオ/お吸い物(2)/つくり真顔(2)/かるかん圭/さざなみのユウ/うなぎごまたろう/遠くを見ている/ガシラ/とろ/ぜあす/自由人/ガッボデ(2)/キャッツアイ/ゴボウボゴ/机上で実演(2)
6253_5263_RRL,2022-04-27,77人,原始人が現代にタイムスリップしてきて一言,NA,2位,架空,火以上の感動はない,24,76.01,みやまる(2)/うんも/また師走が来たよ(3)/ピロ式/tomo(2)/遠くを見ている/ハミカワ/とろ/kamenoue(2)/ルカクがいる/キャッツアイ/滋賀(2)/hikage(3)/机上で実演/きゅーきゅー/＃の中のカマ吉くん
6253_5263_RRL,2022-04-27,77人,原始人が現代にタイムスリップしてきて一言,NA,3位,八子八百,ボクサーの地位が低くないか,23,74.4,ニューロン/うんも/セーヌ川ほとり/散々七拍子(2)/水谷新太郎/また師走が来たよ(2)/かるかん圭(2)/遠くを見ている/魂の裏切りの夜(2)/バジルごはん/とろ/kamenoue/ぜあす/キャッツアイ/机上で実演(3)/パピ4/男も育休
6253_5263_RRL,2022-04-27,77人,原始人が現代にタイムスリップしてきて一言,NA,4位,瀬戸際ヤゴ,俺たちの豊作ってなんだったんだ,22,72.79,ニューロン(3)/業務用虚無(3)/うなな/うんも/お吸い物/つくり真顔/かくれどり(2)/かるかん圭/八子八百/tomo/魂の裏切りの夜/バジルごはん/とろ/長谷川キモ彦/kamenoue/ガッボデ/GYAI
6253_5263_RRL,2022-04-27,77人,原始人が現代にタイムスリップしてきて一言,NA,5位,長谷川キモ彦,とんでもない村長がいるようだ,21,71.18,ニューロン/業務用虚無(3)/水谷新太郎/渡利　巣手呂/青天井/tomo(3)/とろ/ルカクがいる/さいころちゃらみん/キャッツアイ/米(おこめ)/道化/ゴボウボゴ(2)/机上で実演/きゅーきゅー/＃の中のカマ吉くん
6253_5263_RRL,2022-04-27,77人,原始人が現代にタイムスリップしてきて一言,NA,6位,うんも,結局　闘ってるんだな,20,69.57,業務用虚無(2)/ネオ(2)/wowwow/瀬戸際ヤゴ(2)/渡利　巣手呂/八子八百/遠くを見ている/魂の裏切りの夜/とろ/長谷川キモ彦/ぜあす/ガッボデ(2)/ゴボウボゴ/机上で実演(2)/きゅーきゅー
6253_5263_RRL,2022-04-27,77人,原始人が現代にタイムスリップしてきて一言,NA,6位,ギルティー飯,まだ努力してんすね,20,69.57,ニューロン(2)/ケイト/架空(2)/ねこライト/wowwow/ピロ式/魂の裏切りの夜/ガシラ(3)/とろ/kamenoue(2)/ぜあす/ルカクがいる/きゅーきゅー/＃の中のカマ吉くん/男も育休
6253_5263_RRL,2022-04-27,77人,原始人が現代にタイムスリップしてきて一言,NA,6位,揚げたてメンチメン,渋谷ってほぼ貝塚だな,20,69.57,B群/うんも/お吸い物/セーヌ川ほとり/散々七拍子(2)/架空/かるかん圭/瀬戸際ヤゴ/うなぎごまたろう/遠くを見ている/ガシラ/とろ/kamenoue/ぜあす/ガッボデ(2)/赤い髪/机上で実演(2)
6253_5263_RRL,2022-04-27,77人,原始人が現代にタイムスリップしてきて一言,NA,9位,かるかん圭,全部触りたい,19,67.96,業務用虚無/うなな/架空/つくり真顔/Ｓ.虚無/かくれどり(3)/瀬戸際ヤゴ/渡利　巣手呂/orayudai/八子八百(2)/ピロ式(2)/とろ/ぜあす/ルカクがいる/うわぁ
6253_5263_RRL,2022-04-27,77人,原始人が現代にタイムスリップしてきて一言,NA,10位,tomo,情報の多さで笑わせにきてるのか,17,64.74,B群/業務用虚無(2)/うなな/ケイト/水谷新太郎/かくれどり(2)/また師走が来たよ/遠くを見ている/ガシラ/とろ/kamenoue/ぜあす/机上で実演(2)/＃の中のカマ吉くん
