お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
4027_4649_SUJ,2022-04-28,76人,駅でピアノを弾いてる人は何を思って弾いているの？,NA,1位,長谷川キモ彦,立ち止まる人ってジーパンが多いな,31,91.18,うなぎごまたろう/机上で実演/ガシラ(2)/つくり真顔(2)/きゅーきゅー/とろ/及川広大/魂の裏切りの夜/うなな/バジルごはん/うわぁ(2)/ネオ/GYAI/道化(2)/ニューロン(3)/旧式/春屋○イ/ピロ式(2)/キャッツアイ/tomo/メスカマキリ(2)/シーサイド品川/八子八百
4027_4649_SUJ,2022-04-28,76人,駅でピアノを弾いてる人は何を思って弾いているの？,NA,2位,とりふぐ,「駅から徒歩５分」を阻止したい,26,82.18,また師走が来たよ/机上で実演/ガシラ(3)/とりっく/とろ/揚げたてメンチメン(2)/たる棒/バジルごはん/うわぁ(2)/ねこライト/はっぴーえんど/業務用虚無(3)/米(おこめ)/かくれどり/白黒まみれ(2)/渡利　巣手呂/八子八百(3)
4027_4649_SUJ,2022-04-28,76人,駅でピアノを弾いてる人は何を思って弾いているの？,NA,3位,brooks,お前ら見てないで手伝え,23,76.78,ばかじゃないのに/机上で実演/きゅーきゅー(2)/とりっく/揚げたてメンチメン/ザイチェフ閣下/及川広大/うなな/うわぁ/最強炭酸/架空/ねこライト/はっぴーえんど/春屋○イ/業務用虚無(2)/瀬戸際ヤゴ/かくれどり(2)/tomo/メスカマキリ/渡利　巣手呂
4027_4649_SUJ,2022-04-28,76人,駅でピアノを弾いてる人は何を思って弾いているの？,NA,4位,さいころちゃらみん,これ弾き終わったら３連休だ,21,73.18,＃の中のカマ吉くん(3)/ばかじゃないのに(3)/机上で実演(2)/brooks/とりっく(2)/ザイチェフ閣下/バジルごはん/GYAI/Ｓ.虚無/業務用虚無/米(おこめ)/瑪瑙/瀬戸際ヤゴ/tomo/メスカマキリ
4027_4649_SUJ,2022-04-28,76人,駅でピアノを弾いてる人は何を思って弾いているの？,NA,5位,揚げたてメンチメン,長かったバス停での下積み時代,18,67.78,ばかじゃないのに(2)/また師走が来たよ(2)/ガシラ(3)/つくり真顔/とりっく/うわぁ(2)/ルカクがいる/春屋○イ/米(おこめ)/メスカマキリ/渡利　巣手呂/八子八百/とりふぐ
4027_4649_SUJ,2022-04-28,76人,駅でピアノを弾いてる人は何を思って弾いているの？,NA,6位,机上で実演,これが迷惑行為にならないという背徳感がジャズになる,17,65.98,また師走が来たよ/ガシラ/ます/及川広大/うなな/うわぁ(2)/GYAI/道化(2)/みやまる/やんぐーす/業務用虚無(2)/白黒まみれ(2)/メスカマキリ
4027_4649_SUJ,2022-04-28,76人,駅でピアノを弾いてる人は何を思って弾いているの？,NA,7位,水谷新太郎,黒いとこちょっと苦手だな,16,64.18,うなぎごまたろう/ばかじゃないのに/机上で実演/きゅーきゅー(2)/うんも/最強炭酸/架空(2)/ネオ/Ｓ.虚無/米(おこめ)/メスカマキリ/シーサイド品川/渡利　巣手呂/八子八百
4027_4649_SUJ,2022-04-28,76人,駅でピアノを弾いてる人は何を思って弾いているの？,NA,8位,おやゆびのなつやすみ,このペダルがアクセルだったら走り出しちゃうのかな,15,62.38,うなぎごまたろう/机上で実演/ガシラ/つくり真顔/きゅーきゅー/とりっく/とろ/ザイチェフ閣下/うなな/バジルごはん/うわぁ/ニューロン/春屋○イ/資本ネコ/メスカマキリ
4027_4649_SUJ,2022-04-28,76人,駅でピアノを弾いてる人は何を思って弾いているの？,NA,8位,ます,1人でも多く終電逃せ,15,62.38,＃の中のカマ吉くん/机上で実演/brooks/とりっく(2)/とろ/ザイチェフ閣下/たる棒/及川広大/うなな/バジルごはん/米(おこめ)/かくれどり/さいころちゃらみん/メスカマキリ
4027_4649_SUJ,2022-04-28,76人,駅でピアノを弾いてる人は何を思って弾いているの？,NA,10位,魂の裏切りの夜,俺が間に合わせてる,13,58.78,うなぎごまたろう/ばかじゃないのに/brooks/及川広大/ルカクがいる/架空/はっぴーえんど/ニューロン/業務用虚無/瀬戸際ヤゴ/キャッツアイ/白黒まみれ/渡利　巣手呂
4027_4649_SUJ,2022-04-28,76人,駅でピアノを弾いてる人は何を思って弾いているの？,NA,11位,jun,遅刻なうに使っていいよ,12,56.98,机上で実演(2)/ガシラ/きゅーきゅー/とりっく/とろ/GYAI/街角で/業務用虚無/tomo(2)/八子八百
4027_4649_SUJ,2022-04-28,76人,駅でピアノを弾いてる人は何を思って弾いているの？,NA,11位,さざなみのユウ,ええ機会だと思って弾いている,12,56.98,ばかじゃないのに/ます/及川広大/魂の裏切りの夜/旧式/業務用虚無/米(おこめ)/資本ネコ(2)/tomo(3)
4027_4649_SUJ,2022-04-28,76人,駅でピアノを弾いてる人は何を思って弾いているの？,NA,11位,サーベルタイガー,もっと大事な証拠を隠してる,12,56.98,＃の中のカマ吉くん/ガシラ/とりっく/とろ/うんも/架空/ニューロン(2)/業務用虚無/tomo/白黒まみれ/渡利　巣手呂
4027_4649_SUJ,2022-04-28,76人,駅でピアノを弾いてる人は何を思って弾いているの？,NA,11位,パピ4,今日もこれで±0だな,12,56.98,つくり真顔(2)/とりっく(3)/揚げたてメンチメン/及川広大/うなな(2)/やんぐーす/ピロ式(2)
4027_4649_SUJ,2022-04-28,76人,駅でピアノを弾いてる人は何を思って弾いているの？,NA,11位,旧式,親愛なる通行人へ,12,56.98,＃の中のカマ吉くん/brooks/とりっく(2)/とろ/及川広大/GYAI/街角で(2)/業務用虚無(2)/シーサイド品川
4027_4649_SUJ,2022-04-28,76人,駅でピアノを弾いてる人は何を思って弾いているの？,NA,16位,A味噌汁,投げ銭してクレシェンド,11,55.18,また師走が来たよ/机上で実演(2)/とろ/ザイチェフ閣下/うわぁ/パピ4/みやまる/ピロ式/資本ネコ/さいころちゃらみん
4027_4649_SUJ,2022-04-28,76人,駅でピアノを弾いてる人は何を思って弾いているの？,NA,16位,hikage,四季がある日本、指揮がない私,11,55.18,及川広大/バジルごはん(2)/うわぁ/はっぴーえんど/ニューロン/春屋○イ/業務用虚無(2)/かくれどり(2)
4027_4649_SUJ,2022-04-28,76人,駅でピアノを弾いてる人は何を思って弾いているの？,NA,16位,わんぱく大盛カレーライス,通りすがりの柴田理恵を号泣させたい,11,55.18,ばかじゃないのに/机上で実演/とろ/たる棒/GYAI(2)/道化(3)/さいころちゃらみん/メスカマキリ
4027_4649_SUJ,2022-04-28,76人,駅でピアノを弾いてる人は何を思って弾いているの？,NA,16位,資本ネコ,改札機の中から聞こえた「助けて」の声を忘れたくて,11,55.18,机上で実演/つくり真顔/ニンニキニキニキ/ザイチェフ閣下/バジルごはん(2)/うわぁ/GYAI/業務用虚無(2)/とりふぐ
