お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
8069_3131_INB,2022-04-29,74人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/8069_3131_INB.jpeg,1位,Longab,ママの運転に備えろ,29,86.09,しもむら/ねこライト/ハビ無/街角で(3)/メガベッキー(3)/ます/かるかん圭/うわぁ/ニンニキニキニキ/tomo(3)/机上で実演(2)/ニューロン/八子八百(2)/うなぎごまたろう/パピ4/旧式/はっぴーえんど/うなな(2)/架空(2)
8069_3131_INB,2022-04-29,74人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/8069_3131_INB.jpeg,2位,揚げたてメンチメン,父さんな、ワイパーで食っていこうと思ってるんだ,28,84.37,ザイチェフ閣下(2)/ポチャーマ/ガシラ(3)/ふもー/バジルごはん/ねこライト/水谷新太郎(3)/メガベッキー(2)/うわぁ(2)/ケイト(2)/とりっく/ YU-KIN☆(2)/机上で実演/ニューロン(2)/パピ4/チキン南蛮/きゅーきゅー/kamenoue
8069_3131_INB,2022-04-29,74人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/8069_3131_INB.jpeg,3位,うんも,見せてもらいましょうか、サービスとやらを,24,77.47,メスカマキリ(3)/ザイチェフ閣下(2)/ガシラ/秋/水谷新太郎(2)/メガベッキー/うわぁ(2)/ニンニキニキニキ/tomo/業務用虚無(3)/机上で実演/ニューロン/資本ネコ/及川広大/揚げたてメンチメン/Ｓ.虚無/キャッツアイ
8069_3131_INB,2022-04-29,74人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/8069_3131_INB.jpeg,4位,チャンガーラ,いいか、あれは元々死んでた狸だ,20,70.58,うんも(2)/ふもー/ねこライト/ハビ無/うわぁ/金欠(2)/ニンニキニキニキ/机上で実演/ニューロン(3)/旧式/はっぴーえんど/Longab/とろ/うなな(2)/架空
8069_3131_INB,2022-04-29,74人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/8069_3131_INB.jpeg,5位,米(おこめ),パパがSをするから君はAをしなさい。しなさいって,19,68.86,ザイチェフ閣下(2)/ガシラ(2)/バジルごはん(3)/かるかん圭(2)/うわぁ/業務用虚無(3)/資本ネコ/及川広大/はさあかた/きゅーきゅー(2)/とろ
8069_3131_INB,2022-04-29,74人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/8069_3131_INB.jpeg,5位,週刊少年 妊婦,続いては燃費を良くする運動,19,68.86,シーサイド品川/バジルごはん/ねこライト/ハビ無(2)/水谷新太郎/メガベッキー/うわぁ/tomo(2)/業務用虚無(2)/とりっく/ニューロン/八子八百(3)/ルカクがいる/とろ
8069_3131_INB,2022-04-29,74人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/8069_3131_INB.jpeg,7位,うなぎごまたろう,ママ知らない男の人と気球に乗ってるね,15,61.96,ザイチェフ閣下(2)/しもむら/ハビ無/かるかん圭/うわぁ(2)/業務用虚無/とりっく/机上で実演/かくれどり/きゅーきゅー/はっぴーえんど/とろ/Ｓ.虚無
8069_3131_INB,2022-04-29,74人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/8069_3131_INB.jpeg,8位,ギルティー飯,無免許ダンス,14,60.24,メスカマキリ/ザイチェフ閣下/ポチャーマ/ねこライト/街角で/かるかん圭/ケイト/とりっく/ YU-KIN☆/机上で実演/パピ4/さざなみのユウ/B群/はっぴーえんど
8069_3131_INB,2022-04-29,74人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/8069_3131_INB.jpeg,8位,白滝BOX,続いてはサービスエリアの邪魔になる運動,14,60.24,たる棒/ザイチェフ閣下/しもむら/春屋○イ/ガシラ(2)/バジルごはん/tomo/業務用虚無(2)/ YU-KIN☆/パピ4/ルカクがいる/とろ
8069_3131_INB,2022-04-29,74人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/8069_3131_INB.jpeg,8位,魂の裏切りの夜,50年後もライバルでいたいね,14,60.24,ポチャーマ/ガシラ/渡利　巣手呂/ハビ無/ピロ式/ケイト/ニューロン(2)/資本ネコ/八子八百/及川広大/かくれどり/はっぴーえんど/キャッツアイ
8069_3131_INB,2022-04-29,74人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/8069_3131_INB.jpeg,11位,渡利　巣手呂,ご近所見てない隙に終わらせよう,13,58.52,ふもー/うわぁ(3)/ケイト(2)/ニューロン/八子八百/パピ4/魂の裏切りの夜/Longab/とろ/うなな
8069_3131_INB,2022-04-29,74人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/8069_3131_INB.jpeg,11位,瀬戸際ヤゴ,いつもごめんな、父さんこれしないとイライラでまた,13,58.52,春屋○イ/ふもー/ねこライト/ハビ無/水谷新太郎/かるかん圭/机上で実演/資本ネコ/パピ4/はさあかた/チキン南蛮/旧式/とろ
8069_3131_INB,2022-04-29,74人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/8069_3131_INB.jpeg,13位,GYAI,爺ちゃんに会いに行く手間が省けた,12,56.8,メスカマキリ/たる棒/ポチャーマ/ます/うわぁ/ピロ式(3)/ニューロン(2)/うなぎごまたろう(2)
8069_3131_INB,2022-04-29,74人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/8069_3131_INB.jpeg,13位,きゅーきゅー,いいか、こうやって左折してもらうんだ,12,56.8,ポチャーマ/ガシラ/渡利　巣手呂/ハビ無/とりっく(2)/ YU-KIN☆/机上で実演/八子八百(2)/ルカクがいる/とろ
8069_3131_INB,2022-04-29,74人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/8069_3131_INB.jpeg,15位,キャッツアイ,おい鳥だ、威嚇しろ,11,55.07,メスカマキリ/シーサイド品川/街角で/ます/八子八百/うなぎごまたろう/パピ4/かくれどり/きゅーきゅー/ルカクがいる/とろ
8069_3131_INB,2022-04-29,74人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/8069_3131_INB.jpeg,15位,ネオ,俺の知ってる煽り運転じゃない,11,55.07,たる棒/メガベッキー/tomo/業務用虚無(2)/とりっく/ニューロン/はさあかた(2)/揚げたてメンチメン/Longab
8069_3131_INB,2022-04-29,74人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/8069_3131_INB.jpeg,15位,実家に帰った鶴,いいな　スペアタイヤだけ盗むんだ,11,55.07,たる棒/うんも/バジルごはん/みやまる/かるかん圭/八子八百/パピ4/かくれどり/はっぴーえんど/とろ/うなな
8069_3131_INB,2022-04-29,74人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/8069_3131_INB.jpeg,18位,A味噌汁,父さんもお前くらいの時はよく逆走してたさ,10,53.35,ふもー/ハビ無/街角で/うわぁ/金欠/とりっく/パピ4/きゅーきゅー/ルカクがいる/うなな
8069_3131_INB,2022-04-29,74人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/8069_3131_INB.jpeg,18位,kamenoue,共通の敵を見つけた,10,53.35,メスカマキリ/シーサイド品川/渡利　巣手呂/秋/業務用虚無/かくれどり/魂の裏切りの夜/ルカクがいる/とろ/架空
8069_3131_INB,2022-04-29,74人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/8069_3131_INB.jpeg,18位,メロディックストーム,運転もせずにする伸びは気持ちいいか？,10,53.35,ザイチェフ閣下/かるかん圭(3)/ケイト/とりっく(2)/及川広大/Longab/うなな
8069_3131_INB,2022-04-29,74人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/8069_3131_INB.jpeg,18位,ンツ,天国の被害者にバイバイしなきゃね,10,53.35,ポチャーマ/水谷新太郎/うわぁ/業務用虚無/とりっく/八子八百/及川広大/はさあかた(2)/とろ
8069_3131_INB,2022-04-29,74人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/8069_3131_INB.jpeg,18位,旧式,燃えてるプリウスが一番綺麗なんだ,10,53.35,メスカマキリ/ザイチェフ閣下(2)/ハビ無/かるかん圭/金欠(2)/ニューロン/八子八百/さざなみのユウ
8069_3131_INB,2022-04-29,74人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/8069_3131_INB.jpeg,18位,春屋○イ,積み重ねが、いつか救いになるから,10,53.35,ポチャーマ/渡利　巣手呂/ねこライト/ハビ無/ケイト/ニューロン/魂の裏切りの夜(2)/とろ/キャッツアイ
8069_3131_INB,2022-04-29,74人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/8069_3131_INB.jpeg,24位,サーベルタイガー,渋滞にはやっぱり「力」が効くからね,9,51.63,メスカマキリ(2)/渡利　巣手呂/かるかん圭(2)/ニューロン/魂の裏切りの夜/Longab/うなな
8069_3131_INB,2022-04-29,74人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/8069_3131_INB.jpeg,24位,秋,逆に興味ないフリをしてれば、インタビュアーがよってくるぞ,9,51.63,メスカマキリ/ガシラ/ハビ無/業務用虚無/とりっく/机上で実演(2)/とろ/kamenoue
8069_3131_INB,2022-04-29,74人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/8069_3131_INB.jpeg,26位,うなな,親子って見送り方も似るんだな,8,49.9,春屋○イ/ふもー/バジルごはん/業務用虚無(2)/うなぎごまたろう/B群/はっぴーえんど
8069_3131_INB,2022-04-29,74人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/8069_3131_INB.jpeg,26位,ねこライト,これでポイント溜まったら次西行くか,8,49.9,ガシラ/ハビ無/うわぁ/業務用虚無/及川広大/きゅーきゅー/魂の裏切りの夜/キャッツアイ
8069_3131_INB,2022-04-29,74人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/8069_3131_INB.jpeg,26位,はっぴーえんど,当たり屋は準備体操が大事だぞボウズ,8,49.9,ザイチェフ閣下/業務用虚無(2)/とりっく(2)/きゅーきゅー/とろ/うなな
8069_3131_INB,2022-04-29,74人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/8069_3131_INB.jpeg,26位,ます,飛行機内でプロポーズしてる人に向けてのフラッシュモブ,8,49.9,ふもー/メガベッキー/金欠(3)/業務用虚無/揚げたてメンチメン/とろ
8069_3131_INB,2022-04-29,74人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/8069_3131_INB.jpeg,26位,ゆらゆら,命より健康が大事な親子,8,49.9,ガシラ(3)/ふもー/街角で/水谷新太郎/ケイト/チキン南蛮
8069_3131_INB,2022-04-29,74人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/8069_3131_INB.jpeg,26位,ニューロン,どこにも効かない動きで太陽に挨拶しよう,8,49.9,ポチャーマ/バジルごはん/かるかん圭/業務用虚無/机上で実演/パピ4/かくれどり/とろ
8069_3131_INB,2022-04-29,74人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/8069_3131_INB.jpeg,26位,滋賀,ここではやめてって言ったよね,8,49.9,渡利　巣手呂/資本ネコ/八子八百/きゅーきゅー(2)/はっぴーえんど/ルカクがいる/とろ
8069_3131_INB,2022-04-29,74人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/8069_3131_INB.jpeg,26位,街角で,子どもを疲れさせて寝かす,8,49.9,バジルごはん/渡利　巣手呂/うわぁ(2)/業務用虚無(3)/とろ
