お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1552_0285_HFX,2022-05-09,98人,バカしか居ない殺人事件現場,NA,1位,はさあかた,じゃあ僕もそのアリバイで,36,87.65,とろ/クドウヒロオ(2)/カクレミノムシ(2)/こんな海鮮丼は寿司だ/Longab/じゃん/道化(2)/揚げたてメンチメン/机上で実演/きゃすが/アポロっち(3)/小粒庵(2)/B群/しもむら/Ｓ.虚無/seno/ぽにょ/うなな/キタムランド/灰根(2)/brooks(2)/kamenoue/渡利　巣手呂/きゅーきゅー/春屋○イ/ふもー/@obasuma/ALE
1552_0285_HFX,2022-05-09,98人,バカしか居ない殺人事件現場,NA,2位,B群,とりあえず時間忘れないように語呂合わせ作りますか,28,76.22,とろ/クドウヒロオ/カクレミノムシ(2)/こんな海鮮丼は寿司だ(2)/Longab/きゃすが/小粒庵/ネオ/しもむら/seno/たこかいな(2)/うなな/キタムランド/きゅーきゅー/マグカップ(2)/ハコダイオ/tomo(2)/ふもー(3)/@obasuma(2)/ALE
1552_0285_HFX,2022-05-09,98人,バカしか居ない殺人事件現場,NA,2位,わんぱく大盛カレーライス,最後に死体さわったやつがこの事件担当ね,28,76.22,とろ/ねこライト/カクレミノムシ(3)/こんな海鮮丼は寿司だ/Longab/つややか/道化(3)/机上で実演/男も育休/小粒庵/しもむら/八子八百/パピ4/轢歩帰/たこかいな/黒河ドロボー/ぽにょ/うなな/灰根(2)/たる棒/マグカップ/匿名匿名/@obasuma
1552_0285_HFX,2022-05-09,98人,バカしか居ない殺人事件現場,NA,2位,長谷川キモ彦,ガチで死んでるな、死因はガチ死だ,28,76.22,とろ/ねこライト/遠くを見ている/つややか/街角で/机上で実演/かくれどり(2)/きゃすが/アポロっち/お散歩BAR/しもむら/ンツ/ラスター(2)/八子八百/パピ4/seno/メロディックストーム/うなな/ます/渡利　巣手呂/マグカップ(2)/tomo/匿名匿名/春屋○イ/@obasuma
1552_0285_HFX,2022-05-09,98人,バカしか居ない殺人事件現場,NA,5位,kamenoue,急いで横の人と友達になった,27,74.79,とろ/カクレミノムシ(2)/遠くを見ている/こめと/Longab/赤黄色/かくれどり/白黒まみれ/フソ/小粒庵/ネオ/中川圭一(3)/八子八百/パピ4/キャッツアイ(2)/渡利　巣手呂(2)/うわぁ(2)/マグカップ(2)/はまんこ/春屋○イ
1552_0285_HFX,2022-05-09,98人,バカしか居ない殺人事件現場,NA,6位,サーベルタイガー,アリバイを昆虫だと思い図鑑をひいてる,22,67.65,ねこライト/カクレミノムシ(2)/こんな海鮮丼は寿司だ(2)/水谷新太郎(3)/Longab/街角で/しもむら/ウッド原動機(2)/中川圭一/うわぁ/きゅーきゅー(2)/マグカップ(3)/tomo/ふもー
1552_0285_HFX,2022-05-09,98人,バカしか居ない殺人事件現場,NA,7位,みやまる,「俺もダイイングメッセージ書きたーい！」「俺も俺も！」,20,64.79,Longab/道化(3)/一石投じ男/机上で実演/アポロっち(2)/男も育休/小粒庵/しもむら/ナカウラ/灰根(3)/ます/たる棒/うわぁ/ALE(2)
1552_0285_HFX,2022-05-09,98人,バカしか居ない殺人事件現場,NA,7位,ギルティー飯,恐いからBEGIN流しときました,20,64.79,とろ/遠くを見ている/一石投じ男/長谷川キモ彦/お散歩BAR(2)/小粒庵(3)/ネオ/seno/たこかいな(2)/みやまる/うわぁ/きゅーきゅー/匿名匿名/春屋○イ(2)/ふもー
1552_0285_HFX,2022-05-09,98人,バカしか居ない殺人事件現場,NA,9位,brooks,「早くしろよ！！」と死体が起き上がった,19,63.36,とろ/ねこライト/道化(2)/街角で/白黒まみれ(3)/しもむら/中川圭一/seno/メロディックストーム(2)/たる棒/かはちはさ/はまんこ/ふもー/@obasuma(2)
1552_0285_HFX,2022-05-09,98人,バカしか居ない殺人事件現場,NA,9位,うなな,みんなで死体をツンツンする枝を探してる,19,63.36,カクレミノムシ(3)/こんな海鮮丼は寿司だ(2)/こめと/道化(2)/はっぴーえんど/机上で実演/しもむら/八子八百(2)/轢歩帰/seno/みやまる(2)/うわぁ(2)
