お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
8001_5254_XGB,2022-05-25,117人,心霊番組のプロデューサーが頭を抱えている理由,NA,1位,板野,つい本物が出る病室を選んでしまうGACKT,30,81.76,Longab(2)/ふもー/大納言(2)/机上で実演/れれれのれき/一石投じ男/Gully(3)/とろ/道化(2)/sam/ねこライト/セトピア(2)/揚げたてメンチメン/男も育休/秋/ましましのしま/白黒まみれ/たかだか竹田(2)/匿名匿名/瀬戸際ヤゴ(2)/また師走が来たよ/散々七拍子
8001_5254_XGB,2022-05-25,117人,心霊番組のプロデューサーが頭を抱えている理由,NA,2位,たんひな,クイズ王、おわかりいただくのが早すぎる,29,80.21,Longab(3)/業務用虚無(3)/佐久真/机上で実演/春屋○イ(2)/一石投じ男/灰根(2)/武山/とろ/ねこライト/寺井/男も育休(2)/ましましのしま/水谷新太郎/うんも/瀬戸際ヤゴ(3)/ネオ/また師走が来たよ(3)
8001_5254_XGB,2022-05-25,117人,心霊番組のプロデューサーが頭を抱えている理由,NA,3位,カタン,直後の旅番組では親切な村人だった,27,77.11,Longab/業務用虚無(2)/うなな(2)/さざなみのユウ/ふもー/つくり真顔/tomo(2)/Gully(3)/とろ/ラメ絶対/寺井(2)/ザイチェフ閣下/ましましのしま/匿名匿名/瀬戸際ヤゴ/ネオ/渡利　巣手呂/ガシラ/ごはんでした/しゅうぴょんz(2)
8001_5254_XGB,2022-05-25,117人,心霊番組のプロデューサーが頭を抱えている理由,NA,4位,ギルティー飯,母親が番組を信じている,25,74.01,Longab/業務用虚無/ポテトマト/うなな/きゅーきゅー(2)/たこかいな/つくり真顔/takahashi(3)/とろ/道化/ラメ絶対/みやまる(2)/うわぁ/瀬戸際ヤゴ/ンツ/渡利　巣手呂/また師走が来たよ/ほんの一滴/カタン(3)
8001_5254_XGB,2022-05-25,117人,心霊番組のプロデューサーが頭を抱えている理由,NA,4位,常時と乗馬,IKKOの「見間違い〜♡」に押し切られそう,25,74.01,業務用虚無(2)/くまった/ふもー/きゅーきゅー(2)/机上で実演/春屋○イ/板野/とろ/道化/セトピア(2)/男も育休/秋(2)/ましましのしま/うわぁ/白黒まみれ/水谷新太郎/たかだか竹田(2)/資本ネコ/散々七拍子(2)
8001_5254_XGB,2022-05-25,117人,心霊番組のプロデューサーが頭を抱えている理由,NA,6位,たこかいな,平野レミが盛り塩をタッパーに詰めてる,23,70.92,業務用虚無/さざなみのユウ(2)/佐久真/大納言/板野/れれれのれき/takahashi(2)/Gully/とろ/sam/ねこライト/寺井/男も育休/うわぁ/白黒まみれ(3)/たかだか竹田(2)/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/散々七拍子
8001_5254_XGB,2022-05-25,117人,心霊番組のプロデューサーが頭を抱えている理由,NA,6位,春屋○イ,ロケ地が少しずつテレビ局に近づいている,23,70.92,Longab/業務用虚無/ふもー/うなぎごまたろう/tomo(3)/れれれのれき/ラメ絶対(2)/みそスープ/tome_ru/八子八百/ねこライト/セトピア/揚げたてメンチメン/三十一/うわぁ(2)/白黒まみれ/かぎの/ンツ/ほんの一滴
8001_5254_XGB,2022-05-25,117人,心霊番組のプロデューサーが頭を抱えている理由,NA,8位,うなな,こんな日当たりの良い廃墟があるのか,19,64.72,Longab/業務用虚無/Ｓ.虚無/ふもー/たこかいな(2)/春屋○イ/灰根/とろ/道化/ガッボデ/三十一/キャッツアイ/ましましのしま(2)/ミフィ/水谷新太郎/うんも/カタン
8001_5254_XGB,2022-05-25,117人,心霊番組のプロデューサーが頭を抱えている理由,NA,8位,ごはんでした,このままだと農家に怒鳴られただけで終わっちゃう,19,64.72,Longab/業務用虚無/うなな/くまった/つくり真顔/れれれのれき(2)/とろ/八子八百/ねこライト/秋/ザイチェフ閣下/ましましのしま/うんも/瀬戸際ヤゴ/＃の中のカマ吉くん/後鳥羽JK(3)
8001_5254_XGB,2022-05-25,117人,心霊番組のプロデューサーが頭を抱えている理由,NA,8位,散々七拍子,あいつら、地に足着いちゃってる,19,64.72,業務用虚無/さざなみのユウ(2)/れれれのれき/takahashi/はっぴーえんど/とろ/道化/tome_ru/sam(2)/なべわたなべ(3)/ましましのしま/ミフィ/かぎの/ンツ/ネオ
