お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
5501_8393_EMI,2022-05-29,99人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5501_8393_EMI.jpg,1位,秋,小学生「今日も待つ村のとこに集合な」,30,89.08,さけのなかのいくら/たこかいな(3)/ウッド原動機/のの/業務用虚無(3)/白黒まみれ/ふもー(2)/ザイチェフ閣下/ましましのしま(3)/水谷新太郎/キーちゃん/魂の裏切りの夜(2)/きゅーきゅー/うなな/サメVS巨大タコス/しゅうぴょんz/ニンニキニキニキ/れれれのれき/バンキ/omiun(2)/ちきちきた
5501_8393_EMI,2022-05-29,99人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5501_8393_EMI.jpg,2位,くじ,ダメだ先回りされてる,26,82.12,ネオ/みそスープ/たこかいな/かぎの/八子八百(2)/のの/白黒まみれ(2)/ふもー/ンツ/ましましのしま/さいころちゃらみん/きゅーきゅー/うなな/しゅうぴょんz/ニューロン/takahashi(2)/渡利　巣手呂/武山/omiun(2)/ちきちきた/ねこライト(2)
5501_8393_EMI,2022-05-29,99人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5501_8393_EMI.jpg,3位,魂の裏切りの夜,あの日のキスの意味を教えてください,25,80.37,ネオ/さけのなかのいくら/シーサイド品川/八子八百/旧式/つくり真顔/業務用虚無(2)/机上で実演/hp/ンツ/Longab/水谷新太郎(3)/さいころちゃらみん/ケムケムケムッソ/ニューロン/ガシラ(3)/くじ/omiun/ちきちきた/アイヘイトウィンター
5501_8393_EMI,2022-05-29,99人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5501_8393_EMI.jpg,4位,ちきちきた,どの角度から見ても目が合う,20,71.67,八子八百(2)/業務用虚無(2)/白黒まみれ/ふもー/メロディックストーム/ザイチェフ閣下/ましましのしま/水谷新太郎/ケムケムケムッソ(2)/ニンニキニキニキ/れれれのれき/くじ/takahashi/武山/ぴぐフライ/バンキ/omiun
5501_8393_EMI,2022-05-29,99人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5501_8393_EMI.jpg,5位,旧式,待つ村FMで肉声が聴ける,19,69.93,さけのなかのいくら/たこかいな(2)/白黒まみれ/ふもー/ザイチェフ閣下(2)/ましましのしま/Longab(2)/うなな(2)/サメVS巨大タコス(2)/ガシラ/後鳥羽JK/れれれのれき/はっぴーえんど/くじ
5501_8393_EMI,2022-05-29,99人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5501_8393_EMI.jpg,6位,かぎの,今作のSIRENはダメだな,17,66.44,さけのなかのいくら/実家に帰った鶴(2)/業務用虚無(2)/ふもー(2)/ましましのしま/シュヴァルツ(2)/@obasuma/Longab/パピ4/サメVS巨大タコス/寺井/れれれのれき/ぴぐフライ
5501_8393_EMI,2022-05-29,99人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5501_8393_EMI.jpg,6位,長谷川キモ彦,連絡待つ.comも運営してる,17,66.44,みそスープ(2)/さけのなかのいくら/揚げたてメンチメン/シーサイド品川/まつもとたろう/のの/うなぎごまたろう/机上で実演/シュヴァルツ/@obasuma/Longab/そこはかとなく炒飯/秋/B群/れれれのれき/くじ
5501_8393_EMI,2022-05-29,99人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5501_8393_EMI.jpg,8位,存奈バナ乃,認知症のおじいちゃんがずっと本当の自分を探している,16,64.7,赤い髪(2)/業務用虚無(3)/うわぁ/hp(2)/きゅーきゅー/秋(2)/ニューロン(2)/ニンニキニキニキ/れれれのれき/takahashi
5501_8393_EMI,2022-05-29,99人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5501_8393_EMI.jpg,9位,つくり真顔,目立つように夜は帽子の部分だけ光る,15,62.96,ネオ(2)/さけのなかのいくら/ウッド原動機(2)/こしかわ/業務用虚無/ンツ/キーちゃん/魂の裏切りの夜/うなな/ニューロン(2)/takahashi/バンキ
5501_8393_EMI,2022-05-29,99人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5501_8393_EMI.jpg,9位,ケイト,次々と新しい嫌がらせをやってきよる,15,62.96,たこかいな(2)/かぎの/つくり真顔/業務用虚無(2)/うなぎごまたろう/ましましのしま(2)/水谷新太郎/さいころちゃらみん/キーちゃん/秋/ニンニキニキニキ/ちきちきた
