お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
3598_4630_GMA,2022-06-09,136人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3598_4630_GMA.jpg,1位,3ねこ,ツノが無いからメスだね,45,89.13,キャッツアイ/たる棒/Longab/枠の外(2)/ネオ(3)/ケムケムケムッソ/こくもつの試食/揚げたてメンチメン/うんも/tomo/かるかん圭(3)/遠くを見ている/ラメ絶対(2)/机上で実演(2)/ニンニキニキニキ/さざなみのユウ(3)/さけのなかのいくら/しっとりペンチ/水谷新太郎/ニューロン/長谷川キモ彦/セトピア(2)/シュヴァルツ/AYAKA(2)/実家に帰った鶴(3)/また師走が来たよ(2)/短米(2)/B群(2)/ましましのしま
3598_4630_GMA,2022-06-09,136人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3598_4630_GMA.jpg,2位,北戸田スイッチ,7回忌だけ来やがって,39,81.96,キャッツアイ/バルミューダ大佐/少しだけ賢い/ケムケムケムッソ/ワッショイサンバ(2)/齋藤(2)/tomo/かるかん圭(2)/八子八百(2)/カタン/渡利　巣手呂(2)/大納言/みささぎ(2)/チョコあんぱん/机上で実演/サメVS巨大タコス/黒河ドロボー/ニューロン(3)/長谷川キモ彦/セトピア/@obasuma/AYAKA/さいころちゃらみん/Ｓ.虚無/たこかいな/短米/たこ焼きボンバー/seno(3)/ましましのしま
3598_4630_GMA,2022-06-09,136人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3598_4630_GMA.jpg,2位,白黒まみれ,ママ武道館もってきて　チャンス逃げちゃう,39,81.96,ばいなら/前後左右/バルミューダ大佐(2)/まつもとたろう/ハミカワ/猫屋敷/Longab(3)/かくれどり/うんも/ねこライト(2)/GYAI/遠くを見ている/きゅーきゅー/ゴボウボゴ/業務用虚無(3)/さけのなかのいくら(2)/こっぺ(3)/長谷川キモ彦(3)/セトピア(3)/Ｓ.虚無/実家に帰った鶴/たこかいな/北戸田スイッチ(3)/ましましのしま
3598_4630_GMA,2022-06-09,136人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3598_4630_GMA.jpg,4位,tomo,良いのかい？君の家でも弾くけど,33,74.79,白黒まみれ/前後左右/まつもとたろう/枠の外(2)/ワッショイサンバ(2)/うんも/ねこライト/武山(2)/水猫ラテ(2)/カタン/渡利　巣手呂/きゅーきゅー(2)/つくり真顔/ラメ絶対(2)/業務用虚無(2)/のの/こむら返り/さけのなかのいくら/@obasuma(2)/実家に帰った鶴/たこかいな(2)/短米(3)
3598_4630_GMA,2022-06-09,136人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3598_4630_GMA.jpg,5位,前後左右,おじさんが加害者になるギリギリのラインを攻める,31,72.4,少しだけ賢い/枠の外(2)/かくれどり/ケムケムケムッソ/武山/よしんば/たんぱく室(2)/春屋○イ/寺井(2)/大納言/うわぁ/業務用虚無/米津倫理(2)/キーちゃん/さざなみのユウ/こっぺ(2)/@obasuma/AYAKA(2)/実家に帰った鶴(2)/また師走が来たよ/短米(2)/ましましのしま(2)
3598_4630_GMA,2022-06-09,136人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3598_4630_GMA.jpg,6位,ニンニキニキニキ,幼稚園入れないなりに楽しめる,30,71.2,たる棒/まつもとたろう/枠の外(2)/ケムケムケムッソ/みやまる/ワッショイサンバ(3)/3ねこ(2)/かるかん圭(3)/八子八百(3)/寺井(2)/くじ(3)/キーちゃん/魂の裏切りの夜/さけのなかのいくら/短米(2)/はさあかた/北戸田スイッチ(2)
3598_4630_GMA,2022-06-09,136人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3598_4630_GMA.jpg,7位,寺井,本当に俺がひと夏の思い出でいいのか,29,70.01,バルミューダ大佐(2)/ハミカワ(2)/ケムケムケムッソ/ワッショイサンバ/3ねこ(2)/メロディックストーム/気球マイスター(2)/かるかん圭/たんぱく室(2)/遠くを見ている/春屋○イ/きゅーきゅー/業務用虚無(2)/お吸い物(2)/シーサイド品川/キーちゃん/セトピア/シュヴァルツ/実家に帰った鶴/また師走が来たよ(2)/ましましのしま
3598_4630_GMA,2022-06-09,136人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3598_4630_GMA.jpg,8位,懸垂ができる,気にしないってロックだな,28,68.81,ます/猫屋敷/hp/ワッショイサンバ(2)/揚げたてメンチメン/メロディックストーム/水猫ラテ/八子八百/カタン/寺井/大納言/みささぎ/インド哲学/つくり真顔/くじ(2)/キーちゃん/さけのなかのいくら/秋/@obasuma/シュヴァルツ/はっぴーえんど/たこかいな/パピ4/短米/はさあかた/しもむら
3598_4630_GMA,2022-06-09,136人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3598_4630_GMA.jpg,9位,うんも,じゃあ今日月曜か,25,65.23,茹で腕/ごまパック/こくもつの試食/揚げたてメンチメン/ねこライト/気球マイスター(2)/齋藤/tomo(2)/八子八百/お吸い物/のの/魂の裏切りの夜(2)/水谷新太郎/takumidori/また師走が来たよ(3)/短米(2)/はさあかた/たこ焼きボンバー/北戸田スイッチ
3598_4630_GMA,2022-06-09,136人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3598_4630_GMA.jpg,9位,れれれのれき,どちらも被害者であり加害者,25,65.23,かくれどり/座椅子/ねこライト/寺井/きゅーきゅー/みささぎ/インド哲学/つくり真顔/ラメ絶対/チョコあんぱん(2)/くじ/さざなみのユウ(3)/水谷新太郎/ニューロン(2)/秋/実家に帰った鶴/短米(2)/はさあかた/たこ焼きボンバー/ましましのしま
3598_4630_GMA,2022-06-09,136人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3598_4630_GMA.jpg,9位,パピ4,後ろにいる これはバズるぞという顔の母が1番ムカつく,25,65.23,Longab/ネオ/かくれどり/座椅子(3)/みやまる(2)/メロディックストーム/たんぱく室(2)/大納言/机上で実演(2)/業務用虚無(2)/お吸い物/さけのなかのいくら/シュヴァルツ(3)/実家に帰った鶴/しもむら(2)/ましましのしま
3598_4630_GMA,2022-06-09,136人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3598_4630_GMA.jpg,9位,武山,おじさんは「みんな」に含まれないってことかい？,25,65.23,前後左右/枠の外/ネオ/ケムケムケムッソ/揚げたてメンチメン/うんも/3ねこ/かるかん圭/カタン/春屋○イ/みささぎ(2)/机上で実演/業務用虚無/くじ/のの/キーちゃん/魂の裏切りの夜/Ｓ.虚無(2)/実家に帰った鶴/また師走が来たよ(2)/短米/ましましのしま
