お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
8873_3512_FLJ,2022-06-18,131人,漫画みたいなラーメン屋,NA,1位,さいころちゃらみん,湯気で大事なところが隠れてる,54,88.56,tomo/hp(2)/びろびろーん/揚げたてメンチメン/キーちゃん/大吉/よしんば/遠くを見ている/A味噌汁(2)/メロディックストーム/TwistNight/猫屋敷/みやまる(2)/すらさん(3)/かるかん圭/八子八百(2)/中身(2)/ふもー/きゅーきゅー/板野/kevin/こっぺ(3)/バルミューダ大佐/みささぎ/ワッショイサンバ(2)/はしるねこ/deepnavy/武山(2)/泥/初期装備/ねこライト/つくり真顔(2)/うわぁ(2)/齋藤/恥さらしのスパゲッティ(2)/セトピア/細雪☆/Longab/シュヴァルツ(2)
8873_3512_FLJ,2022-06-18,131人,漫画みたいなラーメン屋,NA,2位,魂の裏切りの夜,厨房、借りるぜ,52,86.59,ウェイトレスのひみつ/ほ/ザイチェフ閣下/tomo/こくもつの試食/机上で実演/デミ侍/さいころちゃらみん/びろびろーん/omiun/A味噌汁(2)/少しだけ賢い/インド哲学/ミヤモト/灰根/3ねこ(3)/ジェンツーペンギン(2)/きゅーきゅー/板野(2)/きまぐれ/ニューロン/幻聴ハシビロコウ/白黒まみれ/資本ネコ/懸垂ができる(2)/ハミカワ/バルミューダ大佐(2)/みささぎ/deepnavy/武山(2)/seno/初期装備(2)/ねこライト/ましましのしま/齋藤/セトピア(3)/細雪☆/渡利　巣手呂/アポロっち/また師走が来たよ/シュヴァルツ
8873_3512_FLJ,2022-06-18,131人,漫画みたいなラーメン屋,NA,3位,久民,壁にもたれながら見てるだけの客がいる,49,83.64,ウェイトレスのひみつ/ほ/ぷよぷよの滝本(2)/さけのなかのいくら(2)/やる/こくもつの試食/さいころちゃらみん(3)/長谷川キモ彦(2)/びろびろーん/揚げたてメンチメン/素数/寺井(2)/遠くを見ている/魂の裏切りの夜(2)/並走禁止/少しだけ賢い/及川広大/八子八百/きゅーきゅー/きまぐれ/ニューロン/懸垂ができる/バルミューダ大佐/カタン/実家に帰った鶴/武山(2)/seno/泥(2)/kamenoue/ましましのしま/つくり真顔(2)/うわぁ/@obasuma/ホールド・ナッツ(2)/渡利　巣手呂(2)/Longab/Normal boy
8873_3512_FLJ,2022-06-18,131人,漫画みたいなラーメン屋,NA,4位,B群,ラーメン村という無料でラーメンが食べれる違法の店がある,44,78.72,さけのなかのいくら/はさあかた(2)/hp/大吉/よしんば/素数/さざなみのユウ/大納言/TwistNight(2)/猫屋敷/及川広大/灰根(3)/かるかん圭/中身/きゅーきゅー/板野/資本ネコ/ハミカワ/ケムケムケムッソ/ワッショイサンバ/気球マイスター(2)/かくれどり(2)/実家に帰った鶴/こむら返り/初期装備/ましましのしま/うわぁ/齋藤/ホールド・ナッツ(2)/セトピア(2)/ﾗﾌﾞﾐｰ/水谷新太郎/アポロっち/また師走が来たよ/シュヴァルツ(2)
8873_3512_FLJ,2022-06-18,131人,漫画みたいなラーメン屋,NA,5位,板野,店の屋根に座っている店主が「来たな」と呟く,43,77.74,さけのなかのいくら(2)/やる/hp/デミ侍/さざなみのユウ/おたえ/遠くを見ている/A味噌汁(2)/魂の裏切りの夜(2)/並走禁止(2)/メロディックストーム/Airplane(2)/ミヤモト/かるかん圭/きゅーきゅー(2)/kevin(2)/ニューロン/ハミカワ/バルミューダ大佐(2)/ちまめ/カタン/実家に帰った鶴/ねこライト(2)/ましましのしま/つくり真顔/うわぁ(3)/ホールド・ナッツ(2)/水谷新太郎/また師走が来たよ/Normal boy(2)
8873_3512_FLJ,2022-06-18,131人,漫画みたいなラーメン屋,NA,6位,ケムケムケムッソ,「俺たちの食事はこれからだ」と言って店を畳む,40,74.79,ヤドカリ/ウェイトレスのひみつ(2)/やる/hp/机上で実演(2)/デミ侍/揚げたてメンチメン/omiun(2)/素数/A味噌汁(3)/大納言/灰根(2)/はっぴーえんど/ジェンツーペンギン(3)/ふもー/きゅーきゅー/板野/ニューロン(3)/白黒まみれ/資本ネコ(2)/懸垂ができる/バルミューダ大佐/みささぎ(2)/カタン(2)/ましましのしま/@obasuma/はえ太
8873_3512_FLJ,2022-06-18,131人,漫画みたいなラーメン屋,NA,7位,hp,豚が生きたまま気持ちよさそうに寸胴鍋に浸かっている,36,70.86,びろびろーん/キーちゃん/omiun(2)/素数/さざなみのユウ/A味噌汁/魂の裏切りの夜/並走禁止/少しだけ賢い/インド哲学/TwistNight(2)/はっぴーえんど/久民/きゅーきゅー/こっぺ(3)/カタン(2)/ケムケムケムッソ(2)/実家に帰った鶴(2)/武山/こむら返り/ねこライト(3)/ましましのしま(2)/恥さらしのスパゲッティ/Longab/はえ太/大残渣
8873_3512_FLJ,2022-06-18,131人,漫画みたいなラーメン屋,NA,8位,deepnavy,器の底に「〇〇先生の次回作にご期待ください」と書かれてる,35,69.88,さけのなかのいくら/はさあかた/やる/素数/遠くを見ている/TwistNight/ミヤモト/灰根(2)/小南(3)/きゅーきゅー(2)/板野/資本ネコ/B群(2)/気球マイスター/かくれどり/暴風よ吹け/seno/ねこライト/ましましのしま/うわぁ(2)/恥さらしのスパゲッティ/ホールド・ナッツ(2)/セトピア/水谷新太郎(3)/アポロっち/シュヴァルツ
8873_3512_FLJ,2022-06-18,131人,漫画みたいなラーメン屋,NA,9位,はえ太,本棚に「ゴリゴ31」とか「明後日のショー」とかがたくさん並んでいるし、「毎読新聞」をおじさんが読んでる,30,64.96,Kazuword(2)/さざなみのユウ(2)/及川広大(2)/たる棒/ふもー(3)/きゅーきゅー/ハミカワ/B群/気球マイスター/かくれどり(2)/deepnavy/実家に帰った鶴/seno/kamenoue/ましましのしま(2)/Ｓ.虚無/ホールド・ナッツ(2)/セトピア/また師走が来たよ(2)/シュヴァルツ(2)
8873_3512_FLJ,2022-06-18,131人,漫画みたいなラーメン屋,NA,9位,品のないゴリラ,1杯食べるのになんだかんだ10週くらいかかる,30,64.96,ウェイトレスのひみつ/はさあかた(2)/Kazuword/さいころちゃらみん/長谷川キモ彦/よしんば/A味噌汁/大納言/中身/きゅーきゅー/幻聴ハシビロコウ(2)/ワッショイサンバ/かくれどり(2)/deepnavy/実家に帰った鶴/暴風よ吹け/武山/seno/ます/kamenoue(2)/ねこライト/ましましのしま/@obasuma/セトピア/シュヴァルツ(2)
