お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
7860_4475_KHY,2022-06-26,166人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7860_4475_KHY.jpg,1位,瀬戸際ヤゴ,ではそろそろ乱しますよ、和を,68,95.29,mississippi/齋藤/暴風よ吹け/パピ4/水谷新太郎(2)/八子八百/remin(2)/ポンサ/業務用虚無(2)/超熟/赤黄色/ケムケムケムッソ(2)/つくり真顔/少しだけ賢い/ましましのしま(2)/前後左右/机上で実演/枠の外(2)/ムエタイ/おさかな水溶液/春屋○イ/xixi(3)/メロディックストーム/さいころちゃらみん/はなびら/サメVS巨大タコス/A味噌汁/石原消し炭(2)/ばいなら(2)/ダイチリーマン/秋(2)/Ｓ.虚無(3)/うわぁ/カタン(2)/蒼空便箋/わんぱく大盛カレーライス/糸目の鮟鱇/熱と気体(2)/桜もにゅ/じゃん/実家に帰った鶴/たんぱく室(2)/板野/もち(3)/魂の裏切りの夜/キャッツアイ/かくれどり(2)/はさあかた/ねこライト
7860_4475_KHY,2022-06-26,166人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7860_4475_KHY.jpg,2位,齋藤,塾ざんまい、ってワケ,51,80.29,シュヴァルツ/B群(3)/ドゥタドゥタ(3)/八子八百/brooks(2)/超熟/きんめじろう/ケムケムケムッソ/アガリブル/ましましのしま/短米/瀬戸際ヤゴ/机上で実演/ねむ粉/たこ焼きボンバー/たる棒/よしんば/さいころちゃらみん/青色迷子/石原消し炭/ばいなら(2)/秋/茹で腕/kamenoue(2)/また師走が来たよ(2)/パセリを添えて(2)/わんぱく大盛カレーライス(2)/糸目の鮟鱇/熱と気体(2)/帆乃(2)/実家に帰った鶴/大残渣/たんぱく室/もち(2)/モロコシ(2)/かくれどり/はさあかた
7860_4475_KHY,2022-06-26,166人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7860_4475_KHY.jpg,3位,わんぱく大盛カレーライス,7の段からはお手上げさ,50,79.41,太極拳のカリスマ(3)/齋藤/カクレミノムシ/シュヴァルツ/北戸田スイッチ/灰根(2)/みささぎ/きんめじろう/ケムケムケムッソ/すらさん/ましましのしま/窓際隊隊長(2)/前後左右(2)/ちきちきた/短米/瀬戸際ヤゴ/灰谷(3)/よんずい(2)/セトピア/赤ぺこり/メロディックストーム/猫屋敷/ばいなら/ダイチリーマン(3)/また師走が来たよ(3)/Ｓ.虚無(2)/うわぁ/頭骨(3)/おあつらえ/たんぱく室/seno/もち/モロコシ/はさあかた/気球マイスター
7860_4475_KHY,2022-06-26,166人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7860_4475_KHY.jpg,4位,北戸田スイッチ,残念、僕は九九を知らない,47,76.77,松竹梅バイキン(2)/シュヴァルツ/3ねこ/B群/ウラニワ/みささぎ/こむら返り/そらをとぶ/ケムケムケムッソ/アガリブル/窓際隊隊長(2)/前後左右/七味と一味が好き/ちきちきた/瀬戸際ヤゴ/灰谷(3)/よんずい/インド哲学/たる棒(2)/架空/春屋○イ/しっとりペンチ/サメVS巨大タコス/カタン/遠くを見ている/蒼空便箋/わんぱく大盛カレーライス(2)/旧式/デミ侍/研究会員/tomo/大残渣/seno/たくさん応援(3)/かくれどり/はさあかた/一石投じ男/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/ねこライト
7860_4475_KHY,2022-06-26,166人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7860_4475_KHY.jpg,5位,這う野,外は寒かったでしょう、寒い学校へようこそ,45,75.0,ウィンナー/カクレミノムシ/ぴぐフライ/ウラニワ(2)/八子八百/みささぎ/白滝BOX/ウェイトレスのひみつ/ケムケムケムッソ/ジェンツーペンギン(2)/ちきちきた/短米/瀬戸際ヤゴ(2)/あくえりの粉/たこ焼きボンバー/よしんば/deepnavy(2)/春屋○イ/水分補給は牛乳(2)/サメVS巨大タコス/青色迷子(2)/kamenoue(2)/omiun(2)/遠くを見ている/旧式(3)/おあつらえ/実家に帰った鶴/板野/魂の裏切りの夜(2)/アイムバックピッツバーグ/気球マイスター/一石投じ男/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/ねこライト
7860_4475_KHY,2022-06-26,166人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7860_4475_KHY.jpg,6位,tomo,遅かったね、僕の前の人で売り切れさ,41,71.47,パピ4/カクレミノムシ/ハニ/remin(2)/ホールド・ナッツ(2)/こむら返り/業務用虚無(2)/超熟/ジェンツーペンギン/宇治抹茶/机上で実演/セトピア/マチ(2)/ムエタイ/たる棒/よしんば/deepnavy(2)/春屋○イ/しっとりペンチ(2)/水分補給は牛乳(2)/A味噌汁/カタン(2)/遠くを見ている/わんぱく大盛カレーライス(2)/糸目の鮟鱇(2)/じゃん/大残渣/揚げたてメンチメン/seno/もち/キャッツアイ
7860_4475_KHY,2022-06-26,166人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7860_4475_KHY.jpg,7位,kamenoue,てなわけで、てなわけ高校生になったてなわけ,39,69.71,シュヴァルツ/うなぎごまたろう/北戸田スイッチ(3)/みささぎ/白滝BOX/brooks/超熟/枠の外(2)/長谷川キモ彦(3)/よしんば/deepnavy/メロディックストーム(3)/サメVS巨大タコス/茹で腕/また師走が来たよ(2)/うわぁ/遠くを見ている/蒼空便箋/旧式/デミ侍/白黒まみれ(2)/研究会員/もち(2)/たくさん応援(3)/かくれどり/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/はっぴーえんど
7860_4475_KHY,2022-06-26,166人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7860_4475_KHY.jpg,7位,かくれどり,その通り、俺も窮地だぜ,39,69.71,mississippi/齋藤/暴風よ吹け/シュヴァルツ/ウラニワ/remin(2)/白滝BOX/こむら返り/brooks(3)/赤黄色/及川広大/ましましのしま/瀬戸際ヤゴ/枠の外(2)/長谷川キモ彦/架空/赤ぺこり/はなびら/猫屋敷/ばいなら/秋/カタン(2)/わんぱく大盛カレーライス/デミ侍/渡利　巣手呂/じゃん/ＢIOS/もち(2)/キャッツアイ/アイムバックピッツバーグ/気球マイスター/はっぴーえんど/ニューロン
7860_4475_KHY,2022-06-26,166人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7860_4475_KHY.jpg,9位,きゅーきゅー,で、今年も高３ってわけ,36,67.06,齋藤/シュヴァルツ(2)/B群(2)/ドゥタドゥタ/ウラニワ(3)/みささぎ(2)/こむら返り/そらをとぶ/業務用虚無/＃の中のカマ吉くん(2)/ジェンツーペンギン/ちきちきた/インド哲学/マチ(2)/よしんば/deepnavy/はなびら/猫屋敷/ばいなら/茹で腕/Ｓ.虚無/omiun/おたえ/遠くを見ている/わんぱく大盛カレーライス/桜もにゅ/ＢIOS/たんぱく室/キャッツアイ
7860_4475_KHY,2022-06-26,166人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/7860_4475_KHY.jpg,9位,旧式,あなたの歌声で枯れた花々です,36,67.06,mississippi/暴風よ吹け/カクレミノムシ/ぴぐフライ/ウラニワ/ウェイトレスのひみつ(2)/業務用虚無/赤黄色/ケムケムケムッソ/短米/机上で実演/枠の外(2)/よんずい(3)/ねむ粉/ムエタイ/deepnavy(2)/春屋○イ/赤ぺこり/しっとりペンチ/秋/遠くを見ている/kevin(2)/初期装備/seno/魂の裏切りの夜/一石投じ男/ニューロン(2)/ねこライト(2)
