お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1132_5840_MAJ,2022-06-29,170人,"絶対に③を選びたくない「トロッコ問題」の選択肢
①そのまま５人を轢く
②切り替えて１人を轢く
③●●●●●●●",NA,1位,つくり真顔,ここはスペアを狙いに行く,65,98.67,春屋○イ/ニューロン/ハプティクス/ササニシキ(2)/懸垂ができる/うんも/灰根(2)/シュヴァルツ/りんかんがっこう/業務用虚無/板野/A味噌汁/よんずい/さいころちゃらみん/机上で実演/みやまる/きゅーきゅー(2)/大残渣/ましましのしま(2)/ネオ/ジェンツーペンギン/遠くを見ている/水谷新太郎/ポンサ/ラメ絶対(3)/ケムケムケムッソ/よしんば(2)/加藤大貴(2)/デミ侍/ダイチリーマン/瀬戸際ヤゴ/たる棒(3)/無知な豚キムチ(2)/ウラニワ(2)/おあつらえ/枠の外(2)/tomo/すらさん(2)/じゃん(2)/もやしナムル(3)/カリウム不足/メロディックストーム/こむら返り/だーつの(3)/揚げたてメンチメン/ちきちきた
1132_5840_MAJ,2022-06-29,170人,"絶対に③を選びたくない「トロッコ問題」の選択肢
①そのまま５人を轢く
②切り替えて１人を轢く
③●●●●●●●",NA,2位,赤ぺこり,知らない人の結婚式をゆっくり横切る,40,73.57,八子八百/どこにでもいる太郎(3)/研究会員/魂の裏切りの夜/アガリブル/天津飯(2)/山渕/りんかんがっこう/板野/＃の中のカマ吉くん/北戸田スイッチ/さいころちゃらみん/渡利　巣手呂(2)/ジェンツーペンギン(2)/アポロっち/たこかいな(2)/ケムケムケムッソ(2)/わんぱく大盛カレーライス/白黒まみれ/瀬戸際ヤゴ(2)/無知な豚キムチ/ウラニワ(2)/小春製菓(2)/ケイト(2)/恥知らずな金玉/つくり真顔/カリウム不足/ちきちきた(2)
1132_5840_MAJ,2022-06-29,170人,"絶対に③を選びたくない「トロッコ問題」の選択肢
①そのまま５人を轢く
②切り替えて１人を轢く
③●●●●●●●",NA,3位,ます,6人をV6にする,38,71.56,春屋○イ/サメVS巨大タコス/懸垂ができる/魂の裏切りの夜/水猫ラテ(2)/A味噌汁/月曜ビ/齋藤(2)/インド哲学/北戸田スイッチ(2)/ニュー文字(2)/さいころちゃらみん/机上で実演/かくれどり(2)/及川広大/ネオ/モルヒネ夫/ほ/ラメ絶対/よしんば/白黒まみれ/気球マイスター/瀬戸際ヤゴ/tomo/RANRANRAN/恥知らずな金玉/ワッショイサンバ(3)/ゆげ(3)/メロディックストーム
1132_5840_MAJ,2022-06-29,170人,"絶対に③を選びたくない「トロッコ問題」の選択肢
①そのまま５人を轢く
②切り替えて１人を轢く
③●●●●●●●",NA,3位,セトピア,みんなの分まで働く,38,71.56,ニューロン/パサ/山渕/ふもー(3)/寺井(2)/マチ/たこ焼きボンバー(2)/みささぎ/＃の中のカマ吉くん/ニュー文字/架空/きゅーきゅー/omiun(2)/ネオ/モルヒネ夫(3)/水谷新太郎(3)/アポロっち/加藤大貴/わんぱく大盛カレーライス(2)/短米(2)/無知な豚キムチ/ウラニワ/ニンニキニキニキ/じゃん(2)/つくり真顔/メロディックストーム
1132_5840_MAJ,2022-06-29,170人,"絶対に③を選びたくない「トロッコ問題」の選択肢
①そのまま５人を轢く
②切り替えて１人を轢く
③●●●●●●●",NA,5位,大至急,お母さんと一緒にトロッコに乗っているのを友達に見られる,37,70.56,少しだけ賢い/鮒侍(3)/暴風よ吹け/どこにでもいる太郎/ハプティクス/白滝BOX/懸垂ができる(2)/うんも/赤ぺこり/ふもー/覇道きてぃ(2)/りんかんがっこう/板野/机上で実演/石原消し炭/アポロっち(2)/よしんば(2)/うわぁ(2)/実家に帰った鶴/わんぱく大盛カレーライス/瀬戸際ヤゴ/短米(2)/枠の外/ケイト(2)/武山(2)/ちきちきた/ます
1132_5840_MAJ,2022-06-29,170人,"絶対に③を選びたくない「トロッコ問題」の選択肢
①そのまま５人を轢く
②切り替えて１人を轢く
③●●●●●●●",NA,6位,八子八百,念入りに轢く,36,69.56,はっぴーえんど/あだちゃ(2)/ニューロン/Normal boy(2)/白滝BOX/懸垂ができる/齋藤(2)/みささぎ(2)/＃の中のカマ吉くん/はさあかた/架空/机上で実演/みやまる(2)/かくれどり/セトピア/ラメ絶対/ザイチェフ閣下/くちおば/気球マイスター(2)/らんちゃん(3)/ひだりみみ(3)/RANRANRAN/ワッショイサンバ/もやしナムル/メロディックストーム/武山
1132_5840_MAJ,2022-06-29,170人,"絶対に③を選びたくない「トロッコ問題」の選択肢
①そのまま５人を轢く
②切り替えて１人を轢く
③●●●●●●●",NA,7位,すらさん,広告を見てアイテムをゲット,35,68.55,あだちゃ/ササニシキ(2)/セナ(3)/灰根/天津飯/ふもー(2)/シュヴァルツ(2)/業務用虚無/マチ/みささぎ/ニュー文字(3)/大残渣/ましましのしま/ネオ/まつもとたろう/ケムケムケムッソ(2)/桜もにゅ(2)/無知な豚キムチ/ワッショイサンバ(2)/ゆげ(2)/じゃん(3)/kamenoue
1132_5840_MAJ,2022-06-29,170人,"絶対に③を選びたくない「トロッコ問題」の選択肢
①そのまま５人を轢く
②切り替えて１人を轢く
③●●●●●●●",NA,7位,＃の中のカマ吉くん,トロッコ側として法廷に立つ,35,68.55,糸目の鮟鱇/八子八百/どこにでもいる太郎/パサ/ガルル/寺井(3)/業務用虚無(2)/A味噌汁/齋藤/みやまる/きゅーきゅー(2)/大残渣/ましましのしま/たこかいな(2)/まつもとたろう/ケムケムケムッソ/シンカー/うわぁ/メスカマキリ/実家に帰った鶴/白黒まみれ/赤黄色(2)/キーちゃん/ニコイチ(2)/ワッショイサンバ/じゃん/もやしナムル/kamenoue
1132_5840_MAJ,2022-06-29,170人,"絶対に③を選びたくない「トロッコ問題」の選択肢
①そのまま５人を轢く
②切り替えて１人を轢く
③●●●●●●●",NA,9位,うんも,通過した後、「なるほどね」と言う,32,65.54,春屋○イ/少しだけ賢い(2)/懸垂ができる(2)/魂の裏切りの夜/アガリブル/天津飯(2)/ﾗﾌﾞﾐｰ/A味噌汁/インド哲学/＃の中のカマ吉くん/みやまる/ましましのしま/水谷新太郎/メスカマキリ/白黒まみれ/気球マイスター/瀬戸際ヤゴ(3)/赤黄色/キーちゃん(3)/また師走が来たよ/ひだりみみ/RANRANRAN/武山(3)
1132_5840_MAJ,2022-06-29,170人,"絶対に③を選びたくない「トロッコ問題」の選択肢
①そのまま５人を轢く
②切り替えて１人を轢く
③●●●●●●●",NA,9位,おあつらえ,もたついて6人から怒られる,32,65.54,どこにでもいる太郎(2)/Normal boy/うんも(2)/アガリブル/シュヴァルツ/xixi/はさあかた/石原消し炭/大残渣/及川広大/ネオ/渡利　巣手呂/たこかいな/ラメ絶対/シンカー/メスカマキリ(3)/わんぱく大盛カレーライス/小春製菓(2)/枠の外/恥知らずな金玉/つくり真顔/カリウム不足(2)/だーつの/一石投じ男/きまぐれ/ます
