お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
2007_5086_WZN,2022-07-12,181人,片手に扇風機を持った少年がこれからすること,NA,1位,ベジギダ,「良ければ」とサウナに置く,69,95.37,がんばりま翔(2)/harvest(3)/ちくわうし/うわぁ/赤黄色/さんずい(2)/大至急/2番管(2)/ブラックパンダー/八子八百(2)/Kit/きまぐれ(2)/きゅーきゅー/B群(2)/ふもー(2)/辺見豪/もちきんちゃく/まーちゃんす/ムラサキ野菜/ジェンツーペンギン/ごまいぬ/みやまる/インド哲学/きお(2)/机上で実演/shin/マチ(2)/ぬめぬめのメヌエット/桶狭間/大残渣/まこっちゃん(2)/日野ヤヨイ(2)/青色迷子/ポンサ(2)/猫屋敷/ウラニワ/なむなむえふぇくと/ジャンガ/業務用虚無(3)/先輩/カタン/気球マイスター/3ねこ/齋藤/深琴(3)/かくれどり/D-6/美味い焼肉屋/ケムケムケムッソ/ゆげ/日本人はお米が大好き
2007_5086_WZN,2022-07-12,181人,片手に扇風機を持った少年がこれからすること,NA,2位,赤ぺこり,「俺が悪いのか？」と聞いてから首を横に振らせる,61,88.49,harvest(2)/うわぁ/揚げたてメンチメン/おにぎり食べ食べ丸/赤黄色/ねこライト(3)/2番管(2)/ホールド・ナッツ/ブラックパンダー/八子八百(2)/マツダ(2)/さぬこラーメン/きらら(3)/ましましのしま/シュヴァルツ/ふもー(3)/ぜっとくん/sette(2)/しゅ/みやまる(2)/インド哲学/きお(2)/ガッボデ(2)/少しだけ賢い/机上で実演(2)/ぬめぬめのメヌエット/アウク/糸目の鮟鱇/善太郎/ウラニワ(2)/ぷろみん(2)/ベジギダ/里見英次郎/Longab(3)/kevin/アガリブル(3)/ケムケムケムッソ/ゆげ(2)/日本人はお米が大好き
2007_5086_WZN,2022-07-12,181人,片手に扇風機を持った少年がこれからすること,NA,3位,名詞句移動,好きな子の前でだけ強にする,56,84.19,うわぁ/おにぎり食べ食べ丸/さんずい(2)/2番管(2)/じゃん/キーちゃん/omiun(2)/湯(2)/みささぎ(2)/きゅーきゅー/ましましのしま/シュヴァルツ/ふもー/メロディックストーム/ぜっとくん/sette(2)/しゅ/ジェンツーペンギン/ごまいぬ/みやまる/旧式/インド哲学/ガッボデ/手すり野郎(2)/青色迷子/糸目の鮟鱇/みかみ(2)/はっぴーえんど(2)/ウラニワ(3)/ジャンガ(2)/ベジギダ(2)/先輩/カタン/男も育休(2)/よしんば/kevin/齋藤/水谷新太郎(2)/ケムケムケムッソ(2)/日本人はお米が大好き
2007_5086_WZN,2022-07-12,181人,片手に扇風機を持った少年がこれからすること,NA,4位,こくもつの試食,間違い探しの答えになる,55,83.33,harvest/ちくわうし/赤黄色/tomo(3)/ねこライト/2番管/omiun(3)/うんも(3)/ブラックパンダー/八子八百/オトコンドリア♀/Kit/きらら/きゅーきゅー/シュヴァルツ/辺見豪/メロディックストーム(2)/セトピア(2)/ぜっとくん(2)/ムラサキ野菜(2)/デミ侍/ワッショイサンバ/山渕(3)/少しだけ賢い/魂の裏切りの夜/資本ネコ/暴風よ吹け/手すり野郎/日野ヤヨイ/渡利　巣手呂(2)/よんずい(2)/なむなむえふぇくと/ベジギダ/昨日のおみや(3)/先輩/よしんば/初期装備(2)/懸垂ができる
2007_5086_WZN,2022-07-12,181人,片手に扇風機を持った少年がこれからすること,NA,5位,きまぐれ,首を振らせて反対票2人とする,48,77.31,harvest/うわぁ(2)/さんずい(2)/ます/ホールド・ナッツ(3)/うんも(2)/マツダ/さぬこラーメン/きゅーきゅー/シュヴァルツ/辺見豪/メロディックストーム/ぜっとくん/もちきんちゃく(2)/納屋の鍵(2)/庭のある家(2)/きお(3)/机上で実演/ぬめぬめのメヌエット/大残渣/すらさん/よんずい(2)/なむなむえふぇくと/業務用虚無/ベジギダ/里見英次郎(3)/先輩/祟り君(3)/気球マイスター/Longab/寺井/ケムケムケムッソ/ゆげ
2007_5086_WZN,2022-07-12,181人,片手に扇風機を持った少年がこれからすること,NA,6位,旧式,風を温存して決勝まで行く,47,76.44,架空/harvest/揚げたてメンチメン/おにぎり食べ食べ丸(2)/ます/遠くを見ている/うんも(2)/マツダ(2)/きまぐれ(3)/みささぎ/三収組/辺見豪/もちきんちゃく/ムラサキ野菜/納屋の鍵/こくもつの試食/ワッショイサンバ(3)/庭のある家/インド哲学/たる棒/マチ/ぬめぬめのメヌエット/手すり野郎/大残渣/名詞句移動/はっぴーえんど/よんずい(2)/ウラニワ(2)/先輩/よしんば/齋藤/深琴(2)/かくれどり/D-6/水谷新太郎/アガリブル/ケムケムケムッソ
2007_5086_WZN,2022-07-12,181人,片手に扇風機を持った少年がこれからすること,NA,7位,よんずい,兄のガンプラに試練を与える,46,75.58,harvest/ちくわうし/おにぎり食べ食べ丸/おたえ/キーちゃん/鮒侍(3)/ホールド・ナッツ(3)/さぬこラーメン/きまぐれ(3)/みささぎ/B群(2)/ふもー(2)/辺見豪/ニューロン/ジェンツーペンギン/納屋の鍵/デミ侍/キャッツアイ/みやまる/インド哲学/少しだけ賢い/たる棒/暴風よ吹け/マチ(2)/猫屋敷/ウラニワ/業務用虚無(2)/2000年代初期、夏の街/Longab/3ねこ(2)/D-6/寺井(2)/こしあんゼリー/日本人はお米が大好き
2007_5086_WZN,2022-07-12,181人,片手に扇風機を持った少年がこれからすること,NA,8位,ホールド・ナッツ,コロコロコミックを倍速で読む,42,72.14,ちくわうし/2番管/おたえ/オトコンドリア♀/Kit/みささぎ(2)/きゅーきゅー/三収組/セトピア/ムラサキ野菜(2)/しゅ/デミ侍/キャッツアイ/ごまいぬ(2)/ワッショイサンバ(2)/ガッボデ/資本ネコ/暴風よ吹け/さいころちゃらみん/すらさん/青色迷子(2)/名詞句移動(2)/里見英次郎/先輩/祟り君(2)/男も育休(2)/とまげ/よしんば/Longab/3ねこ(3)/美味い焼肉屋/日本人はお米が大好き
2007_5086_WZN,2022-07-12,181人,片手に扇風機を持った少年がこれからすること,NA,9位,ぜっとくん,あとはマリリン・モンローだけだ,38,68.7,がんばりま翔/harvest(2)/揚げたてメンチメン/おたえ/ホールド・ナッツ/八子八百/湯/ましましのしま/シュヴァルツ(2)/辺見豪/メロディックストーム(2)/セトピア/旧式/たる棒/アウク(2)/日野ヤヨイ(2)/青色迷子(2)/ポンサ/猫屋敷/ぷろみん/昨日のおみや(2)/カタン(2)/2000年代初期、夏の街/Longab(2)/白黒まみれ(2)/水谷新太郎(2)/アガリブル
2007_5086_WZN,2022-07-12,181人,片手に扇風機を持った少年がこれからすること,NA,10位,remin,「はっけよい……」で片方の力士だけ涼しくする,35,66.12,がんばりま翔/うわぁ/おにぎり食べ食べ丸/さんずい(2)/ホールド・ナッツ/マツダ/ましましのしま/シュヴァルツ/百ねずみ/ムラサキ野菜/納屋の鍵/デミ侍/こくもつの試食/ワッショイサンバ/旧式/及川広大(2)/たる棒/ぬめぬめのメヌエット(2)/手すり野郎/アウク/青色迷子(2)/里見英次郎(2)/気球マイスター/2000年代初期、夏の街/3ねこ(2)/深琴/寺井/日本人はお米が大好き(2)
