お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
8900_7634_GKX,2022-07-15,174人,【究極完全態グレート・さかなクン】にありがちな事,NA,1位,寺井,まだ2回出世を残している,58,85.76,きらら(3)/ふもー(2)/たこかいな(2)/緑峰(2)/ポンサ/枠の外/ﾗﾌﾞﾐｰ/アウク/山渕(2)/射的屋/遠くを見ている/3ねこ(2)/kevin/美味い焼肉屋(2)/赤黄色/しゅ/がんばりま翔/ましましのしま/きゅーきゅー/また師走が来たよ(2)/こたつ/メロディックストーム(2)/ジャスミン茶外伝(3)/ねこライト/アガリブル/みやまる/辺見豪(2)/研究会員/omiun(2)/齋藤/湯(3)/治癒力/月曜ビ(2)/リトラ文庫(2)/ノルマンディー/昨日のおみや/インド哲学/武山/泥/日野ヤヨイ
8900_7634_GKX,2022-07-15,174人,【究極完全態グレート・さかなクン】にありがちな事,NA,2位,リトラ文庫,「グレート」らへんまで書いたとき、皆はもう問1を解き終えている,54,82.3,きらら/枠の外(2)/副社長(2)/ﾗﾌﾞﾐｰ(2)/射的屋(2)/寺井(2)/D-6/わんぱく大盛カレーライス/シュヴァルツ(3)/ましましのしま(2)/うんも(2)/ジェンツーペンギン/水谷新太郎/きゅーきゅー/猫屋敷/白雲/名詞句移動/夜食ウォーター(2)/糸目の鮟鱇/白黒まみれ/アガリブル/研究会員(2)/かくれどり/揚げたてメンチメン/A味噌汁(2)/harvest(2)/うわぁ/インド哲学/ケムケムケムッソ/なむなむえふぇくと/日野ヤヨイ(3)/納屋の鍵/ぬめぬめのメヌエット(3)/青色迷子(2)/百ねずみ(2)
8900_7634_GKX,2022-07-15,174人,【究極完全態グレート・さかなクン】にありがちな事,NA,3位,魂の裏切りの夜,ひらがなを3つ言うとその名前の魚が創造される,49,77.98,ポンサ/枠の外/アウク/射的屋(2)/D-6(2)/鬼山田/わんぱく大盛カレーライス/シュヴァルツ(2)/しゅ/がんばりま翔/鮒侍(3)/ましましのしま/ジェンツーペンギン(2)/きゅーきゅー/また師走が来たよ(2)/さけのなかのいくら/ごまいぬ/ねこライト(2)/アガリブル/みやまる/辺見豪(3)/研究会員/湯/いずみ協同組合(2)/マツダ(2)/水分補給は牛乳/つくり真顔/昨日のおみや(2)/インド哲学/武山/なむなむえふぇくと/弱めのギロチン(2)/おたえ/青色迷子/三収組
8900_7634_GKX,2022-07-15,174人,【究極完全態グレート・さかなクン】にありがちな事,NA,4位,腐れ縁,現代の司法で裁けない,48,77.11,緑峰/枠の外/山下大満足(2)/桶狭間/アウク/山渕/射的屋(2)/ミスティカティ/ブラックパンダー/kevin(2)/カリウム不足/シュヴァルツ/がんばりま翔/ましましのしま/メロディックストーム/ごまいぬ/糸目の鮟鱇/ねこライト/白黒まみれ/クロネコ/灰根(3)/みやまる/赤ちゃん/ジャンガ/齋藤/sette/揚げたてメンチメン/ノルマンディー/つくり真顔/昨日のおみや(2)/ニューロン/なむなむえふぇくと/納屋の鍵(2)/Eito1379/ぬめぬめのメヌエット(3)/RANRANRAN/おたえ/Kit/青色迷子
8900_7634_GKX,2022-07-15,174人,【究極完全態グレート・さかなクン】にありがちな事,NA,5位,わんぱく大盛カレーライス,四肢をもがれた人を「おさかな」フォルダに保存してる,47,76.25,緑峰/アウク/山渕/射的屋/カタン/遠くを見ている(2)/ラスター/赤い髪/がんばりま翔/うんも/暴風よ吹け/きゅーきゅー/また師走が来たよ(2)/机上で実演/水猫ラテ/白雲/夜食ウォーター/糸目の鮟鱇/ホールド・ナッツ/もちきんちゃく/Jun/アガリブル(2)/灰根(2)/辺見豪/赤ちゃん(3)/魂の裏切りの夜/湯/A味噌汁(2)/マツダ/ノルマンディー/harvest(3)/ニューロン(3)/なむなむえふぇくと/ぷろみん/百ねずみ/三収組
8900_7634_GKX,2022-07-15,174人,【究極完全態グレート・さかなクン】にありがちな事,NA,6位,omiun,魚の知識だけで暗証番号を言い当てる,43,72.79,れれれのれき(3)/枠の外/桶狭間(3)/山渕(2)/射的屋(2)/寺井(2)/ベジギダ(2)/ミスティカティ/ブラックパンダー/シュヴァルツ/春屋○イ/ジェンツーペンギン(2)/さけのなかのいくら/机上で実演/水猫ラテ/ねこライト/白黒まみれ/中身(3)/アガリブル(2)/灰根/赤ちゃん/みかみ/A味噌汁/水分補給は牛乳(2)/ノルマンディー/キーちゃん/納屋の鍵/ぷろみん(2)/百ねずみ
8900_7634_GKX,2022-07-15,174人,【究極完全態グレート・さかなクン】にありがちな事,NA,6位,ジェンツーペンギン,もう魚なので保険が利かない,43,72.79,枠の外/tomo/射的屋/寺井/セトピア(3)/カタン/鬼山田(2)/ミスティカティ/シュヴァルツ/しゅ/ましましのしま/うんも(2)/きゅーきゅー(2)/机上で実演/名詞句移動(2)/ジャスミン茶外伝/夜食ウォーター/ごまいぬ/バトルアックス(2)/Jun/超熟(2)/マチ/sette/業務用虚無/マツダ/ノルマンディー/harvest/キーちゃん/昨日のおみや/ニューロン/泥/納屋の鍵/おたえ/ぷろみん(2)
8900_7634_GKX,2022-07-15,174人,【究極完全態グレート・さかなクン】にありがちな事,NA,6位,私たち,埼玉の漁獲量を日本一にした,43,72.79,ふもー(2)/たこかいな/サメVS巨大タコス(2)/桶狭間(2)/アウク(2)/射的屋/さぬこラーメン/はっぴーえんど/こしあんゼリー(3)/シュヴァルツ(2)/春屋○イ/PD/きゅーきゅー/さけのなかのいくら/机上で実演(2)/白雲/ジャスミン茶外伝/さいころちゃらみん/ごまいぬ/糸目の鮟鱇/みやまる(2)/超熟(2)/マチ/揚げたてメンチメン/業務用虚無(2)/ノルマンディー/ニューロン/泥/なむなむえふぇくと/弱めのギロチン/納屋の鍵(2)
8900_7634_GKX,2022-07-15,174人,【究極完全態グレート・さかなクン】にありがちな事,NA,9位,メロディックストーム,オンエアでは喋ってないことになってる,41,71.06,たこかいな(2)/枠の外(2)/サメVS巨大タコス/山渕/射的屋/セトピア/ベジギダ(2)/はっぴーえんど/わんぱく大盛カレーライス(2)/カリウム不足/シュヴァルツ(2)/うんも(2)/ジェンツーペンギン/水谷新太郎/きゅーきゅー/水猫ラテ/夜食ウォーター(2)/さいころちゃらみん/バトルアックス(2)/Jun/アガリブル/マチ/かくれどり/ジャンガ/齋藤/魂の裏切りの夜/湯/水分補給は牛乳/ノルマンディー/つくり真顔/ケムケムケムッソ(2)/八子八百
8900_7634_GKX,2022-07-15,174人,【究極完全態グレート・さかなクン】にありがちな事,NA,10位,初期装備,捌かれたのにまだ笑ってる,40,70.19,れれれのれき/きらら/ふもー/たこかいな/副社長/射的屋/寺井/カタン/3ねこ/ブラックパンダー/美味い焼肉屋/がんばりま翔/暴風よ吹け/猫屋敷/メロディックストーム/名詞句移動/ごまいぬ/糸目の鮟鱇/ねこライト/バトルアックス/辺見豪/研究会員/齋藤/みかみ(2)/湯/マツダ(2)/エセ詐欺師/水分補給は牛乳(2)/ノルマンディー/昨日のおみや(2)/ケムケムケムッソ(2)/なむなむえふぇくと/八子八百/納屋の鍵/Kit
8900_7634_GKX,2022-07-15,174人,【究極完全態グレート・さかなクン】にありがちな事,NA,11位,はっぴーえんど,暖流と寒流のぶつかる場所に行くと会える,39,69.33,ふもー(3)/たこかいな/緑峰/ポンサ(2)/tomo(3)/副社長/山渕(2)/射的屋/カタン(2)/資本ネコ/遠くを見ている/ラスター(2)/赤い髪/kevin/シュヴァルツ/がんばりま翔/ちくわうし/糸目の鮟鱇/ねこライト/秋/Jun/アガリブル/超熟/揚げたてメンチメン/いずみ協同組合(2)/ノルマンディー/つくり真顔/納屋の鍵/ぷろみん/Kit
8900_7634_GKX,2022-07-15,174人,【究極完全態グレート・さかなクン】にありがちな事,NA,11位,苦肉の尺,ギョンギョニルという武器で闘う,39,69.33,緑峰/ポンサ/射的屋/カタン(3)/遠くを見ている/鬼山田(2)/3ねこ(2)/美味い焼肉屋(2)/赤黄色/しゅ/ましましのしま/きゅーきゅー/こたつ/机上で実演/白雲/糸目の鮟鱇(2)/秋/アガリブル(2)/灰根(2)/デミ侍/辺見豪/omiun/sette/揚げたてメンチメン/治癒力/業務用虚無(2)/ケムケムケムッソ/弱めのギロチン/日野ヤヨイ(2)
8900_7634_GKX,2022-07-15,174人,【究極完全態グレート・さかなクン】にありがちな事,NA,11位,逆さ傘傘,人の解説をしはじめる,39,69.33,きらら/たこかいな/tomo/副社長/山渕/射的屋/資本ネコ/kevin(2)/美味い焼肉屋/赤黄色/ましましのしま/うんも(3)/暴風よ吹け/水谷新太郎(3)/きゅーきゅー/メロディックストーム/夜食ウォーター/ごまいぬ/ねこライト/中身(2)/ジャンガ/sette(2)/いずみ協同組合/業務用虚無(3)/月曜ビ/エセ詐欺師/つくり真顔/インド哲学/ケムケムケムッソ/Eito1379
8900_7634_GKX,2022-07-15,174人,【究極完全態グレート・さかなクン】にありがちな事,NA,14位,夜食ウォーター,御命（ぎょいのち）,37,67.6,緑峰/サメVS巨大タコス/山渕/射的屋/D-6/資本ネコ(3)/3ねこ(2)/ラスター(2)/こしあんゼリー/がんばりま翔/ましましのしま/PD(2)/ジェンツーペンギン/机上で実演/うーん2ポイント/白雲/名詞句移動/ジャスミン茶外伝/白黒まみれ/みやまる/辺見豪(2)/赤ちゃん(3)/A味噌汁/リトラ文庫/マツダ/harvest/うわぁ/ニューロン/弱めのギロチン
8900_7634_GKX,2022-07-15,174人,【究極完全態グレート・さかなクン】にありがちな事,NA,14位,恥知らずな金玉,マグロも止まってお辞儀する,37,67.6,ます/射的屋/さぬこラーメン/ベジギダ(3)/ミスティカティ/kevin/赤黄色/シュヴァルツ/ましましのしま/ジェンツーペンギン(2)/きゅーきゅー(2)/メロディックストーム/名詞句移動/ホールド・ナッツ/もちきんちゃく/ねこライト/秋/中身(3)/アガリブル/灰根/超熟/かくれどり(2)/ジャンガ/みかみ/湯(3)/キャッツアイ/武山/RANRANRAN
8900_7634_GKX,2022-07-15,174人,【究極完全態グレート・さかなクン】にありがちな事,NA,16位,たる棒,地球を「宇宙を泳ぐ一匹の魚」とみなす,36,66.74,れれれのれき/ふもー/ます/桶狭間/射的屋/さぬこラーメン/鬼山田/ミスティカティ/シュヴァルツ/ちくわうし/ましましのしま/さけのなかのいくら/ジャスミン茶外伝/もちきんちゃく/ねこライト(2)/アガリブル/マチ/omiun/かくれどり/魂の裏切りの夜/A味噌汁/いずみ協同組合/業務用虚無(3)/マツダ/ノルマンディー/うわぁ/インド哲学/泥(2)/ぷろみん(2)/青色迷子/三収組
8900_7634_GKX,2022-07-15,174人,【究極完全態グレート・さかなクン】にありがちな事,NA,17位,大至急,「でも、人間側にも言い分があるんですよね～！」,35,65.87,れれれのれき/きらら/ポンサ(2)/山渕/射的屋/さぬこラーメン(2)/寺井/赤い髪/カリウム不足/がんばりま翔/ましましのしま/こたつ/白雲(2)/ジャスミン茶外伝/ごまいぬ/糸目の鮟鱇/ホールド・ナッツ/バトルアックス(2)/アガリブル/かくれどり(2)/齋藤/魂の裏切りの夜/揚げたてメンチメン/業務用虚無(2)/エセ詐欺師/harvest(2)/泥/青色迷子
8900_7634_GKX,2022-07-15,174人,【究極完全態グレート・さかなクン】にありがちな事,NA,17位,美味い焼肉屋,逆に、学会にスカパラを呼んでいる,35,65.87,きらら/桶狭間(3)/山渕/射的屋/さぬこラーメン/寺井(2)/遠くを見ている/シュヴァルツ/がんばりま翔/ましましのしま/また師走が来たよ(2)/さけのなかのいくら/夜食ウォーター/糸目の鮟鱇/ホールド・ナッツ(2)/アガリブル/治癒力(2)/A味噌汁/業務用虚無(2)/ノルマンディー/harvest(3)/昨日のおみや/武山(2)/百ねずみ(2)
8900_7634_GKX,2022-07-15,174人,【究極完全態グレート・さかなクン】にありがちな事,NA,19位,もちきんちゃく,おっとっとに身や内臓を詰めて、小さい魚を作ってから食べてる,33,64.14,枠の外(2)/サメVS巨大タコス(2)/副社長/山渕/射的屋/ベジギダ/遠くを見ている/鬼山田(3)/わんぱく大盛カレーライス(2)/美味い焼肉屋/しゅ/白雲(2)/夜食ウォーター/ごまいぬ/ホールド・ナッツ/齋藤/みかみ/魂の裏切りの夜/A味噌汁(3)/リトラ文庫/水分補給は牛乳/キーちゃん/インド哲学/ぷろみん/百ねずみ
8900_7634_GKX,2022-07-15,174人,【究極完全態グレート・さかなクン】にありがちな事,NA,20位,sette,｢ギョギョッ！お魚さんですね｣と指を差された対象は必ず魚類になってしまう,31,62.41,ふもー/山渕/射的屋/カタン/ラスター/シュヴァルツ/がんばりま翔/ましましのしま(2)/机上で実演/名詞句移動/ジャスミン茶外伝(3)/ホールド・ナッツ(3)/マチ/omiun/魂の裏切りの夜/A味噌汁/業務用虚無/月曜ビ(2)/マツダ/エセ詐欺師(2)/harvest/日野ヤヨイ/百ねずみ/三収組
8900_7634_GKX,2022-07-15,174人,【究極完全態グレート・さかなクン】にありがちな事,NA,20位,瀬戸際ヤゴ,陸の生き物は全て牛だと思っている,31,62.41,渡利　巣手呂(2)/たこかいな/サメVS巨大タコス/山渕/射的屋/遠くを見ている/3ねこ/春屋○イ/うんも/ジェンツーペンギン/メロディックストーム/白雲(2)/夜食ウォーター/ねこライト(2)/白黒まみれ/アガリブル(3)/灰根/研究会員/魂の裏切りの夜/いずみ協同組合/月曜ビ(2)/ケムケムケムッソ(2)/なむなむえふぇくと/RANRANRAN
8900_7634_GKX,2022-07-15,174人,【究極完全態グレート・さかなクン】にありがちな事,NA,20位,白黒まみれ,「御意」と言う,31,62.41,ふもー/山下大満足(2)/ﾗﾌﾞﾐｰ/山渕/射的屋/セトピア/遠くを見ている/シュヴァルツ(2)/ましましのしま/PD(3)/水谷新太郎/こたつ/水猫ラテ/ごまいぬ/ホールド・ナッツ/アガリブル/デミ侍/超熟/マチ/揚げたてメンチメン/ノルマンディー/harvest/気球マイスター(3)/ケムケムケムッソ(2)
8900_7634_GKX,2022-07-15,174人,【究極完全態グレート・さかなクン】にありがちな事,NA,23位,暴風よ吹け,頭にさかなクンを被ってる,30,61.55,ます/たこかいな/緑峰/わんぱく大盛カレーライス/kevin/ましましのしま/うんも(3)/PD(2)/きゅーきゅー(3)/うみゃはら/こたつ/メロディックストーム/みやまる(3)/omiun/齋藤/みかみ/湯(3)/揚げたてメンチメン/泥(2)/三収組
8900_7634_GKX,2022-07-15,174人,【究極完全態グレート・さかなクン】にありがちな事,NA,23位,治癒力,魚たちにヒトの魅力を伝えてくれている,30,61.55,きらら(2)/副社長(2)/山渕(2)/射的屋/セトピア/D-6/鬼山田/ブラックパンダー/こしあんゼリー/美味い焼肉屋(2)/ましましのしま/水谷新太郎/また師走が来たよ(2)/メロディックストーム/うーん2ポイント/アガリブル(2)/マチ/A味噌汁/ノルマンディー/harvest(2)/キーちゃん/おたえ/三収組
