お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
4569_7476_TEB,2022-07-16,165人,殿が今までにないほどご乱心　何した？,NA,1位,りんかんがっこう,将棋の駒を全て自分に向けて置き、「死にとうない」と泣いていた,59,90.27,糸目の鮟鱇(2)/かるかん圭(3)/治癒力(2)/さけのなかのいくら/アガリブル(3)/Longab/きゅーきゅー(2)/春屋○イ/sakamata2/2番管(3)/三収組/美味い焼肉屋(2)/遠くを見ている/MT(3)/カタン(2)/ＣＭＣ(2)/ホールド・ナッツ(3)/harvest(2)/熱と気体/しゅ/鬼山田(2)/シュヴァルツ(2)/大残渣/また師走が来たよ(3)/みやまる/たまし/もちきんちゃく(2)/ふもー/ましましのしま/少しだけ賢い(2)/泥/業務用虚無/ノルマンディー/イカリモドキ/石原消し炭(2)
4569_7476_TEB,2022-07-16,165人,殿が今までにないほどご乱心　何した？,NA,2位,渡利　巣手呂,「殿、そのままで」とホチキスで留められた,49,80.87,解毒/かるかん圭/治癒力/きゅーきゅー/春屋○イ/ぷろみん/いずみ協同組合/メロディックストーム/三収組/ワッショイサンバ(2)/アウク/やまもと山(2)/魂の裏切りの夜/MT(3)/例のイルカ(3)/ＣＭＣ/キーちゃん/犬かじりケン/はっぴーえんど/エセ詐欺師/omiun(2)/タケノコの天ぷら/齋藤/ぬめぬめのメヌエット/ささみ(3)/もちきんちゃく/ましましのしま/研究会員/八子八百/少しだけ賢い/つくり真顔/泥(2)/明朝(3)/ベジギダ/ニューロン(2)/射的屋
4569_7476_TEB,2022-07-16,165人,殿が今までにないほどご乱心　何した？,NA,3位,懸垂ができる,「見ない顔だな」と言われた,46,78.05,糸目の鮟鱇/かるかん圭(2)/副社長/Longab/きゅーきゅー(2)/春屋○イ/中身/メロディックストーム/資本ネコ/きんめじろう(2)/2番管/アウク(2)/やまもと山/遠くを見ている/シンカー/白黒まみれ/さぬこラーメン/インド哲学/暴風よ吹け/超熟/はっぴーえんど/サメVS巨大タコス/熱と気体/omiun(3)/タケノコの天ぷら/シュヴァルツ/大残渣/武山/シーサイド品川/たまし/月曜ビ/八子八百/明朝/業務用虚無(2)/ノルマンディー/さいころちゃらみん(2)/射的屋(2)
4569_7476_TEB,2022-07-16,165人,殿が今までにないほどご乱心　何した？,NA,4位,さいころちゃらみん,殿るな、殿るな、と知らない言葉が若者の宴を盛り上げている,43,75.23,解毒/かるかん圭/アガリブル(2)/きゅーきゅー(2)/2番管/バトルアックス(2)/納屋の鍵/アウク/やまもと山/遠くを見ている/赤ちゃん(3)/百ねずみ/こしあんゼリー/かくれどり(2)/りんかんがっこう/さぬこラーメン/インド哲学/エスエフ(2)/はっぴーえんど/sette/はさあかた(2)/鬼山田/シュヴァルツ/大残渣/武山/もちきんちゃく/少しだけ賢い/業務用虚無(2)/ノルマンディー/射的屋(2)/ポンサ(3)
4569_7476_TEB,2022-07-16,165人,殿が今までにないほどご乱心　何した？,NA,5位,はさあかた,あと「ぱ」の発音が上手くできないのは殿だけでこざる,42,74.29,解毒/セトピア/アガリブル/Longab/春屋○イ/いずみ協同組合/A味噌汁(2)/sakamata2/うわぁ/納屋の鍵/日本人はお米が大好き(2)/こしあんゼリー(2)/MT(2)/例のイルカ(3)/ＣＭＣ/渡利　巣手呂/エセ詐欺師/熱と気体/しゅ/タケノコの天ぷら/鬼山田(2)/シュヴァルツ/ふもー/ましましのしま/研究会員(2)/少しだけ賢い/D-6/業務用虚無(2)/ノルマンディー/射的屋(2)/ポンサ(2)
4569_7476_TEB,2022-07-16,165人,殿が今までにないほどご乱心　何した？,NA,6位,ラスター,殿以外のLINEグループがあった,41,73.35,セトピア/副社長(2)/まゆ(2)/きゅーきゅー/春屋○イ/B群(2)/A味噌汁/メロディックストーム/2番管(2)/バトルアックス(2)/ワッショイサンバ(2)/納屋の鍵/美味い焼肉屋(2)/日本人はお米が大好き/ちきちきた/さぬこラーメン/ＣＭＣ/超熟/しゅ/タケノコの天ぷら/齋藤/鬼山田/シュヴァルツ/大残渣/猫屋敷/ちくわうし/ましましのしま/ゆげ/ニューロン/業務用虚無(2)/昨日のおみや/ノルマンディー/射的屋
4569_7476_TEB,2022-07-16,165人,殿が今までにないほどご乱心　何した？,NA,7位,弱めのギロチン,お母さんが枯山水で掃除機かけ始めた,39,71.46,解毒(2)/さけのなかのいくら/Longab(3)/三収組/うわぁ/アウク/美味い焼肉屋(3)/百ねずみ/名詞句移動(3)/寺井/ちきちきた/カタン/白黒まみれ/ホールド・ナッツ(3)/熱と気体/鬼山田(3)/猫屋敷/ケムケムケムッソ/たまし(2)/ふもー/ましましのしま/机上で実演(3)/射的屋/ポンサ/石原消し炭
4569_7476_TEB,2022-07-16,165人,殿が今までにないほどご乱心　何した？,NA,8位,ｼｰｽﾞｰｷｬﾊﾞﾘｱ,毒味役がてっぺんのイチゴを食べた,36,68.64,Longab(3)/中身/A味噌汁/バトルアックス(2)/納屋の鍵/シンカー/さぬこラーメン/超熟/ミスティカティ(2)/エセ詐欺師/しゅ/タケノコの天ぷら/シュヴァルツ(2)/大残渣/ラスター(3)/ケムケムケムッソ/tomo(2)/ましましのしま/八子八百/がんばりま翔/つくり真顔/赤ぺこり/ニューロン/業務用虚無(2)/昨日のおみや/射的屋/ポンサ
4569_7476_TEB,2022-07-16,165人,殿が今までにないほどご乱心　何した？,NA,9位,3ねこ,実力でなったわけじゃないことに気付いた,35,67.7,板野/治癒力/アガリブル/Longab/いずみ協同組合/sakamata2/納屋の鍵/日本人はお米が大好き/やまもと山/赤ちゃん/魂の裏切りの夜/名詞句移動/寺井/例のイルカ/カタン/ＣＭＣ/キーちゃん/犬かじりケン/ミスティカティ(2)/熱と気体/齋藤/大残渣/ぬめぬめのメヌエット/武山/たまし(2)/ゆげ/机上で実演(2)/業務用虚無(3)/射的屋(2)
4569_7476_TEB,2022-07-16,165人,殿が今までにないほどご乱心　何した？,NA,9位,笹木,殿！パズルの残りは私めが完成させておきましたぞ！,35,67.7,かるかん圭/アガリブル/きゅーきゅー/ぷろみん(2)/A味噌汁/バトルアックス(2)/アウク/3ねこ/ＣＭＣ/ミスティカティ/エセ詐欺師/タケノコの天ぷら/はさあかた/シュヴァルツ/大残渣/猫屋敷/ケムケムケムッソ/ふもー/ましましのしま(2)/少しだけ賢い/赤ぺこり/やまだひらいた(2)/ニューロン/業務用虚無(2)/昨日のおみや(2)/ノルマンディー/ポンサ/はしおみ/石原消し炭
