お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
3257_0526_GCH,2022-07-18,165人,ホラー少女漫画の名シーン,NA,1位,覇道きてぃ,フンッ…うらめしー女。,74,95.67,税金ザウルス/射的屋/シュヴァルツ/特効さん/温野菜/みやまる(2)/逆さ傘傘/鬼山田(2)/ちくわうし/よしんば/アーモンド米(3)/メロディックストーム(3)/乾燥帯/ネオ(3)/うわぁ/寺井/ぷろみん/＃の中のカマ吉くん(2)/山渕(2)/なぎさ/たまし/PD/青白い鳥/静かの海(2)/うんも/気球マイスター/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/harvest(2)/納屋の鍵(2)/青色迷子/sette(2)/みんず/ミスティカティ(2)/魂の裏切りの夜/資本ネコ/齋藤/A味噌汁/ふもー/ましましのしま(2)/くさもち(2)/カリウム不足(2)/美味い焼肉屋(3)/第五関節/ドブ/中身/デミ侍/フクフク/及川広大/がんばりま翔/揚げたてメンチメン/もちきんちゃく(2)/机上で実演(2)
3257_0526_GCH,2022-07-18,165人,ホラー少女漫画の名シーン,NA,2位,パピ4,ったく うるせー口だな(まつり縫いされる),71,93.2,水谷新太郎(2)/つくり真顔(2)/射的屋/シュヴァルツ/ちくわうし/よしんば/ネオ/うわぁ/抹茶パン(2)/なむなむえふぇくと/山渕(2)/昨日のおみや/Kit(2)/アウク/遠くを見ている/青白い鳥/静かの海(3)/うんも(2)/ワッショイサンバ(2)/三収組/harvest/sette(2)/魂の裏切りの夜(3)/ＣＭＣ/アカイダダリオのD(2)/A味噌汁/D-6/月曜ビ(3)/ましましのしま/ケムケムケムッソ/くさもち/さいころちゃらみん(3)/アガリブル/3ねこ/灰根(2)/第五関節/satoo/きゅーきゅー/中身(2)/デミ侍/やまだひらいた/及川広大/しらんけど/赤い髪/机上で実演(2)/超熟/かくれどり(3)/セトピア(2)
3257_0526_GCH,2022-07-18,165人,ホラー少女漫画の名シーン,NA,3位,初期装備,無いはずの心臓さえドキドキしている,51,76.74,水谷新太郎/射的屋/シュヴァルツ/サメVS巨大タコス/さけのなかのいくら/逆さ傘傘/ちくわうし(2)/メロディックストーム/omiun/うわぁ/抹茶パン(2)/研究会員/ぷろみん/山渕/Kit/泥(2)/バトルアックス/Longab/静かの海/ノルマンディー/気球マイスター/sette(2)/tomo(3)/れれれのれき/齋藤/例のイルカ(3)/eakon_zuki/ましましのしま/さいころちゃらみん/アガリブル/業務用虚無(3)/B群/リトラ文庫/ます/第五関節/ドブ/きゅーきゅー/やまだひらいた/及川広大(2)/机上で実演
3257_0526_GCH,2022-07-18,165人,ホラー少女漫画の名シーン,NA,4位,八子八百,太陽が昇って、ずっと一人で喋ってた事に気付いた,49,75.1,恥知らずな金玉/射的屋(2)/ポンサ(2)/みやまる/よしんば/抹茶パン/ベジギダ(3)/昨日のおみや/たまし(3)/渡利　巣手呂(2)/遠くを見ている(2)/静かの海(3)/ノルマンディー/気球マイスター/キャッツアイ(2)/三収組/harvest/青色迷子/石原消し炭/魂の裏切りの夜/ＣＭＣ/ましましのしま(2)/少しだけ賢い/アガリブル/業務用虚無(2)/ます/きゅーきゅー/中身/名詞句移動/フクフク/やまだひらいた(3)/しらんけど/ねこライト(2)
3257_0526_GCH,2022-07-18,165人,ホラー少女漫画の名シーン,NA,5位,ます,あーっ！お前あの時の！写真にうつってたいないはずの女！,47,73.45,ぬめぬめのメヌエット(3)/射的屋/シュヴァルツ/サメVS巨大タコス/温野菜/ポンサ(2)/よしんば/大残渣/水分補給は牛乳/ネオ/うわぁ/ぷろみん/＃の中のカマ吉くん/山渕/なぎさ/泥/アウク/PD/青白い鳥/静かの海(2)/ワッショイサンバ/三収組/harvest/納屋の鍵/sette/みんず/ＣＭＣ(2)/ましましのしま/3ねこ(3)/インド哲学/リトラ文庫/さぬこラーメン/ドブ/きゅーきゅー(2)/日野ヤヨイ(2)/がんばりま翔/揚げたてメンチメン/赤い髪
3257_0526_GCH,2022-07-18,165人,ホラー少女漫画の名シーン,NA,6位,アガリブル,砂糖と塩を間違えたクッキーで成仏する,45,71.81,つくり真顔/シュヴァルツ/特効さん/さけのなかのいくら/ちくわうし/よしんば/omiun(2)/6年2組の2組ちゃん(3)/ぷろみん/ベジギダ/＃の中のカマ吉くん/昨日のおみや/たまし/Longab(2)/青白い鳥/静かの海(3)/うんも/三収組/青色迷子(2)/猫屋敷/ＣＭＣ(3)/れれれのれき(2)/Eito1379(2)/ましましのしま/業務用虚無(2)/B群(2)/リトラ文庫/第五関節/やまだひらいた/赤い髪/机上で実演(2)
3257_0526_GCH,2022-07-18,165人,ホラー少女漫画の名シーン,NA,7位,ワッショイサンバ,「私たち憑きあいました♪」と呪気(ノロケ)る,44,70.98,ぬめぬめのメヌエット(3)/射的屋/特効さん/さけのなかのいくら/ちくわうし/アーモンド米/乾燥帯(2)/6年2組の2組ちゃん(3)/うわぁ/抹茶パン(3)/ぷろみん(2)/ベジギダ/バトルアックス(2)/春屋○イ/2番管/しゅ/harvest/納屋の鍵/資本ネコ/ふもー/eakon_zuki/ましましのしま/美味い焼肉屋/業務用虚無/はっぴーえんど/さぬこラーメン/きゅーきゅー/名詞句移動(2)/がんばりま翔/しらんけど/机上で実演/超熟/かくれどり(2)
3257_0526_GCH,2022-07-18,165人,ホラー少女漫画の名シーン,NA,8位,satoo,頭をポンポンされた ろくろっ首が、顔を赤らめてゆっくりと首を縮めていくシーン,43,70.16,射的屋(2)/シュヴァルツ(2)/サメVS巨大タコス/ちくわうし/水分補給は牛乳/6年2組の2組ちゃん(3)/天津飯/Kit/バトルアックス(2)/ワッショイサンバ/2番管(2)/しゅ/harvest(2)/猫屋敷/石原消し炭/ＣＭＣ/資本ネコ/れれれのれき/ふもー/ましましのしま/ハコダイオ/治癒力/白黒まみれ/アガリブル/業務用虚無(2)/リトラ文庫/ます/第五関節/はっぴーえんど/フクフク/及川広大/がんばりま翔/もちきんちゃく(2)/赤い髪
3257_0526_GCH,2022-07-18,165人,ホラー少女漫画の名シーン,NA,9位,納屋の鍵,えへへ…憑いてきちゃった…♡,42,69.34,射的屋/シュヴァルツ/みやまる(3)/アーモンド米(3)/ゆきみ/うわぁ/ぷろみん/ベジギダ/昨日のおみや/なぎさ/静かの海/気球マイスター/harvest/ミスティカティ/石原消し炭(2)/ＣＭＣ/アカイダダリオのD(2)/齋藤/例のイルカ/ましましのしま/くさもち(3)/カリウム不足(3)/灰根(2)/業務用虚無(2)/はっぴーえんど/きゅーきゅー/フクフク/ジャンガ/かくれどり/ねこライト
3257_0526_GCH,2022-07-18,165人,ホラー少女漫画の名シーン,NA,9位,魂の裏切りの夜,何の水かは聞かずに飲んでくれ,42,69.34,恥知らずな金玉(2)/シュヴァルツ/温野菜/omiun/みささぎ/寺井/研究会員/なむなむえふぇくと/ベジギダ(3)/泥/たまし(2)/PD/うんも/納屋の鍵/tomo/ミスティカティ/ＣＭＣ/齋藤/A味噌汁/D-6/Eito1379/ましましのしま/くさもち/さいころちゃらみん/白黒まみれ/B群(2)/リトラ文庫/はっぴーえんど/ドブ(2)/ジャンガ(3)/机上で実演(2)/かくれどり(2)
3257_0526_GCH,2022-07-18,165人,ホラー少女漫画の名シーン,NA,11位,うんも,夢で首絞めてくるやつが転校してきた,41,68.52,射的屋/シュヴァルツ(2)/ポンサ/よしんば/omiun/乾燥帯/水分補給は牛乳/寺井/＃の中のカマ吉くん/バトルアックス(2)/渡利　巣手呂(2)/遠くを見ている/猫屋敷/石原消し炭/魂の裏切りの夜(2)/ＣＭＣ/れれれのれき/A味噌汁(2)/水猫ラテ(2)/ましましのしま/少しだけ賢い/美味い焼肉屋/業務用虚無(3)/インド哲学/pipipippi/ドブ/フクフク(2)/揚げたてメンチメン/もちきんちゃく(2)/赤い髪/机上で実演
3257_0526_GCH,2022-07-18,165人,ホラー少女漫画の名シーン,NA,12位,つくり真顔, 夜にもパンくわえて走ってる女が出る,40,67.69,射的屋/さけのなかのいくら/ちくわうし/水分補給は牛乳(2)/ゆきみ/寺井/なむなむえふぇくと/山渕/完全幕府制(2)/PD(3)/ワッショイサンバ(2)/ノルマンディー/しゅ/納屋の鍵/みんず(2)/資本ネコ/A味噌汁/D-6/月曜ビ/さいころちゃらみん/白黒まみれ(2)/B群(3)/pipipippi(2)/ドブ/きゅーきゅー/名詞句移動(2)/やまだひらいた/ジャンガ/ねこライト
