お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
3600_9617_LBS,2022-07-19,190人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3600_9617_LBS.jpg,1位,メロディックストーム,私、空いてる市役所初めて！,66,95.18,猫屋敷/春屋○イ/たまし/特効さん/きらら/白黒まみれ(2)/eakon_zuki/ゆげ/例のイルカ(2)/鬼山田(2)/美味い焼肉屋/ノルマンディー/アガリブル(2)/ポンサ(2)/アイヘイトウィンター(2)/また師走が来たよ/ちくわうし/ましましのしま(2)/Kit/ドブ(2)/遠くを見ている/男も育休(3)/omiun(3)/秋/まーちゃんす/うんも(2)/satoo(3)/泥(2)/じゃん/tomo/ごまいぬ/さいころちゃらみん/くさもち(2)/ウッド原動機/たこかいな/齋藤/うわぁ/マチ/カタン(2)/板野/小粒庵(2)/つくり真顔/寺井/Longab/シュヴァルツ/harvest/稲妻圭介
3600_9617_LBS,2022-07-19,190人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3600_9617_LBS.jpg,2位,Eito1379,本人が跳んでるし勝訴っぽいな,54,84.29,ベジギダ(3)/しらんけど/やまだひらいた/特効さん/きらら(2)/shu/例のイルカ(2)/鬼山田/美味い焼肉屋(2)/納屋の鍵/ノルマンディー/アガリブル(2)/射的屋/＃の中のカマ吉くん/ましましのしま/ドブ(2)/男も育休(2)/三収組/抹茶パン(2)/satoo/はさあかた/tomo/ごまいぬ/ぷろみん/齋藤/業務用虚無(2)/エセ詐欺師(3)/みんず/寺井(2)/こむら返り/名詞句移動(2)/シュヴァルツ/ふもー/稲妻圭介/メロディックストーム/ぜあす/かくれどり/昨日のおみや(2)/乾燥帯
3600_9617_LBS,2022-07-19,190人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3600_9617_LBS.jpg,3位,百ねずみ,見て見て、急に全盛期が来たの,53,83.38,ベジギダ(2)/Eito1379/しらんけど/春屋○イ/たまし/eakon_zuki/きゅーきゅー(2)/アガリブル(2)/射的屋/ましましのしま(2)/Kit/水谷新太郎/遠くを見ている/男も育休(3)/kevin/がんばりま翔(2)/三収組/ミスティカティ/れれれのれき(2)/秋/じゃん/はさあかた/福仁漬/くさもち(2)/ウッド原動機(2)/業務用虚無(3)/エセ詐欺師(2)/カタン/小粒庵/寺井/デミ侍/シュヴァルツ/harvest/sette/キャッツアイ/かくれどり/ニューロン(2)/緑峰(2)
3600_9617_LBS,2022-07-19,190人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3600_9617_LBS.jpg,4位,ネオ,速いネコに轢かれた,52,82.47,ベジギダ(2)/3ねこ(3)/春屋○イ/たまし(3)/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/shu/eakon_zuki/例のイルカ(2)/美味い焼肉屋/納屋の鍵(2)/ノルマンディー(2)/アイヘイトウィンター/眠気/射的屋/＃の中のカマ吉くん/Kit/遠くを見ている/kevin/まこっちゃん(3)/研究会員/暴風よ吹け/はさあかた/tomo(3)/揚げたてメンチメン/さいころちゃらみん/サメVS巨大タコス/ウッド原動機(2)/なぎさ/マチ/小粒庵(2)/赤ぺこり(2)/アウク(2)/キャッツアイ/桜もにゅ/ニューロン(2)
3600_9617_LBS,2022-07-19,190人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3600_9617_LBS.jpg,5位,ベジギダ,この重力、私やっぱこの星が好き,47,77.93,Eito1379(2)/レイルレイル(2)/3ねこ(2)/しらんけど/やまだひらいた/さけのなかのいくら/白黒まみれ/ゆげ/しゅ/鬼山田(2)/やる/アガリブル/ポンサ/射的屋/＃の中のカマ吉くん/ましましのしま/ドブ/男も育休/れれれのれき/秋/百ねずみ/ＣＭＣ/暴風よ吹け/じゃん/はっぴーえんど/くさもち(2)/サメVS巨大タコス/業務用虚無(2)/うわぁ/小粒庵/寺井/こむら返り(2)/名詞句移動/シュヴァルツ/harvest/山渕/メロディックストーム/セトピア/乾燥帯/緑峰
3600_9617_LBS,2022-07-19,190人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3600_9617_LBS.jpg,6位,きゅーきゅー,はい、ニュートンの負け,43,74.3,レイルレイル/3ねこ(2)/春屋○イ/やまだひらいた/気球マイスター/さけのなかのいくら/shu/eakon_zuki/しゅ/よしんば/鬼山田/やる/ポンサ/こたつ/及川広大(2)/kevin/がんばりま翔(2)/百ねずみ/抹茶パン/税金ザウルス(3)/齋藤/カタン/きゃすが/すらさん/少しだけ賢い(2)/寺井(2)/こむら返り/デミ侍/Longab(2)/harvest/sette/赤ぺこり(2)/乾燥帯/緑峰
3600_9617_LBS,2022-07-19,190人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3600_9617_LBS.jpg,7位,ちくわうし,クレーム入れる側ってこんなに気持ちいいんだ〜,40,71.58,春屋○イ/机上で実演/気球マイスター/特効さん/きゅーきゅー(2)/しゅ/よしんば/鬼山田/アガリブル(2)/ポンサ/アイヘイトウィンター/ねこライト/射的屋/＃の中のカマ吉くん/Kit/水谷新太郎/ドブ/男も育休(2)/れれれのれき(2)/omiun/秋/まーちゃんす/百ねずみ/ＣＭＣ(2)/はさあかた/ごまいぬ(2)/うわぁ/板野/みんず/小粒庵/アウク/セトピア/ニューロン/緑峰
3600_9617_LBS,2022-07-19,190人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3600_9617_LBS.jpg,8位,みささぎ,自首ってこんなに楽しいのか,37,68.86,ベジギダ(2)/レイルレイル(2)/もちきんちゃく/しらんけど/春屋○イ/机上で実演(2)/たまし/きらら/eakon_zuki/よしんば/アガリブル/射的屋/＃の中のカマ吉くん/Kit/ドブ(2)/糸目の鮟鱇(2)/遠くを見ている/omiun/秋/ＣＭＣ/研究会員/なぎさ/小粒庵/寺井/こむら返り/デミ侍/シュヴァルツ/harvest/稲妻圭介/かくれどり/緑峰(2)
3600_9617_LBS,2022-07-19,190人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3600_9617_LBS.jpg,8位,及川広大,書類送検で済んだわ！,37,68.86,猫屋敷/もちきんちゃく/shu/渡利　巣手呂/きゅーきゅー/美味い焼肉屋/ノルマンディー(2)/射的屋/Kit/ドブ/がんばりま翔(2)/うんも/ＣＭＣ(2)/じゃん(2)/D-6(2)/揚げたてメンチメン/くさもち(2)/なぎさ/齋藤(2)/業務用虚無/うわぁ/カタン/板野/小粒庵/少しだけ賢い/シュヴァルツ/中身(2)/山渕/キャッツアイ
3600_9617_LBS,2022-07-19,190人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3600_9617_LBS.jpg,10位,また師走が来たよ,公民館って高値で売れるのね,36,67.95,Eito1379(2)/レイルレイル(2)/きらら(2)/eakon_zuki/ノルマンディー(2)/アイヘイトウィンター/こたつ/ねこライト(2)/Kit/遠くを見ている/男も育休(3)/うんも/ＣＭＣ/ごまいぬ/ます/揚げたてメンチメン/業務用虚無/うわぁ/カタン/小粒庵/つくり真顔/harvest/sette/メロディックストーム/ぜあす/セトピア(2)/キャッツアイ/緑峰
