お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
5827_2962_CUG,2022-07-20,166人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5827_2962_CUG.jpg,1位,ガッボデ,毎年届く,62,89.12,かくれどり/大残渣/鬼山田(2)/揚げたてメンチメン/tomo/春屋○イ/遠くを見ている/てんで転々(2)/こむら返り/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/福仁漬(2)/また師走が来たよ/ミフィ/齋藤/みんず/＃の中のカマ吉くん/なぎさ/よしんば/もちきんちゃく/白黒まみれ/あいうえお/ふもー(2)/渡利　巣手呂/みやまる(2)/PD(2)/omiun/しらんけど/さけのなかのいくら/メロディックストーム/くさもち(3)/うわぁ/harvest/魂の裏切りの夜/がんばりま翔(2)/業務用虚無/及川広大(2)/こたつ/たこかいな(2)/里見英次郎(3)/はっぴーえんど/稲妻圭介/お前/抹茶パン/ＣＭＣ/気球マイスター(2)/後悔しない名前を付けよう/2番管(2)
5827_2962_CUG,2022-07-20,166人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5827_2962_CUG.jpg,2位,リトラ文庫,理系は竹内学ⅱもやる,59,86.47,かくれどり/水猫ラテ(2)/おなぎり/昨日のおみや(2)/よしんば/少しだけ賢い/研究会員/もちきんちゃく(3)/苦肉の尺(3)/PD(3)/糸目の鮟鱇(2)/メロディックストーム/くさもち(2)/百ねずみ/ミスティカティ(2)/harvest/射的屋/魂の裏切りの夜(2)/ﾗﾌﾞﾐｰ/セトピア/3ねこ(3)/sakamata2/キーちゃん/シュヴァルツ/税金ザウルス(2)/さざなみのユウ(2)/納屋の鍵(2)/ワッショイサンバ(2)/抹茶パン(3)/6年2組の2組ちゃん(2)/ＣＭＣ(2)/美味い焼肉屋(2)/2番管/ぷろみん(3)
5827_2962_CUG,2022-07-20,166人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5827_2962_CUG.jpg,3位,机上で実演,紹介するね、あそこで寄せては返してるのがお母さん,56,83.82,例のイルカ(2)/レイルレイル(3)/きゅーきゅー/揚げたてメンチメン/こむら返り/ちくわうし/長谷川キモ彦/ミフィ/びろびろーん(2)/みんず/昨日のおみや(2)/ライオネル/研究会員/もちきんちゃく(2)/そにぃ/四つ葉の黒婆さん/あいうえお(2)/ふもー/男も育休(2)/omiun(2)/しらんけど/百ねずみ/Kit/ミスティカティ(2)/うわぁ/ナカウラ(3)/たまし(2)/射的屋/特効さん/ﾗﾌﾞﾐｰ/及川広大(2)/たこ焼きボンバー/らんちゃん/シュヴァルツ(2)/太陽/ねこライト/ＣＭＣ(2)/美味い焼肉屋(2)/ノルマンディー
5827_2962_CUG,2022-07-20,166人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5827_2962_CUG.jpg,4位,赤ぺこり,ここでの無視は暴力だよ,47,75.87,例のイルカ/かくれどり/鬼山田/きゅーきゅー(2)/春屋○イ/ポンサ/ミフィ/びろびろーん(2)/齋藤/昨日のおみや/大至急/＃の中のカマ吉くん/瀬戸際ヤゴ/ベジギダ/ニューロン/そにぃ/よ…(2)/カリウム不足/渡利　巣手呂(2)/みやまる/PD(2)/糸目の鮟鱇/ケムケムケムッソ/さけのなかのいくら/Kit/たまし(2)/射的屋/がんばりま翔/業務用虚無/キャッツアイ/セトピア(2)/たこかいな/里見英次郎(2)/3ねこ/はっぴーえんど/稲妻圭介/ねこライト/6年2組の2組ちゃん(2)
5827_2962_CUG,2022-07-20,166人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5827_2962_CUG.jpg,5位,セトピア,2秒後に顔面に‪✕‬ボタンが表示される、結構人気の広告,43,72.34,さいころちゃらみん/ごまいぬ/リトラ文庫/昨日のおみや/なぎさ/よしんば/ぬめぬめのメヌエット(3)/少しだけ賢い/カタン/もちきんちゃく/そにぃ(2)/ふもー/男も育休/カリウム不足/しらんけど/れれれのれき/さけのなかのいくら(2)/メロディックストーム/harvest/射的屋/業務用虚無(2)/D-6/しゅ/稲妻圭介/シュヴァルツ/税金ザウルス(3)/ねこライト/6年2組の2組ちゃん(2)/赤い髪/気球マイスター/後悔しない名前を付けよう(3)/さぬこラーメン(2)
5827_2962_CUG,2022-07-20,166人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5827_2962_CUG.jpg,6位,三収組,クリックしてよ、大きくなるから,39,68.81,大残渣/レイルレイル/tomo/こくもつの試食/ちくわうし/また師走が来たよ/アガリブル(2)/ミフィ/リトラ文庫/なぎさ/カタン/瀬戸際ヤゴ(2)/一石投じ男(2)/ニューロン/月曜ビ/渡利　巣手呂/kevin/omiun/しらんけど(2)/メロディックストーム/百ねずみ/ミスティカティ/うわぁ(2)/3ねこ/デミ侍/たこ焼きボンバー/シュヴァルツ/納屋の鍵/ワッショイサンバ/ねこライト/赤い髪/後悔しない名前を付けよう/2番管/さぬこラーメン
5827_2962_CUG,2022-07-20,166人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5827_2962_CUG.jpg,7位,さいころちゃらみん,まだ田舎にいたほうが正常な判断出来てた,37,67.04,鬼山田/きゅーきゅー(3)/春屋○イ/こくもつの試食/ポンサ/アガリブル/ましましのしま/三収組/昨日のおみや(2)/＃の中のカマ吉くん/名詞句移動(3)/赤ぺこり(2)/一石投じ男/kevin(2)/すらさん/しらんけど(2)/メロディックストーム/ミスティカティ/harvest/桶狭間/射的屋/がんばりま翔/D-6/こたつ/納屋の鍵/ゆきみ/後悔しない名前を付けよう/さぬこラーメン/ノルマンディー
5827_2962_CUG,2022-07-20,166人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5827_2962_CUG.jpg,7位,みーくん,こういう時って崖に追い詰めるんじゃないんですか？,37,67.04,きゅーきゅー/春屋○イ/てんで転々/福仁漬(3)/アガリブル/サメVS巨大タコス/昨日のおみや(3)/大至急(3)/アウク(2)/カタン/白黒まみれ/そにぃ(2)/四つ葉の黒婆さん/あいうえお(2)/ふもー/マウンテンお腹/Kit/桶狭間/たまし/キャッツアイ/セトピア/マチ/机上で実演(2)/ＣＭＣ/美味い焼肉屋(2)/つくり真顔
5827_2962_CUG,2022-07-20,166人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5827_2962_CUG.jpg,7位,パピ4,燃やしていい類の年賀状,37,67.04,例のイルカ/揚げたてメンチメン/ちくわうし(2)/長谷川キモ彦/ましましのしま/みんず/＃の中のカマ吉くん/ぬめぬめのメヌエット(3)/瀬戸際ヤゴ/ニューロン(2)/月曜ビ/男も育休(2)/RANRANRAN/マウンテンお腹/しらんけど(2)/バトルアックス(2)/百ねずみ/harvest/ナカウラ/射的屋/セトピア/及川広大/里見英次郎/らんちゃん/青白い鳥/納屋の鍵/ＣＭＣ/つくり真顔/ノルマンディー/ぷろみん
5827_2962_CUG,2022-07-20,166人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5827_2962_CUG.jpg,10位,たまし,ダメだよたくみくん、スイカ割りは正装でやんなきゃ,36,66.16,例のイルカ(2)/レイルレイル/揚げたてメンチメン/こくもつの試食/てんで転々/ごまいぬ/アガリブル(2)/まこっちゃん/齋藤/昨日のおみや(2)/アウク(2)/そにぃ/じゃん/マウンテンお腹/Kit/harvest/射的屋/暴風よ吹け/特効さん/セトピア(2)/しゅ/3ねこ/シュヴァルツ/納屋の鍵/ゆきみ/6年2組の2組ちゃん(2)/ＣＭＣ/気球マイスター/後悔しない名前を付けよう(2)
5827_2962_CUG,2022-07-20,166人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5827_2962_CUG.jpg,10位,苦肉の尺,ぜんぶ小1で習う漢字だな！！！,36,66.16,かくれどり/tomo(2)/さいころちゃらみん/ジャンガ/ポンサ/サメVS巨大タコス(2)/大至急/名詞句移動(2)/よしんば/フソ(2)/一石投じ男/水谷新太郎/RANRANRAN/じゃん(2)/バトルアックス/くさもち(2)/射的屋/がんばりま翔/キャッツアイ/セトピア/こたつ/稲妻圭介/キーちゃん/お前/納屋の鍵/ワッショイサンバ(2)/ねこライト/ＣＭＣ/2番管
5827_2962_CUG,2022-07-20,166人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5827_2962_CUG.jpg,12位,さざなみのユウ,結局どんな名前で呼んでも振り向く,35,65.27,鬼山田(2)/揚げたてメンチメン/こくもつの試食(2)/てんで転々/こむら返り/ごまいぬ/長谷川キモ彦/ポンサ/ましましのしま/三収組/齋藤/ゆげ/研究会員/白黒まみれ/四つ葉の黒婆さん/ふもー(2)/よ…/渡利　巣手呂/ケムケムケムッソ/じゃん/さけのなかのいくら/Kit/D-6/セトピア/3ねこ(2)/はっぴーえんど/太陽/お前/抹茶パン/ノルマンディー/ぷろみん
5827_2962_CUG,2022-07-20,166人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/5827_2962_CUG.jpg,12位,はっぴーえんど,予約取れてないって,35,65.27,鬼山田/きゅーきゅー(2)/春屋○イ/遠くを見ている/さいころちゃらみん/こむら返り/福仁漬/長谷川キモ彦/ポンサ/リトラ文庫/＃の中のカマ吉くん/よしんば/カタン(2)/よ…/渡利　巣手呂(2)/PD/すらさん/糸目の鮟鱇/メロディックストーム/Kit/たまし(2)/射的屋/キャッツアイ/及川広大/しゅ/デミ侍/たこ焼きボンバー/青白い鳥(2)/2番管/ぷろみん
