お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
2398_2654_GNR,2022-07-26,223人,ハッピー市立ハッピー中学校の校則を教えてください,NA,1位,6年2組の2組ちゃん,まだ習っていない幸せは感じてはいけない,88,89.51,業務用虚無(3)/Kit/アガリブル(2)/探偵Ｏ/ゆげ/omiun(2)/デミ侍/guniguni/せんにん/千代/赤黄色/糸目の鮟鱇/暴風よ吹け/インド哲学/大残渣/金庫番(2)/春屋○イ/アウク/うの(2)/スエ/Longab/ケムケムケムッソ(2)/こむら返り/灰色胡椒(2)/テッド相撲/石(3)/もちきんちゃく/たこ焼きボンバー/なぎさ/里見英次郎/アナゴさん/ぼーるぺん(2)/鬼山田/温野菜/しばえん(3)/石原消し炭(2)/昨日のおみや/Eito1379(2)/乳白色の駱駝/よんずい(2)/メロディックストーム/ジャスミン茶外伝(2)/＃の中のカマ吉くん(2)/れれれのれき(3)/みんず/ウラニワ(2)/武山(2)/リトラ文庫/カクレミノムシ(3)/きりまる/男も育休/つくり真顔(2)/よしんば/魂の裏切りの夜/ちきちきた/また師走が来たよ(2)/カリノ/satoo(2)/きゅーきゅー(2)/桶狭間
2398_2654_GNR,2022-07-26,223人,ハッピー市立ハッピー中学校の校則を教えてください,NA,1位,アガリブル,正解でも４は書くな,88,89.51,Normal boy/みささぎ/PineField/寺井/デミ侍/guniguni(2)/せんにん/千代/じゃん/中身(2)/@obasuma(2)/インド哲学/大残渣/シュヴァルツ(2)/並走禁止(2)/及川広大(2)/金庫番/春屋○イ/ユニクロにしては。。。/うわぁ/きらら/うの/Longab/ケムケムケムッソ/こむら返り/灰色胡椒/中サラ/ウッド原動機(3)/里見英次郎/2番管(2)/アナゴさん/齋藤/遠くを見ている/水谷新太郎/後悔しない名前を付けよう/くじ/しばえん/第五関節/名詞句移動(2)/一石投じ男/ましましのしま/サメVS巨大タコス/乳白色の駱駝/ダイヤモンド輝之/セブ牛(2)/＃の中のカマ吉くん(3)/磯野ワイニーしようぜ(2)/Sane(3)/はえ太/こたつ/ゆきみ/D-6/渡利　巣手呂(2)/六銘菓/リトラ文庫/男も育休(2)/研究会員/よしんば/コッパー(2)/釜ちびちび/tomo/桶狭間/シンカー(2)/金玉3倍デー(2)/現にンゲ/きお(2)
2398_2654_GNR,2022-07-26,223人,ハッピー市立ハッピー中学校の校則を教えてください,NA,3位,カタン,一．最後まで読んでくれてありがとう,80,84.71,業務用虚無/ホールド・ナッツ(3)/アガリブル/みささぎ(2)/たる棒(2)/寺井/omiun/月曜ビ/ガッボデ(2)/中身(2)/@obasuma(2)/大残渣/カーテンは夜ひらく/open(2)/たこかいな(2)/No Image/うわぁ/うの/ワッショイサンバ/Longab/こむら返り/もちきんちゃく/モルヒネ夫(3)/ウッド原動機(2)/灰根(2)/たこ焼きボンバー/白黒まみれ/里見英次郎(3)/リナちゃそ/かくれどり(2)/齋藤/水谷新太郎/後悔しない名前を付けよう/解毒/おさかな水溶液(2)/さいころちゃらみん(2)/大至急(2)/第五関節/きらきらとした壁(2)/ましましのしま/乳白色の駱駝/よんずい(2)/メロディックストーム/れれれのれき(3)/B群/特効さん/ぷろみん/ニューロン/渡利　巣手呂/六銘菓/リトラ文庫/よしんば(2)/osouonna(2)/ちきちきた/がんばりま翔
2398_2654_GNR,2022-07-26,223人,ハッピー市立ハッピー中学校の校則を教えてください,NA,4位,糸目の鮟鱇,勝てる試合だけ参加する,77,82.91,Kit/みささぎ(2)/ゆげ/guniguni/千代/ガッボデ(2)/赤黄色/赤ぺこり(2)/じゃん/中身/@obasuma/爆介(2)/インド哲学/カーテンは夜ひらく/デジタル奏でる/金庫番/春屋○イ/No Image/ろっく/Longab/ケムケムケムッソ/たこ焼きボンバー/白黒まみれ/里見英次郎/2番管(2)/244cm265kg(3)/青色迷子(3)/水谷新太郎/ふもー/後悔しない名前を付けよう(2)/解毒/さいころちゃらみん/大至急(2)/マチ/石原消し炭/三収組/錯乱(2)/Eito1379(2)/ましましのしま/はっぴーえんど/＃の中のカマ吉くん/こたつ/ニューロン/D-6(2)/渡利　巣手呂(3)/カクレミノムシ(2)/つくり真顔/ちきちきた/みやまる(2)/カリノ/satoo/シンカー/金玉3倍デー(2)/針山天国(2)/きお(3)
2398_2654_GNR,2022-07-26,223人,ハッピー市立ハッピー中学校の校則を教えてください,NA,5位,たこ焼きボンバー,核心をつく質問はやめろ,72,79.91,業務用虚無(2)/Kit(2)/アガリブル/キャッツアイ/みささぎ/探偵Ｏ/ゆげ/机上で実演/おのころ(2)/じゃん/@obasuma/爆介/大残渣/カーテンは夜ひらく/デジタル奏でる/春屋○イ/No Image/うわぁ/ケムケムケムッソ/灰色胡椒(2)/テッド相撲(3)/桜もにゅ/もちきんちゃく(3)/中サラ/3ねこ/白黒まみれ/アナゴさん/水谷新太郎/ふもー/おさかな水溶液/温野菜/大至急/しばえん(2)/ポンサ/三収組/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/カタン(3)/セブ牛/メロディックストーム/sette/れれれのれき/Sane(3)/特効さん/ぷろみん/こたつ/ニューロン(2)/きりまる/MT/つくり真顔/魂の裏切りの夜/資本ネコ/ちきちきた/みやまる/赤い髪/針山天国/きお(3)
2398_2654_GNR,2022-07-26,223人,ハッピー市立ハッピー中学校の校則を教えてください,NA,6位,Eito1379,テスト中でも下は向かない,64,75.11,Kit/ホールド・ナッツ(3)/Normal boy/キャッツアイ/みささぎ/探偵Ｏ/guniguni/おのころ/赤黄色/中身(3)/爆介(2)/シュヴァルツ/たこかいな(2)/春屋○イ/ユニクロにしては。。。(2)/ろっく/テッド相撲(2)/モルヒネ夫/たこ焼きボンバー/ペッタ(2)/かくれどり/齋藤/ぼーるぺん(2)/水谷新太郎/さいころちゃらみん/しばえん(2)/マチ/石原消し炭/コバヤシ/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/乳白色の駱駝/ちくわうし/ダイヤモンド輝之/よんずい/enter_keeey(3)/＃の中のカマ吉くん/磯野ワイニーしようぜ/みんず/はえ太/ぷろみん/こたつ/武山(2)/つくり真顔/研究会員/よしんば/カリノ/針山天国(3)/きお
2398_2654_GNR,2022-07-26,223人,ハッピー市立ハッピー中学校の校則を教えてください,NA,7位,少しだけ賢い,ただし、幸せに形はないものとする。,63,74.51,業務用虚無(2)/ホールド・ナッツ(3)/アガリブル/Normal boy/カリウム不足/omiun/机上で実演/デミ侍/月曜ビ(2)/絶対倫理(2)/じゃん/中身/大残渣/及川広大/カーテンは夜ひらく/デジタル奏でる/金庫番/ユニクロにしては。。。(2)/アウク/No Image/Longab/灰色胡椒/テッド相撲(3)/桜もにゅ/中サラ/里見英次郎/244cm265kg(2)/ペッタ/ぼーるぺん/インターネット自由業/しばえん(2)/ポンサ/笛－ト/メロディックストーム/＃の中のカマ吉くん(2)/磯野ワイニーしようぜ(2)/ウラニワ/夢描めろん/ニューロン(2)/D-6/カクレミノムシ/よしんば/魂の裏切りの夜/コッパー/きゅーきゅー(3)/シンカー/赤い髪/現にンゲ
2398_2654_GNR,2022-07-26,223人,ハッピー市立ハッピー中学校の校則を教えてください,NA,8位,解毒,いじめで置く花瓶はヒマワリとする,62,73.91,アガリブル/PineField/デミ侍/千代(2)/月曜ビ/赤黄色/じゃん/暴風よ吹け/爆介(2)/並走禁止(2)/及川広大/open/金庫番(2)/アウク/灰色胡椒(2)/中サラ/モルヒネ夫/3ねこ/里見英次郎/2番管/244cm265kg(2)/青色迷子/リナちゃそ(2)/水谷新太郎/ふもー/後悔しない名前を付けよう(3)/おさかな水溶液/三収組(2)/昨日のおみや/名詞句移動(2)/錯乱/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/百ねずみ/ダイヤモンド輝之/akamutu/れれれのれき(2)/みんず/はえ太/ニューロン/六銘菓/osouonna(3)/魂の裏切りの夜/ちきちきた/カリノ/桶狭間/金玉3倍デー(2)/きお
2398_2654_GNR,2022-07-26,223人,ハッピー市立ハッピー中学校の校則を教えてください,NA,9位,メロディックストーム,幸の順に並ぶ,59,72.11,Kit/アガリブル(2)/探偵Ｏ(2)/カリウム不足/デミ侍/千代/ガッボデ(2)/シュヴァルツ/及川広大/open(2)/デジタル奏でる/たこかいな/金庫番(3)/アウク/No Image/きらら/Longab/ケムケムケムッソ(3)/たこ焼きボンバー/白黒まみれ(3)/里見英次郎(2)/ペッタ(2)/かくれどり/齋藤/インターネット自由業/遠くを見ている/鬼山田/解毒/マチ/サメVS巨大タコス/乳白色の駱駝/akamutu(2)/＃の中のカマ吉くん(2)/磯野ワイニーしようぜ/みんず/夢描めろん/こたつ/渡利　巣手呂/武山/六銘菓/カクレミノムシ/資本ネコ/コッパー(2)/針山天国
2398_2654_GNR,2022-07-26,223人,ハッピー市立ハッピー中学校の校則を教えてください,NA,10位,れれれのれき,廊下はハピらない,58,71.51,たる棒/カリウム不足/机上で実演(2)/デミ侍/月曜ビ/おのころ/ガッボデ(2)/赤ぺこり/大残渣/シュヴァルツ/及川広大/ユニクロにしては。。。(2)/No Image/うの(2)/スエ/こむら返り/もちきんちゃく/中サラ/灰根(3)/ネオ(2)/かくれどり(3)/アナゴさん/ぼーるぺん/ふもー/温野菜(2)/さいころちゃらみん/しばえん(2)/名詞句移動/一石投じ男(2)/サメVS巨大タコス/ちくわうし/ダイヤモンド輝之(3)/ジャスミン茶外伝/夢描めろん/ゆきみ/D-6/男も育休(2)/研究会員/osouonna/satoo/きお(3)
