お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
2028_2661_AWJ,2022-08-07,255人,ガンジーが助走をつけて殴った、何があった。,NA,1位,カタン,「助走があればスポーツ」と聞いた,86,92.4,イチナリ/揚げたてメンチメン/aisaka_saika/石原消し炭/みかみ/中サラ(3)/ねこライト/つくり真顔/ニューロン/鈴木/たる棒/sette/中身(2)/harvest/2番管(2)/Kit/ナンテコッター山口/ふもー(3)/灰色胡椒/メロディックストーム/業務用虚無(2)/京音/ます/灰色こたつ(3)/水猫ラテ/はっぴーえんど/ぐみ(2)/後悔しない名前を付けよう/高見盛/たまこ/さけのなかのいくら/ポンサ/（かぜの）すぱさぶろう(3)/ラジウス(3)/そばをまぜる/夏目(兄)/なぎさ/探偵Ｏ(2)/あっきーな(2)/赤ぺこり/open/かにスープ/実家に帰った鶴/ぷろみん/春巻き、咲いちゃいました(3)/ワッショイサンバ(2)/やる/みょん(2)/ゆきみ(2)/ミフィ/デミ侍(2)/こくもつの試食/ましましのしま/白黒まみれ/ターンブル/orihimikuzus/錯乱/ペッタ/Longab/じゃん/ネクストン(2)/への字睡眠(2)
2028_2661_AWJ,2022-08-07,255人,ガンジーが助走をつけて殴った、何があった。,NA,1位,赤ぺこり,ツッコミで救えるボケだった,86,92.4,ちくわうし/イチナリ(3)/こしあんゼリー(2)/机上で実演/揚げたてメンチメン/八子八百/ねこライト/ニューロン/vio/中身(2)/A味噌汁/2番管/ホーミング(2)/射的屋/サイ・ヤング爺ちゃん(3)/ます/酢人/はっぴーえんど/きゅーきゅー/ソテツ哲夫/よんずい(2)/アガリブル/びみめし/きまぐれ/高見盛/たまこ(3)/ポンサ(2)/（かぜの）すぱさぶろう(3)/素振(2)/夏目(兄)(3)/244cm265kg(3)/ガッボデ/あっきーな(2)/open/こんみ(2)/渡利　巣手呂/研究会員(2)/カタン/akamutu/シンカー/春巻き、咲いちゃいました(2)/かくれどり/福仁漬(2)/ミフィ/三丸(2)/納屋の鍵/おもちばやし/千代/錯乱(2)/はさあかた(2)/土の子/ペッタ/Longab/ちげー(2)/じゃん/武山/ハシビロコウ/への字睡眠/ｼｰｽﾞｰｷｬﾊﾞﾘｱ
2028_2661_AWJ,2022-08-07,255人,ガンジーが助走をつけて殴った、何があった。,NA,3位,静脈ココアマン,画面が割れてOPが始まる,84,91.08,鬼山田(2)/aisaka_saika/みかみ(2)/魂の裏切りの夜(3)/ムジ子/たる棒/sette/ＣＭＣ(2)/中身/林原よしき(2)/ビーム(2)/ナンテコッター山口/チダ(2)/射的屋(2)/ホールド・ナッツ/業務用虚無(2)/酢人/きゅーきゅー/GOMI/夢描めろん/よんずい/アガリブル/米(おこめ)(2)/みささぎ/ムサブ/齋藤/ひっそりおにぎり(3)/後悔しない名前を付けよう(3)/さけのなかのいくら(2)/ポンサ(2)/出入(2)/里見英次郎/ひじかた/そばをまぜる/なぎさ/ガッボデ/こんみ/渡利　巣手呂(3)/実家に帰った鶴/カタン(3)/春巻き、咲いちゃいました(2)/かくれどり/やる/みょん(3)/ミフィ/もちきんちゃく/おもちばやし(2)/ましましのしま(3)/ターンブル/錯乱/Longab(2)/武山/omiun(3)
2028_2661_AWJ,2022-08-07,255人,ガンジーが助走をつけて殴った、何があった。,NA,4位,こたつ,いい非暴力はいい暴力から,79,87.8,そにぃ/机上で実演/ねこライト/vvvvvvl(3)/私/たる棒/vio/林原よしき(3)/ラスター(2)/2番管/うわぁ/Kit/チダ/みやまる(2)/射的屋/パンジ/ホールド・ナッツ(3)/メロディックストーム/京音(2)/はっぴーえんど(2)/きゅーきゅー/アガリブル/ぐみ(2)/赤黄色/メスカマキリ(2)/みささぎ/ムサブ/ポンサ/ラジウス/スカー/素振(2)/アウク(3)/そばをまぜる/夏目(兄)/244cm265kg(2)/探偵Ｏ(2)/槙島_六Vtuber/かにスープ/ちきちきた/善意の第三者(2)/温野菜(2)/Eito1379(2)/対義語ん/ミフィ(2)/もちきんちゃく/三丸(2)/デミ侍/千代/ろか/ざき(2)/ネクストン/ハシビロコウ/omiun(3)/への字睡眠
2028_2661_AWJ,2022-08-07,255人,ガンジーが助走をつけて殴った、何があった。,NA,5位,さいころちゃらみん,自分が１位のランキング、１位から発表された,72,83.21,そにぃ(3)/無/八子八百(2)/繁華街/つくり真顔/nullmori/harvest(3)/2番管(2)/うわぁ/メロディックストーム(3)/アガリブル(2)/ぐみ(3)/赤黄色/遠くを見ている(2)/みささぎ(3)/びみめし/ムサブ/齋藤/ポンサ/百ねずみ/スカー/モチ/赤ぺこり/open(2)/かにスープ/鮭の皮/研究会員(2)/実家に帰った鶴/ぷろみん/akamutu(2)/糸目の鮟鱇/シンカー/福仁漬/やる/シュヴァルツ(2)/こくもつの試食(2)/納屋の鍵/ましましのしま/千代/ターンブル/錯乱(2)/はさあかた/土の子/ペッタ/Longab(3)/じゃん/武山/ハシビロコウ/omiun/への字睡眠
2028_2661_AWJ,2022-08-07,255人,ガンジーが助走をつけて殴った、何があった。,NA,6位,路地裏,これだけは若者にも伝わる,60,75.34,そにぃ/ちくわうし/揚げたてメンチメン/繁華街/ねこライト/つくり真顔(2)/ＣＭＣ/vio/nullmori/harvest/うわぁ(3)/待ち犬/ホーミング/パンジ/灰色胡椒(3)/メロディックストーム/酢人/GOMI/アガリブル(3)/米(おこめ)(2)/齋藤/ばっは/素振/244cm265kg(3)/及川広大/探偵Ｏ(2)/渡利　巣手呂/鮭の皮/ちきちきた/研究会員/実家に帰った鶴/Eito1379/糸目の鮟鱇(2)/ゆきみ/シュヴァルツ/もちきんちゃく/千代/錯乱(3)/六銘菓/ペッタ(2)/Longab/ネクストン(3)/のとさわ
2028_2661_AWJ,2022-08-07,255人,ガンジーが助走をつけて殴った、何があった。,NA,7位,カラス,"この程度はまだ""暴力""じゃない",58,74.02,揚げたてメンチメン/繁華街/静脈ココアマン/ライオネル(3)/つくり真顔/vvvvvvl(3)/私/たる棒/中身(3)/チダ/みやまる/ふもー/射的屋/業務用虚無(2)/夢描めろん/ソテツ哲夫(3)/よんずい/みささぎ(2)/きまぐれ/夏目(兄)/244cm265kg(2)/なぎさ/ガッボデ/鮭の皮/まーちゃんす/温野菜(2)/Eito1379/糸目の鮟鱇/オールド/福仁漬/ワッショイサンバ(2)/昨日のおみや(3)/みょん(3)/対義語ん(2)/ましましのしま/ネクストン(2)/のとさわ(2)/への字睡眠
2028_2661_AWJ,2022-08-07,255人,ガンジーが助走をつけて殴った、何があった。,NA,8位,待ち犬,フリオチを理解した,56,72.71,そにぃ/こしあんゼリー(2)/揚げたてメンチメン/八子八百/中サラ(2)/板野/ライオネル(3)/vio/チダ/みやまる/射的屋/ホールド・ナッツ(2)/サイ・ヤング爺ちゃん(3)/はっぴーえんど/ソテツ哲夫(2)/アガリブル/赤黄色/ひっそりおにぎり/アズラス力ル(3)/ポンサ/ひじかた/（かぜの）すぱさぶろう(2)/ラジウス(2)/そばをまぜる/あっきーな(2)/open/こんみ/少しだけ賢い/鮭の皮/善意の第三者/温野菜/ミフィ/デミ侍/こくもつの試食/おもちばやし(2)/千代/白黒まみれ/錯乱/六銘菓/ペッタ/Longab/武山
2028_2661_AWJ,2022-08-07,255人,ガンジーが助走をつけて殴った、何があった。,NA,9位,きゅーきゅー,インドの当て字を「淫奴」にした,54,71.4,こしあんゼリー(2)/無/みかみ/静脈ココアマン(2)/ねこライト/私(2)/サメVS巨大タコス/ＣＭＣ/harvest/A味噌汁/2番管/下人with羅生門/うわぁ/ふもー/ホールド・ナッツ(2)/サイ・ヤング爺ちゃん(3)/灰色こたつ(3)/mikke多(3)/アガリブル/ひっそりおにぎり/さけのなかのいくら/ひじかた/夏目(兄)/なぎさ/ガッボデ/あっきーな(2)/open/鮭の皮/ぷろみん/Eito1379/akamutu/らんちゃん/シンカー(2)/かくれどり(2)/みょん/9快速/シュヴァルツ/納屋の鍵/千代/錯乱/はなびら
2028_2661_AWJ,2022-08-07,255人,ガンジーが助走をつけて殴った、何があった。,NA,10位,及川広大,Twitterを「@official_gandhi」で始めようとしたら既にアカウントが作成されていた,53,70.74,イチナリ/こしあんゼリー(2)/aisaka_saika/石原消し炭/ねこライト/モアイ松村/サメVS巨大タコス/harvest/鮒侍(3)/ビーム/ナンテコッター山口/射的屋/ホールド・ナッツ/ぐみ/高見盛/ポンサ/ひじかた/ラジウス/スカー/夏目(兄)/あっきーな/赤ぺこり/open/まーちゃんす/ちきちきた/実家に帰った鶴/ぷろみん/らんちゃん(2)/シンカー/かくれどり(2)/昨日のおみや/対義語ん/シュヴァルツ/三丸(2)/ましましのしま/ろか/はさあかた/ぽ(3)/ちげー/さいころちゃらみん/ネクストン(3)/はなびら/武山
